bar,arm,style,params,hand_cagr,vbt_cagr,abs_diff
3D,price,甲,"N=1,H=3",1.5729,1.5754,0.0025
3D,price,甲,"N=2,H=3",4.8763,4.8768,0.0005
3D,price,甲,"N=3,H=3",8.0247,8.0253,0.0006
1W,mult,甲,"N=1,H=1",3.8924,3.8943,0.0018
1W,mult,甲,"N=2,H=1",7.1241,7.1235,0.0006
1W,mult,甲,"N=3,H=1",8.4881,8.4913,0.0032
1W,price,甲,"N=1,H=1",6.8673,6.8664,0.0009
1W,price,甲,"N=2,H=1",6.0805,6.081,0.0005
1W,price,甲,"N=3,H=1",7.1846,7.1853,0.0007
1W,mult,甲,"N=1,H=2",6.2167,6.2209,0.0042
1W,mult,甲,"N=2,H=2",6.9944,6.9995,0.0051
1W,mult,甲,"N=3,H=2",8.3239,8.3258,0.0019
1W,price,甲,"N=1,H=2",6.3266,6.3285,0.002
1W,price,甲,"N=2,H=2",7.3855,7.3868,0.0014
1W,price,甲,"N=3,H=2",7.7601,7.76,0.0001
1W,mult,甲,"N=1,H=3",6.0286,6.0329,0.0042
1W,mult,甲,"N=2,H=3",7.6747,7.6774,0.0027
1W,mult,甲,"N=3,H=3",8.1768,8.1807,0.0039
1W,price,甲,"N=1,H=3",3.353,3.3573,0.0043
1W,price,甲,"N=2,H=3",6.2855,6.2895,0.004
1W,price,甲,"N=3,H=3",8.3107,8.3158,0.005
1W,mult,甲,"N=1,H=4",5.1886,5.193,0.0045
1W,mult,甲,"N=2,H=4",6.959,6.9627,0.0036
1W,mult,甲,"N=3,H=4",9.0249,9.0287,0.0038
1W,price,甲,"N=1,H=4",6.9676,6.9713,0.0038
1W,price,甲,"N=2,H=4",9.0666,9.0711,0.0045
1W,price,甲,"N=3,H=4",8.1359,8.1402,0.0043
1M,mult,甲,"N=1,H=1",13.3594,13.3516,0.0078
1M,mult,甲,"N=2,H=1",10.8554,10.8537,0.0017
1M,mult,甲,"N=3,H=1",10.0721,10.0721,0.0
1M,price,甲,"N=1,H=1",9.6787,9.6777,0.001
1M,price,甲,"N=2,H=1",8.5966,8.5969,0.0003
1M,price,甲,"N=3,H=1",8.2007,8.2015,0.0008
1M,mult_raw,甲,"N=1,H=1",9.0633,9.064,0.0007
1M,mult_raw,甲,"N=2,H=1",9.1324,9.1315,0.0009
1M,mult_raw,甲,"N=3,H=1",8.1842,8.1851,0.0009
1M,mult,甲,"N=1,H=2",13.6884,13.6876,0.0008
1M,mult,甲,"N=2,H=2",12.6324,12.6349,0.0025
1M,mult,甲,"N=3,H=2",10.9386,10.941,0.0023
1M,price,甲,"N=1,H=2",8.2874,8.2875,0.0001
1M,price,甲,"N=2,H=2",10.848,10.8476,0.0005
1M,price,甲,"N=3,H=2",9.3284,9.3267,0.0016
1M,mult_raw,甲,"N=1,H=2",9.6022,9.6038,0.0017
1M,mult_raw,甲,"N=2,H=2",8.942,8.9443,0.0024
1M,mult_raw,甲,"N=3,H=2",9.5682,9.5704,0.0022
1M,mult,甲,"N=1,H=3",12.0879,12.0829,0.005
1M,mult,甲,"N=2,H=3",11.8371,11.8338,0.0033
1M,mult,甲,"N=3,H=3",10.4585,10.4572,0.0013
1M,price,甲,"N=1,H=3",12.3363,12.3308,0.0055
1M,price,甲,"N=2,H=3",9.9713,9.9691,0.0022
1M,price,甲,"N=3,H=3",9.3589,9.3582,0.0008
1M,mult_raw,甲,"N=1,H=3",9.272,9.2694,0.0026
1M,mult_raw,甲,"N=2,H=3",9.6843,9.6815,0.0029
1M,mult_raw,甲,"N=3,H=3",10.3191,10.3183,0.0008
3M,mult,甲,"N=1,H=1",12.5285,12.5239,0.0046
3M,mult,甲,"N=2,H=1",11.6533,11.6498,0.0035
3M,mult,甲,"N=3,H=1",10.2575,10.2563,0.0011
3M,price,甲,"N=1,H=1",3.5109,3.5082,0.0027
3M,price,甲,"N=2,H=1",8.2348,8.2308,0.004
3M,price,甲,"N=3,H=1",9.7096,9.7058,0.0038
3M,mult_raw,甲,"N=1,H=1",10.7482,10.7452,0.003
3M,mult_raw,甲,"N=2,H=1",11.7876,11.7841,0.0036
3M,mult_raw,甲,"N=3,H=1",10.9991,10.996,0.0031
3M,mult,甲,"N=1,H=2",8.7343,8.7272,0.0071
3M,mult,甲,"N=2,H=2",8.5513,8.5479,0.0034
3M,mult,甲,"N=3,H=2",9.3301,9.3294,0.0007
3M,price,甲,"N=1,H=2",1.7387,1.7382,0.0005
3M,price,甲,"N=2,H=2",5.4766,5.4739,0.0027
3M,price,甲,"N=3,H=2",7.4138,7.4132,0.0006
3M,mult_raw,甲,"N=1,H=2",6.0626,6.0597,0.003
3M,mult_raw,甲,"N=2,H=2",8.186,8.1809,0.0051
3M,mult_raw,甲,"N=3,H=2",8.8787,8.8753,0.0034
