arm,bar,rsi_kind,style,params,n_periods,start,end,years,cagr_pct,maxdd_pct,exc_spy,t_spy,exc_ew9,t_ew9,ann_turnover,pct_in_mkt,n_rebal,exc_spy_h1,exc_spy_h2,N,H,E,X
price,1D,wilder,乙,"E=5,X=60,H=1",6513,2000-10-02,2026-08-27,25.9,7.0147,-45.912,-1.564,-0.6,-2.4412,-0.877,31.74,38.03,1710.0,6.3903,-9.7512,,1.0,5.0,60.0
mult,1D,wilder,乙,"E=5,X=65,H=1",6513,2000-10-02,2026-08-27,25.9,6.7799,-47.375,-1.7988,-0.706,-2.676,-1.009,34.2,49.55,1902.0,5.5126,-9.3683,,1.0,5.0,65.0
price,1D,wilder,乙,"E=5,X=65,H=1",6513,2000-10-02,2026-08-27,25.9,6.917,-51.78,-1.6617,-0.629,-2.5389,-0.915,31.41,40.6,1708.0,5.985,-9.5543,,1.0,5.0,65.0
mult,1D,wilder,乙,"E=5,X=70,H=1",6513,2000-10-02,2026-08-27,25.9,7.6964,-44.929,-0.8823,-0.391,-1.7595,-0.686,33.18,53.85,1872.0,6.2219,-8.2515,,1.0,5.0,70.0
price,1D,wilder,乙,"E=5,X=70,H=1",6513,2000-10-02,2026-08-27,25.9,7.0034,-50.198,-1.5753,-0.589,-2.4525,-0.881,30.84,44.23,1702.0,4.9185,-8.3488,,1.0,5.0,70.0
mult,1D,wilder,乙,"E=5,X=75,H=1",6513,2000-10-02,2026-08-27,25.9,5.8422,-43.517,-2.7365,-0.977,-3.6137,-1.308,32.47,59.93,1873.0,3.263,-9.0229,,1.0,5.0,75.0
price,1D,wilder,乙,"E=5,X=75,H=1",6513,2000-10-02,2026-08-27,25.9,6.4031,-45.123,-2.1756,-0.736,-3.0528,-1.041,30.16,49.07,1695.0,3.1734,-7.814,,1.0,5.0,75.0
mult,1D,wilder,乙,"E=5,X=80,H=1",6513,2000-10-02,2026-08-27,25.9,5.2304,-40.945,-3.3483,-1.216,-4.2255,-1.578,30.86,65.33,1840.0,0.9264,-7.899,,1.0,5.0,80.0
price,1D,wilder,乙,"E=5,X=80,H=1",6513,2000-10-02,2026-08-27,25.9,6.0438,-44.47,-2.5349,-0.856,-3.4121,-1.181,28.72,54.98,1671.0,0.9901,-6.3133,,1.0,5.0,80.0
mult,1D,wilder,乙,"E=5,X=85,H=1",6513,2000-10-02,2026-08-27,25.9,6.445,-39.834,-2.1337,-0.784,-3.0109,-1.153,28.15,70.84,1752.0,2.0161,-6.5566,,1.0,5.0,85.0
price,1D,wilder,乙,"E=5,X=85,H=1",6513,2000-10-02,2026-08-27,25.9,5.0187,-43.102,-3.56,-1.238,-4.4372,-1.603,26.57,62.72,1625.0,0.6554,-8.0499,,1.0,5.0,85.0
mult,1D,wilder,乙,"E=5,X=90,H=1",6513,2000-10-02,2026-08-27,25.9,7.1039,-57.682,-1.4748,-0.564,-2.3521,-0.961,24.88,80.79,1657.0,-0.1096,-2.9665,,1.0,5.0,90.0
price,1D,wilder,乙,"E=5,X=90,H=1",6513,2000-10-02,2026-08-27,25.9,6.984,-59.284,-1.5947,-0.571,-2.4719,-0.963,23.8,72.9,1540.0,-0.9009,-2.3554,,1.0,5.0,90.0
mult,1D,wilder,乙,"E=5,X=95,H=1",6513,2000-10-02,2026-08-27,25.9,9.8073,-58.068,1.2286,0.773,0.3514,0.422,17.99,95.13,1433.0,2.1923,0.1677,,1.0,5.0,95.0
price,1D,wilder,乙,"E=5,X=95,H=1",6513,2000-10-02,2026-08-27,25.9,8.4156,-59.561,-0.1631,0.036,-1.0404,-0.419,17.79,92.18,1345.0,2.0815,-2.5988,,1.0,5.0,95.0
mult,1D,wilder,乙,"E=10,X=50,H=1",6513,2000-10-02,2026-08-27,25.9,5.4676,-51.652,-3.1111,-1.117,-3.9884,-1.473,53.32,58.19,2914.0,1.998,-8.5086,,1.0,10.0,50.0
price,1D,wilder,乙,"E=10,X=50,H=1",6513,2000-10-02,2026-08-27,25.9,6.1017,-47.76,-2.477,-0.839,-3.3543,-1.152,51.98,51.82,2778.0,2.7119,-7.9549,,1.0,10.0,50.0
mult,1D,wilder,乙,"E=10,X=55,H=1",6513,2000-10-02,2026-08-27,25.9,5.74,-48.124,-2.8387,-1.031,-3.7159,-1.387,52.05,60.57,2883.0,2.2152,-8.1806,,1.0,10.0,55.0
price,1D,wilder,乙,"E=10,X=55,H=1",6513,2000-10-02,2026-08-27,25.9,6.9065,-41.607,-1.6722,-0.57,-2.5494,-0.87,51.24,54.17,2770.0,3.4299,-7.0627,,1.0,10.0,55.0
mult,1D,wilder,乙,"E=10,X=60,H=1",6513,2000-10-02,2026-08-27,25.9,5.4808,-51.595,-3.0979,-1.131,-3.9752,-1.505,50.38,62.66,2835.0,3.5241,-9.997,,1.0,10.0,60.0
price,1D,wilder,乙,"E=10,X=60,H=1",6513,2000-10-02,2026-08-27,25.9,6.0004,-42.29,-2.5783,-0.863,-3.4555,-1.188,49.76,56.12,2740.0,3.3016,-8.7461,,1.0,10.0,60.0
mult,1D,wilder,乙,"E=10,X=65,H=1",6513,2000-10-02,2026-08-27,25.9,5.9978,-49.992,-2.5809,-0.959,-3.4581,-1.329,49.39,66.07,2825.0,3.3472,-8.7966,,1.0,10.0,65.0
price,1D,wilder,乙,"E=10,X=65,H=1",6513,2000-10-02,2026-08-27,25.9,5.9361,-50.81,-2.6426,-0.871,-3.5198,-1.205,48.79,59.3,2723.0,3.6268,-9.1954,,1.0,10.0,65.0
mult,1D,wilder,乙,"E=10,X=70,H=1",6513,2000-10-02,2026-08-27,25.9,5.9007,-48.085,-2.678,-1.003,-3.5552,-1.393,47.1,69.38,2757.0,2.139,-7.7806,,1.0,10.0,70.0
price,1D,wilder,乙,"E=10,X=70,H=1",6513,2000-10-02,2026-08-27,25.9,5.4372,-49.201,-3.1415,-1.03,-4.0187,-1.385,47.07,62.6,2676.0,1.9511,-8.5223,,1.0,10.0,70.0
mult,1D,wilder,乙,"E=10,X=75,H=1",6513,2000-10-02,2026-08-27,25.9,5.0371,-45.53,-3.5416,-1.35,-4.4188,-1.774,44.89,74.04,2705.0,1.5092,-8.8803,,1.0,10.0,75.0
price,1D,wilder,乙,"E=10,X=75,H=1",6513,2000-10-02,2026-08-27,25.9,6.1429,-41.993,-2.4358,-0.774,-3.313,-1.119,45.33,67.57,2638.0,4.4666,-9.6086,,1.0,10.0,75.0
mult,1D,wilder,乙,"E=10,X=80,H=1",6513,2000-10-02,2026-08-27,25.9,5.9421,-44.216,-2.6366,-1.044,-3.5139,-1.473,41.82,79.15,2617.0,2.7951,-8.3579,,1.0,10.0,80.0
price,1D,wilder,乙,"E=10,X=80,H=1",6513,2000-10-02,2026-08-27,25.9,6.1687,-44.393,-2.41,-0.805,-3.2872,-1.177,41.98,73.31,2561.0,4.8003,-9.8816,,1.0,10.0,80.0
mult,1D,wilder,乙,"E=10,X=85,H=1",6513,2000-10-02,2026-08-27,25.9,6.9272,-39.292,-1.6515,-0.687,-2.5287,-1.134,36.69,84.66,2444.0,3.0535,-6.6405,,1.0,10.0,85.0
price,1D,wilder,乙,"E=10,X=85,H=1",6513,2000-10-02,2026-08-27,25.9,5.8404,-40.602,-2.7383,-0.992,-3.6156,-1.409,37.14,79.89,2402.0,1.9017,-7.6615,,1.0,10.0,85.0
mult,1D,wilder,乙,"E=10,X=90,H=1",6513,2000-10-02,2026-08-27,25.9,8.2703,-49.045,-0.3084,-0.114,-1.1857,-0.568,30.62,91.06,2229.0,3.4819,-4.3621,,1.0,10.0,90.0
price,1D,wilder,乙,"E=10,X=90,H=1",6513,2000-10-02,2026-08-27,25.9,6.655,-58.641,-1.9237,-0.787,-2.8009,-1.305,31.7,87.33,2217.0,0.6417,-4.6976,,1.0,10.0,90.0
mult,1D,wilder,乙,"E=10,X=95,H=1",6513,2000-10-02,2026-08-27,25.9,8.9561,-54.994,0.3774,0.327,-0.4999,-0.225,19.6,98.37,1800.0,2.8231,-2.2719,,1.0,10.0,95.0
price,1D,wilder,乙,"E=10,X=95,H=1",6513,2000-10-02,2026-08-27,25.9,7.2476,-54.703,-1.3311,-0.695,-2.2083,-1.521,20.35,97.5,1794.0,1.7301,-4.6268,,1.0,10.0,95.0
mult,1D,wilder,乙,"E=15,X=50,H=1",6513,2000-10-02,2026-08-27,25.9,5.5392,-43.252,-3.0395,-1.103,-3.9168,-1.478,65.18,67.68,3564.0,4.7566,-11.0749,,1.0,15.0,50.0
price,1D,wilder,乙,"E=15,X=50,H=1",6513,2000-10-02,2026-08-27,25.9,6.9029,-40.887,-1.6758,-0.584,-2.553,-0.909,65.03,62.84,3494.0,4.6936,-8.3271,,1.0,15.0,50.0
mult,1D,wilder,乙,"E=15,X=55,H=1",6513,2000-10-02,2026-08-27,25.9,5.8973,-39.631,-2.6814,-1.01,-3.5586,-1.393,62.85,69.49,3489.0,5.101,-10.7038,,1.0,15.0,55.0
price,1D,wilder,乙,"E=15,X=55,H=1",6513,2000-10-02,2026-08-27,25.9,6.5499,-39.899,-2.0288,-0.704,-2.906,-1.044,62.99,64.59,3426.0,4.0993,-8.4424,,1.0,15.0,55.0
mult,1D,wilder,乙,"E=15,X=60,H=1",6513,2000-10-02,2026-08-27,25.9,6.3121,-43.498,-2.2666,-0.86,-3.1438,-1.24,60.6,71.46,3430.0,7.0202,-11.7103,,1.0,15.0,60.0
price,1D,wilder,乙,"E=15,X=60,H=1",6513,2000-10-02,2026-08-27,25.9,6.3215,-40.387,-2.2572,-0.786,-3.1344,-1.139,61.07,66.64,3378.0,4.7842,-9.565,,1.0,15.0,60.0
mult,1D,wilder,乙,"E=15,X=65,H=1",6513,2000-10-02,2026-08-27,25.9,6.2322,-44.141,-2.3465,-0.904,-3.2237,-1.3,58.69,74.42,3409.0,4.9623,-9.9133,,1.0,15.0,65.0
price,1D,wilder,乙,"E=15,X=65,H=1",6513,2000-10-02,2026-08-27,25.9,6.2721,-45.173,-2.3066,-0.795,-3.1838,-1.163,59.1,69.2,3345.0,3.9488,-8.8457,,1.0,15.0,65.0
mult,1D,wilder,乙,"E=15,X=70,H=1",6513,2000-10-02,2026-08-27,25.9,6.0579,-45.899,-2.5208,-0.987,-3.3981,-1.405,55.34,77.45,3298.0,3.0859,-8.417,,1.0,15.0,70.0
price,1D,wilder,乙,"E=15,X=70,H=1",6513,2000-10-02,2026-08-27,25.9,5.6625,-46.609,-2.9162,-1.008,-3.7934,-1.408,56.47,72.49,3276.0,1.9495,-8.0681,,1.0,15.0,70.0
mult,1D,wilder,乙,"E=15,X=75,H=1",6513,2000-10-02,2026-08-27,25.9,6.5185,-39.206,-2.0602,-0.84,-2.9374,-1.27,51.82,81.73,3196.0,3.3194,-7.7293,,1.0,15.0,75.0
price,1D,wilder,乙,"E=15,X=75,H=1",6513,2000-10-02,2026-08-27,25.9,7.2823,-38.282,-1.2964,-0.411,-2.1737,-0.776,53.62,77.08,3183.0,4.752,-7.6313,,1.0,15.0,75.0
mult,1D,wilder,乙,"E=15,X=80,H=1",6513,2000-10-02,2026-08-27,25.9,6.5485,-38.057,-2.0303,-0.873,-2.9075,-1.343,47.7,85.61,3084.0,3.7314,-8.0806,,1.0,15.0,80.0
price,1D,wilder,乙,"E=15,X=80,H=1",6513,2000-10-02,2026-08-27,25.9,6.5307,-38.246,-2.048,-0.73,-2.9252,-1.156,49.25,81.71,3093.0,3.2292,-7.6143,,1.0,15.0,80.0
mult,1D,wilder,乙,"E=15,X=85,H=1",6513,2000-10-02,2026-08-27,25.9,8.4125,-41.034,-0.1662,-0.062,-1.0434,-0.5,41.3,90.13,2880.0,4.9812,-5.6022,,1.0,15.0,85.0
price,1D,wilder,乙,"E=15,X=85,H=1",6513,2000-10-02,2026-08-27,25.9,7.8186,-39.815,-0.7601,-0.239,-1.6373,-0.666,42.74,86.95,2898.0,3.5448,-5.3419,,1.0,15.0,85.0
mult,1D,wilder,乙,"E=15,X=90,H=1",6513,2000-10-02,2026-08-27,25.9,9.2021,-49.176,0.6234,0.387,-0.2538,-0.031,32.95,95.1,2559.0,5.4213,-4.4599,,1.0,15.0,90.0
price,1D,wilder,乙,"E=15,X=90,H=1",6513,2000-10-02,2026-08-27,25.9,8.2168,-53.592,-0.3619,-0.102,-1.2391,-0.6,34.89,92.78,2609.0,2.2059,-3.1395,,1.0,15.0,90.0
mult,1D,wilder,乙,"E=15,X=95,H=1",6513,2000-10-02,2026-08-27,25.9,8.4332,-55.908,-0.1455,-0.005,-1.0227,-0.772,19.8,99.39,1976.0,2.9115,-3.4374,,1.0,15.0,95.0
price,1D,wilder,乙,"E=15,X=95,H=1",6513,2000-10-02,2026-08-27,25.9,8.2308,-53.422,-0.3479,-0.163,-1.2251,-0.998,20.84,98.71,2013.0,3.1135,-4.0611,,1.0,15.0,95.0
mult,1D,wilder,乙,"E=20,X=50,H=1",6513,2000-10-02,2026-08-27,25.9,4.5717,-46.394,-4.007,-1.536,-4.8842,-1.985,73.48,74.07,4046.0,2.5987,-10.8899,,1.0,20.0,50.0
price,1D,wilder,乙,"E=20,X=50,H=1",6513,2000-10-02,2026-08-27,25.9,7.0844,-33.734,-1.4943,-0.538,-2.3715,-0.887,74.63,70.35,4038.0,4.5887,-7.8634,,1.0,20.0,50.0
mult,1D,wilder,乙,"E=20,X=55,H=1",6513,2000-10-02,2026-08-27,25.9,5.1925,-40.934,-3.3862,-1.33,-4.2634,-1.779,70.76,75.57,3961.0,2.9613,-10.0159,,1.0,20.0,55.0
price,1D,wilder,乙,"E=20,X=55,H=1",6513,2000-10-02,2026-08-27,25.9,7.3647,-33.182,-1.214,-0.437,-2.0912,-0.785,72.39,71.92,3967.0,3.9902,-6.7072,,1.0,20.0,55.0
mult,1D,wilder,乙,"E=20,X=60,H=1",6513,2000-10-02,2026-08-27,25.9,4.1554,-44.042,-4.4233,-1.742,-5.3005,-2.232,67.6,77.97,3869.0,2.3245,-11.445,,1.0,20.0,60.0
price,1D,wilder,乙,"E=20,X=60,H=1",6513,2000-10-02,2026-08-27,25.9,6.705,-35.188,-1.8737,-0.679,-2.7509,-1.055,69.39,73.58,3879.0,5.0205,-9.0386,,1.0,20.0,60.0
mult,1D,wilder,乙,"E=20,X=65,H=1",6513,2000-10-02,2026-08-27,25.9,4.4605,-43.684,-4.1182,-1.675,-4.9955,-2.18,64.85,80.29,3805.0,1.7002,-10.2251,,1.0,20.0,65.0
price,1D,wilder,乙,"E=20,X=65,H=1",6513,2000-10-02,2026-08-27,25.9,6.0465,-46.398,-2.5322,-0.929,-3.4094,-1.346,66.57,75.79,3829.0,4.4965,-9.8277,,1.0,20.0,65.0
mult,1D,wilder,乙,"E=20,X=70,H=1",6513,2000-10-02,2026-08-27,25.9,4.4661,-45.561,-4.1126,-1.718,-4.9898,-2.252,60.9,82.99,3691.0,-0.1035,-8.3907,,1.0,20.0,70.0
price,1D,wilder,乙,"E=20,X=70,H=1",6513,2000-10-02,2026-08-27,25.9,5.3722,-46.887,-3.2065,-1.196,-4.0837,-1.668,63.16,78.8,3734.0,2.2934,-8.9958,,1.0,20.0,70.0
mult,1D,wilder,乙,"E=20,X=75,H=1",6513,2000-10-02,2026-08-27,25.9,6.0974,-43.082,-2.4813,-1.061,-3.3586,-1.567,56.31,86.5,3550.0,1.2824,-6.5069,,1.0,20.0,75.0
price,1D,wilder,乙,"E=20,X=75,H=1",6513,2000-10-02,2026-08-27,25.9,7.4826,-38.59,-1.0961,-0.354,-1.9733,-0.756,59.07,82.7,3598.0,5.3222,-7.7955,,1.0,20.0,75.0
mult,1D,wilder,乙,"E=20,X=80,H=1",6513,2000-10-02,2026-08-27,25.9,6.5295,-39.618,-2.0492,-0.928,-2.9264,-1.477,50.79,89.65,3378.0,2.586,-6.9674,,1.0,20.0,80.0
price,1D,wilder,乙,"E=20,X=80,H=1",6513,2000-10-02,2026-08-27,25.9,7.2817,-39.655,-1.297,-0.458,-2.1742,-0.913,53.14,86.58,3440.0,5.2705,-8.1428,,1.0,20.0,80.0
mult,1D,wilder,乙,"E=20,X=85,H=1",6513,2000-10-02,2026-08-27,25.9,8.0564,-40.302,-0.5223,-0.234,-1.3995,-0.752,43.22,92.97,3148.0,3.3501,-4.6605,,1.0,20.0,85.0
price,1D,wilder,乙,"E=20,X=85,H=1",6513,2000-10-02,2026-08-27,25.9,8.0019,-40.41,-0.5768,-0.192,-1.454,-0.664,45.37,90.54,3212.0,4.1734,-5.6119,,1.0,20.0,85.0
mult,1D,wilder,乙,"E=20,X=90,H=1",6513,2000-10-02,2026-08-27,25.9,8.93,-45.928,0.3513,0.262,-0.5259,-0.235,33.79,96.62,2753.0,4.9458,-4.5258,,1.0,20.0,90.0
price,1D,wilder,乙,"E=20,X=90,H=1",6513,2000-10-02,2026-08-27,25.9,8.9575,-49.339,0.3788,0.276,-0.4984,-0.212,36.37,94.86,2835.0,4.3319,-3.8426,,1.0,20.0,90.0
mult,1D,wilder,乙,"E=20,X=95,H=1",6513,2000-10-02,2026-08-27,25.9,8.5243,-55.503,-0.0544,0.019,-0.9316,-0.875,19.62,99.46,2080.0,3.1495,-3.4998,,1.0,20.0,95.0
price,1D,wilder,乙,"E=20,X=95,H=1",6513,2000-10-02,2026-08-27,25.9,8.3963,-52.752,-0.1824,-0.089,-1.0596,-1.008,20.91,98.99,2142.0,3.6737,-4.3039,,1.0,20.0,95.0
mult,1D,wilder,乙,"E=25,X=50,H=1",6513,2000-10-02,2026-08-27,25.9,4.5209,-44.08,-4.0578,-1.681,-4.9351,-2.217,78.88,80.13,4417.0,2.2328,-10.6315,,1.0,25.0,50.0
price,1D,wilder,乙,"E=25,X=50,H=1",6513,2000-10-02,2026-08-27,25.9,5.0756,-42.123,-3.5031,-1.302,-4.3804,-1.73,80.92,75.26,4425.0,4.5782,-11.8104,,1.0,25.0,50.0
mult,1D,wilder,乙,"E=25,X=55,H=1",6513,2000-10-02,2026-08-27,25.9,5.2873,-40.188,-3.2914,-1.387,-4.1686,-1.909,75.7,81.45,4327.0,2.8794,-9.747,,1.0,25.0,55.0
price,1D,wilder,乙,"E=25,X=55,H=1",6513,2000-10-02,2026-08-27,25.9,5.596,-39.004,-2.9827,-1.101,-3.8599,-1.522,78.17,76.66,4342.0,4.3666,-10.5885,,1.0,25.0,55.0
mult,1D,wilder,乙,"E=25,X=60,H=1",6513,2000-10-02,2026-08-27,25.9,4.4253,-41.389,-4.1534,-1.747,-5.0306,-2.315,72.08,83.42,4216.0,1.3178,-9.9142,,1.0,25.0,60.0
price,1D,wilder,乙,"E=25,X=60,H=1",6513,2000-10-02,2026-08-27,25.9,5.3631,-39.642,-3.2156,-1.198,-4.0928,-1.635,74.51,78.11,4222.0,4.6634,-11.33,,1.0,25.0,60.0
mult,1D,wilder,乙,"E=25,X=65,H=1",6513,2000-10-02,2026-08-27,25.9,4.3039,-40.816,-4.2748,-1.859,-5.152,-2.465,68.69,85.29,4139.0,0.7389,-9.5761,,1.0,25.0,65.0
price,1D,wilder,乙,"E=25,X=65,H=1",6513,2000-10-02,2026-08-27,25.9,4.6081,-50.926,-3.9706,-1.507,-4.8478,-2.001,71.41,80.02,4161.0,4.6288,-12.7683,,1.0,25.0,65.0
mult,1D,wilder,乙,"E=25,X=70,H=1",6513,2000-10-02,2026-08-27,25.9,4.6843,-40.775,-3.8944,-1.726,-4.7717,-2.348,64.15,87.55,3989.0,-0.0811,-7.9708,,1.0,25.0,70.0
price,1D,wilder,乙,"E=25,X=70,H=1",6513,2000-10-02,2026-08-27,25.9,4.2651,-49.187,-4.3136,-1.669,-5.1908,-2.215,67.16,82.5,4035.0,1.9986,-10.9085,,1.0,25.0,70.0
mult,1D,wilder,乙,"E=25,X=75,H=1",6513,2000-10-02,2026-08-27,25.9,6.9133,-39.933,-1.6654,-0.743,-2.5426,-1.288,58.59,90.31,3832.0,2.3375,-5.9376,,1.0,25.0,75.0
price,1D,wilder,乙,"E=25,X=75,H=1",6513,2000-10-02,2026-08-27,25.9,6.379,-39.156,-2.1997,-0.838,-3.0769,-1.323,62.12,85.86,3887.0,4.0343,-8.7177,,1.0,25.0,75.0
mult,1D,wilder,乙,"E=25,X=80,H=1",6513,2000-10-02,2026-08-27,25.9,7.3143,-40.199,-1.2644,-0.588,-2.1416,-1.165,52.44,92.86,3622.0,3.2304,-6.0399,,1.0,25.0,80.0
price,1D,wilder,乙,"E=25,X=80,H=1",6513,2000-10-02,2026-08-27,25.9,7.0736,-41.426,-1.5051,-0.59,-2.3824,-1.097,55.79,89.3,3705.0,4.368,-7.6663,,1.0,25.0,80.0
mult,1D,wilder,乙,"E=25,X=85,H=1",6513,2000-10-02,2026-08-27,25.9,8.7901,-42.645,0.2114,0.158,-0.6658,-0.35,44.53,95.32,3357.0,4.2267,-4.0739,,1.0,25.0,85.0
price,1D,wilder,乙,"E=25,X=85,H=1",6513,2000-10-02,2026-08-27,25.9,8.2653,-42.141,-0.3134,-0.082,-1.1907,-0.573,47.31,92.66,3451.0,4.4993,-5.4118,,1.0,25.0,85.0
mult,1D,wilder,乙,"E=25,X=90,H=1",6513,2000-10-02,2026-08-27,25.9,8.912,-48.344,0.3333,0.255,-0.5439,-0.326,34.34,97.99,2946.0,4.6621,-4.2731,,1.0,25.0,90.0
price,1D,wilder,乙,"E=25,X=90,H=1",6513,2000-10-02,2026-08-27,25.9,8.6834,-50.141,0.1047,0.112,-0.7725,-0.464,37.17,96.05,3032.0,3.7436,-3.7926,,1.0,25.0,90.0
mult,1D,wilder,乙,"E=25,X=95,H=1",6513,2000-10-02,2026-08-27,25.9,8.7142,-54.258,0.1355,0.137,-0.7417,-0.836,19.55,99.65,2174.0,3.0754,-3.0339,,1.0,25.0,95.0
price,1D,wilder,乙,"E=25,X=95,H=1",6513,2000-10-02,2026-08-27,25.9,8.0382,-52.99,-0.5405,-0.381,-1.4177,-1.612,20.92,99.22,2229.0,2.7854,-4.1127,,1.0,25.0,95.0
mult,1D,wilder,乙,"E=30,X=50,H=1",6513,2000-10-02,2026-08-27,25.9,4.233,-46.371,-4.3457,-1.657,-5.2229,-2.249,83.49,85.49,4739.0,3.2813,-12.2183,,1.0,30.0,50.0
price,1D,wilder,乙,"E=30,X=50,H=1",6513,2000-10-02,2026-08-27,25.9,6.1792,-39.013,-2.3995,-0.903,-3.2767,-1.331,87.56,79.66,4760.0,4.6774,-9.7418,,1.0,30.0,50.0
mult,1D,wilder,乙,"E=30,X=55,H=1",6513,2000-10-02,2026-08-27,25.9,4.8655,-39.072,-3.7132,-1.444,-4.5904,-2.027,79.89,86.47,4634.0,3.465,-11.1535,,1.0,30.0,55.0
price,1D,wilder,乙,"E=30,X=55,H=1",6513,2000-10-02,2026-08-27,25.9,6.4531,-36.528,-2.1256,-0.8,-3.0028,-1.224,84.31,80.92,4652.0,4.3451,-8.8765,,1.0,30.0,55.0
mult,1D,wilder,乙,"E=30,X=60,H=1",6513,2000-10-02,2026-08-27,25.9,4.1843,-41.846,-4.3944,-1.732,-5.2716,-2.364,75.91,87.99,4510.0,1.5186,-10.595,,1.0,30.0,60.0
price,1D,wilder,乙,"E=30,X=60,H=1",6513,2000-10-02,2026-08-27,25.9,5.8263,-36.699,-2.7524,-1.053,-3.6296,-1.514,80.26,82.24,4532.0,3.3125,-9.1034,,1.0,30.0,60.0
mult,1D,wilder,乙,"E=30,X=65,H=1",6513,2000-10-02,2026-08-27,25.9,4.954,-40.119,-3.6247,-1.478,-4.5019,-2.106,71.82,89.33,4414.0,1.9051,-9.4439,,1.0,30.0,65.0
price,1D,wilder,乙,"E=30,X=65,H=1",6513,2000-10-02,2026-08-27,25.9,6.5465,-39.286,-2.0322,-0.788,-2.9094,-1.239,76.66,83.83,4456.0,4.6359,-8.9764,,1.0,30.0,65.0
mult,1D,wilder,乙,"E=30,X=70,H=1",6513,2000-10-02,2026-08-27,25.9,4.9331,-42.537,-3.6456,-1.532,-4.5229,-2.208,66.49,90.94,4246.0,0.8408,-8.4124,,1.0,30.0,70.0
price,1D,wilder,乙,"E=30,X=70,H=1",6513,2000-10-02,2026-08-27,25.9,5.9538,-39.51,-2.6249,-1.041,-3.5021,-1.552,71.7,86.03,4316.0,1.9465,-7.4782,,1.0,30.0,70.0
mult,1D,wilder,乙,"E=30,X=75,H=1",6513,2000-10-02,2026-08-27,25.9,6.9829,-40.517,-1.5958,-0.65,-2.473,-1.221,60.22,93.01,4065.0,2.9961,-6.47,,1.0,30.0,75.0
price,1D,wilder,乙,"E=30,X=75,H=1",6513,2000-10-02,2026-08-27,25.9,7.5152,-43.08,-1.0635,-0.381,-1.9407,-0.837,65.47,88.81,4134.0,3.0987,-5.4993,,1.0,30.0,75.0
mult,1D,wilder,乙,"E=30,X=80,H=1",6513,2000-10-02,2026-08-27,25.9,6.7943,-39.974,-1.7844,-0.814,-2.6616,-1.488,53.55,94.93,3835.0,3.4677,-7.3257,,1.0,30.0,80.0
