threshold,tilt,cadence,層,annual_excess:SPY,舊裁決,新裁決,變了,舊鄰域格數,舊鄰域平均,舊落差,新鄰域格數,新鄰域平均,新落差,換層最差鄰域平均,換層代價,成交筆數
1.0,0.75,quarterly,cadence=quarterly,-0.0074479853346602,普通,普通,,17,-0.006382541892937794,-0.0010654434417224053,8,-0.009566439072693878,0.0021184537380336786,-0.0031986447131817112,-0.006367794359512167,188
0.95,1.0,monthly,cadence=monthly,-0.0074791493991517,普通,普通,,11,-0.015754214083427576,0.008275064684275878,5,-0.0080167620182698,0.0005376126191181012,-0.02349166614858535,0.01547490413031555,196
0.9,0.5,monthly,cadence=monthly,-0.0077015660083419,普通,普通,,7,-0.012341301877101087,0.004639735868759187,3,-0.007296574057426475,-0.0004049919509154249,-0.0173860296967757,0.010089455639349225,560
0.95,0.5,quarterly,cadence=quarterly,-0.0097547043849788,普通,普通,,11,-0.0101485718556668,0.00039386747068799986,5,-0.013744795188656116,0.003990090803677316,-0.006552348522677483,-0.007192446665978632,188
1.0,1.0,quarterly,cadence=quarterly,-0.0100689047176654,普通,普通,,11,-0.007051787429040775,-0.003017117288624625,5,-0.011434596252816334,0.0013656915351509345,-0.0026689786052652167,-0.008765617647551117,42
0.9,0.75,monthly,cadence=monthly,-0.0105384663872074,普通,普通,,11,-0.016306142845295017,0.0057676764580876175,5,-0.00843321715388805,-0.00210524923331935,-0.024179068536701983,0.01574585138281393,560
0.9,0.5,quarterly,cadence=quarterly,-0.0118865999960466,普通,普通,,7,-0.012341301877101087,0.0004547018810544864,3,-0.0173860296967757,0.0054994297007291,-0.007296574057426475,-0.010089455639349225,188
0.9,1.0,monthly,cadence=monthly,-0.0139338572944707,普通,普通,,7,-0.020165982429835787,0.006232125135365087,3,-0.00947368814987495,-0.00446016914459575,-0.030858276709796625,0.021384588559921675,250
0.95,0.75,quarterly,cadence=quarterly,-0.0215472192413332,普通,普通,,17,-0.013003940441261071,-0.008543278800072128,8,-0.01867421869807902,-0.0028730005432541783,-0.007333662184443123,-0.0113405565136359,188
0.9,0.75,quarterly,cadence=quarterly,-0.0263555951647442,普通,普通,,11,-0.016306142845295017,-0.010049452319449183,5,-0.024179068536701983,-0.002176526628042217,-0.00843321715388805,-0.01574585138281393,188
0.95,1.0,quarterly,cadence=quarterly,-0.0340777701350114,普通,普通,,11,-0.015754214083427576,-0.018323556051583822,5,-0.02349166614858535,-0.010586103986426048,-0.0080167620182698,-0.01547490413031555,68
0.9,1.0,quarterly,cadence=quarterly,-0.0414525222980977,普通,普通,,7,-0.020165982429835787,-0.02128653986826191,3,-0.030858276709796625,-0.010594245588301073,-0.00947368814987495,-0.021384588559921675,94
