L1,L2,a,b,k,p,theta,cagr,sharpe,maxdd,time_in_market,turnover_yr,death_pass
6,52,3,18,0.5,-5.0,0.6,0.1439024775813793,0.561365891676616,-0.5883007466239079,0.8337676438653637,3.14657980456026,True
6,52,3,18,1.0,0.0,0.4,0.11834082690028391,0.48073636154140376,-0.588300746623908,0.7450597176981542,3.119218241042345,True
6,52,3,18,1.0,0.0,0.5,0.13644008920228856,0.5345523455410386,-0.588300746623908,0.8221498371335505,2.9003257328990224,True
6,52,3,18,1.0,0.0,0.6,0.1371433488591718,0.5360752474174661,-0.5883007466239079,0.8292073832790445,3.0644951140065144,True
6,52,3,18,1.0,-5.0,0.4,0.12218488683291673,0.4940070913137853,-0.5883007466239079,0.7543973941368078,2.9550488599348532,True
6,52,3,18,1.0,-5.0,0.5,0.13958946442925657,0.5454549895902904,-0.588300746623908,0.8269272529858849,2.845602605863192,True
6,52,3,18,1.0,-5.0,0.6,0.14229660605640992,0.5537191320501065,-0.5883007466239081,0.8408251900108578,2.9824104234527686,True
6,52,3,18,1.5,0.0,0.4,0.12091891743763705,0.49029702259813096,-0.5883007466239079,0.7517915309446254,3.0097719869706836,True
6,52,3,18,1.5,0.0,0.5,0.1372984938078914,0.5371706235479253,-0.5883007466239079,0.8267100977198697,2.790879478827361,True
6,52,3,18,1.5,0.0,0.6,0.13800228466860487,0.5386850846477008,-0.5883007466239081,0.8337676438653637,2.9550488599348532,True
6,52,3,18,1.5,-5.0,0.4,0.12416533740211344,0.5012859249810949,-0.5883007466239081,0.7587404994571119,2.9003257328990224,True
6,52,3,18,1.5,-5.0,0.5,0.1404502479004286,0.5480537594868277,-0.5883007466239079,0.8314875135722041,2.736156351791531,True
6,52,3,18,1.5,-5.0,0.6,0.14315943435410872,0.5562971186407019,-0.588300746623908,0.845385450597177,2.8729641693811074,True
6,52,6,24,0.5,0.0,0.4,0.12599265484427424,0.5151444883426257,-0.5883007466239081,0.7269272529858849,3.119218241042345,True
6,52,6,24,0.5,0.0,0.5,0.14368426591519534,0.5631878398717721,-0.5883007466239081,0.8129207383279045,3.119218241042345,True
6,52,6,24,0.5,0.0,0.6,0.14311793425011166,0.5597748664239588,-0.588300746623908,0.8223669923995657,3.1739413680781756,True
6,52,6,24,0.5,-5.0,0.4,0.12986301631620845,0.5284102493214035,-0.5883007466239081,0.7362649294245386,2.9550488599348532,True
6,52,6,24,0.5,-5.0,0.5,0.14483270741848675,0.5655838625988162,-0.5883007466239081,0.8199782844733985,3.119218241042345,True
6,52,6,24,0.5,-5.0,0.6,0.14627471195175534,0.5689745409117615,-0.5883007466239079,0.8362649294245386,3.14657980456026,True
6,52,6,24,1.0,0.0,0.4,0.12388963632325711,0.5026222696851215,-0.5883007466239081,0.7428881650380021,3.1739413680781756,True
6,52,6,24,1.0,0.0,0.5,0.14177233644801657,0.5544894303570234,-0.5883007466239081,0.8198697068403908,3.228664495114006,True
6,52,6,24,1.0,0.0,0.6,0.1412069515356611,0.5511470001522348,-0.5883007466239081,0.8293159609120521,3.283387622149837,True
