ticker,delisted,index_joined,index_left,cik,cik_source,cells,median_mcap_usd_m,median_shares_m,median_rev_ttm_usd_m,cik_note
EMN,True,1996-01-02,2025-11-04,0000915389,anchors,171,11132.78,141.2,9368.0,今日對照·已核實
AAP,True,2015-07-09,2023-08-25,0001158449,anchors,97,11146.0,73.414,9737.02,今日對照·已核實
IVZ,False,2008-08-21,,0000914208,anchors,175,11176.56,453.8,5429.7,今日對照
DRI,False,1996-01-02,,0000940944,anchors,197,11196.29,127.3,8091.6,今日對照
WRB,False,2019-12-05,,0000011544,anchors,81,11262.44,270.505,11146.09,今日對照
KSS,True,1998-08-14,2020-09-21,0000885639,anchors,132,11298.79,202.5,18902.0,今日對照·已核實
TAP,False,1996-01-02,,0000024545,anchors,205,11320.47,208.0,10357.3,今日對照
DVA,False,2008-07-31,,0000927066,anchors,205,11408.57,107.425,11626.6,今日對照
IFF,False,1996-01-02,,0000051253,anchors,193,11443.32,82.041,3352.69,今日對照
TPR,False,2004-09-01,,0001116132,anchors,202,11448.81,281.534,5007.89,今日對照
MOS,False,2011-09-26,,0001285785,anchors,180,11479.07,375.0,9974.1,今日對照
MKTX,True,2019-07-01,2025-09-22,0001278021,anchors,74,11494.29,37.79,706.3,同一實體改名·非回收
UHS,False,2014-09-22,,0000352915,anchors,144,11611.0,85.796,11403.53,今日對照
KMX,True,2010-06-28,2025-10-31,0001170010,anchors,180,11642.24,181.727,17085.95,今日對照·已核實
WYNN,False,2008-11-14,,0001174922,anchors,193,11648.08,106.707,5208.87,今日對照
MAS,False,1996-01-02,,0000062996,anchors,194,11688.99,309.0,7769.0,今日對照
EXPD,False,2007-10-10,,0000746515,anchors,205,11776.23,181.666,6843.01,今日對照
CNP,False,1996-01-02,,0001130310,anchors,196,11863.93,434.086,8643.0,今日對照
LNC,True,1996-01-02,2023-09-18,0000059558,anchors,157,11902.19,233.588,13781.0,今日對照·已核實
AKAM,False,2007-07-12,,0001086222,anchors,204,11915.6,172.307,2479.33,今日對照
EW,False,2011-04-01,,0001099800,anchors,185,12053.45,216.2,3771.9,今日對照
WDC,False,2009-07-01,,0000106040,anchors,203,12128.57,296.0,15130.0,今日對照
SJM,False,2008-11-06,,0000091419,anchors,192,12146.53,110.398,7650.7,今日對照
JKHY,False,2018-11-13,,0000779152,anchors,94,12236.43,73.144,1995.45,今日對照
DOV,False,1996-01-02,,0000029905,anchors,206,12245.56,155.049,7788.17,今日對照
M,True,1996-01-02,2020-04-06,0000794367,anchors,115,12340.42,346.5,26380.0,今日對照·已核實
ALB,False,2016-07-01,,0000915913,anchors,122,12576.9,115.049,3496.21,今日對照
TXT,False,1996-01-02,,0000217346,anchors,182,12697.66,245.974,13384.0,今日對照
SOLV,False,2024-04-01,,0001964738,anchors,28,12782.87,174.8,8310.0,今日對照
CINF,False,1997-12-18,,0000020286,anchors,175,12800.23,163.857,6342.0,今日對照
PKG,False,2017-07-26,,0000075677,anchors,110,12819.74,93.6,7802.4,今日對照
KEY,False,1996-01-02,,0000091576,anchors,205,12873.97,940.764,6415.0,今日對照
GRMN,False,2012-12-12,,0001121788,anchors,165,12909.87,191.597,3587.38,今日對照
RVTY,False,2023-05-16,,0000031791,anchors,40,12974.38,123.026,2750.57,今日對照
LNT,False,2016-07-01,,0000352541,anchors,122,13037.9,250.5,3647.7,今日對照
SHW,False,1996-01-02,,0000089800,anchors,206,13054.73,104.123,17225.6,今日對照
VTRS,False,2020-11-17,,0001792044,anchors,70,13230.32,1205.6,15300.2,今日對照
CBOE,False,2017-03-01,,0001374310,anchors,114,13237.49,106.8,3516.4,今日對照
AAL,True,1996-01-02,2024-09-23,0000006201,anchors,114,13418.46,588.764,41736.5,今日對照·已核實
NDSN,False,2022-02-15,,0000072331,anchors,55,13485.66,57.616,2651.82,今日對照
CPB,True,1996-01-02,2026-06-22,0000016732,anchors,198,13542.48,305.0,8313.0,今日對照·已核實
TFX,True,2019-01-18,2025-03-24,0000096943,anchors,74,13551.88,47.299,2758.83,今日對照·已核實
XYL,False,2011-11-01,,0001524472,anchors,175,13742.9,181.632,4950.0,今日對照
CAG,True,1996-01-02,2026-06-30,0000023217,anchors,188,13750.1,441.6,11924.1,今日對照·已核實
DGX,False,2002-12-12,,0001022079,anchors,206,13786.5,139.0,7625.37,今日對照
CE,True,2001-04-02,2025-03-24,0001306830,anchors,75,13833.19,111.045,8537.0,今日對照·已核實
BEN,False,1998-04-29,,0000038777,anchors,193,13838.36,510.3,7515.18,今日對照
EPAM,True,2021-12-14,2026-06-02,0001352010,anchors,54,13953.72,58.941,4727.94,今日對照·已核實
POOL,True,2020-10-07,2026-06-22,0000945841,anchors,68,13965.06,39.115,5326.52,今日對照·已核實
GDDY,False,2024-06-24,,0001609711,anchors,27,13979.62,79.835,4659.0,今日對照
WAT,False,2002-01-02,,0001000697,anchors,205,14008.58,80.756,2250.59,今日對照
HBAN,False,1997-08-06,,0000049196,anchors,193,14023.89,1051.273,1294.0,今日對照
LH,False,2004-11-01,,0000920148,anchors,193,14096.04,98.0,11284.0,今日對照
LDOS,False,2009-12-21,,0001336920,anchors,115,14099.4,143.0,13498.0,今日對照
GPC,False,1996-01-02,,0000040987,anchors,205,14158.44,147.241,15881.79,今日對照
JBHT,False,2015-07-01,,0000728535,anchors,134,14203.55,106.798,9973.9,今日對照
VRSN,False,2006-02-01,,0001014473,anchors,205,14407.36,123.98,1175.77,今日對照
AEE,False,1996-01-02,,0001002910,anchors,205,14434.85,245.1,6388.0,今日對照
BIO,True,2020-06-22,2024-09-23,0000012208,anchors,51,14451.28,29.794,2768.99,今日對照·已核實
J,False,2019-12-10,,0000052988,anchors,81,14494.12,127.496,14025.83,今日對照
EVRG,False,2018-06-05,,0001711269,anchors,97,14511.66,230.5,5559.0,今日對照
BG,False,2023-03-15,,0001996862,anchors,31,14516.11,145.414,57629.0,今日對照
DPZ,False,2020-05-12,,0001286681,anchors,76,14730.68,35.601,4488.14,今日對照
MGM,False,2017-07-26,,0000789570,anchors,110,14744.93,485.786,12537.24,今日對照
SWK,False,1996-01-02,,0000093556,anchors,194,14750.92,153.153,13565.0,今日對照
LEN,False,2005-10-04,,0000920760,anchors,179,14771.68,257.746,20571.63,今日對照
BLDR,False,2023-12-18,,0001316835,anchors,33,14865.36,116.94,16400.49,今日對照
URI,False,2014-09-22,,0001067701,anchors,144,14880.09,72.929,9008.0,今日對照
NTAP,False,1999-06-25,,0001002047,anchors,192,14945.1,268.0,6181.0,今日對照
EG,False,2023-07-10,,0001095073,anchors,38,14986.83,41.8,16538.0,今日對照
CVNA,False,2025-12-22,,0001690820,anchors,9,14988.88,224.277,22522.0,今日對照
