event_id,t1,n_rows,n_post_T1_q,cik_found,revenue_ok,revenue_bad,revenue_leak,revenue_coinc,revenue_post,revenue_types,gross_profit_ok,gross_profit_bad,gross_profit_leak,gross_profit_post,operating_income_ok,operating_income_bad,operating_income_leak,operating_income_post,ocf_ok,ocf_bad,ocf_leak,ocf_post,sig_rev_in_text,sig_rev_eq_ex991,sig_rev_vs_ex991_pp,prior_rev_in_text,prior_text_conflict,revenue_nopack,revenue_leakcells,revenue_coincells,revenue_postcells
E012,2016-04-20,8,4,1,8,0,0,0,0,,8,0,0,0,8,0,0,0,8,0,0,0,1,1,-0.03,1,0,0,,,
E013,2016-11-03,8,4,1,8,0,0,0,0,,8,0,0,0,8,0,0,0,8,0,0,0,1,1,-0.01,1,0,0,,,
E014,2016-05-19,8,4,1,8,0,0,0,0,,8,0,0,0,8,0,0,0,8,0,0,0,1,1,0.0,1,0,0,,,
E015,2016-02-23,8,4,1,8,0,0,0,0,,8,0,0,0,8,0,0,0,8,0,0,0,1,1,0.23,1,1,0,,,
E016,2016-05-24,8,4,1,8,0,0,0,0,,8,0,0,1,8,0,0,0,8,0,0,0,1,1,-0.09,1,0,0,,,
E017,2017-02-09,8,4,1,8,0,0,0,0,,8,0,0,0,6,1,0,0,8,0,0,0,1,1,0.01,0,0,0,,,
E018,2017-02-16,8,4,1,8,0,0,0,0,,8,0,0,0,8,0,0,0,8,0,0,0,1,1,0.0,1,1,0,,,
E019,2017-11-02,8,4,1,8,0,0,0,0,,8,0,0,0,8,0,0,0,8,0,0,0,1,1,0.01,1,0,0,,,
E020,2017-08-01,8,4,1,8,0,0,0,0,,8,0,0,0,8,0,0,0,8,0,0,0,1,1,-0.01,1,0,0,,,
E021,2017-05-03,8,4,1,7,1,0,0,0,signal_text_vs_xbrl_differs,8,0,0,0,8,0,0,0,8,0,0,0,1,0,0.79,1,0,0,,,
E022,2017-03-01,8,4,1,4,4,4,0,3,other|signal_text_vs_xbrl_differs,8,0,0,0,8,0,0,0,8,0,0,0,0,0,7.35,1,0,0,2016-04-02=878510000.0(未來季 2017-04-01 的實際收入); 2016-07-02=894930000.0(未來季 2017-07-01 的實際收入); 2016-10-01=936262000.0(未來季 2017-09-30 的實際收入); 2016-12-31=952549000.0(未來季 2017-12-30 的實際收入),,2016-04-02(值首見於 2019-02-27); 2016-07-02(值首見於 2019-02-27); 2016-10-01(值首見於 2019-02-27)
E023,2017-05-05,8,4,1,8,0,0,0,0,,8,0,0,0,8,0,0,0,8,0,0,0,1,1,0.19,1,0,0,,,
E024,2017-11-06,8,4,1,4,4,2,0,4,other|shift,8,0,0,0,8,0,0,0,8,0,0,0,1,1,-0.3,1,0,0,"2016-12-31=1440000000.0(近似未來季 2017-12-30 的實際收入,差 0.007%); 2017-04-01=1180000000.0(近似未來季 2018-03-31 的實際收入,差 0.042%)",,2016-07-02(值首見於 2019-05-29); 2016-10-01(值首見於 2019-05-29); 2016-12-31(值首見於 2019-05-29); 2017-04-01(值首見於 2019-05-29)
E025,2018-05-01,8,4,1,5,3,0,0,0,other|signal_text_vs_xbrl_differs,8,0,0,0,8,0,0,0,8,0,0,0,1,0,-6.97,1,0,0,,,
E026,2018-03-16,8,4,1,8,0,0,1,0,,8,0,0,0,8,0,0,0,8,0,0,0,1,1,0.0,0,0,0,,2017-03-31(與 2018-03-31 同值),
E027,2018-08-01,8,4,1,8,0,0,0,0,,8,0,0,0,8,0,0,0,8,0,0,0,1,1,-0.02,1,0,0,,,
E028,2018-11-01,8,4,1,8,0,0,0,0,,8,0,0,0,7,0,0,0,8,0,0,0,1,1,-0.01,1,1,0,,,
E029,2018-10-23,8,4,1,8,0,0,1,0,,8,0,0,0,8,0,0,0,8,0,0,0,0,1,0.0,1,1,0,,2017-12-31(與 2019-03-31 同值),
E030,2018-02-06,8,4,1,8,0,0,1,0,,8,0,0,0,8,0,0,0,8,0,0,0,1,1,-0.28,1,0,0,,2016-12-31(與 2018-03-31 同值),
E031,2018-08-08,8,4,1,8,0,0,0,0,,8,0,0,0,8,0,0,0,8,0,0,0,1,1,0.0,1,0,0,,,
E032,2018-09-06,8,4,1,8,0,0,0,0,,8,0,0,0,8,0,0,0,8,0,0,0,1,1,0.06,0,0,0,,,
E033,2019-07-24,8,4,1,6,2,0,1,0,other,8,0,0,0,8,0,0,0,8,0,0,0,1,1,0.0,1,0,0,,2019-06-30(與 2020-03-31 同值),
E034,2019-05-08,8,4,1,8,0,0,0,0,,8,0,0,0,8,0,0,0,8,0,0,0,1,1,0.04,1,0,0,,,
E035,2019-11-06,8,4,1,8,0,0,0,0,,8,0,0,0,6,0,0,0,8,0,0,0,1,1,0.0,1,1,0,,,
E036,2019-02-08,8,4,1,8,0,0,0,0,,8,0,0,0,8,0,0,0,8,0,0,0,1,1,-0.01,1,0,0,,,
E037,2019-08-08,8,4,1,8,0,0,0,0,,8,0,0,0,8,0,0,0,8,0,0,0,1,1,0.06,1,0,0,,,
E038,2019-02-21,8,4,1,6,2,0,0,0,other,8,0,0,0,8,0,0,0,8,0,0,0,0,1,0.0,0,0,0,,,
E039,2019-10-31,8,4,1,5,3,0,0,0,other,8,0,0,0,8,0,0,0,8,0,0,0,1,1,0.0,1,0,0,,,
E040,2019-07-30,8,4,1,8,0,0,0,0,,8,0,0,0,8,0,0,0,8,0,0,0,1,1,0.02,1,1,0,,,
E041,2020-02-14,8,4,1,8,0,0,0,0,,8,0,0,0,8,0,0,0,8,0,0,0,1,1,0.0,1,1,0,,,
E042,2020-10-21,8,4,1,8,0,0,0,0,,8,0,0,0,8,0,0,0,8,0,0,0,1,1,0.04,1,1,0,,,
E043,2020-11-06,8,4,1,8,0,0,0,0,,8,0,0,0,8,0,0,0,8,0,0,0,1,1,-0.03,1,0,0,,,
E044,2020-05-06,8,4,1,8,0,0,0,0,,8,0,0,0,8,0,0,0,8,0,0,0,1,1,0.4,1,0,0,,,
E045,2020-05-22,8,4,1,8,0,0,0,0,,8,0,0,0,7,0,0,0,8,0,0,0,1,1,-0.28,1,1,0,,,
E046,2020-05-28,8,4,1,8,0,0,0,0,,8,0,0,0,8,0,0,0,8,0,0,0,1,1,-0.05,1,0,0,,,
E047,2020-10-27,8,4,1,8,0,0,0,0,,7,1,0,0,8,0,0,0,8,0,0,0,1,0,-1.17,1,0,0,,,
E048,2020-11-05,8,4,1,8,0,0,0,0,,8,0,0,6,8,0,0,0,8,0,0,0,1,1,0.0,1,0,0,,,
E049,2021-08-05,8,4,1,8,0,0,1,0,,8,0,0,0,8,0,0,0,8,0,0,0,1,1,-0.01,1,0,0,,2021-03-31(與 2021-09-30 同值),
E050,2021-02-12,8,4,1,8,0,0,0,0,,8,0,0,0,8,0,0,0,8,0,0,0,1,1,0.0,1,0,0,,,
E051,2021-11-10,8,4,1,8,0,0,0,0,,7,0,0,0,8,0,0,0,8,0,0,0,1,1,0.04,1,0,0,,,
E052,2021-08-04,8,4,1,8,0,0,0,0,,8,0,0,0,8,0,0,0,8,0,0,0,1,1,-0.01,1,1,0,,,
E053,2021-02-22,8,4,1,8,0,0,0,0,,8,0,0,0,8,0,0,0,8,0,0,0,1,1,0.0,1,0,0,,,
E054,2021-08-03,8,4,1,8,0,0,0,0,,8,0,0,0,8,0,0,0,8,0,0,0,1,1,0.0,1,1,0,,,
E055,2021-08-06,8,4,1,8,0,0,0,0,,8,0,0,0,8,0,0,0,8,0,0,0,1,1,0.01,1,0,0,,,
B028,2021-08-24,8,4,1,8,0,0,0,0,,8,0,0,0,7,0,0,0,8,0,0,0,1,1,0.0,1,0,0,,,
E057,2022-07-29,8,4,1,8,0,0,0,0,,8,0,0,0,8,0,0,0,8,0,0,0,1,0,-4.93,1,0,0,,,
E058,2022-01-28,8,4,1,8,0,0,0,0,,8,0,0,0,8,0,0,0,8,0,0,0,1,1,0.04,1,0,0,,,
E059,2022-02-24,8,4,1,8,0,0,1,0,,8,0,0,0,8,0,0,0,8,0,0,0,1,1,0.31,1,0,0,,2021-09-30(與 2022-03-31 同值),
E060,2022-05-05,8,4,1,8,0,0,0,0,,8,0,0,0,8,0,0,0,8,0,0,0,1,1,-0.02,1,1,0,,,
E061,2022-05-17,8,4,1,8,0,0,0,0,,8,0,0,0,8,0,0,0,8,0,0,0,1,1,0.0,1,0,0,,,
E062,2022-11-02,8,4,1,8,0,0,0,0,,8,0,0,0,7,0,0,0,8,0,0,0,1,1,0.02,1,1,0,,,
E063,2022-05-25,8,4,1,8,0,0,0,0,,8,0,0,0,8,0,0,0,8,0,0,0,1,1,0.0,1,0,0,,,
E064,2022-11-15,8,4,1,8,0,0,0,0,,8,0,0,0,7,0,0,0,8,0,0,0,1,1,-0.31,1,0,0,,,
E065,2023-10-20,8,4,1,8,0,0,0,0,,8,0,0,0,8,0,0,0,8,0,0,0,1,1,-0.15,1,0,0,,,
E066,2023-04-20,8,4,1,8,0,0,0,0,,8,0,0,0,8,0,0,0,8,0,0,0,1,1,0.0,1,0,0,,,
B033,2023-02-16,8,4,1,8,0,0,0,0,,8,0,0,0,6,0,0,0,8,0,0,0,1,1,0.02,1,0,0,,,
E068,2023-07-25,8,4,1,8,0,0,0,0,,8,0,0,0,8,0,0,0,8,0,0,0,1,1,-0.01,1,0,0,,,
E069,2023-10-27,8,4,1,8,0,0,0,0,,8,0,0,0,7,0,0,0,8,0,0,0,1,1,-0.3,1,0,0,,,
B034,2023-05-11,8,4,1,8,0,0,0,0,,8,0,0,0,6,0,0,0,8,0,0,0,1,1,0.07,1,0,0,,,
E071,2023-11-30,8,4,1,8,0,0,0,0,,8,0,0,0,8,0,0,0,8,0,0,0,1,1,0.0,1,0,0,,,
E072,2023-05-04,8,4,1,8,0,0,0,0,,8,0,0,0,8,0,0,0,8,0,0,0,1,1,0.0,1,0,0,,,
E073,2024-11-22,8,4,1,8,0,0,0,0,,8,0,0,0,7,0,0,0,8,0,0,0,1,0,-2.74,1,0,0,,,
E074,2024-05-03,8,4,1,8,0,0,0,0,,8,0,0,0,7,0,0,0,8,0,0,0,1,1,0.05,1,0,0,,,
E075,2024-03-01,8,4,1,8,0,0,0,0,,8,0,0,0,7,0,0,0,8,0,0,0,1,1,-0.01,1,0,0,,,
E076,2024-12-13,8,4,1,8,0,0,0,0,,8,0,0,0,8,0,0,0,8,0,0,0,1,1,0.0,1,1,0,,,
E077,2024-11-08,8,4,1,8,0,0,0,0,,8,0,0,0,8,0,0,0,8,0,0,0,1,1,-0.0,1,0,0,,,
E078,2024-10-31,8,4,1,8,0,0,1,0,,8,0,0,0,8,0,0,0,8,0,0,0,1,1,0.0,1,0,0,,2023-12-31(與 2024-12-31 同值),
E079,2024-10-25,8,4,1,8,0,0,1,0,,8,0,0,0,7,0,0,0,8,0,0,0,1,1,0.0,1,1,0,,2023-03-31(與 2025-09-30 同值),
E080,2024-08-09,8,4,1,8,0,0,0,0,,8,0,0,0,6,0,0,1,8,0,0,0,1,1,0.0,1,0,0,,,
E081,2025-05-07,8,4,1,8,0,0,0,0,,8,0,0,0,8,0,0,0,8,0,0,0,1,1,-0.05,1,0,0,,,
E082,2025-02-27,8,4,1,8,0,0,0,0,,8,0,0,0,6,0,0,0,8,0,0,0,1,1,-0.02,1,1,0,,,
E083,2025-05-08,8,4,1,8,0,0,0,0,,8,0,0,0,6,0,0,0,8,0,0,0,1,1,0.01,1,0,0,,,
E084,2025-02-28,8,4,1,8,0,0,0,0,,8,0,0,0,6,0,0,0,8,0,0,0,1,1,0.0,1,0,0,,,
