ticker,name,asof,price,price_date,is_closing_price,market_state,stale,stale_lag_days,latest_filing,latest_report,expired,ocf_ttm,mdd_1y,old_debt,old_finance_lease,old_cash,old_investments,old_lease_debt,old_net_debt,old_shares,old_net_debt_to_ocf,old_debt_gate,old_wacc,old_wacc_raw,old_wacc_net_cash,old_weight_debt,old_de_ratio,old_de_capped,old_equity_premium_levered,old_cost_of_equity,old_wacc_floor,old_wacc_floor_binding,old_n1_implied_g5,old_n2_per_share,old_n2_upside,old_n2_terminal_share,old_n3_ret_1y,old_stress_drop,old_odds,old_pass_bottom_line,new_debt,new_finance_lease,new_cash,new_investments,new_lease_debt,new_net_debt,new_shares,new_net_debt_to_ocf,new_debt_gate,new_wacc,new_wacc_raw,new_wacc_net_cash,new_weight_debt,new_de_ratio,new_de_capped,new_equity_premium_levered,new_cost_of_equity,new_wacc_floor,new_wacc_floor_binding,new_n1_implied_g5,new_n2_per_share,new_n2_upside,new_n2_terminal_share,new_n3_ret_1y,new_stress_drop,new_odds,new_pass_bottom_line
ORCL,Oracle Corporation,2026-05-31,162.52000427246094,2026-09-08,True,pre,False,0.0,2026-06-22,2026-05-31,False,31977000000.0,-0.6497730863261855,137242000000.0,7701000000.0,31289000000.0,605000000.0,30190000000.0,136086000000.0,2914000000.0,4.255746317665822,False,0.09,0.08780237388476134,False,0.22468290310890346,0.28979485169338803,False,0.05,0.09806000232696534,0.09090620179176331,False,0.2511787414550781,111.10562083877457,-0.31635726114978047,0.6460867364039173,0.17900361204255932,-0.6497730863261855,-0.4868734452183349,True,137242000000.0,7701000000.0,31289000000.0,605000000.0,30190000000.0,136086000000.0,2914000000.0,4.255746317665822,False,0.095,0.09645266565445414,False,0.22468290310890346,0.28979485169338803,False,0.06115710179019545,0.10921710411716079,0.09090620179176331,False,0.2765464782714844,98.08929085422048,-0.3964478939480207,0.6246198332687666,0.17900361204255932,-0.6497730863261855,-0.6101328329702537,True
AGX,ARGAN INC,2026-07-31,436.7799987792969,2026-09-08,True,pre,False,0.0,2026-09-02,2026-07-31,False,555177000.0,-0.4931438154314579,0.0,0.0,364481000.0,480557000.0,6387000.0,-838651000.0,14164000.0,-1.510601123605625,True,0.1,0.09806000232696534,True,0.0,0.0,False,0.05,0.09806000232696534,0.09090620179176331,False,0.2976417541503906,427.67879520647756,-0.02083704290090016,0.8322499685523571,0.2535560823332952,-0.4931438154314579,-0.04225348113241481,True,0.0,0.0,364481000.0,480557000.0,6387000.0,-838651000.0,14164000.0,-1.510601123605625,True,0.1,0.09806000232696534,True,0.0,0.0,False,0.05,0.09806000232696534,0.09090620179176331,False,0.2976417541503906,427.67879520647756,-0.02083704290090016,0.8322499685523571,0.2535560823332952,-0.4931438154314579,-0.04225348113241481,True
DOCN,"DigitalOcean Holdings, Inc.",2026-06-30,126.69000244140625,2026-09-08,True,pre,False,0.0,2026-08-04,2026-06-30,False,309956000.0,-0.4215345213176544,1330887000.0,409834000.0,767026000.0,0.0,479087000.0,1042948000.0,126548000.0,3.36482597529972,False,0.095,0.09456065527881538,False,0.07664963282633448,0.08301251134058203,False,0.05,0.09806000232696534,0.09090620179176331,False,0.7625389099121094,17.3879913580311,-0.8627516692481477,0.767411414663122,-0.39990905381802544,-0.6037591427052458,-1.4289666329232578,False,1330887000.0,409834000.0,767026000.0,0.0,479087000.0,1042948000.0,126548000.0,3.36482597529972,False,0.1,0.09751166614262925,False,0.07664963282633448,0.08301251134058203,False,0.05319598168661241,0.10125598401357774,0.09090620179176331,False,0.8051033020019531,15.075788456002126,-0.8810025403308787,0.7522137679258232,-0.39990905381802544,-0.6037591427052458,-1.4591953612220208,False
FN,FABRINET,2026-06-26,416.30999755859375,2026-09-08,True,pre,False,0.0,2026-08-18,2026-06-26,False,256725000.0,-0.4708427458536124,0.0,0.0,346711000.0,528344000.0,4013000.0,-871042000.0,36252000.0,-3.3928990164572985,True,0.1,0.09806000232696534,True,0.0,0.0,False,0.05,0.09806000232696534,0.09090620179176331,False,0.3628501892089844,409.82709489380414,-0.015572296372433736,1.1726346251530275,0.43026626797216583,-0.4708427458536124,-0.03307324262626581,True,0.0,0.0,346711000.0,528344000.0,4013000.0,-871042000.0,36252000.0,-3.3928990164572985,True,0.1,0.09806000232696534,True,0.0,0.0,False,0.05,0.09806000232696534,0.09090620179176331,False,0.3628501892089844,409.82709489380414,-0.015572296372433736,1.1726346251530275,0.43026626797216583,-0.4708427458536124,-0.03307324262626581,True
MTZ,MASTEC INC,2026-06-30,246.17999267578125,2026-09-08,True,pre,False,0.0,2026-07-30,2026-06-30,False,582025000.0,-0.4690864355224016,3128535000.0,388300000.0,315641000.0,0.0,495216000.0,3431125000.0,78870000.0,5.895150551952236,False,0.09,0.09172462462792252,False,0.1387699955923237,0.161130005784883,False,0.05,0.09806000232696534,0.09090620179176331,False,,-46.557918248599975,-1.1891214543576525,-49.82962326624879,0.1609799173328481,-0.4690864355224016,-2.5349730120278973,True,3128535000.0,388300000.0,315641000.0,0.0,495216000.0,3431125000.0,78870000.0,5.895150551952236,False,0.095,0.097067269458227,False,0.1387699955923237,0.161130005784883,False,0.056203505222718,0.10426350754968333,0.09090620179176331,False,,-60.3385168466864,-1.2450991901935433,-8.019288207150339,0.1609799173328481,-0.4690864355224016,-2.6543065326690365,True
AMKR,"AMKOR TECHNOLOGY, INC.",2026-03-31,50.720001220703125,2026-09-08,True,pre,True,91.0,2026-07-28,2026-06-30,False,1216544000.0,-0.5432389294675344,1560027000.0,135525000.0,1121183000.0,727317000.0,67764000.0,-185078000.0,249570000.0,-0.15213424257568983,True,0.095,0.0930508539957907,False,0.1097202921214031,0.12324249463446732,False,0.05,0.09806000232696534,0.09090620179176331,False,0.4362297058105469,25.4893939092211,-0.4974488703518264,0.8145766356566727,-0.004975124378109319,-0.5432389294675344,-0.9157091720937784,False,1560027000.0,135525000.0,1121183000.0,727317000.0,67764000.0,-185078000.0,249570000.0,-0.15213424257568983,True,0.095,0.09727508524246473,False,0.1097202921214031,0.12324249463446732,False,0.054744836043426996,0.10280483837039234,0.09090620179176331,False,0.4362297058105469,25.4893939092211,-0.4974488703518264,0.8145766356566727,-0.004975124378109319,-0.5432389294675344,-0.9157091720937784,False
CRNC,CERENCE INC.,2026-06-30,8.260000228881836,2026-09-08,True,pre,False,0.0,2026-08-06,2026-06-30,False,84713000.0,-0.5518797028064053,173458000.0,0.0,127607000.0,0.0,13594000.0,59445000.0,47744000.0,0.7017222858357041,True,0.085,0.08411373624673099,False,0.3054787535044508,0.43984076087787255,False,0.05,0.09806000232696534,0.09090620179176331,False,0.11045455932617188,13.550597604127232,0.6405081390611038,1.0726514521988635,0.19685274537499042,-0.5518797028064053,1.1605937594805669,True,173458000.0,0.0,127607000.0,0.0,13594000.0,59445000.0,47744000.0,0.7017222858357041,True,0.095,0.09587466825665236,False,0.3054787535044508,0.43984076087787255,False,0.0669338692937981,0.11499387162076344,0.09090620179176331,False,0.19451522827148438,10.091039360594543,0.22167543353210983,1.0948093396805356,0.19685274537499042,-0.5518797028064053,0.40167346688934435,True
MOD,MODINE MANUFACTURING CO,2026-06-30,192.35000610351562,2026-09-08,True,pre,False,0.0,2026-07-30,2026-06-30,False,262400000.0,-0.4211932731460838,523800000.0,2100000.0,95300000.0,0.0,143200000.0,580000000.0,54000000.0,2.2103658536585367,True,0.095,0.0958682584427084,False,0.048007917381751676,0.05042890404058433,False,0.05,0.09806000232696534,0.09090620179176331,False,0.3611946105957031,155.10211628959772,-0.19364641867426025,1.0456463400483946,0.10619307821549584,-0.4211932731460838,-0.45975667471568865,False,523800000.0,2100000.0,95300000.0,0.0,143200000.0,580000000.0,54000000.0,2.2103658536585367,True,0.1,0.09771656326190584,False,0.048007917381751676,0.05042890404058433,False,0.0519415128055625,0.10000151513252784,0.09090620179176331,False,0.4040260314941406,136.20487267802645,-0.29189046864533996,1.0523884746483494,0.10619307821549584,-0.4211932731460838,-0.6930083817936539,False
FSLR,"First Solar, Inc.",2026-06-30,213.25,2026-09-08,True,pre,False,0.0,2026-07-30,2026-06-30,False,2155743000.0,-0.3739512788902935,74501000.0,36866000.0,1688279000.0,38685000.0,119509000.0,-1532954000.0,107732000.0,-0.7111023902199844,True,0.1,0.09806000232696534,True,0.0,0.0,False,0.05,0.09806000232696534,0.09090620179176331,False,0.022548675537109375,461.0167982362358,1.1618607185755487,0.6494148130058524,0.15429935519560956,-0.3739512788902935,3.106984209342429,True,74501000.0,36866000.0,1688279000.0,38685000.0,119509000.0,-1532954000.0,107732000.0,-0.7111023902199844,True,0.1,0.09806000232696534,True,0.0,0.0,False,0.05,0.09806000232696534,0.09090620179176331,False,0.022548675537109375,461.0167982362358,1.1618607185755487,0.6494148130058524,0.15429935519560956,-0.3739512788902935,3.106984209342429,True
CRUS,"CIRRUS LOGIC, INC.",2026-06-27,110.76000213623047,2026-09-08,True,pre,False,0.0,2026-08-05,2026-06-27,False,598595000.0,-0.3936276855341728,0.0,0.0,810666000.0,356652000.0,130464000.0,-1036854000.0,52353000.0,-1.7321461088047845,True,0.1,0.09806000232696534,True,0.0,0.0,False,0.05,0.09806000232696534,0.09090620179176331,False,0.045085906982421875,116.22710596958167,0.04935991086951108,0.49957468363077084,0.23435174251673918,-0.3936276855341728,0.12539745725082108,True,0.0,0.0,810666000.0,356652000.0,130464000.0,-1036854000.0,52353000.0,-1.7321461088047845,True,0.1,0.09806000232696534,True,0.0,0.0,False,0.05,0.09806000232696534,0.09090620179176331,False,0.045085906982421875,116.22710596958167,0.04935991086951108,0.49957468363077084,0.23435174251673918,-0.3936276855341728,0.12539745725082108,True
IPGP,IPG PHOTONICS CORP,2026-06-30,79.55999755859375,2026-09-08,True,pre,False,0.0,2026-08-04,2026-06-30,False,96444000.0,-0.5403807668079161,0.0,0.0,399225000.0,504787000.0,16254000.0,-887758000.0,42912927.0,-9.204906474223383,True,0.1,0.09806000232696534,True,0.0,0.0,False,0.05,0.09806000232696534,0.09090620179176331,False,,12.021821510401123,-0.84889615536316,-0.18335298296463765,0.23208387914978412,-0.5403807668079161,-1.5709222228201707,True,0.0,0.0,399225000.0,504787000.0,16254000.0,-887758000.0,42912927.0,-9.204906474223383,True,0.1,0.09806000232696534,True,0.0,0.0,False,0.05,0.09806000232696534,0.09090620179176331,False,,12.021821510401123,-0.84889615536316,-0.18335298296463765,0.23208387914978412,-0.5403807668079161,-1.5709222228201707,True
IREN,IREN Limited,2026-06-30,46.93000030517578,2026-09-08,True,pre,False,0.0,2026-08-27,2026-06-30,False,2100418000.0,-0.6164114898416528,7836740000.0,243796000.0,5895591000.0,0.0,2786000.0,1943935000.0,316123145.0,0.9254991149380742,True,0.08,0.08227971545881889,False,0.34565111081998146,0.528236719791984,False,0.05,0.09806000232696534,0.09090620179176331,False,,-404.86591575617297,-9.627017113220036,0.6554220660508794,-0.052156190929710466,-0.6164114898416528,-15.617841769453515,False,7836740000.0,243796000.0,5895591000.0,0.0,2786000.0,1943935000.0,316123145.0,0.9254991149380742,True,0.095,0.09558728322538818,False,0.34565111081998146,0.528236719791984,False,0.07033711371199139,0.11839711603895672,0.09090620179176331,False,,-310.3126798930641,-7.612245426702897,0.5880841562163697,-0.052156190929710466,-0.6164114898416528,-12.349291913196446,False
GNRC,GENERAC HOLDINGS INC.,2026-06-30,190.2100067138672,2026-09-08,True,pre,False,0.0,2026-08-04,2026-06-30,False,548133000.0,-0.3883738604569995,1387641000.0,90365000.0,264921000.0,0.0,51881000.0,1174606000.0,59635447.0,2.1429215172230096,True,0.095,0.09308383516267878,False,0.10899787325371989,0.12233177675091891,False,0.05,0.09806000232696534,0.09090620179176331,False,0.5042686462402344,42.24906329494319,-0.7778820156475866,0.45290417860743687,0.07241197578217595,-0.3883738604569995,-2.0029206258429775,False,1387641000.0,90365000.0,264921000.0,0.0,51881000.0,1174606000.0,59635447.0,2.1429215172230096,True,0.095,0.09728025328294698,False,0.10899787325371989,0.12233177675091891,False,0.05470977340491038,0.1027697757318757,0.09090620179176331,False,0.5042686462402344,42.24906329494319,-0.7778820156475866,0.45290417860743687,0.07241197578217595,-0.3883738604569995,-2.0029206258429775,False
CDNS,"CADENCE DESIGN SYSTEMS, INC.",2026-03-31,284.1099853515625,2026-09-08,True,pre,True,91.0,2026-07-29,2026-06-30,False,1597542000.0,-0.3130478674268198,425000000.0,0.0,1406668000.0,79640000.0,227073000.0,-834235000.0,273725000.0,-0.522199103372556,True,0.1,0.09806000232696534,True,0.0,0.0,False,0.05,0.09806000232696534,0.09090620179176331,False,0.4810905456542969,90.70289820108361,-0.6807472356564789,0.5715064498766292,0.18663278690635354,-0.3130478674268198,-2.1745787353610226,True,425000000.0,0.0,1406668000.0,79640000.0,227073000.0,-834235000.0,273725000.0,-0.522199103372556,True,0.1,0.09806000232696534,True,0.0,0.0,False,0.05,0.09806000232696534,0.09090620179176331,False,0.4810905456542969,90.70289820108361,-0.6807472356564789,0.5715064498766292,0.18663278690635354,-0.3130478674268198,-2.1745787353610226,True
TTMI,"TTM TECHNOLOGIES, INC.",2026-06-29,129.35000610351562,2026-09-08,True,pre,False,0.0,2026-08-05,2026-06-29,False,322905000.0,-0.5404795408762887,992669000.0,15213000.0,507905000.0,0.0,114528000.0,599292000.0,107583000.0,1.855939053281925,True,0.095,0.09502019153573084,False,0.06658395917970959,0.07133363502216579,False,0.05,0.09806000232696534,0.09090620179176331,False,0.4784202575683594,68.20352016213124,-0.4727211678092258,1.030014774567559,-0.11236247102446506,-0.5404795408762887,-0.8746328622223052,False,992669000.0,15213000.0,507905000.0,0.0,114528000.0,599292000.0,107583000.0,1.855939053281925,True,0.1,0.09758367396414967,False,0.06658395917970959,0.07133363502216579,False,0.05274634494835339,0.10080634727531873,0.09090620179176331,False,0.5257911682128906,59.88697144561836,-0.5370160910723708,1.0352346268157648,-0.11236247102446506,-0.5404795408762887,-0.9935918947120504,False
CENX,Century Aluminum Company,2026-06-30,47.95000076293945,2026-09-08,True,pre,False,0.0,2026-08-06,2026-06-30,False,340800000.0,-0.3965391591423881,480000000.0,0.0,343400000.0,0.0,24600000.0,292600000.0,104800000.0,0.8585680751173709,True,0.095,0.09407940522558697,False,0.08719092506458624,0.09551934512784668,False,0.05,0.09806000232696534,0.09090620179176331,False,-0.046077728271484375,84.84780348203951,0.7695057796040403,0.5593915779237001,-0.0061315345556002265,-0.3965391591423881,1.9405543232307316,False,480000000.0,0.0,343400000.0,0.0,24600000.0,292600000.0,104800000.0,0.8585680751173709,True,0.095,0.09743625584057353,False,0.08719092506458624,0.09551934512784668,False,0.0536774947874221,0.10173749711438743,0.09090620179176331,False,-0.046077728271484375,84.84780348203951,0.7695057796040403,0.5593915779237001,-0.0061315345556002265,-0.3965391591423881,1.9405543232307316,False
CLS,CELESTICA INC,2026-06-30,329.9700012207031,2026-09-08,True,pre,False,0.0,2026-07-27,2026-06-30,False,1144000000.0,-0.4120025558795015,885900000.0,75500000.0,535700000.0,0.0,170800000.0,521000000.0,116200000.0,0.4554195804195804,True,0.095,0.097028997052373,False,0.022583120408504954,0.023104901173738087,False,0.05,0.09806000232696534,0.09090620179176331,False,0.2764930725097656,604.8466011196795,0.8330351210173281,1.4698659889724726,0.20408964563560406,-0.4120025558795015,2.0219173622334665,True,885900000.0,75500000.0,535700000.0,0.0,170800000.0,521000000.0,116200000.0,0.4554195804195804,True,0.1,0.09789844718810044,False,0.022583120408504954,0.023104901173738087,False,0.05088953869518892,0.09894954102215425,0.09090620179176331,False,0.3243446350097656,515.0278112125387,0.560832225072661,1.5373985408583342,0.20408964563560406,-0.4120025558795015,1.3612348201953575,True
VIAV,Viavi Solutions Inc.,2026-06-27,38.75,2026-09-08,True,pre,False,0.0,2026-08-13,2026-06-27,False,113900000.0,-0.4174950573714454,641900000.0,0.0,647800000.0,5000000.0,43000000.0,32100000.0,229500000.0,0.28182616330114135,True,0.1,0.09806000232696534,True,0.0,0.0,False,0.05,0.09806000232696534,0.09090620179176331,False,0.9574165344238281,9.782549617121859,-0.7475471066549197,2.0913572641914953,-0.06928178553297593,-0.4485036564061332,-1.6667581099450255,False,641900000.0,0.0,647800000.0,5000000.0,43000000.0,32100000.0,229500000.0,0.28182616330114135,True,0.1,0.09806000232696534,True,0.0,0.0,False,0.05,0.09806000232696534,0.09090620179176331,False,0.9574165344238281,9.782549617121859,-0.7475471066549197,2.0913572641914953,-0.06928178553297593,-0.4485036564061332,-1.6667581099450255,False
ALB,ALBEMARLE CORPORATION,2026-06-30,129.57000732421875,2026-09-08,True,pre,False,0.0,2026-08-05,2026-06-30,False,1800328000.0,-0.4751878015737457,1981633000.0,104849000.0,1631688000.0,1109241000.0,122154000.0,-378457000.0,136212000.0,-0.21021558293822015,True,0.095,0.09345143343619751,False,0.10094600748987637,0.11228025049756918,False,0.05,0.09806000232696534,0.09090620179176331,False,,12.851857803406922,-0.9008114758282899,2.503021291851329,0.23724554930368535,-0.4751878015737457,-1.8956957077705845,True,1981633000.0,104849000.0,1631688000.0,1109241000.0,122154000.0,-378457000.0,136212000.0,-0.21021558293822015,True,0.095,0.09733785472455773,False,0.10094600748987637,0.11228025049756918,False,0.05432278964415641,0.10238279197112174,0.09090620179176331,False,,12.851857803406922,-0.9008114758282899,2.503021291851329,0.23724554930368535,-0.4751878015737457,-1.8956957077705845,True
