entity_id,ticker,signal_date,entry_date,entry_price,stop_price,target_price,reward_risk,exit_date,exit_price,exit_reason,exit_reason_name,holding_days,return_pct,r_multiple
5,NVDA,2024-01-16,2024-01-17,56.24702,47.23604,70.73686,1.60802043728873,2024-02-09,70.73686,target,目標,17,0.25761080320344076,1.60802043728873
7,GOOGL,2024-01-19,2024-01-22,145.8071,133.9621,162.2611,1.389109328830731,2024-03-04,133.9621,stop,止蝕,29,-0.08123747060328335,-1.0
8,META,2024-01-19,2024-01-22,384.5728,343.2457,442.9602,1.4128114481780734,2024-02-02,455.5992,target,目標,9,0.1846890887759094,1.7186398271352228
4,MSFT,2024-01-24,2024-01-25,395.8688,368.454,434.2787,1.401064388578431,2024-06-12,434.2787,target,目標,96,0.09702684323695121,1.401064388578431
5,NVDA,2024-01-24,2024-01-25,62.23936,53.39409,76.5509,1.6179879189668604,2024-02-22,76.5509,target,目標,19,0.22994355983094938,1.6179879189668604
7,GOOGL,2024-01-24,2024-01-25,148.751,137.6792,167.7029,1.711727090445998,2024-02-02,137.6792,stop,止蝕,6,-0.07443176852592581,-1.0
8,META,2024-01-24,2024-01-25,386.7735,355.4882,463.3213,2.4467657334275197,2024-02-02,463.3213,target,目標,6,0.1979137660672201,2.4467657334275197
7,GOOGL,2024-01-25,2024-01-26,149.772,137.6792,172.29220000000004,1.8622816882773285,2024-02-02,137.6792,stop,止蝕,5,-0.08074139358491561,-1.0
6,AMZN,2024-01-26,2024-01-29,159.34,149.91,178.10999999999999,1.9904559915164335,2024-03-01,178.10999999999999,target,目標,23,0.1177984184762142,1.9904559915164335
4,MSFT,2024-01-29,2024-01-30,403.6428,376.7666,444.34389999999996,1.5143919155237675,2024-06-24,444.34389999999996,target,目標,100,0.10083445065785868,1.5143919155237675
6,AMZN,2024-01-29,2024-01-30,160.7,149.91,182.45999999999998,2.016682113067656,2024-04-01,182.45999999999998,target,目標,42,0.13540759178593653,2.016682113067656
7,GOOGL,2024-01-29,2024-01-30,151.457,137.6792,177.08960000000002,1.860427644471545,2024-02-02,137.6792,stop,止蝕,3,-0.09096839366949028,-1.0
8,META,2024-01-29,2024-01-30,400.0767,355.4882,479.9355,1.7910178633504144,2024-02-02,479.9355,target,目標,3,0.19960872502697602,1.7910178633504144
5,NVDA,2024-02-02,2024-02-05,68.10395,58.48105,84.49676,1.703520768167601,2024-03-04,84.49676,target,目標,19,0.24070277862003597,1.703520768167601
