threshold,tilt,cadence,層,annual_excess:SPY,舊裁決,新裁決,變了,舊鄰域格數,舊鄰域平均,舊落差,新鄰域格數,新鄰域平均,新落差,換層最差鄰域平均,換層代價,成交筆數
18.0,0.75,quarterly,cadence=quarterly,-0.010766082142172,普通,普通,,17,-0.005476372839018111,-0.005289709303153888,8,-0.00839169698839519,-0.0023743851537768104,-0.0025610486896410333,-0.005830648298754156,188
20.0,0.75,quarterly,cadence=quarterly,-0.0111337908161355,普通,普通,,17,-0.012015883548918823,0.0008820927327833229,8,-0.014064210394434321,0.0029304195782988204,-0.009967556703403322,-0.0040966536910309985,188
20.0,1.0,monthly,cadence=monthly,-0.0116831682608129,普通,普通,,11,-0.015120143010527824,0.0034369747497149244,5,-0.012007485677608933,0.00032431741679603276,-0.01823280034344672,0.006225314665837787,169
22.0,0.75,monthly,cadence=monthly,-0.0156142797454881,普通,普通,,17,-0.012148135520634628,-0.0034661442248534718,8,-0.008093815633582834,-0.007520464111905266,-0.016202455407686424,0.00810863977410359,560
25.0,0.75,quarterly,cadence=quarterly,-0.0171627223447665,普通,普通,,11,-0.013262551642692758,-0.003900170702073741,5,-0.01860658638517675,0.001443864040410251,-0.007918516900208767,-0.010688069484967982,188
18.0,1.0,quarterly,cadence=quarterly,-0.0173793062277858,普通,普通,,11,-0.006772420049072458,-0.010606886178713342,5,-0.01094885544371685,-0.006430450784068951,-0.0025959846544280664,-0.008352870789288784,82
20.0,1.0,quarterly,cadence=quarterly,-0.0185306795350039,普通,普通,,11,-0.015120143010527824,-0.003410536524476076,5,-0.01823280034344672,-0.00029787919155718073,-0.012007485677608933,-0.006225314665837787,72
22.0,0.75,quarterly,cadence=quarterly,-0.0195268425875385,普通,普通,,17,-0.012148135520634628,-0.007378707066903871,8,-0.016202455407686424,-0.0033243871798520758,-0.008093815633582834,-0.00810863977410359,188
22.0,1.0,monthly,cadence=monthly,-0.0236969425316815,普通,普通,,11,-0.015283977820799292,-0.008412964710882207,5,-0.0095929975100469,-0.0141039450216346,-0.020974958131551685,0.011381960621504785,154
25.0,1.0,quarterly,cadence=quarterly,-0.0274356127538211,普通,普通,,7,-0.0167240894005705,-0.0107115233532506,3,-0.024046319609542677,-0.003389293144278424,-0.009401859191598324,-0.014644460417944353,54
22.0,1.0,quarterly,cadence=quarterly,-0.0320601007520446,普通,普通,,11,-0.015283977820799292,-0.016776122931245308,5,-0.020974958131551685,-0.011085142620492917,-0.0095929975100469,-0.011381960621504785,68
