threshold,tilt,cadence,value,trades,verdict,neighbours,valid_neighbours,neighbourhood_mean,neighbour_mean,lift,peak_over_neighbourhood,is_local_peak,layer,siblings,weakest_sibling_mean,layer_drop
18.0,1.0,monthly,-0.0072867309084543,211,普通,5,5,-0.0025959846544280664,-0.0016578354036228197,-0.004690746254026233,,False,cadence=monthly,1,-0.01094885544371685,0.008352870789288784
18.0,1.0,quarterly,-0.0173793062277858,82,普通,5,5,-0.01094885544371685,-0.00966276528690306,-0.006430450784068951,,False,cadence=quarterly,1,-0.0025959846544280664,-0.008352870789288784
20.0,0.5,monthly,-0.0053826910071048,560,普通,5,5,-0.007840194771613533,-0.00833169552451528,0.002457503764508734,,False,cadence=monthly,1,-0.0097679678391791,0.0019277730675655667
20.0,0.5,quarterly,-0.0045181100069779,188,孤峰,5,5,-0.0097679678391791,-0.010817939405619339,0.0052498578322012004,,True,cadence=quarterly,1,-0.007840194771613533,-0.0019277730675655667
20.0,0.75,monthly,-0.0082673800330752,560,普通,8,8,-0.009967556703403322,-0.010180078787194338,0.0017001766703281223,,False,cadence=monthly,1,-0.014064210394434321,0.0040966536910309985
20.0,0.75,quarterly,-0.0111337908161355,188,普通,8,8,-0.014064210394434321,-0.014430512841721675,0.0029304195782988204,,False,cadence=quarterly,1,-0.009967556703403322,-0.0040966536910309985
20.0,1.0,monthly,-0.0116831682608129,169,普通,5,5,-0.012007485677608933,-0.012072349160968141,0.00032431741679603276,,False,cadence=monthly,1,-0.01823280034344672,0.006225314665837787
20.0,1.0,quarterly,-0.0185306795350039,72,普通,5,5,-0.01823280034344672,-0.01817322450513528,-0.00029787919155718073,,False,cadence=quarterly,1,-0.012007485677608933,-0.006225314665837787
22.0,0.5,monthly,-0.0080511450954825,560,普通,5,5,-0.00650159417733755,-0.00619168399370856,-0.0015495509181449492,,False,cadence=monthly,1,-0.0112992842713847,0.004797690094047149
22.0,0.5,quarterly,-0.0077134451323952,188,普通,5,5,-0.0112992842713847,-0.0120164520991826,0.003585839138989499,,False,cadence=quarterly,1,-0.00650159417733755,-0.004797690094047149
22.0,0.75,monthly,-0.0156142797454881,560,普通,8,8,-0.008093815633582834,-0.007153757619594675,-0.007520464111905266,,False,cadence=monthly,1,-0.016202455407686424,0.00810863977410359
22.0,0.75,quarterly,-0.0195268425875385,188,普通,8,8,-0.016202455407686424,-0.015786907010204913,-0.0033243871798520758,,False,cadence=quarterly,1,-0.008093815633582834,-0.00810863977410359
22.0,1.0,monthly,-0.0236969425316815,154,普通,5,5,-0.0095929975100469,-0.00677220850571998,-0.0141039450216346,,False,cadence=monthly,1,-0.020974958131551685,0.011381960621504785
22.0,1.0,quarterly,-0.0320601007520446,68,普通,5,5,-0.020974958131551685,-0.0187579296074531,-0.011085142620492917,,False,cadence=quarterly,1,-0.0095929975100469,-0.011381960621504785
25.0,0.5,monthly,-0.0018525195393768,560,普通,3,3,-0.006339873505961325,-0.0078356581614895,0.0044873539665845254,,False,cadence=monthly,1,-0.0130359512012987,0.006696077695337375
25.0,0.5,quarterly,-0.0077407947404946,188,普通,3,3,-0.0130359512012987,-0.014801003354900066,0.0052951564608041,,False,cadence=quarterly,1,-0.006339873505961325,-0.006696077695337375
25.0,0.75,monthly,0.0001584503565021,560,普通,5,5,-0.007918516900208767,-0.009533910351550939,0.008076967256710867,,False,cadence=monthly,1,-0.01860658638517675,0.010688069484967982
25.0,0.75,quarterly,-0.0171627223447665,188,普通,5,5,-0.01860658638517675,-0.018895359193258802,0.001443864040410251,,False,cadence=quarterly,1,-0.007918516900208767,-0.010688069484967982
25.0,1.0,monthly,0.0015453351542742,132,孤峰,3,3,-0.009401859191598324,-0.013050923973555832,0.010947194345872524,,True,cadence=monthly,1,-0.024046319609542677,0.014644460417944353
25.0,1.0,quarterly,-0.0274356127538211,54,普通,3,3,-0.024046319609542677,-0.02291655522811653,-0.003389293144278424,,False,cadence=quarterly,1,-0.009401859191598324,-0.014644460417944353
