列型,樣本,event_id,事件,規則,清單家數k,需挑家數,實挑家數,揀到,家數,相對籃子中位,相對大市超額中位,相對籃子勝率
彙總,十四宗,E04,2021-02 重開輪動殺居家股,a,0,0,0,,0,,,
彙總,十四宗,E04,2021-02 重開輪動殺居家股,b,0,0,0,,0,,,
彙總,十四宗,E04,2021-02 重開輪動殺居家股,c,0,0,0,,0,,,
彙總,十四宗,E04,2021-02 重開輪動殺居家股,d,0,0,0,,0,,,
彙總,十四宗,E05,2023-03 地區銀行擠提,a,0,0,0,,0,,,
彙總,十四宗,E05,2023-03 地區銀行擠提,b,0,0,0,,0,,,
彙總,十四宗,E05,2023-03 地區銀行擠提,c,0,0,0,,0,,,
彙總,十四宗,E05,2023-03 地區銀行擠提,d,0,0,0,,0,,,
彙總,十四宗,E06,2023-10 減肥藥殺食品與醫療器械,a,3,3,3,KO、MDLZ、RMD,3,0.1284,0.0068,0.6667
逐家,十四宗,E06,2023-10 減肥藥殺食品與醫療器械,a,3,3,3,KO,1,0.1284,0.0068,1.0
逐家,十四宗,E06,2023-10 減肥藥殺食品與醫療器械,a,3,3,3,MDLZ,1,0.0,-0.1216,0.0
逐家,十四宗,E06,2023-10 減肥藥殺食品與醫療器械,a,3,3,3,RMD,1,0.3869,0.2653,1.0
彙總,十四宗,E06,2023-10 減肥藥殺食品與醫療器械,b,3,3,3,EW、CAG、GIS,3,-0.052,-0.1737,0.0
逐家,十四宗,E06,2023-10 減肥藥殺食品與醫療器械,b,3,3,3,EW,1,-0.1635,-0.2852,0.0
逐家,十四宗,E06,2023-10 減肥藥殺食品與醫療器械,b,3,3,3,GIS,1,-0.0186,-0.1402,0.0
逐家,十四宗,E06,2023-10 減肥藥殺食品與醫療器械,b,3,3,3,CAG,1,-0.052,-0.1737,0.0
彙總,十四宗,E06,2023-10 減肥藥殺食品與醫療器械,c,3,3,3,DVA、DPZ、KHC,3,0.0381,-0.0836,0.6667
逐家,十四宗,E06,2023-10 減肥藥殺食品與醫療器械,c,3,3,3,KHC,1,-0.0046,-0.1263,0.0
逐家,十四宗,E06,2023-10 減肥藥殺食品與醫療器械,c,3,3,3,DPZ,1,0.0381,-0.0836,1.0
