表,區塊,event_id,步〇可信程度,籃子家數,籃子中位_T,籃子中位_N,同SIC中位_T,同SIC中位_N,入卡家數,_ord,宗數,T錨中位,N錨中位,欄,家數,Spearman,p值,註,樣本,錨,損害級,中位,平均,勝率,判詞,事後,版本,測,全樣本,剔走後最低,剔走哪宗_最低,剔走後最高,剔走哪宗_最高,全負,全正
表二 秩相關,,,,,,,,,,,,,,全真情境損害級,44.0,-0.2729,0.0731,相對籃子中位;預期負號,步〇低/中,N,,,,,,,,,,,,,,,
表二 秩相關,,,,,,,,,,,,,,不成立情境損害級,44.0,-0.1038,0.5025,相對籃子中位;預期負號,步〇低/中,N,,,,,,,,,,,,,,,
表二 秩相關,,,,,,,,,,,,,,全真情境損害級,50.0,-0.3764,0.0071,相對籃子中位;預期負號,全樣本,T,,,,,,,,,,,,,,,
表二 秩相關,,,,,,,,,,,,,,不成立情境損害級,50.0,-0.2222,0.1209,相對籃子中位;預期負號,全樣本,T,,,,,,,,,,,,,,,
表二 秩相關,,,,,,,,,,,,,,全真情境損害級,50.0,-0.3563,0.0111,相對籃子中位;預期負號,全樣本,N,,,,,,,,,,,,,,,
表二 秩相關,,,,,,,,,,,,,,不成立情境損害級,50.0,-0.1438,0.319,相對籃子中位;預期負號,全樣本,N,,,,,,,,,,,,,,,
表三 q1判詞,,,,,,,,,,,,,,,3.0,,,已剔模型不適用 3 家:E08 RH、E12 MU、E14 DUOL,,-,,,,,__剔出__,,,,,,,,,,
表三 q1判詞,,,,,,,,,,,,,,,15.0,,,已剔模型不適用 3 家:E08 RH、E12 MU、E14 DUOL,,T,,-0.1216,-0.0026,0.3333,更壞,,,,,,,,,,
表三 q1判詞,,,,,,,,,,,,,,,16.0,,,已剔模型不適用 3 家:E08 RH、E12 MU、E14 DUOL,,T,,-0.173,-0.0009,0.375,相稱,,,,,,,,,,
表三 q1判詞,,,,,,,,,,,,,,,18.0,,,已剔模型不適用 3 家:E08 RH、E12 MU、E14 DUOL,,T,,-0.0364,0.1206,0.5,更好,,,,,,,,,,
表三 q1判詞,,,,,,,,,,,,,,,0.0,,,已剔模型不適用 3 家:E08 RH、E12 MU、E14 DUOL,,T,,,,,資料不足,,,,,,,,,,
