arm,slice,layer,size,n_subindustries,members,top_terms
semantic,2015-06-30,3,4,1,CMG MCD WEN YUM,restaurant restaurants menu franchisees chicken franchisee dining restaurant industry quality food casual
semantic,2015-06-30,4,4,1,ALGT DAL JBLU UAL,flights airline airport faa aircraft airports dot flight airline industry routes
semantic,2015-06-30,5,3,2,CVX FANG MUR,proved proved reserves barrels basin drilling undeveloped acreage wells drilled crude
semantic,2015-06-30,6,4,4,ATO CNP PARR WMB,natural gas ferc pipelines pipeline intrastate gas interstate natural intrastate pipelines gas distribution
semantic,2015-06-30,7,15,4,AEP AES CMS CWEN DUK ED ES EXC FE LNT NEE NRG PCG PNW XEL,ferc utility transmission nuclear electricity electric epa gas natural gas renewable
semantic,2015-06-30,8,4,2,CDE CLF NEM RGLD,ounces silver mines ore ounce mineral royalty gold exploration mineralization
semantic,2015-06-30,9,4,3,BR CBOE CME IBKR,clearing trading trades futures exchanges options futures quotes futures options electronic trading chicago
semantic,2015-06-30,10,7,4,CHRW JBHT NSC ODFL R UNP WAB,freight intermodal railroads rail trailers truckload carriers motor carriers transportation motor carrier
semantic,2015-06-30,11,3,1,AMAT KLAC LRCX,wafer deposition etch film semiconductor defect silicon films semiconductor manufacturers patterning
semantic,2015-06-30,12,9,4,CAG CCK CPB GIS HRL HSY KDP MDLZ SJM,foods foodservice food beverages snacks beverage ingredients baking stores meals
semantic,2015-06-30,13,3,3,COF GME PKG,graph dividends gaap measures high low diluted millions share index non gaap expense income purchases equity
semantic,2015-06-30,14,5,1,DHI KBH LEN NVR TOL,homebuilding homes land development homebuyers mortgage land lots subcontractors mortgage financing homebuilders
semantic,2015-06-30,15,22,7,ACGL AIZ AJG ALL AON BRK-B BRO CB EG ERIE GNW HIG MET MRSH PFG PGR PRU TRV UNM VRSK WRB WTW,reinsurance casualty property casualty insurance insurer insurers premiums underwriting coverages brokers
semantic,2015-06-30,16,15,4,BAC FHN FITB GS JPM KEY MS MTB RF RJF STT TFC USB WFC ZION,fdic banking depository institution bhc federal reserve basel volcker volcker rule bank
semantic,2015-06-30,17,6,1,AMG AMP ARES BEN KKR TROW,funds investment management aum institutional institutional investors assets management advisers managed accounts investment act investors
semantic,2015-06-30,18,4,2,ANET CIEN CSCO VIAV,networking cloud virtualization data center switching ethernet programmable networking solutions architectures provisioning
semantic,2015-06-30,19,3,1,EME FLR J,procurement construction electrical mechanical engineering procurement construction clients projects commissioning refineries construction management fabrication
semantic,2015-06-30,20,9,2,CNC EHC ELV HCA HUM MOH THC UHS UNH,medicare medicaid cms physicians managed care hospital hipaa hospitals physician quality care
semantic,2015-06-30,21,3,3,INTC SANM SMCI,computing server assembly test memory servers oems density chipset ems microprocessors
semantic,2015-06-30,22,19,15,AMD CE DHR FAST HL ISRG MA MCHP MPWR NTAP PAYX PBI PEG RIG ROK SKYW UPS URI V,looking statements forward looking looking forward stockholder matters related stockholder stockholder disclosures matters relationships factors unresolved
semantic,2015-06-30,23,8,2,ABBV BIIB BMY GILD JNJ LLY MRK PRGO,pharmaceutical fda exclusivity generic drug drugs patients clinical prescription nda
semantic,2015-06-30,24,3,2,BSX EW TFX,catheters catheter vascular heart cardiac fda medical devices patients medical device critical care
semantic,2015-06-30,25,3,1,CAH COR HSIC,pharmaceutical specialty pharmaceutical generic pharmaceuticals dea controlled substances pharmaceuticals generic pharmacies pharmacy pharmaceutical manufacturers
semantic,2015-06-30,26,3,1,FTNT GEN PANW,enterprise security threats threat endpoint firewall appliance malware symantec virtual cyber
semantic,2015-06-30,27,8,3,CDW CRM CTSH EPAM MSFT NOW PAYC WDAY,cloud software enterprise software vendors application development cloud solutions user subscription application vendors
semantic,2015-06-30,28,12,7,AAP AZO CPRT DG DLTR HD KMX LKQ ORLY ROST TJX TSCO,merchandise store stores merchandising assortment inventory distribution centers shopping square shop
semantic,2015-06-30,29,5,1,ADI ON QRVO SWKS TXN,analog signal power management semiconductor amplifiers wafer wireless voltage semiconductors high performance
semantic,2015-06-30,30,4,4,CPAY DLX FIS NXH,payment solutions card cards financial institutions check vice president president vice debit financial institution
semantic,2015-06-30,31,11,6,COTY CPRI DECK EL FOSL IFF LULU PG PVH RL UAA,stores apparel fragrance women men department stores lifestyle fragrances footwear commerce
semantic,2015-06-30,32,8,4,A DOV ITW KEYS MTD NDSN PH ROP,measurement industrial food electronics metal fluid food equipment backlog consumables pumps
semantic,2015-06-30,33,8,2,BA GD KTOS LDOS LMT NOC RTX TDG,aircraft missile military defense government contracts dod intelligence isr command control sustainment
machine_v2,2019-06-30,0,5,1,DHI KBH LEN NVR TOL,homebuilding homes land development homebuyers mortgage land lots homebuilders lot subcontractors
machine_v2,2019-06-30,1,4,1,CZR LVS MGM WYNN,casino gaming hotel casinos resort macau table games convention amenities games
machine_v2,2019-06-30,2,3,3,AFL ALL MBI,chief risk risk officer vice president president vice chief officer president chief executive vice chief investment
machine_v2,2019-06-30,3,6,6,APD CWEN PKG STLD SUN VRT,graph performance graph basic diluted diluted income income income financial data income loss cumulative dividends
machine_v2,2019-06-30,4,3,1,AMAT KLAC LRCX,wafer etch metrology deposition semiconductor films defect patterning film mask
machine_v2,2019-06-30,5,7,2,ALB ASH DD ECL EMN FMC PPG,lithium coatings intermediates crop protection polymers solvents chemicals chemical specialty chemistries
machine_v2,2019-06-30,6,3,1,CCL NCLH RCL,guests itineraries ships cruise onboard oceania vacation guest cruises alaska
machine_v2,2019-06-30,7,3,1,EME FIX PWR,remaining performance performance obligations installation piping renovation commercial industrial repair hvac projects construction
machine_v2,2019-06-30,8,4,3,HAS MAT TTWO WBD,games entertainment television children game toys content studios titles brands
machine_v2,2019-06-30,9,8,2,CAG CPB GIS HRL HSY KHC MDLZ SJM,snacks foods food vice president president frozen vice ingredients refrigerated grocery
machine_v2,2019-06-30,10,3,1,KDP KO MNST,drinks juice bottling beverages tea coffee concentrates drink ready drink cola
machine_v2,2019-06-30,11,3,1,EMR IEX PH,valves fittings fluid pneumatic instrumentation air conditioning pumps analytical instrumentation conditioning refrigeration
machine_v2,2019-06-30,12,3,3,CAR EXPE MAR,hotels hotel reservation reservations lodging rentals travel online travel travelers traveler
machine_v2,2019-06-30,13,4,3,CHRW EXPD ODFL R,carriers freight carrier truckload shipments motor carriers motor carrier logistics trailers transportation
machine_v2,2019-06-30,14,6,2,ALGT DAL FDX JBLU LUV UAL,flights airline faa airport aircraft dot flight airports airline industry fares
machine_v2,2019-06-30,15,3,2,CPRT CVNA KMX,vehicle car vehicles auctions auction vehicle sales sales process auto salvage cars
machine_v2,2019-06-30,16,3,1,CMS EXC LNT,megawatt electric opeb asset retirement gas transmission abbreviations registrants hour miso
machine_v2,2019-06-30,17,7,2,FTI HAL HP NBR NOV OII SLB,drilling rig rigs offshore downhole subsea oil gas oil oilfield wells
machine_v2,2019-06-30,18,6,3,CDE CF MOS NEM RGLD SCCO,ounces silver mines mineral ore probable reserves reserves gold exploration proven probable
machine_v2,2019-06-30,19,5,3,CAT CMI DE GNRC LII,dealers engines diesel generator engine volvo construction equipment vice president president dealer
machine_v2,2019-06-30,20,6,2,A ILMN RVTY TECH TMO WAT,reagents chromatography spectrometry mass spectrometry diagnostics sample instrument laboratory molecular protein
machine_v2,2019-06-30,21,4,1,EHC HCA THC UHS,inpatient medicare acute care beds stark hospital stark law care hospitals hospitals medicaid
machine_v2,2019-06-30,22,14,7,AAP AZO DDS DG GPC HD KSS M ORLY ROST SIG TGT TJX TSCO,merchandise stores store assortment apparel distribution centers retailers merchandising brands accessories
machine_v2,2019-06-30,23,12,2,ABBV CRSP INCY LLY MRK MRNA ORKA PTGX REGN SYRE VKTX VRTX,fda clinical patients exclusivity nda trials trial drugs drug clinical trials
machine_v2,2019-06-30,24,5,1,CNC CVS ELV HUM UNH,medicare advantage hmo medicare ppo cms pharmacy medicaid care management advantage plans ncqa
machine_v2,2019-06-30,25,3,2,EW MDT TFX,aortic catheters valve surgical therapies catheter heart vascular cardiac medical devices
machine_v2,2019-06-30,26,3,1,CDNA GH LH,clia clinical patients clinical laboratory payers laboratory medicare lcd payer sequencing
machine_v2,2019-06-30,27,4,2,COO DXCM PODD RMD,pma fda clinical patients insulin medical device diabetes pma application clearance device
machine_v2,2019-06-30,28,3,3,AAL AWK CE,looking statements forward looking looking stockholder matters related stockholder forward airways stockholder statements statements risks uncertainties
machine_v2,2019-06-30,29,6,4,GEN MPWR PYPL QCOM UPS V,looking statements forward looking looking stockholder matters related stockholder forward stockholder accounting fees disclosures disclosures registrant
machine_v2,2019-06-30,30,8,4,ANF DECK FOSL LULU PVH RL TPR VFC,stores apparel accessories lifestyle men women retail stores footwear wholesale fashion
machine_v2,2019-06-30,31,5,3,CTSH DXC HPE TDC UIS,vice president president vice served joining officer cloud chief senior vice executive vice
machine_v2,2019-06-30,32,3,3,CDNS NVDA SNPS,prototyping chip verification ics soc semiconductor simulation university logic chips
machine_v2,2019-06-30,33,12,2,BA BWXT GD HEI HII HXL KTOS LDOS LMT NOC RTX TXT,aircraft missile defense military navy dod government contracts aerospace flight contracts government
machine_v2,2019-06-30,34,3,1,DPZ MCD YUM,franchisees restaurant franchise franchisee chicken restaurants menu franchised concepts quality food
machine_v2,2019-06-30,35,4,1,AJG AON MRSH WTW,reinsurance clients brokerage insurance reinsurance consulting insurance mercer retirement insurance brokerage broker
machine_v2,2019-06-30,36,4,3,CPAY FIS MA WU,payment solutions card cards debit merchants money laundering visa financial institutions money laundering
machine_v2,2019-06-30,37,3,1,ARES BX KKR,managed accounts capital commitments clos funds separately managed private equity fair value aum investment income asset value
machine_v2,2019-06-30,38,6,2,CNX CVX EOG EQT FANG MUR,proved wells proved reserves acreage natural gas basin fracturing acres hydraulic fracturing crude
machine_v2,2019-06-30,39,20,6,AXP BBT CFG FHN FITB FNMA GS HBAN JPM KEY NTRS RF RJF SCHW SLM STT TFC USB WFC ZION,fdic bank banking depository institution stress basel bank holding depository institution depository institutions
machine_v2,2019-06-30,40,3,2,CNP OKE WMB,gas gathering gathering processing ngl gathering ngls pipelines natural gas ferc midstream interstate
machine_v2,2019-06-30,41,8,1,AEE AEP DUK ED ES NEE SO XEL,ferc natural gas transmission wind solar cost recovery utilities public utility electric electricity
machine_v2,2019-06-30,42,3,3,AES NRG PNW,coal epa ash fired solar effluent electricity doe nuclear power plants
machine_v2,2019-06-30,43,7,2,AMP BHF GNW MET PFG PRU UNM,life insurance annuities annuity universal life rbc variable annuity naic reinsurance insurer policyholders
