lookback_months,fallback,cadence,層,annual_excess:SPY,舊裁決,新裁決,變了,舊鄰域格數,舊鄰域平均,舊落差,新鄰域格數,新鄰域平均,新落差,換層最差鄰域平均,換層代價,成交筆數
13,cash,monthly,fallback=cash、cadence=monthly,0.0058759993476122,普通,普通,,11,-0.00010100244574190009,0.0059770017933541,2,0.002299642959802733,0.003576356387809467,-0.006507329327594899,0.008806972287397633,267
14,cash,quarterly,fallback=cash、cadence=quarterly,0.0044094441568547,普通,普通,,11,-0.0010702770084469835,0.005479721165301683,2,0.0017038703776624,0.0027055737791922994,-0.004907611430542967,0.006611481808205367,99
6,equal,monthly,fallback=equal、cadence=monthly,0.0039893462630924,普通,普通,,11,0.004006919550735108,-1.7573287642708157e-05,2,0.007707183305508199,-0.003717837042415799,-0.013337575499982365,0.021044758805490563,305
12,cash,monthly,fallback=cash、cadence=monthly,0.0036967860711085,普通,普通,,11,0.000616321949635025,0.0030804641214734747,2,0.003918583486526233,-0.00022179741541773334,-0.007093842362852334,0.011012425849378567,263
10,equal,quarterly,fallback=equal、cadence=quarterly,0.0036910771301015,普通,普通,,11,0.009037258114858475,-0.005346180984756975,2,-0.0011251273402778333,0.004816204470379334,0.0052170220316366004,-0.006342149371914433,115
8,equal,quarterly,fallback=equal、cadence=quarterly,0.0030893887039491,普通,普通,,11,0.014835561384081182,-0.011746172680132082,2,-0.0017088873623579335,0.004798276066307033,0.013093035492179434,-0.014801922854537367,115
4,equal,quarterly,fallback=equal、cadence=quarterly,0.0023551866624227,普通,普通,,11,0.0094222606823059,-0.007067074019883199,2,0.0011095351019252333,0.0012456515604974668,0.004981031442836734,-0.0038714963409115007,136
11,cash,monthly,fallback=cash、cadence=monthly,0.002182965040858,普通,普通,,11,0.004476323005827791,-0.0022933579649697913,2,0.006911694264814233,-0.004728729223956233,-0.0031074708060025665,0.0100191650708168,269
15,equal,monthly,fallback=equal、cadence=monthly,0.0020627545710785,普通,普通,,7,-0.0016190671584831,0.0036818217295616,1,-0.001406362013712,0.0034691165847905003,-0.00322739837559055,0.0018210363618785497,288
15,cash,monthly,fallback=cash、cadence=monthly,0.0011819649360069,普通,普通,,7,-0.0016190671584831,0.00280103209449,1,-0.0007459458016528,0.0019279107376597,-0.00322739837559055,0.0024814525739377496,260
9,equal,quarterly,fallback=equal、cadence=quarterly,0.0002968711421447,普通,普通,,11,0.015210279106714958,-0.014913407964570259,2,0.0023591123253984335,-0.0020622411832537336,0.013352821962193768,-0.010993709636795334,116
12,equal,monthly,fallback=equal、cadence=monthly,-0.0008345213919058,普通,普通,,11,0.000616321949635025,-0.001450843341540825,2,-0.0030125225266847667,0.002178001134778967,-0.007093842362852334,0.004081319836167567,283
15,equal,quarterly,fallback=equal、cadence=quarterly,-0.0008510055638737,普通,普通,,7,-0.0016190671584831,0.0007680615946094,1,-0.00322739837559055,0.0023763928117168497,-0.001406362013712,-0.0018210363618785497,103
5,cash,quarterly,fallback=cash、cadence=quarterly,-0.0024416766609367,普通,普通,,11,0.004730129068207583,-0.007171805729144283,2,-0.0039827484088546675,0.0015410717479179673,-0.0097148726347856,0.005732124225930933,128
7,cash,quarterly,fallback=cash、cadence=quarterly,-0.0024824164200689,普通,普通,,11,0.00962283402545025,-0.01210525044551915,2,-0.00015847317622183355,-0.0023239432438470664,-0.009617122906752899,0.009458649730531066,106
14,cash,monthly,fallback=cash、cadence=monthly,-0.0026738565393125,普通,普通,,11,-0.0010702770084469835,-0.0016035795308655166,2,0.0014613692481022,-0.0041352257874147005,-0.004907611430542967,0.006368980678645167,263
11,equal,monthly,fallback=equal、cadence=monthly,-0.0033995615285438,普通,普通,,11,0.004476323005827791,-0.007875884534371592,2,0.0011846445315012333,-0.004584206060045034,-0.0031074708060025665,0.0042921153375038,293
13,equal,monthly,fallback=equal、cadence=monthly,-0.0048034846596047,普通,普通,,11,-0.00010100244574190009,-0.0047024822138628,2,-0.003504494883337667,-0.0012989897762670333,-0.006507329327594899,0.0030028344442572324,284
14,equal,monthly,fallback=equal、cadence=monthly,-0.0048754785985025,普通,普通,,11,-0.0010702770084469835,-0.003805201590055517,2,-0.0025387362290095667,-0.0023367423694929334,-0.004907611430542967,0.0023688752015334,279
1,equal,monthly,fallback=equal、cadence=monthly,-0.0052979929089542,孤峰,普通,是,7,-0.016143929762740275,0.010845936853786075,1,-0.0100166960199904,0.0047187031110362005,-0.020201708638633,0.0101850126186426,440
14,equal,quarterly,fallback=equal、cadence=quarterly,-0.0056037911873074,普通,普通,,11,-0.0010702770084469835,-0.004533514178860417,2,-0.004907611430542967,-0.0006961797567644331,-0.0025387362290095667,-0.0023688752015334,111
12,equal,quarterly,fallback=equal、cadence=quarterly,-0.0056501592550295,普通,普通,,11,0.000616321949635025,-0.006266481204664525,2,-0.007093842362852334,0.0014436831078228334,-0.0030125225266847667,-0.004081319836167567,102
15,cash,quarterly,fallback=cash、cadence=quarterly,-0.0066025690428088,普通,普通,,7,-0.0016190671584831,-0.0049835018843257,1,-0.0010965624429770502,-0.005506006599831749,-0.00322739837559055,0.0021308359326134996,99
11,equal,quarterly,fallback=equal、cadence=quarterly,-0.0073633302930797,普通,普通,,11,0.004476323005827791,-0.011839653298907491,2,-0.0031074708060025665,-0.004255859487077133,0.0011846445315012333,-0.0042921153375038,116
5,equal,quarterly,fallback=equal、cadence=quarterly,-0.0080719690757393,普通,普通,,11,0.004730129068207583,-0.012802098143946884,2,-0.0097148726347856,0.0016429035590463,-0.0039827484088546675,-0.005732124225930933,138
13,equal,quarterly,fallback=equal、cadence=quarterly,-0.0082680375404478,普通,普通,,11,-0.00010100244574190009,-0.0081670350947059,2,-0.006507329327594899,-0.0017607082128529008,-0.003504494883337667,-0.0030028344442572324,115
7,equal,quarterly,fallback=equal、cadence=quarterly,-0.0085129219331676,普通,普通,,11,0.00962283402545025,-0.018135755958617848,2,-0.009617122906752899,0.0011042009735852988,-0.00015847317622183355,-0.009458649730531066,119
2,cash,quarterly,fallback=cash、cadence=quarterly,-0.0085192909901419,普通,普通,,11,-0.006103743839590125,-0.0024155471505517747,2,-0.010329829629254,0.0018105386391121005,-0.007764782045180933,-0.002565047584073067,143
2,equal,quarterly,fallback=equal、cadence=quarterly,-0.0089171884139462,普通,普通,,11,-0.006103743839590125,-0.002813444574356075,2,-0.007680486782575467,-0.0012367016313707324,-0.010329829629254,0.0026493428466785327,146
2,cash,monthly,fallback=cash、cadence=monthly,-0.0140156360957728,普通,普通,,11,-0.006103743839590125,-0.007911892256182674,2,-0.007764782045180933,-0.006250854050591866,-0.010329829629254,0.002565047584073067,364
2,equal,monthly,fallback=equal、cadence=monthly,-0.0147353991310266,普通,普通,,11,-0.006103743839590125,-0.008631655291436476,2,0.0013601230986498996,-0.0160955222296765,-0.010329829629254,0.0116899527279039,391
6,cash,quarterly,fallback=cash、cadence=quarterly,-0.0174774111655702,普通,普通,,11,0.004006919550735108,-0.02148433071630531,2,-0.0074671680821919335,-0.010010243083378268,-0.013337575499982365,0.005870407417790432,114
1,cash,monthly,fallback=cash、cadence=monthly,-0.0226121446220839,普通,普通,,7,-0.016143929762740275,-0.006468214859343624,1,-0.018313890358928348,-0.004298254263155551,-0.020201708638633,0.0018878182797046512,409
1,equal,quarterly,fallback=equal、cadence=quarterly,-0.0231696596528725,普通,普通,,7,-0.016143929762740275,-0.007025729890132226,1,-0.016043424033409352,-0.007126235619463149,-0.020201708638633,0.004158284605223647,154
6,equal,quarterly,fallback=equal、cadence=quarterly,-0.0234278354910402,普通,普通,,11,0.004006919550735108,-0.027434755041775307,2,-0.013337575499982365,-0.010090259991057834,-0.0074671680821919335,-0.005870407417790432,127
1,cash,quarterly,fallback=cash、cadence=quarterly,-0.0318841262871241,普通,普通,,7,-0.016143929762740275,-0.015740196524383826,1,-0.020201708638633,-0.011682417648491102,-0.018313890358928348,-0.0018878182797046512,143
