事件表,版本,年份段,進場格,期,表,格,樣本N,未成熟,無進場點,簇數,可信度,勝率,平均超額,中位超額,贏家數,輸家數,贏家平均,輸家平均,贏家中位,輸家中位,平均盈虧比(贏家平均/|輸家平均|),中位盈虧比(贏家中位/|輸家中位|)=原表賠率欄,驗算平均(p x 贏家平均 - (1-p) x |輸家平均|),驗算差(個百分點),最大單筆超額,剔走前三大贏家後平均,前1%事件數,前1%佔總超額比例,前5%事件數,前5%佔總超額比例,剔走前1%後平均,剔走前5%後平均
events.csv(正本),A(淨現金 N2),全期 2010-2026,觸發日即買,12m,軸二 200 日線位置,線下 10% 內,81,20,0,73,中,0.43209876543209874,0.00131954764136981,-0.1117413596501131,35,46,0.3943427305316649,-0.29771983064472424,0.2511838850246746,-0.2883664756117944,1.324543043295772,0.8710578595926113,0.0013195476413697949,1.5178830414797062e-15,2.4576013817173674,-0.05834822092530804,1,22.99330228614057,5,57.000897102607816,-0.029383975284580137,-0.07875742087623029
events.csv(正本),A(淨現金 N2),全期 2010-2026,觸發日即買,12m,軸二 200 日線位置,線下逾 10%,357,55,0,298,高,0.4957983193277311,0.0727445067097572,-0.0041033202575804,177,180,0.42223335133384154,-0.270919523837259,0.2647690878222981,-0.2402580496648682,1.5585194649444187,1.1020196334383798,0.07274450670975727,6.938893903907228e-15,3.3397619190827053,0.04859849353128179,4,0.428559335471786,18,1.1305790662326471,0.042040208000099936,-0.010003276649610955
events.csv(正本),A(淨現金 N2),全期 2010-2026,觸發日即買,12m,軸二 200 日線位置,線之上,54,19,0,49,中,0.35185185185185186,-0.012062299415961026,-0.1703958401026173,19,35,0.6427951975470797,-0.3675563691958974,0.2667424590268668,-0.3774390729577431,1.7488343324136157,0.7067166017990152,-0.012062299415961014,1.214306433183765e-15,3.600580356905249,-0.14301123696260143,1,-5.5277531851460475,3,-10.197381492929553,-0.08022536840315361,-0.14301123696260143
events.csv(正本),A(淨現金 N2),全期 2010-2026,觸發日即買,12m,軸二 250 日線位置(緩衝對照),線下 10% 內,92,19,0,86,中,0.3804347826086957,-0.03651302175032872,-0.1281718804307581,35,57,0.36433217900210674,-0.28264603975621017,0.2307007382740977,-0.2808425901979591,1.2890050726214068,0.8214592313490713,-0.03651302175032872,0.0,2.4576013817173674,-0.09008137743994638,1,-0.7316036092435272,5,-1.7814735498655625,-0.06392087233788582,-0.10739678607617113
events.csv(正本),A(淨現金 N2),全期 2010-2026,觸發日即買,12m,軸二 250 日線位置(緩衝對照),線下逾 10%,327,49,0,275,高,0.5168195718654435,0.09095138294782998,0.0264501065382929,169,158,0.4291223543950733,-0.2707631371444746,0.2635216201182699,-0.2402580496648682,1.5848625441435218,1.0968274340270874,0.09095138294783,2.7755575615628914e-15,3.3397619190827053,0.06473820999577419,4,0.3742159718071633,17,0.9538649836351722,0.05762076393991439,0.004426149154224207
events.csv(正本),A(淨現金 N2),全期 2010-2026,觸發日即買,12m,軸二 250 日線位置(緩衝對照),線之上,73,26,0,64,中,0.3698630136986301,-0.013104056671750417,-0.1612593888265308,27,46,0.5732260500093186,-0.357254336680204,0.2954219327180967,-0.37554090451127364,1.6045320970377512,0.7866571368638439,-0.013104056671750491,7.45931094670027e-15,3.600580356905249,-0.10855435790955088,1,-3.763950341734492,4,-8.247423467500152,-0.06329411797143097,-0.1282036169067125
events.csv(正本),A(淨現金 N2),全期 2010-2026,跌勢衰竭,1m,總表(三格進場),全部,571,7,11,455,高,0.521891418563923,0.011309316770020917,0.004339500150311,298,273,0.10206529246369477,-0.0877576457087879,0.070465692948609,-0.0724586546616514,1.1630359000557615,0.9724951874645117,0.011309316770020922,5.204170427930421e-16,0.5057637588599584,0.008909264342551803,6,0.4025614514437057,29,1.4537928889537894,0.006828373532133982,-0.00540668261836
events.csv(正本),A(淨現金 N2),全期 2010-2026,跌勢衰竭,1m,軸一 行業殺 vs 個別殺,個別殺,468,4,6,395,高,0.5192307692307693,0.009397969252283488,0.00409176828575735,243,225,0.09978048301017901,-0.08821514560624365,0.0697629954666221,-0.0724586546616514,1.131103761428432,0.9627972778736124,0.009397969252283513,2.42861286636753e-15,0.5057637588599584,0.006472492820312054,5,0.4912591485143338,24,1.7306976554430076,0.004832762962576331,-0.007238267293086257
events.csv(正本),A(淨現金 N2),全期 2010-2026,跌勢衰竭,1m,軸一 行業殺 vs 個別殺,行業殺,103,3,5,73,高,0.5339805825242718,0.01999388607391524,0.0067965761591466,55,48,0.11215999604922804,-0.08561311493946401,0.0756611216270575,-0.07238860687968435,1.310079607879412,1.0452075939631265,0.019993886073915237,3.469446951953614e-16,0.4367050270717032,0.009138253013272788,2,0.3848088782320721,6,0.9755764902802911,0.01254362677067469,0.0005185262855534634
events.csv(正本),A(淨現金 N2),全期 2010-2026,跌勢衰竭,1m,軸二 200 日線位置,線下 10% 內,97,2,2,89,中,0.5360824742268041,0.01843240817987012,0.0195788443965949,52,45,0.11248257016881315,-0.09024777900735295,0.09653653205742391,-0.0826876282057375,1.2463749402591793,1.167484594155108,0.01843240817987011,1.0408340855860843e-15,0.3524120611356507,0.008429984194672653,1,0.19710468631516037,5,0.8685390264721438,0.014953453461580743,0.0025548348413857534
