版本,年份切法,軸一格,進場格,期,2020年觸發佔比,樣本N,勝率,平均超額,中位超額,賠率,可信度
A(淨現金 N2),建表年份 剔走 2020,個別殺,觸發日即買,3m,0.0,181,0.46408839779005523,0.005781290677669763,-0.0180988065378852,1.145664830001529,高
A(淨現金 N2),建表年份 剔走 2020,個別殺,觸發日即買,6m,0.0,181,0.4143646408839779,-0.011098866881166134,-0.0456984750013804,1.001484866413702,高
A(淨現金 N2),建表年份 剔走 2020,個別殺,觸發日即買,12m,0.0,181,0.4088397790055249,-0.027709692478020194,-0.1209311587560905,0.7757115364298839,高
A(淨現金 N2),建表年份 剔走 2020,個別殺,跌勢衰竭,1m,0.0,181,0.4972375690607735,0.003700625939443068,-0.0012362244031649,0.954802929644592,高
A(淨現金 N2),建表年份 剔走 2020,個別殺,跌勢衰竭,3m,0.0,181,0.430939226519337,-0.007708879593836417,-0.0247015044802961,0.9120349611858773,高
A(淨現金 N2),建表年份 剔走 2020,個別殺,跌勢衰竭,6m,0.0,181,0.43646408839779005,-0.01928192475428597,-0.0383315067608225,1.0218161895288975,高
A(淨現金 N2),建表年份 剔走 2020,個別殺,跌勢衰竭,12m,0.0,181,0.4088397790055249,-0.02953588129733577,-0.0964933128773413,0.8680793395466216,高
A(淨現金 N2),建表年份 剔走 2020,個別殺,買方回來,1m,0.0,180,0.4444444444444444,-0.01584967142051013,-0.01520660274464265,0.7173838505649875,高
A(淨現金 N2),建表年份 剔走 2020,個別殺,買方回來,3m,0.0,180,0.37777777777777777,-0.03576680522538464,-0.052918320010322595,0.8556254399215111,高
A(淨現金 N2),建表年份 剔走 2020,個別殺,買方回來,6m,0.0,180,0.4111111111111111,-0.03636146043986072,-0.06901144170381235,0.8759398092683962,高
A(淨現金 N2),建表年份 剔走 2020,個別殺,買方回來,12m,0.0,180,0.36666666666666664,-0.037050530909049355,-0.0953145057778438,0.9786510861983212,高
A(淨現金 N2),建表年份 剔走 2020,全部,觸發日即買,1m,0.0,201,0.5174129353233831,0.0045368726859863935,0.002183373823821,0.9135545531028586,高
A(淨現金 N2),建表年份 剔走 2020,全部,觸發日即買,3m,0.0,201,0.46766169154228854,0.010716883465659775,-0.0079247271591734,1.157725014908308,高
A(淨現金 N2),建表年份 剔走 2020,全部,觸發日即買,6m,0.0,201,0.4228855721393035,-0.0030321340026290312,-0.044930034096046,1.0928746839727035,高
A(淨現金 N2),建表年份 剔走 2020,全部,觸發日即買,12m,0.0,201,0.4129353233830846,-0.027226964404016927,-0.0937998884359522,0.7658445842252327,高
A(淨現金 N2),建表年份 剔走 2020,全部,跌勢衰竭,1m,0.0,201,0.4975124378109453,0.005320543222329672,-0.0012362244031649,0.9926894321305015,高
