流動性口徑,負債閘口徑,年份段,組,期,主口徑,樣本N,未成熟,其他不可判,公司數,中位期內最大跌幅,觸及負33比例,觸及負80比例,觸及負50比例,最大單筆超額,可信度,勝率,中位超額,平均超額,p25超額,p75超額,平均盈虧比,中位盈虧比,前1%事件數,前1%佔總超額比例,前5%事件數,前5%佔總超額比例,剔走前1%後平均,剔走前5%後平均,簇數,2020年觸發佔比,勝率下限,勝率上限,平均超額下限,平均超額上限
含流動性閘(與①池可比),A(資料不足當不過),建表年份 2010-2021,1 過三閘(現行①池),12m,False,685,0,0,372,-0.2629051713419605,0.3970802919708029,0.016058394160583942,0.20145985401459854,11.705683397360184,高,0.5065693430656935,0.0084253664530926,0.08393903390477028,-0.2599758028400203,0.301755307601945,1.5375915482768818,1.1131842243125336,7.0,0.4716186286147338,35.0,1.0742129044156057,0.044809731512447624,-0.006564786549908337,497.0,0.28905109489051095,,,,
含流動性閘(與①池可比),A(資料不足當不過),建表年份 2010-2021,2 只不過負債閘,1m,False,1925,0,0,928,-0.0892819862836376,0.08935064935064935,0.0015584415584415584,0.035844155844155845,0.6992899066469445,高,0.49662337662337663,-0.0010686440930952,-0.0038292707231262,-0.0746012598690704,0.0677242778435693,0.9398317481472592,0.9268942506703843,20.0,-1.4132239948011383,97.0,-4.1890227025220605,-0.00933790518840024,-0.020924552778489865,1130.0,0.32675324675324674,,,,
含流動性閘(與①池可比),A(資料不足當不過),建表年份 2010-2021,2 只不過負債閘,3m,False,1925,0,0,928,-0.1383561169530355,0.15844155844155844,0.003116883116883117,0.05922077922077922,3.644043104313688,高,0.5225974025974026,0.0100275548910584,0.026176752878561773,-0.1124993045965999,0.1379905295200376,1.2448159652717106,1.0961172431499722,20.0,0.4705622595329057,97.0,1.2657135599858345,0.014004461798594839,-0.007324602039248782,1130.0,0.32675324675324674,,,,
含流動性閘(與①池可比),A(資料不足當不過),建表年份 2010-2021,2 只不過負債閘,6m,False,1925,0,0,928,-0.1798273449924851,0.23844155844155845,0.006233766233766234,0.09922077922077922,4.383040245156447,高,0.49558441558441557,-0.0048719188136383,0.037527216855683776,-0.1717239513141704,0.1961500459809624,1.3884902941933415,1.1633789195037474,20.0,0.48456642402307143,97.0,1.316912526157331,0.019545861465745152,-0.012523920571538978,1130.0,0.32675324675324674,,,,
含流動性閘(與①池可比),A(資料不足當不過),建表年份 2010-2021,2 只不過負債閘,12m,False,1925,0,0,928,-0.2422137214816424,0.3781818181818182,0.025454545454545455,0.19064935064935065,7.670001350347471,高,0.5210389610389611,0.0210254882232665,0.08452862786303748,-0.2201409482030591,0.3062245212900347,1.510629591229551,1.245164871438805,20.0,0.31752924579801756,97.0,0.8682816878035321,0.058293968025192086,0.011724775040604535,1130.0,0.32675324675324674,,,,
含流動性閘(與①池可比),A(資料不足當不過),建表年份 2010-2021,3 只不過現金流閘,1m,False,210,0,0,118,-0.11884406612651455,0.03333333333333333,0.0,0.004761904761904762,0.7350926720996616,高,0.4238095238095238,-0.01260100372058295,-0.012716231870313309,-0.10319416137541555,0.06705833437266673,1.0899803475433931,0.9865767020991355,3.0,-0.6902570224414385,11.0,-1.5979895101232837,-0.021805203119497806,-0.034862782771595796,143.0,0.1619047619047619,,,,
含流動性閘(與①池可比),A(資料不足當不過),建表年份 2010-2021,3 只不過現金流閘,3m,False,210,0,0,118,-0.18989355909429662,0.21904761904761905,0.0,0.06190476190476191,1.2228265492304282,高,0.4238095238095238,-0.058932543794217904,-0.0447140387902327,-0.21968869544663533,0.08452936673239378,0.883873788186164,0.6338766962498896,3.0,-0.34821744832349494,11.0,-0.7655239977375501,-0.06115793202522277,-0.08330743110142685,143.0,0.1619047619047619,,,,
含流動性閘(與①池可比),A(資料不足當不過),建表年份 2010-2021,3 只不過現金流閘,6m,False,210,0,0,118,-0.27447630773392384,0.4,0.023809523809523808,0.19523809523809524,1.679537590175589,高,0.38571428571428573,-0.09311181467003005,-0.05725168971574649,-0.34101346432522683,0.16643644550823672,1.1203759707304395,0.9147279509264837,3.0,-0.392448107368432,11.0,-0.9601488575899825,-0.08087536940845676,-0.11842505115677138,143.0,0.1619047619047619,,,,
含流動性閘(與①池可比),A(資料不足當不過),建表年份 2010-2021,3 只不過現金流閘,12m,False,210,0,0,118,-0.4351149534723786,0.6476190476190476,0.09047619047619047,0.4380952380952381,6.508599321119126,高,0.30952380952380953,-0.2873440912534986,-0.12527027582028818,-0.5746766313482419,0.16406606965147916,1.3324418965382585,0.9051938477898519,3.0,-0.38177247633260364,11.0,-0.7312114919674706,-0.17560364269818482,-0.22885709362524476,143.0,0.1619047619047619,,,,
含流動性閘(與①池可比),A(資料不足當不過),建表年份 2010-2021,4 只不過市值閘,1m,False,75,0,0,53,-0.1079668966639666,0.02666666666666667,0.0,0.013333333333333334,0.8640009799623509,中,0.5066666666666667,0.0022718678711455,0.039659488316227606,-0.0854728812228944,0.09201456589937725,1.7410134690592631,1.0571457244249396,1.0,0.2904730634522835,4.0,0.8872477082254665,0.02851973842911783,0.0047236248573169,75.0,0.29333333333333333,,,,
