事件表,版本,年份段,進場格,期,口徑,樣本N,未成熟,無進場點,簇數,可信度,勝率,平均超額,中位超額,贏家數,輸家數,贏家平均,輸家平均,贏家中位,輸家中位,平均盈虧比(贏家平均/|輸家平均|),中位盈虧比(贏家中位/|輸家中位|)=原表賠率欄,驗算平均(p x 贏家平均 - (1-p) x |輸家平均|),驗算差(個百分點),最大單筆超額,剔走前三大贏家後平均,前1%事件數,前1%佔總超額比例,前5%事件數,前5%佔總超額比例,剔走前1%後平均,剔走前5%後平均
events.csv(正本),A(淨現金 N2),建表年份 2010-2021,觸發日即買,12m,同公司單注(365 曆日),215,0,0,182,高,0.4930232558139535,0.04667691187409644,-0.0130361950227181,106,109,0.38859357293124425,-0.28582919887872626,0.25176117522582575,-0.2468465829730635,1.3595307073442822,1.019909500846923,0.04667691187409642,2.0816681711721685e-15,3.600580356905249,0.010387628214067789,3,0.7805620776242184,11,1.738530097984454,0.010387628214067789,-0.036331105022046346
events.csv(正本),A(淨現金 N2),建表年份 2010-2021,跌勢衰竭,1m,正本(120 日冷卻),253,0,0,209,高,0.4980237154150198,0.009908450250938353,-0.0012362244031649,126,127,0.10493881030407738,-0.08437363925060111,0.07192050814234835,-0.0619869711375686,1.243739291514912,1.160252014616654,0.009908450250938373,2.0816681711721685e-15,0.4546889431808616,0.004787438094429141,3,0.5225620622825728,13,1.7389793908145093,0.004787438094429141,-0.007718756475748482
events.csv(正本),A(淨現金 N2),建表年份 2010-2021,跌勢衰竭,1m,同公司單注(365 曆日),215,0,0,182,高,0.4883720930232558,0.004611050005702517,-0.0043302323962612,105,110,0.09930532058734641,-0.085778935549503,0.0708660132167529,-0.0643584427268248,1.1576888889002048,1.1011144803106885,0.00461105000570252,3.469446951953614e-16,0.4546889431808616,-0.0011210214447443312,3,1.239723985574478,11,3.5170620986009773,-0.0011210214447443312,-0.012232129063152644
events.csv(正本),A(淨現金 N2),建表年份 2010-2021,跌勢衰竭,3m,正本(120 日冷卻),253,0,0,209,高,0.45849802371541504,0.026390182809561683,-0.0122016008919484,116,137,0.22083391225128798,-0.13824830343306788,0.1412708782291655,-0.1265113755870844,1.5973715898669487,1.1166654190074898,0.026390182809561694,1.0408340855860843e-15,2.921219219496061,0.002915535327812478,3,0.8908319891737656,13,1.6319154577862274,0.002915535327812478,-0.017579667525604567
events.csv(正本),A(淨現金 N2),建表年份 2010-2021,跌勢衰竭,3m,同公司單注(365 曆日),215,0,0,182,高,0.4372093023255814,0.007733877830524147,-0.0247015044802961,94,121,0.18997736621233,-0.13384370818509356,0.1336791406548756,-0.1243218446303141,1.419397062352821,1.0752667083760423,0.007733877830524191,4.423544863740858e-15,1.8661342617849628,-0.00907275125058355,3,2.1567489062468597,11,4.253010080484583,-0.00907275125058355,-0.026514961994829556
events.csv(正本),A(淨現金 N2),建表年份 2010-2021,跌勢衰竭,6m,正本(120 日冷卻),253,0,0,209,高,0.47035573122529645,0.01363497168410183,-0.0261706085447556,119,134,0.26273337441975486,-0.20757928149159,0.1883052122455037,-0.17535613165538266,1.265701338456552,1.0738444699246052,0.01363497168410184,1.0408340855860843e-15,2.2681717099013325,-0.007108585779887946,3,1.5151674980807885,13,3.315693299043406,-0.007108585779887946,-0.03328469324193691
events.csv(正本),A(淨現金 N2),建表年份 2010-2021,跌勢衰竭,6m,同公司單注(365 曆日),215,0,0,182,高,0.4604651162790698,0.005065669173165481,-0.0320152959120904,99,116,0.2528108571941579,-0.2063720343964746,0.1791817342586308,-0.18227751750715482,1.2250247856183203,0.98301609934751,0.005065669173165491,9.54097911787244e-16,2.2681717099013325,-0.016854724430074804,3,4.280818715277363,11,8.424743785329374,-0.016854724430074804,-0.0396393557748967
events.csv(正本),A(淨現金 N2),建表年份 2010-2021,跌勢衰竭,12m,正本(120 日冷卻),253,0,0,209,高,0.4901185770750988,0.043855077404565374,-0.0130750551857307,124,129,0.3827444268363109,-0.2818990259251745,0.24720041217932814,-0.2207059267852116,1.3577358970296838,1.120044285987393,0.043855077404565374,0.0,4.59119401420062,0.009460680586908068,3,0.7868320122337561,13,1.8280362868456006,0.009460680586908068,-0.03828058187379536
events.csv(正本),A(淨現金 N2),建表年份 2010-2021,跌勢衰竭,12m,同公司單注(365 曆日),215,0,0,182,高,0.4744186046511628,0.022871282423744064,-0.0291002175169793,102,113,0.3579278000919781,-0.2795691140555468,0.2256265494511642,-0.2154103037281944,1.280283772766338,1.0474269129477702,0.022871282423744088,2.42861286636753e-15,4.59119401420062,-0.015257240416080915,3,1.6577833464085276,11,3.2729987655607524,-0.015257240416080915,-0.05478958477417518
events.csv(正本),A(淨現金 N2),建表年份 2010-2021,買方回來,1m,正本(120 日冷卻),252,0,1,208,高,0.4603174603174603,-0.00765134206211694,-0.01210315878624025,116,136,0.08574017778910269,-0.08730881487639248,0.052818198416943,-0.06887916093350391,0.9820334626061458,0.7668240684280955,-0.007651342062116942,1.734723475976807e-16,0.3625591337089022,-0.011980513017267713,3,-0.5471648981570942,13,-1.9104791204735068,-0.011980513017267713,-0.023480359713300404
events.csv(正本),A(淨現金 N2),建表年份 2010-2021,買方回來,1m,同公司單注(365 曆日),215,0,0,182,高,0.4604651162790698,-0.009628515599640196,-0.0111118072630607,99,116,0.0781938669852343,-0.08458037659880031,0.0489479405066621,-0.06887916093350391,0.9244918281239173,0.7106349706251003,-0.009628515599640182,1.3877787807814457e-15,0.3455674544919285,-0.014566908497765043,3,-0.4917823168880655,11,-1.401233580693882,-0.014566908497765043,-0.0243669986415174
events.csv(正本),A(淨現金 N2),建表年份 2010-2021,買方回來,3m,正本(120 日冷卻),252,0,1,208,高,0.4126984126984127,-0.002743700448436012,-0.035017383143802844,104,148,0.19675709158195287,-0.14293344619952011,0.13073767896764416,-0.130085300667435,1.3765643858282168,1.0050150039770978,-0.00274370044843604,2.8189256484623115e-15,2.3062305577382016,-0.022219059944303246,3,-7.001801850647876,13,-12.887248375923495,-0.022219059944303246,-0.040174967775456163
