池,主成因,期,樣本N,未成熟,其他不可判,公司數,中位期內最大跌幅,觸及負33比例,觸及負80比例,觸及負50比例,最大單筆超額,可信度,勝率,中位超額,平均超額,p25超額,p75超額,平均盈虧比,中位盈虧比,前1%事件數,前1%佔總超額比例,前5%事件數,前5%佔總超額比例,剔走前1%後平均,剔走前5%後平均,簇數,2020年觸發佔比,勝率下限,勝率上限,平均超額下限,平均超額上限
過三閘(現行①池),高管離任(8-K 5.02),3m,197,13,0,166,-0.1307108120390157,0.14213197969543148,0.0,0.03553299492385787,0.9277172922980056,高,0.5482233502538071,0.0142557412310415,0.03677199420162112,-0.1034638997341708,0.151991584223653,1.2817571220959514,1.032140680470505,2.0,0.23535444047278806,10.0,0.8938514266635978,0.028405927128216966,0.004112027061377525,186.0,0.15736040609137056,,,,
過三閘(現行①池),高管離任(8-K 5.02),12m,180,30,0,152,-0.22624803063605137,0.37777777777777777,0.0,0.18333333333333332,3.3397619190827053,高,0.55,0.059824029115778596,0.13067761551896948,-0.2848939776092058,0.3850325283884035,1.5424495926887658,1.0684962765509605,2.0,0.242472676087073,9.0,0.7901261438753804,0.10010413251850177,0.028869279029617403,169.0,0.17222222222222222,0.4748603351955307,0.6250328947368419,0.03751087237512128,0.22190843548174544
過三閘(現行①池),指引或其他重大訊息(8-K 7.01/8.01),3m,290,8,2,217,-0.13142163492892694,0.15172413793103448,0.0,0.020689655172413793,1.2201125721561443,高,0.503448275862069,0.0037715231809432497,0.029043935835883283,-0.11360611442330396,0.1368083715643245,1.3856826509383329,1.1958266778597288,3.0,0.3487292146499101,15.0,1.1978489199658293,0.01911318955203157,-0.006059746500505605,249.0,0.18275862068965518,,,,
過三閘(現行①池),指引或其他重大訊息(8-K 7.01/8.01),12m,256,42,2,193,-0.23771105699933498,0.31640625,0.0078125,0.12890625,2.4576013817173674,高,0.51171875,0.00539385804540345,0.07516204158565037,-0.21890761192194644,0.2683059022420985,1.4998669604540105,1.1947169257973866,3.0,0.3351118071711018,13.0,0.9864025837605417,0.05056693527193149,0.0010766849736665819,220.0,0.20703125,0.44080019187162045,0.5809337677295173,0.012716182863412178,0.1399591135851144
過三閘(現行①池),重大合約或舉債(8-K 1.01/2.03),3m,56,3,0,52,-0.14787574893643063,0.17857142857142858,0.0,0.05357142857142857,0.8525058109459431,中,0.44642857142857145,-0.01408103105359965,0.007575644019281513,-0.16596303481682972,0.16694445502007338,1.3311458011325483,1.205086993535046,1.0,2.0095081043749903,3.0,4.814090894109602,-0.007786722652112343,-0.030529715335351308,56.0,0.17857142857142858,,,,
過三閘(現行①池),重大合約或舉債(8-K 1.01/2.03),12m,49,10,0,46,-0.271091849362535,0.42857142857142855,0.02040816326530612,0.2653061224489796,1.487073088454113,中,0.5102040816326531,0.0165711643592394,0.03262438358166889,-0.3588796589070047,0.2624365534070902,1.1413297983809696,0.7219954367539783,1.0,0.9302376641276018,3.0,2.5411344638387874,0.0023233688968263277,-0.053557598544806614,49.0,0.20408163265306123,0.3673469387755102,0.6530612244897959,-0.10449933388640378,0.1788479821626681
過三閘(現行①池),內部人擬售(Form 144),3m,187,20,4,143,-0.1436293318464949,0.11229946524064172,0.0,0.0053475935828877,0.7130078687411348,高,0.44385026737967914,-0.027708848327545,-0.017952888244278847,-0.17425121440787444,0.1103791733765967,1.019700158036315,0.8254646517235916,2.0,-0.4110502046796399,10.0,-1.5313376170961595,-0.02560629070337422,-0.04801232537924199,155.0,0.0,,,,
過三閘(現行①池),內部人擬售(Form 144),12m,124,83,4,100,-0.3067454093999775,0.49193548387096775,0.0,0.20161290322580644,2.3645734951592674,高,0.3225806451612903,-0.19714086658268595,-0.08789584990839751,-0.3884878206215995,0.09998236909520375,1.3250124544262343,0.8130974796470047,2.0,-0.3833977725227592,7.0,-0.8552437154881458,-0.12358828237034193,-0.17282444163970456,103.0,0.0,0.23015697429414242,0.41442442442442434,-0.18765500442536212,0.02891370728749595
過三閘(現行①池),定期報告(10-K/10-Q),3m,39,0,0,37,-0.1383292445475085,0.1282051282051282,0.0,0.0,0.3073795890372865,中,0.38461538461538464,-0.0535050892134477,-0.02539659165528732,-0.13165617304719668,0.10550511438763929,1.1005351491181157,1.5559624556218474,1.0,-0.31033801822742346,2.0,-0.5933894995190621,-0.03415385956824978,-0.042654049627492474,34.0,0.1794871794871795,,,,
過三閘(現行①池),定期報告(10-K/10-Q),12m,35,4,0,33,-0.2810459807716693,0.4,0.0,0.11428571428571428,1.1781915104695262,中,0.42857142857142855,-0.0609638363952874,0.0013170109827292595,-0.26497099748268255,0.1391385306648683,1.3453111297023228,0.8285060916967986,1.0,25.55985866957929,2.0,48.87588610995398,-0.03329694488452946,-0.06687446586408062,30.0,0.2,0.25,0.6,-0.1295468814771226,0.1372967566906153
過三閘(現行①池),其他申報,3m,133,5,0,91,-0.1160839870240264,0.10526315789473684,0.007518796992481203,0.03007518796992481,1.5379776085719985,高,0.5413533834586466,0.0199054192285419,0.03508599312749647,-0.0911935774099967,0.1267917430639249,1.312319158246801,0.9487002757948536,2.0,0.5705616376681432,7.0,1.1996023284914321,0.015297306107771231,-0.007392315143776142,122.0,0.09022556390977443,,,,
過三閘(現行①池),其他申報,12m,111,27,0,77,-0.2478635033840737,0.35135135135135137,0.02702702702702703,0.10810810810810811,3.061586771067589,高,0.46846846846846846,-0.016220909048047,0.12823230647610903,-0.24592534389823095,0.33940804482161513,2.200485373963565,1.557236459380025,2.0,0.3516818659265602,6.0,0.7485133105881671,0.08466074855541486,0.03409150213025282,103.0,0.10810810810810811,0.3761181192660551,0.5607640596819149,0.013896745386683151,0.24329025005955485
過三閘(現行①池),無申報,3m,77,5,0,69,-0.1351999074728342,0.11688311688311688,0.0,0.025974025974025976,0.8961557625571441,中,0.4805194805194805,-0.0058130165312354,0.03318333725297408,-0.143710514272,0.1639451588239284,1.532691327829842,1.228723394103334,1.0,0.35072983883418957,4.0,0.9543622510307099,0.02182843692002448,0.0015973943396523148,68.0,0.07792207792207792,,,,
過三閘(現行①池),無申報,12m,74,8,0,66,-0.2964941705291892,0.4594594594594595,0.04054054054054054,0.20270270270270271,1.3714350940160285,中,0.3918918918918919,-0.15378363039695295,-0.07141581241956857,-0.3521565287291418,0.13757285202271202,1.007660238341041,1.0046911121469813,1.0,-0.25950704820119214,4.0,-0.6576708278136801,-0.09118089332964525,-0.12514870368639172,65.0,0.08108108108108109,0.2715715715715716,0.5138888888888888,-0.16797033687086652,0.02951288617300831
不過三閘,0 全部觸發(不分成因),3m,4982,239,5,1525,-0.15280478058576186,0.1714171015656363,0.0018065034122842231,0.050782818145323164,16.6471220607926,高,0.4821356884785227,-0.00934573428119495,0.02651764360361046,-0.1510443502393716,0.14319205203694216,1.3862206223827753,1.0364992511042288,50.0,0.7772580808182775,250.0,1.8615809995749153,0.0059664711085388525,-0.024054150813602626,2281.0,0.13147330389401846,,,,
不過三閘,0 全部觸發(不分成因),12m,4230,991,5,1354,-0.2866575815487028,0.4352245862884161,0.03049645390070922,0.2264775413711584,9.355625301048798,高,0.4498817966903073,-0.0518534170576507,0.052241869770915036,-0.32950277699412966,0.26492415640882894,1.5790068853409314,1.0289193920406903,43.0,0.7656835804244518,212.0,1.9082562909374792,0.012366842827380365,-0.04995253834224181,2022.0,0.15484633569739953,0.4282266801965798,0.47047735769394544,0.026411882339814893,0.07953998367844067
不過三閘,重列或不可依賴(8-K 4.02),3m,5,0,0,5,-0.1408045996698588,0.0,0.0,0.0,0.2719770216309547,"低(樣本不足,只報樣本數)",,,,,,,,,,,,,,,,,,,
不過三閘,重列或不可依賴(8-K 4.02),12m,4,1,0,4,-0.350564826496389,0.75,0.0,0.25,0.2999098418358277,"低(樣本不足,只報樣本數)",,,,,,,,,,,,,,,,,,,
不過三閘,退市或不合規通知(8-K 3.01),3m,8,2,1,8,-0.18471086385308189,0.375,0.0,0.375,2.920629159680471,"低(樣本不足,只報樣本數)",,,,,,,,,,,,,,,,,,,
不過三閘,退市或不合規通知(8-K 3.01),12m,6,4,1,6,-0.6651871958058015,0.6666666666666666,0.3333333333333333,0.6666666666666666,3.904266355596894,"低(樣本不足,只報樣本數)",,,,,,,,,,,,,,,,,,,
