代號,公司,觸發日,相對SPY60日,面板total_debt空白,總債務來源_gatefix,總債務值_gatefix,過負債閘A(N2)_gatefix,資料不足_債務閘,過負債閘B(債務比)_gatefix,過現金流閘,過市值閘,行業殺格,200日線格,250日線格,進場格,期,本次進場日,本次等待交易日,本次結果狀態,對照基準率版本_gatefix,軸一格 樣本N_gatefix,軸一格 勝率_gatefix,軸一格 賠率_gatefix,軸一格 中位超額_gatefix,軸二格 樣本N_gatefix,軸二格 勝率_gatefix,軸二格 賠率_gatefix,軸二格 中位超額_gatefix
LULU,lululemon athletica inc.,2026-03-27,-0.2519,True,資料不足,,False,True,False,True,True,個別殺,線下逾 10%,線下逾 10%,跌勢衰竭,12m,2026-04-15,12.0,未成熟,"A2(N2, gatefix, 資料不足當過閘)",1938,0.4287925696594427,1.0074332600252431,-0.0650484940558568,1728,0.4722222222222222,1.139192452550996,-0.021885601746389
LULU,lululemon athletica inc.,2026-03-27,-0.2519,True,資料不足,,False,True,False,True,True,個別殺,線下逾 10%,線下逾 10%,買方回來,1m,2026-07-29,84.0,已成熟,"A2(N2, gatefix, 資料不足當過閘)",2243,0.4841729826125724,0.9061577768141066,-0.0048202621593655,1999,0.4832416208104052,0.983146574602386,-0.0048202621593655
LULU,lululemon athletica inc.,2026-03-27,-0.2519,True,資料不足,,False,True,False,True,True,個別殺,線下逾 10%,線下逾 10%,買方回來,3m,2026-07-29,84.0,未成熟,"A2(N2, gatefix, 資料不足當過閘)",2158,0.4592215013901761,0.9197813635642712,-0.0193910873061951,1941,0.4817104585265327,1.018453317651015,-0.0080938763795574
LULU,lululemon athletica inc.,2026-03-27,-0.2519,True,資料不足,,False,True,False,True,True,個別殺,線下逾 10%,線下逾 10%,買方回來,6m,2026-07-29,84.0,未成熟,"A2(N2, gatefix, 資料不足當過閘)",2062,0.4345295829291949,0.8860598429815745,-0.0484139567031548,1829,0.4576271186440678,0.9491653877215366,-0.0291565611176396
LULU,lululemon athletica inc.,2026-03-27,-0.2519,True,資料不足,,False,True,False,True,True,個別殺,線下逾 10%,線下逾 10%,買方回來,12m,2026-07-29,84.0,未成熟,"A2(N2, gatefix, 資料不足當過閘)",1908,0.4219077568134172,0.9876755740843778,-0.0689520116087459,1706,0.4630715123094959,1.0909869796348022,-0.0367625186287899
ENPH,"Enphase Energy, Inc.",2026-08-12,-0.2643,False,panel,572510000.0,False,False,True,True,True,個別殺,線之上,線之上,觸發日即買,1m,2026-08-13,1.0,未成熟,"B(總債務/四季經營現金流<=3, gatefix)",2215,0.491647855530474,0.979054482817426,-0.002150894615474,286,0.458041958041958,1.1509845852115912,-0.0132740314400705
ENPH,"Enphase Energy, Inc.",2026-08-12,-0.2643,False,panel,572510000.0,False,False,True,True,True,個別殺,線之上,線之上,觸發日即買,3m,2026-08-13,1.0,未成熟,"B(總債務/四季經營現金流<=3, gatefix)",2147,0.4825337680484396,1.0049707431208856,-0.0077960808374557,230,0.4565217391304347,1.1091547567874482,-0.0274149557943236
ENPH,"Enphase Energy, Inc.",2026-08-12,-0.2643,False,panel,572510000.0,False,False,True,True,True,個別殺,線之上,線之上,觸發日即買,6m,2026-08-13,1.0,未成熟,"B(總債務/四季經營現金流<=3, gatefix)",2001,0.4262868565717141,0.982360921391555,-0.0436990698352893,211,0.4360189573459715,1.1527170114022969,-0.0437608019300717
ENPH,"Enphase Energy, Inc.",2026-08-12,-0.2643,False,panel,572510000.0,False,False,True,True,True,個別殺,線之上,線之上,觸發日即買,12m,2026-08-13,1.0,未成熟,"B(總債務/四季經營現金流<=3, gatefix)",1851,0.4284170718530524,0.9897351806848492,-0.0678391957203278,188,0.3457446808510638,1.2264263721306627,-0.1450459256463623
ENPH,"Enphase Energy, Inc.",2026-08-12,-0.2643,False,panel,572510000.0,False,False,True,True,True,個別殺,線之上,線之上,跌勢衰竭,1m,,,無進場點,"B(總債務/四季經營現金流<=3, gatefix)",2188,0.4885740402193784,0.9531598888924222,-0.0031496673717238,271,0.5276752767527675,0.8919163890387418,0.0076312784421734
