事件表,版本,年份段,進場格,期,樣本N,觀察平均超額,觀察勝率,"缺失平均 -50 個百分點時,平均歸零所需缺失比例 m","缺失平均 -75 個百分點時,平均歸零所需缺失比例 m","缺失平均 -100 個百分點時,平均歸零所需缺失比例 m"
events.csv(正本),A(淨現金 N2),驗證年份 2022-2026,觸發日即買,1m,326,0.0085928741764802,0.5214723926380368,0.016895388458585636,0.01132738583368388,0.008519665760573922
events.csv(正本),A(淨現金 N2),驗證年份 2022-2026,觸發日即買,3m,310,0.0214876084376405,0.5225806451612903,0.04120444683626646,0.027852175722116405,0.021035603623724496
events.csv(正本),A(淨現金 N2),驗證年份 2022-2026,觸發日即買,6m,282,0.0138264530174917,0.4361702127659574,0.026908799530064323,0.018101563467552585,0.013637889380711544
events.csv(正本),A(淨現金 N2),驗證年份 2022-2026,觸發日即買,12m,239,0.0404040374027507,0.4309623430962343,0.07476635000163498,0.0511182072595649,0.03883494868360444
events.csv(正本),A(淨現金 N2),驗證年份 2022-2026,跌勢衰竭,1m,318,0.0124238426484105,0.5408805031446541,0.02424524702870798,0.016295191668264392,0.012271384893416611
events.csv(正本),A(淨現金 N2),驗證年份 2022-2026,跌勢衰竭,3m,303,0.0184962620682657,0.504950495049505,0.03567289375334101,0.02406812235948478,0.018160363230695857
events.csv(正本),A(淨現金 N2),驗證年份 2022-2026,跌勢衰竭,6m,270,0.0015153425923852,0.4111111111111111,0.0030215278849740385,0.0020163827755770884,0.001513049803573445
events.csv(正本),A(淨現金 N2),驗證年份 2022-2026,跌勢衰竭,12m,237,0.0692502091266478,0.430379746835443,0.12165161824515182,0.08452876588273463,0.06476520512744219
events.csv(正本),A(淨現金 N2),驗證年份 2022-2026,買方回來,1m,314,0.0062307294254733,0.4904458598726114,0.012308082191187054,0.008239191007494413,0.006192147827795772
events.csv(正本),A(淨現金 N2),驗證年份 2022-2026,買方回來,3m,293,0.0242770790186512,0.5290102389078498,0.04630581803059817,0.03135451077722837,0.023701671662818818
events.csv(正本),A(淨現金 N2),驗證年份 2022-2026,買方回來,6m,260,-0.0062952470485951,0.4307692307692308,,,
events.csv(正本),A(淨現金 N2),驗證年份 2022-2026,買方回來,12m,230,0.0422781081093232,0.4217391304347826,0.0779638850934398,0.05336271149813143,0.04056317385962854
events.csv(正本),"A2(N2,缺債務標籤當零負債)",全期 2010-2026,觸發日即買,1m,3215,0.0040265073885093,0.4986003110419906,0.007988681804398877,0.005340007743832084,0.004010359645765047
events.csv(正本),"A2(N2,缺債務標籤當零負債)",全期 2010-2026,觸發日即買,3m,3107,0.0156058715741032,0.4943675571290634,0.030267055583482264,0.020383688466256364,0.01536607064895698
