entity_id,ticker,trigger_date,月,日,close,adj_close,成交股數,該列代號
0000916540,DAR,2020-03-18,2020-02,2020-02-28,25.700000762939453,25.700000762939453,3416500.0,DAR
0000916540,DAR,2020-03-18,2020-03,2020-03-31,19.170000076293945,19.170000076293945,1833700.0,DAR
0000916540,DAR,2020-03-18,2020-04,2020-04-30,20.59000015258789,20.59000015258789,1099700.0,DAR
0000916540,DAR,2020-03-18,2020-05,2020-05-29,23.309999465942383,23.309999465942383,1133300.0,DAR
0000916540,DAR,2020-03-18,2020-06,2020-06-30,24.6200008392334,24.6200008392334,1500000.0,DAR
0000916540,DAR,2020-03-18,2020-07,2020-07-31,27.93000030517578,27.93000030517578,1207800.0,DAR
0000916540,DAR,2020-03-18,2020-08,2020-08-31,31.969999313354492,31.969999313354492,1031700.0,DAR
0000916540,DAR,2020-03-18,2020-09,2020-09-30,36.029998779296875,36.029998779296875,1838000.0,DAR
0000916540,DAR,2020-03-18,2020-10,2020-10-30,43.0,43.0,1188400.0,DAR
0000916540,DAR,2020-03-18,2020-11,2020-11-30,48.279998779296875,48.279998779296875,1474900.0,DAR
0000916540,DAR,2020-03-18,2020-12,2020-12-31,57.68000030517578,57.68000030517578,1071000.0,DAR
0000916540,DAR,2020-03-18,2021-01,2021-01-29,62.0099983215332,62.0099983215332,1593600.0,DAR
0000916540,DAR,2020-03-18,2021-02,2021-02-26,63.040000915527344,63.040000915527344,1662500.0,DAR
0000916540,DAR,2020-03-18,2021-03,2021-03-19,71.87000274658203,71.87000274658203,2858600.0,DAR
0001528849,RH,2017-02-10,2016-11,2016-11-30,36.04999923706055,36.04999923706055,1046900.0,RH
0001528849,RH,2017-02-10,2016-12,2016-12-30,30.700000762939453,30.700000762939453,1450100.0,RH
0001528849,RH,2017-02-10,2017-01,2017-01-31,27.020000457763672,27.020000457763672,1301900.0,RH
0001528849,RH,2017-02-10,2017-02,2017-02-28,30.440000534057617,30.440000534057617,3551700.0,RH
0001528849,RH,2017-02-10,2017-03,2017-03-31,46.2599983215332,46.2599983215332,2794700.0,RH
0001528849,RH,2017-02-10,2017-04,2017-04-28,47.970001220703125,47.970001220703125,1448500.0,RH
0001528849,RH,2017-02-10,2017-05,2017-05-31,56.11000061035156,56.11000061035156,1508900.0,RH
0001528849,RH,2017-02-10,2017-06,2017-06-30,64.5199966430664,64.5199966430664,1293700.0,RH
0001528849,RH,2017-02-10,2017-07,2017-07-31,65.12999725341797,65.12999725341797,2206400.0,RH
0001528849,RH,2017-02-10,2017-08,2017-08-31,46.790000915527344,46.790000915527344,1329000.0,RH
0001528849,RH,2017-02-10,2017-09,2017-09-29,70.31999969482422,70.31999969482422,1096100.0,RH
0001528849,RH,2017-02-10,2017-10,2017-10-31,89.91999816894531,89.91999816894531,772000.0,RH
0001528849,RH,2017-02-10,2017-11,2017-11-30,101.38999938964844,101.38999938964844,847900.0,RH
0001528849,RH,2017-02-10,2017-12,2017-12-29,86.20999908447266,86.20999908447266,939700.0,RH
0001528849,RH,2017-02-10,2018-01,2018-01-31,93.98999786376953,93.98999786376953,1573300.0,RH
0001528849,RH,2017-02-10,2018-02,2018-02-13,88.80000305175781,88.80000305175781,663200.0,RH
0001973832,AU,2024-11-11,2024-08,2024-08-30,29.670000076293945,27.269554138183594,979800.0,AU
0001973832,AU,2024-11-11,2024-09,2024-09-30,26.6299991607666,24.475502014160156,3007400.0,AU
0001973832,AU,2024-11-11,2024-10,2024-10-31,27.799999237060547,25.55084800720215,2614700.0,AU
0001973832,AU,2024-11-11,2024-11,2024-11-29,24.940000534057617,22.9222354888916,8113900.0,AU
0001973832,AU,2024-11-11,2024-12,2024-12-31,23.079999923706055,21.212718963623047,1573100.0,AU
0001973832,AU,2024-11-11,2025-01,2025-01-31,30.209999084472656,27.765865325927734,3343100.0,AU
0001973832,AU,2024-11-11,2025-02,2025-02-28,29.469999313354492,27.08573341369629,3076000.0,AU
0001973832,AU,2024-11-11,2025-03,2025-03-31,37.119998931884766,34.85778045654297,3478000.0,AU
0001973832,AU,2024-11-11,2025-04,2025-04-30,42.15999984741211,39.59062576293945,2837600.0,AU
0001973832,AU,2024-11-11,2025-05,2025-05-30,43.810001373291016,41.25714874267578,4360400.0,AU
0001973832,AU,2024-11-11,2025-06,2025-06-30,45.56999969482422,42.91459274291992,3499900.0,AU
0001973832,AU,2024-11-11,2025-07,2025-07-31,46.25,43.554962158203125,4932100.0,AU
0001973832,AU,2024-11-11,2025-08,2025-08-29,56.65999984741211,54.14841842651367,3967400.0,AU
0001973832,AU,2024-11-11,2025-09,2025-09-30,70.33000183105469,67.21246337890625,3008400.0,AU
0001973832,AU,2024-11-11,2025-10,2025-10-31,68.0,64.9857406616211,3018100.0,AU
0001973832,AU,2024-11-11,2025-11,2025-11-14,79.38999938964844,75.87085723876953,2500300.0,AU
0001638833,SGRY,2020-03-06,2019-12,2019-12-31,15.654999732971191,15.654999732971191,420900.0,SGRY
0001638833,SGRY,2020-03-06,2020-01,2020-01-31,16.8700008392334,16.8700008392334,344600.0,SGRY
0001638833,SGRY,2020-03-06,2020-02,2020-02-28,16.420000076293945,16.420000076293945,602800.0,SGRY
0001638833,SGRY,2020-03-06,2020-03,2020-03-31,6.53000020980835,6.53000020980835,1054600.0,SGRY
0001638833,SGRY,2020-03-06,2020-04,2020-04-30,11.800000190734863,11.800000190734863,619600.0,SGRY
0001638833,SGRY,2020-03-06,2020-05,2020-05-29,13.404999732971191,13.404999732971191,511900.0,SGRY
0001638833,SGRY,2020-03-06,2020-06,2020-06-30,11.569999694824219,11.569999694824219,541000.0,SGRY
0001638833,SGRY,2020-03-06,2020-07,2020-07-31,15.270000457763672,15.270000457763672,443800.0,SGRY
0001638833,SGRY,2020-03-06,2020-08,2020-08-31,19.09000015258789,19.09000015258789,426200.0,SGRY
0001638833,SGRY,2020-03-06,2020-09,2020-09-30,21.899999618530273,21.899999618530273,971500.0,SGRY
0001638833,SGRY,2020-03-06,2020-10,2020-10-30,21.81999969482422,21.81999969482422,452100.0,SGRY
0001638833,SGRY,2020-03-06,2020-11,2020-11-30,24.43000030517578,24.43000030517578,443000.0,SGRY
0001638833,SGRY,2020-03-06,2020-12,2020-12-31,29.010000228881836,29.010000228881836,344600.0,SGRY
0001638833,SGRY,2020-03-06,2021-01,2021-01-29,37.279998779296875,37.279998779296875,1216700.0,SGRY
0001638833,SGRY,2020-03-06,2021-02,2021-02-26,39.470001220703125,39.470001220703125,690600.0,SGRY
0001638833,SGRY,2020-03-06,2021-03,2021-03-09,40.599998474121094,40.599998474121094,806200.0,SGRY
0001144879,APLD,2025-02-25,2024-11,2024-11-29,10.100000381469727,10.100000381469727,11660400.0,APLD
0001144879,APLD,2025-02-25,2024-12,2024-12-31,7.639999866485596,7.639999866485596,10666100.0,APLD
0001144879,APLD,2025-02-25,2025-01,2025-01-31,7.119999885559082,7.119999885559082,23523700.0,APLD
0001144879,APLD,2025-02-25,2025-02,2025-02-28,8.0,8.0,45835400.0,APLD
0001144879,APLD,2025-02-25,2025-03,2025-03-31,5.619999885559082,5.619999885559082,15771100.0,APLD
0001144879,APLD,2025-02-25,2025-04,2025-04-30,4.539999961853027,4.539999961853027,36021700.0,APLD
0001144879,APLD,2025-02-25,2025-05,2025-05-30,6.829999923706055,6.829999923706055,23461500.0,APLD
0001144879,APLD,2025-02-25,2025-06,2025-06-30,10.069999694824219,10.069999694824219,32007900.0,APLD
0001144879,APLD,2025-02-25,2025-07,2025-07-31,13.140000343322754,13.140000343322754,138168400.0,APLD
0001144879,APLD,2025-02-25,2025-08,2025-08-29,15.979999542236328,15.979999542236328,28060900.0,APLD
0001144879,APLD,2025-02-25,2025-09,2025-09-30,22.940000534057617,22.940000534057617,27744000.0,APLD
0001144879,APLD,2025-02-25,2025-10,2025-10-31,34.65999984741211,34.65999984741211,31397200.0,APLD
0001144879,APLD,2025-02-25,2025-11,2025-11-28,27.100000381469727,27.100000381469727,19895400.0,APLD
0001144879,APLD,2025-02-25,2025-12,2025-12-31,24.520000457763672,24.520000457763672,29076400.0,APLD
0001144879,APLD,2025-02-25,2026-01,2026-01-30,33.880001068115234,33.880001068115234,30806600.0,APLD
0001144879,APLD,2025-02-25,2026-02,2026-02-27,27.270000457763672,27.270000457763672,18375100.0,APLD
0001477641,DQ,2020-05-14,2020-02,2020-02-28,13.11400032043457,13.11400032043457,1650000.0,DQ
