年份段,行業共跌,主成因,期,樣本N,未成熟,其他不可判,公司數,中位期內最大跌幅,觸及負33比例,觸及負80比例,觸及負50比例,最大單筆超額,可信度,勝率,中位超額,平均超額,p25超額,p75超額,平均盈虧比,中位盈虧比,前1%事件數,前1%佔總超額比例,前5%事件數,前5%佔總超額比例,剔走前1%後平均,剔走前5%後平均,簇數,2020年觸發佔比,勝率下限,勝率上限,平均超額下限,平均超額上限
全期 2010-2026,個別殺,收購或處置(8-K 2.01),3m,51,0,0,49,-0.1488223041342904,0.17647058823529413,0.0,0.0196078431372549,1.0956882008839657,中,0.45098039215686275,-0.0519888555504526,0.009984227950097976,-0.1948372207086061,0.15797411983255388,1.3374069783527096,0.9327633681824655,1.0,2.1518020699901,3.0,4.815102911937843,-0.011729851508579383,-0.040471535696236856,51.0,0.058823529411764705,,,,
全期 2010-2026,個別殺,收購或處置(8-K 2.01),12m,40,11,0,38,-0.3769807687156098,0.575,0.025,0.225,1.1731186894800645,中,0.4,-0.12228977271181404,0.022334564754338825,-0.30798236971651904,0.3029603384517893,1.6674157711080293,1.7616846033471292,1.0,1.3131201596979503,2.0,2.540731299614642,-0.007172720495038749,-0.03622269787397877,40.0,0.075,0.25,0.55,-0.13533744565255604,0.1968181106809865
全期 2010-2026,個別殺,高管離任(8-K 5.02),3m,844,37,0,616,-0.15285736787416335,0.17298578199052134,0.0,0.04976303317535545,2.2825754700265213,高,0.48578199052132703,-0.00801659322933885,0.018920651933265125,-0.16766696658413258,0.1404762678704004,1.273763545635998,0.886186144640647,9.0,0.9290208824871102,43.0,2.3999382689113786,0.001357446315426354,-0.027909683568945867,634.0,0.12085308056872038,,,,
全期 2010-2026,個別殺,高管離任(8-K 5.02),12m,749,132,0,551,-0.2982744862495422,0.4552736982643525,0.025367156208277702,0.24299065420560748,6.508599321119126,高,0.43524699599465955,-0.063570541936118,0.04552664235675554,-0.3777248085701055,0.2804276678965545,1.6037707079478443,1.0608723616011893,8.0,0.8946985210439916,38.0,2.2926325886020975,0.004845780102940108,-0.06199446828188629,567.0,0.13618157543391188,0.4013071895424837,0.4731034482758621,-0.0033538426935386893,0.09729091436000158
全期 2010-2026,個別殺,指引或其他重大訊息(8-K 7.01/8.01),3m,1165,24,2,778,-0.1493327909771534,0.17167381974248927,0.0008583690987124463,0.0463519313304721,2.280974557864144,高,0.49871244635193135,-0.0001068190316055,0.02568040483829193,-0.1379922955069688,0.1409409293095664,1.3105024038539943,1.0312169793387689,12.0,0.5415154031591063,59.0,1.5981638942933964,0.011896610250415824,-0.016180534334851514,812.0,0.13991416309012875,,,,
全期 2010-2026,個別殺,指引或其他重大訊息(8-K 7.01/8.01),12m,1013,176,2,679,-0.2630206591000701,0.40078973346495556,0.03257650542941757,0.19743336623889438,5.366672695005573,高,0.45804540967423496,-0.0449661785517674,0.05339417065138272,-0.3112460758652514,0.2667424590268668,1.549209984375107,1.081606063491096,11.0,0.6024742143057332,51.0,1.7071375991068838,0.021458574765469633,-0.0397586974782239,716.0,0.16090819348469892,0.42159331466023275,0.49400380116959064,0.014715653830703281,0.09521654152752113
全期 2010-2026,個別殺,重大合約或舉債(8-K 1.01/2.03),3m,223,10,0,197,-0.1589529484273877,0.18385650224215247,0.0,0.053811659192825115,1.1847542667828423,高,0.4439461883408072,-0.0207126916400562,0.0037499614213999033,-0.16439131829319886,0.1311461152995752,1.3019883179236786,0.9979679999584392,3.0,3.5293833466465263,12.0,10.79036224570761,-0.009614432105808406,-0.03880145119058863,202.0,0.14349775784753363,,,,
全期 2010-2026,個別殺,重大合約或舉債(8-K 1.01/2.03),12m,203,30,0,181,-0.278470210128978,0.4236453201970443,0.029556650246305417,0.22660098522167488,2.1609516424492328,高,0.4236453201970443,-0.0816862052566035,-0.004779418047767242,-0.28253256902532603,0.2007528867714563,1.3223128778198079,1.158245530766933,3.0,-5.585632341472206,11.0,-14.348233739848864,-0.03194762241982378,-0.07755829137254953,182.0,0.15763546798029557,0.3543613833790124,0.49746256664030813,-0.06966939166743635,0.061835249595451364
全期 2010-2026,個別殺,內部人擬售(Form 144),3m,630,67,5,479,-0.1586247460235837,0.16507936507936508,0.006349206349206349,0.031746031746031744,2.005349016365627,高,0.4380952380952381,-0.03047413930256475,-0.004575091857286132,-0.1945693552807347,0.13985923376541232,1.23013171926921,0.9414800738783985,7.0,-3.4848490816632136,32.0,-9.162470147547111,-0.020749142542929293,-0.04898222021042205,321.0,0.0015873015873015873,,,,
全期 2010-2026,個別殺,內部人擬售(Form 144),12m,441,256,5,345,-0.3322263897589917,0.5011337868480725,0.02947845804988662,0.24036281179138322,8.614873204074891,高,0.36281179138321995,-0.163521384986982,0.012735632884021117,-0.3920687202212808,0.1898020925623851,1.8550809242029178,1.0805186044207185,5.0,4.478178699167031,23.0,10.390742410768041,-0.04480479792377873,-0.12617774665719997,223.0,0.0022675736961451248,0.3113610024081878,0.4166666666666667,-0.06575885844071483,0.10086603631219006
