年份段,主成因,期,全期觸發宗數,樣本N,未成熟,其他不可判,公司數,中位期內最大跌幅,觸及負33比例,觸及負80比例,觸及負50比例,最大單筆超額,可信度,勝率,中位超額,平均超額,p25超額,p75超額,平均盈虧比,中位盈虧比,前1%事件數,前1%佔總超額比例,前5%事件數,前5%佔總超額比例,剔走前1%後平均,剔走前5%後平均,簇數,2020年觸發佔比,勝率下限,勝率上限,平均超額下限,平均超額上限
建表年份剔 2020,指引或其他重大訊息(8-K 7.01/8.01),3m,454,454,0,0,326,-0.14208195227512174,0.15198237885462554,0.0,0.037444933920704845,1.082427586738774,高,0.44273127753303965,-0.02457495836037945,-0.020461289342219587,-0.15543818107709126,0.10280992301637015,0.9918045646767872,0.8674689793296532,5.0,-0.5103728191989285,23.0,-1.4728024616301658,-0.031248319758990974,-0.053296783992389164,360.0,0.0,0.3940645865434001,0.493709354371119,-0.044778396833962626,0.007223518348305673
建表年份剔 2020,指引或其他重大訊息(8-K 7.01/8.01),6m,454,454,0,0,326,-0.200747490477302,0.29295154185022027,0.00881057268722467,0.12555066079295155,1.6762507560597903,高,0.42951541850220265,-0.0407265410941246,-0.030186990041617245,-0.23541568641698618,0.13672168520803785,1.0416776172385354,0.7892342093680101,5.0,-0.5570861151049905,23.0,-1.4510903312092198,-0.04752717003336109,-0.07793951716095114,360.0,0.0,0.38410200973984,0.477130467571644,-0.0626881706635419,0.004110424688124593
建表年份剔 2020,指引或其他重大訊息(8-K 7.01/8.01),12m,454,454,0,0,326,-0.2959909354832937,0.4669603524229075,0.048458149779735685,0.28634361233480177,2.4906391681841384,高,0.3854625550660793,-0.10864515405478994,-0.05444924894616089,-0.3953261409250826,0.19302277692494718,1.1843056767804478,0.8618859570412013,5.0,-0.43020416581767074,23.0,-1.1964044058222019,-0.07874073133958351,-0.12597454038675676,360.0,0.0,0.34004252040831445,0.4341393759163078,-0.10466044755532429,-0.003398157610982266
建表年份剔 2020,重大合約或舉債(8-K 1.01/2.03),1m,110,110,0,0,101,-0.1150137145155945,0.05454545454545454,0.0,0.0,0.3991506219602143,高,0.42727272727272725,-0.03171271907502225,-0.020756246929844343,-0.11750984640971653,0.05893358150772085,0.9360642099590394,0.7032418045684179,2.0,-0.2952749410556512,6.0,-0.7188244989596506,-0.02738291775041643,-0.03773459644463436,91.0,0.0,0.34209964012595595,0.5233644859813084,-0.04560751384157962,0.006570386328239864
建表年份剔 2020,重大合約或舉債(8-K 1.01/2.03),3m,110,110,0,0,101,-0.17467116532469973,0.19090909090909092,0.0,0.00909090909090909,1.0405825839196372,高,0.45454545454545453,-0.0175669715209352,-0.009204907688548687,-0.1788688469671658,0.10752330469431329,1.0816569233623563,0.925608944008731,2.0,-1.747710329018108,6.0,-3.6169490212785176,-0.02576079808039978,-0.04495043124804265,91.0,0.0,0.36605425824175825,0.5463345410628017,-0.053665819400252064,0.03477772411037842
建表年份剔 2020,重大合約或舉債(8-K 1.01/2.03),6m,110,110,0,0,101,-0.26145033852625543,0.38181818181818183,0.00909090909090909,0.15454545454545454,0.9032784093810412,高,0.4090909090909091,-0.08567950051687545,-0.06213578425753202,-0.2638571379657085,0.11132720419521445,0.8882981758513462,0.9127230878019409,2.0,-0.23340421539683093,6.0,-0.5458878835590858,-0.07805777041967671,-0.10159658809718862,91.0,0.0,0.31353283898305084,0.5096200980392156,-0.12679179011441033,0.007661644358548648
建表年份剔 2020,重大合約或舉債(8-K 1.01/2.03),12m,110,110,0,0,101,-0.33716681638357415,0.509090909090909,0.05454545454545454,0.3181818181818182,2.1609516424492328,高,0.41818181818181815,-0.08845527727598679,-0.029859905180369524,-0.31619522175664627,0.2281442967874437,1.1719903083382617,1.1575878642359165,2.0,-1.014197106783384,6.0,-2.0308245591648415,-0.06125750748651769,-0.0957212955293242,91.0,0.0,0.319672131147541,0.5263275375939849,-0.12114065120778864,0.07344167163200409
建表年份剔 2020,內部人擬售(Form 144),1m,1,1,0,0,1,-0.0335714476449149,0.0,0.0,0.0,0.0899570929760726,"低(樣本不足,只報樣本數)",,,,,,,,,,,,,,,,,,,
建表年份剔 2020,內部人擬售(Form 144),3m,1,1,0,0,1,-0.0335714476449149,0.0,0.0,0.0,0.2404280932711597,"低(樣本不足,只報樣本數)",,,,,,,,,,,,,,,,,,,
建表年份剔 2020,內部人擬售(Form 144),6m,1,1,0,0,1,-0.0335714476449149,0.0,0.0,0.0,0.1896060475934076,"低(樣本不足,只報樣本數)",,,,,,,,,,,,,,,,,,,
建表年份剔 2020,內部人擬售(Form 144),12m,1,1,0,0,1,-0.0335714476449149,0.0,0.0,0.0,-0.1252276876929797,"低(樣本不足,只報樣本數)",,,,,,,,,,,,,,,,,,,
建表年份剔 2020,定期報告(10-K/10-Q),1m,85,85,0,0,78,-0.0807601305242603,0.011764705882352941,0.0,0.0,0.3468367284270688,中,0.5529411764705883,0.0133269545809078,-0.0063753657427357835,-0.0784345883674607,0.0538076386220343,0.696378126871435,0.4995311126182082,1.0,-0.6400310607734638,5.0,-2.0061192810572828,-0.010580271625709644,-0.020362929250719503,66.0,0.0,0.4268252032520325,0.6714906832298133,-0.03706929868784429,0.02350237055865436
建表年份剔 2020,定期報告(10-K/10-Q),3m,85,85,0,0,78,-0.1246417711542852,0.11764705882352941,0.0,0.03529411764705882,0.3738325505154296,中,0.38823529411764707,-0.0389591131636825,-0.055696050442945066,-0.1913009855748144,0.1032356045986577,0.7727472826676326,0.9128465820220799,1.0,-0.07896484528232771,5.0,-0.29805837909307153,-0.06080948616864,-0.07681527026984616,66.0,0.0,0.27835051546391754,0.5,-0.10046338801175404,-0.010974418672702876
建表年份剔 2020,定期報告(10-K/10-Q),6m,85,85,0,0,78,-0.2503730617125262,0.24705882352941178,0.011764705882352941,0.03529411764705882,0.8186733086017386,中,0.2823529411764706,-0.1376823600317268,-0.09380570922347455,-0.2587509597313451,0.0564529305920171,1.0959554976229406,0.9861447229721908,1.0,-0.10267446159899597,5.0,-0.35050660457740923,-0.10466855467377471,-0.134603056719206,66.0,0.0,0.1875,0.38461538461538464,-0.14995156780260296,-0.02889506724839215
建表年份剔 2020,定期報告(10-K/10-Q),12m,85,85,0,0,78,-0.3594266661227112,0.6,0.058823529411764705,0.2823529411764706,1.3839713547238817,中,0.29411764705882354,-0.2249056165373384,-0.12096654654092086,-0.3955630847659821,0.0612685787083888,1.213416479858799,1.0601848368132976,1.0,-0.13459932852113043,5.0,-0.48007757684516356,-0.1388824739369304,-0.19022986515133972,66.0,0.0,0.2087912087912088,0.3889227642276421,-0.2102085130383634,-0.02139788091757297
建表年份剔 2020,其他申報,1m,301,301,0,0,223,-0.0843749927822501,0.019933554817275746,0.0,0.0,0.4397801873155125,高,0.4850498338870432,-0.0052480449949773,0.005516053436539217,-0.0781082461386336,0.0773176250143585,1.182910408871808,1.1079440004295835,4.0,0.9070341104886608,16.0,3.0602352642748762,0.0005197112764656746,-0.012002367405910151,235.0,0.0,0.42662116040955633,0.5451505016722408,-0.011178902059127263,0.02181532068562765
建表年份剔 2020,其他申報,3m,301,301,0,0,223,-0.1312497026570751,0.132890365448505,0.0033222591362126247,0.023255813953488372,1.1245123772670025,高,0.47840531561461797,-0.0181877260327603,0.002255193365209797,-0.1512788240226554,0.138848621065859,1.117272714519545,1.052148731401354,4.0,5.304888384919695,16.0,12.874484398490605,-0.009839107989277876,-0.02828265539529734,235.0,0.0,0.4215597147950089,0.5377049180327869,-0.025223283673982452,0.031053540345054878
建表年份剔 2020,其他申報,6m,301,301,0,0,223,-0.196844083171126,0.2956810631229236,0.009966777408637873,0.13953488372093023,1.7917358528836975,高,0.4684385382059801,-0.0242769434467181,-0.018778947423556208,-0.2405568795436531,0.161636020426326,0.9782581355976847,0.7418129952650994,4.0,-0.8846126382257888,16.0,-2.249355409073116,-0.03586768867256062,-0.06444512908988437,235.0,0.0,0.40688286808976465,0.5263523391812863,-0.059441994512071016,0.020227007170283872
建表年份剔 2020,其他申報,12m,301,301,0,0,223,-0.3042243822957388,0.4717607973421927,0.04983388704318937,0.2691029900332226,3.777265425248849,高,0.3920265780730897,-0.1279063747700042,-0.037727661525157476,-0.3961885051279151,0.208865964818544,1.2782552397039486,0.9526678195009218,4.0,-0.8496237938996228,16.0,-1.9677258604310102,-0.07072180509758215,-0.1182511311764953,235.0,0.0,0.33330645161290323,0.4548569984110934,-0.0991046582951936,0.03076920546843671
建表年份剔 2020,無申報,1m,108,108,0,0,104,-0.09295316510191509,0.046296296296296294,0.0,0.009259259259259259,0.6003441652726349,高,0.5092592592592593,0.0015038712344844,-0.003895200381567359,-0.09435842307604016,0.07060047948496102,0.9006250028769646,0.7132255494418501,2.0,-2.652992508700483,6.0,-5.237839019522736,-0.014497612112125507,-0.02572690545423604,94.0,0.0,0.40362471062333877,0.6194781686535508,-0.03739268454604427,0.027738130716685985
建表年份剔 2020,無申報,3m,108,108,0,0,104,-0.14412889418642444,0.1111111111111111,0.0,0.037037037037037035,0.6753058397618978,高,0.5,-0.01069099026727135,0.009938035034043518,-0.14191445558916113,0.12504577356745725,1.1177730495435152,0.8662685961655141,2.0,1.1770352474425259,6.0,2.9387835762821326,-0.0017925783874074767,-0.020401093169491773,94.0,0.0,0.40540540540540543,0.5922419992808341,-0.03623078642846487,0.05630613155016792
建表年份剔 2020,無申報,6m,108,108,0,0,104,-0.2453972512511178,0.35185185185185186,0.0,0.10185185185185185,0.8612550893428421,高,0.48148148148148145,-0.018762599255324898,-0.004366482587979937,-0.24240280410196097,0.22278021542543905,1.0417324464996947,0.9932759305640946,2.0,-3.6254032701033636,6.0,-8.471912382049684,-0.020577813460938812,-0.04379181934350866,94.0,0.0,0.3795983483483484,0.5865384615384616,-0.0677437331237634,0.06215924660892453
建表年份剔 2020,無申報,12m,108,108,0,0,104,-0.31425214072694985,0.4722222222222222,0.037037037037037035,0.26851851851851855,1.4915514267956334,高,0.4351851851851852,-0.08029359199731234,-0.024992743761512635,-0.38762917834856153,0.24904932214442274,1.1352169079821046,0.8537922262566847,2.0,-1.044017901119633,6.0,-2.587253636438652,-0.05204949518713029,-0.09492915276324601,94.0,0.0,0.3364485981308411,0.5363804713804713,-0.11424694155696576,0.06797780741435519
驗證年份 2022-2026,0 全部觸發(不分成因),1m,5547,5447,88,12,2079,-0.0889223529615023,0.03451441160271709,0.0005507618872774004,0.005507618872774004,1.7398342065474424,高,0.4848540480998715,-0.0044859963437546,0.008785472516934694,-0.08467158078822659,0.0796722445585178,1.2369714193084718,1.0242978998408097,55.0,0.9719327449530658,273.0,2.6879845549929433,0.0002490993288089719,-0.015612215736636709,1575.0,0.0,0.46503219963557096,0.503168419300143,0.0018827299179132741,0.015185348412918126
驗證年份 2022-2026,0 全部觸發(不分成因),3m,5547,5110,425,12,1988,-0.14978358854961898,0.15264187866927592,0.0013698630136986301,0.034833659491193734,16.6471220607926,高,0.4688845401174168,-0.01655057768482255,0.016708924491885657,-0.1611995090177815,0.1393489083172416,1.3321839005776674,1.001324644013847,52.0,1.097322913698926,256.0,2.7152462055139335,-0.00164287936248007,-0.03017144371471987,1511.0,0.0,0.44887194507968275,0.4878013962435568,0.0035679113216710106,0.03166623242363942
驗證年份 2022-2026,0 全部觸發(不分成因),6m,5547,4513,1022,12,1815,-0.2166457690603639,0.2924883669399512,0.004874806115665854,0.1072457345446488,5.701597369111421,高,0.4167959228894305,-0.0591339902149948,0.00372449410105671,-0.2585369976734315,0.1580080264866543,1.4350817592153469,0.9634361472307624,46.0,6.75265323136933,226.0,18.008688256155548,-0.021646359528722427,-0.06668834842860633,1374.0,0.0,0.3944236290415815,0.43750344314676065,-0.01673402441246472,0.022899842051986745
驗證年份 2022-2026,0 全部觸發(不分成因),12m,5547,3831,1704,12,1646,-0.2850581546177719,0.4306969459671104,0.024797702949621508,0.20595144870790916,9.355625301048798,高,0.4035499869485774,-0.1023034888233429,0.006706050788661597,-0.3669390963468861,0.2010544233523767,1.5275417546112902,0.918678238512031,39.0,5.819355087917123,192.0,14.77001163849741,-0.03265123312095657,-0.09721454368532831,1179.0,0.0,0.3839820798182681,0.424172624292796,-0.021154355736495285,0.037463089802162244
驗證年份 2022-2026,重列或不可依賴(8-K 4.02),1m,6,6,0,0,6,-0.09296669306106485,0.0,0.0,0.0,0.139323470069089,"低(樣本不足,只報樣本數)",,,,,,,,,,,,,,,,,,,
驗證年份 2022-2026,重列或不可依賴(8-K 4.02),3m,6,6,0,0,6,-0.2519997233417266,0.16666666666666666,0.0,0.16666666666666666,0.2020002891608943,"低(樣本不足,只報樣本數)",,,,,,,,,,,,,,,,,,,
驗證年份 2022-2026,重列或不可依賴(8-K 4.02),6m,6,5,1,0,5,-0.2798571681927334,0.2,0.0,0.2,0.6436679838027681,"低(樣本不足,只報樣本數)",,,,,,,,,,,,,,,,,,,
驗證年份 2022-2026,重列或不可依賴(8-K 4.02),12m,6,5,1,0,5,-0.3419540375569549,0.6,0.0,0.4,0.8498386428512734,"低(樣本不足,只報樣本數)",,,,,,,,,,,,,,,,,,,
驗證年份 2022-2026,退市或不合規通知(8-K 3.01),1m,9,7,1,1,7,-0.2077316826786531,0.2857142857142857,0.0,0.0,1.2535425679632866,"低(樣本不足,只報樣本數)",,,,,,,,,,,,,,,,,,,
驗證年份 2022-2026,退市或不合規通知(8-K 3.01),3m,9,6,2,1,6,-0.31783951910885183,0.5,0.0,0.5,2.920629159680471,"低(樣本不足,只報樣本數)",,,,,,,,,,,,,,,,,,,
驗證年份 2022-2026,退市或不合規通知(8-K 3.01),6m,9,5,3,1,5,-0.5842553030888701,0.6,0.0,0.6,3.194321501805022,"低(樣本不足,只報樣本數)",,,,,,,,,,,,,,,,,,,
驗證年份 2022-2026,退市或不合規通知(8-K 3.01),12m,9,4,4,1,4,-0.7879216210131671,0.75,0.5,0.75,3.904266355596894,"低(樣本不足,只報樣本數)",,,,,,,,,,,,,,,,,,,
驗證年份 2022-2026,稀釋增發(S-1/S-3/424B),1m,254,252,2,0,229,-0.10213171346645615,0.06349206349206349,0.0,0.011904761904761904,1.661651513551652,高,0.5079365079365079,0.0048795302417197,0.020826399571489768,-0.10416293093630741,0.09297978311133097,1.2785047527551854,0.8296900717700492,3.0,0.6608541037228315,13.0,1.6588502259255007,0.007148286598886082,-0.014467834610244675,192.0,0.0,0.44128677994198096,0.5726981072939701,-0.01014653178430668,0.05362148920646926
驗證年份 2022-2026,稀釋增發(S-1/S-3/424B),3m,254,230,24,0,213,-0.19920282139818019,0.1826086956521739,0.004347826086956522,0.07391304347826087,1.6102484749011694,高,0.45217391304347826,-0.0276002794270549,0.025098476256876105,-0.1917003703294235,0.15270445802652233,1.4863266993743496,1.0971380236727246,3.0,0.7633997416756543,12.0,2.2578650383132386,0.006016785780451994,-0.03330832125525531,178.0,0.0,0.3791588656387665,0.526791747104247,-0.02694951215076362,0.08086374562133294
驗證年份 2022-2026,稀釋增發(S-1/S-3/424B),6m,254,208,46,0,192,-0.2546879475535978,0.3269230769230769,0.0,0.17307692307692307,4.937137710699399,高,0.39903846153846156,-0.077176072018659,0.04759402373351504,-0.28321588390092395,0.22400279768437598,1.9406463431578544,1.3295372670458254,3.0,0.924292126867453,11.0,1.9945105335965292,0.0036559726859627033,-0.04997570381400291,161.0,0.0,0.33329493087557605,0.4703120907328827,-0.030925231780965533,0.12930300399676958
驗證年份 2022-2026,稀釋增發(S-1/S-3/424B),12m,254,173,81,0,162,-0.3259259184038036,0.48554913294797686,0.046242774566473986,0.3179190751445087,3.2105002299804823,高,0.3699421965317919,-0.124663151089439,0.011142764424333854,-0.4542587412298697,0.2084890933872909,1.783374197191957,0.878316894737692,2.0,3.247774374465617,9.0,10.358687615351624,-0.025339360922423323,-0.11000442497226431,137.0,0.0,0.29760714285714285,0.45,-0.09993572040894513,0.13527312196968833
驗證年份 2022-2026,業績(8-K 2.02),1m,1802,1766,33,3,1078,-0.08567748000447255,0.026613816534541337,0.0,0.0033975084937712344,1.7398342065474424,高,0.48357870894677235,-0.00418990657134455,0.006301720026029881,-0.07913140909835432,0.07206506922967786,1.2040392334235301,0.974183187280117,18.0,1.3495346958708843,89.0,3.3694295596507655,-0.0022253517471495293,-0.015723909775407437,845.0,0.0,0.456930922057639,0.5102336228407588,-0.0026027691358385258,0.015288637574422998
驗證年份 2022-2026,業績(8-K 2.02),3m,1802,1698,101,3,1039,-0.14359290728611646,0.14723203769140164,0.0005889281507656066,0.02944640753828033,16.6471220607926,高,0.46760895170789163,-0.0167407790422432,0.021175274309667716,-0.15599569596672616,0.13286069259587818,1.400023649498245,0.9928568552546635,17.0,1.2288739613524704,85.0,2.4194658182040403,-0.004895481389610995,-0.03164151740179007,813.0,0.0,0.44125982716118184,0.4947224171337477,-0.002611091470338613,0.05179813396632437
驗證年份 2022-2026,業績(8-K 2.02),6m,1802,1496,303,3,950,-0.21603005811069426,0.29879679144385024,0.002005347593582888,0.10561497326203209,5.371946352213611,高,0.4137700534759358,-0.0613352272816248,-0.016101761060230438,-0.258097900984232,0.1309331102829353,1.2604671951313575,0.7858935400914329,15.0,-1.516785780576165,75.0,-3.7731717982117807,-0.04093512909170827,-0.08091293582278525,728.0,0.0,0.38714054470709147,0.4416854245194364,-0.04058634731759187,0.010013249601882261
驗證年份 2022-2026,業績(8-K 2.02),12m,1802,1278,521,3,852,-0.2880173105212206,0.4491392801251956,0.025821596244131457,0.2167449139280125,7.160865750051727,高,0.38810641627543035,-0.1335704318231715,-0.03699960799715341,-0.3851976531330984,0.16273989101082065,1.3009608110372297,0.8476150936567804,13.0,-0.882077840720055,64.0,-2.206418905985731,-0.070351770666888,-0.12489054204106974,628.0,0.0,0.35560167357560196,0.41889995193705537,-0.0762953086676897,0.0009589467498356315
驗證年份 2022-2026,收購或處置(8-K 2.01),1m,30,30,0,0,30,-0.053264802365156,0.0,0.0,0.0,0.2933980550458126,中,0.4666666666666667,-0.00392949421435455,0.009178367056817691,-0.05504964438740395,0.06740685366851715,1.4245116223807661,1.4471686427158725,1.0,1.06554195399379,2.0,1.7897365620684802,-0.0006223118393545446,-0.007766241476629068,29.0,0.0,0.3,0.6333333333333333,-0.02840232937111607,0.048348079713258704
驗證年份 2022-2026,收購或處置(8-K 2.01),3m,30,28,2,0,28,-0.09943054426831165,0.10714285714285714,0.0,0.0,0.6542352404757084,"低(樣本不足,只報樣本數)",,,,,,,,,,,,,,,,,,,
驗證年份 2022-2026,收購或處置(8-K 2.01),6m,30,22,8,0,22,-0.2196287942487838,0.22727272727272727,0.0,0.09090909090909091,1.1299034762515796,"低(樣本不足,只報樣本數)",,,,,,,,,,,,,,,,,,,
驗證年份 2022-2026,收購或處置(8-K 2.01),12m,30,16,14,0,16,-0.2834846505777668,0.375,0.0,0.125,0.8546803063860196,"低(樣本不足,只報樣本數)",,,,,,,,,,,,,,,,,,,
驗證年份 2022-2026,高管離任(8-K 5.02),1m,637,629,8,0,515,-0.088607583476114,0.04451510333863275,0.0,0.0047694753577106515,0.9285751127365536,高,0.5151033386327504,0.006073758822086,0.016413721864660096,-0.0781506903381661,0.0899233839054853,1.2457843835446885,1.0217750436720254,7.0,0.5083711701577803,32.0,1.4712599467557317,0.008160272719523753,-0.008149743008827395,423.0,0.0,0.4733314424635332,0.558974973303031,0.00346797900171947,0.031024088341578143
