事件表,版本,名次,entity_id,primary_ticker,name,trigger_date,trigger_year,entry_A_date,超額,mcap,shares,cash,total_debt,has_total_debt,ttm_ocf,ttm_method,split_basis_suspect,dollar_vol_60d,rel60,px_vs_sma200,industry_kill,sic2,sic_description,is_foreign_filer,panel_period_end,panel_filed,currency,entry_date,exit_date,entry_close,entry_adj,exit_close,exit_adj,股票總回報,大市總回報,股票價格回報,大市價格回報,超額_總回報口徑,超額_價格口徑,口徑差,存檔超額,重算對照差,股票除息因子,大市除息因子,窗內最大單日升,窗內最大單日跌,窗內交易日,窗內代號,窗內代號數,代號可對應實體數,代號時段起,代號時段止,觸發日在代號時段內,觸發前股數,一年後股數,股數比,疑似拆股(股數比<=0.5 或 >=1.8),疑似單日異常(升>=80% 或 跌<=-50%),窗內換過代號
events.csv(正本),B(總債務/四季經營現金流<=3),11,0001511737,UI,Ubiquiti Inc.,2012-11-06,2012,2012-11-07,1.869105228604632,986841190.5079994,88984777.0,122060000.0,29591000.0,True,81788000.0,FY_latest,False,4440445.081520081,-0.2771627306938171,-0.4125271674552728,個別殺,36.0,Radio & Tv Broadcasting & Communications Equipment,False,2012-06-30,2012-09-28,USD,2012-11-07,2013-11-07,10.270000457763672,9.361621856689453,37.18000030517578,34.36398696899414,2.6707300823562923,0.2793989031003665,2.6202530329070557,0.2520039446568574,1.869105228604632,1.8915667944634755,-0.022461565858843624,1.869105228604632,0.0,0.01394296171853604,0.021880888283476896,0.24528307580379405,-0.0974297008237579,253,UI,1,1,2011-06-17,,True,88543801.0,87639156.0,0.9897830792242588,False,False,False
events.csv(正本),B(總債務/四季經營現金流<=3),12,0001039399,FORM,FORMFACTOR INC,2025-03-24,2025,2025-03-25,1.8141115653811544,2505527924.06971,77450635.0,184506000.0,13586000.0,True,90871000.0,YTD_diff,False,28345280.53998947,-0.2716180086135864,-0.2793399304371443,個別殺,36.0,Semiconductors & Related Devices,False,2024-09-28,2024-11-05,USD,2025-03-25,2026-03-26,31.450000762939453,31.450000762939453,100.3499984741211,100.3499984741211,2.1907788883863275,0.13384946341107695,2.1907788883863275,0.1209988569564282,1.8141115653811544,1.846371223829311,-0.0322596584481567,1.8141115653811544,0.0,0.0,0.011463532165892465,0.28386539417934475,-0.17460774669522183,253,FORM,1,1,2002-01-29,,True,77565827.0,77954772.0,1.0050143860388416,False,False,False
events.csv(正本),B(總債務/四季經營現金流<=3),13,0000874238,STRL,"STERLING INFRASTRUCTURE, INC.",2025-02-11,2025,2025-02-12,1.7274700170721498,4449714802.366333,30713105.0,648127000.0,322610000.0,True,470204000.0,YTD_diff,False,59242276.19934082,-0.2564602494239807,0.020772360656009,個別殺,16.0,Heavy Construction Other Than Bldg Const - Contractors,False,2024-09-30,2024-11-07,USD,2025-02-12,2026-02-13,140.39999389648438,140.39999389648438,437.7699890136719,437.7699890136719,2.118020000317348,0.14319130212270514,2.118020000317348,0.12992246179991795,1.7274700170721498,1.7594990857606954,-0.0320290686885456,1.7274700170721498,0.0,0.0,0.011743142358326297,0.18185009764793736,-0.14210665712848758,253,STRL,1,1,1995-02-10,,True,30603090.0,30644110.0,1.0013403875229592,False,False,False
events.csv(正本),B(總債務/四季經營現金流<=3),14,0001530721,CPRI,Capri Holdings Ltd,2020-08-28,2020,2020-08-31,1.7192222946734037,2546839349.112734,150344703.0,207000000.0,1768000000.0,True,768000000.0,YTD_diff,False,52313055.19618988,-0.2525461316108703,-0.2398548837358981,行業殺,31.0,Leather & Leather Products,True,2020-06-27,2020-08-05,USD,2020-08-31,2021-08-31,15.84000015258789,15.84000015258789,56.5099983215332,56.5099983215332,2.5675503647202156,0.311974519960569,2.5675503647202156,0.2927199356292358,1.7192222946734037,1.7597241029501864,-0.040501808276782736,1.7192222946734037,0.0,0.0,0.01489462937845154,0.12507496966343856,-0.07243386271413732,253,CPRI,1,1,2011-12-02,,True,150344703.0,150458760.0,1.0007586366378336,False,False,False
events.csv(正本),B(總債務/四季經營現金流<=3),15,0001680247,PUMP,ProPetro Holding Corp.,2025-04-29,2025,2025-04-30,1.5389838917216303,576406567.7838545,102929746.0,46566000.0,45000000.0,True,284103000.0,YTD_diff,False,11083928.022909164,-0.3173836767673492,-0.3061724624212845,個別殺,13.0,"Oil & Gas Field Services, NEC",False,2024-09-30,2024-10-31,USD,2025-04-30,2026-05-01,4.980000019073486,4.980000019073486,16.6200008392334,16.6200008392334,2.3373495533290174,0.31444298020576755,2.3373495533290174,0.2995456648186472,1.5389838917216303,1.5680894820996905,-0.029105590378060153,1.5389838917216303,0.0,0.0,0.011463479730201787,0.5205479577326328,-0.11514195607322053,253,PUMP,1,1,2016-07-22,,True,103909812.0,122616976.0,1.1800326998955595,False,False,False
events.csv(正本),B(總債務/四季經營現金流<=3),16,0000107687,WGO,WINNEBAGO INDUSTRIES INC,2020-03-17,2020,2020-03-18,1.4571439735964535,956854050.7108116,33680185.0,101328000.0,463516000.0,True,158612000.0,YTD_diff,False,30729992.459869385,-0.2649075090885162,-0.3520550202107713,行業殺,37.0,Motor Homes,False,2019-11-30,2019-12-20,USD,2020-03-18,2021-03-18,20.56999969482422,17.94468116760254,83.22000122070312,73.265625,3.08286022558452,0.6616284065799167,3.0456977372558143,0.6311667124430338,1.4571439735964535,1.4802478535112362,-0.023103879914782688,1.4571439735964535,0.0,0.009185680874398194,0.018674788974365253,0.21120328645073916,-0.12252011939377094,253,WGO,1,1,1994-01-11,,True,33696855.0,33600159.0,0.9971304146930032,False,False,False
events.csv(正本),B(總債務/四季經營現金流<=3),17,0001681459,FTI,TechnipFMC plc,2021-12-23,2021,2021-12-27,1.42851647122381,2722230882.007141,450700480.0,1034000000.0,2255800000.0,True,852600000.0,YTD_diff,False,35636433.97819996,-0.2521528303623199,-0.2019682116407398,個別殺,35.0,Oil & Gas Field Machinery & Equipment,False,2021-09-30,2021-10-27,USD,2021-12-27,2022-12-27,6.119999885559082,5.994167327880859,12.069999694824219,11.821830749511719,0.9722223459669643,-0.1878900681397906,0.9722222092364605,-0.20085490908030612,1.4285164712238099,1.4679150652940058,-0.03939859407019597,1.42851647122381,-2.220446049250313e-16,6.932814322624381e-08,0.016223388077870826,0.10368363303546868,-0.11840422420380758,253,FTI,1,1,2016-08-10,,True,450700480.0,442208014.0,0.981157184478703,False,False,False
events.csv(正本),B(總債務/四季經營現金流<=3),18,0000880266,AGCO,AGCO CORP /DE,2020-03-17,2020,2020-03-18,1.4211822343243,3435182903.105297,75465353.0,432800000.0,1345200000.0,True,695900000.0,FY_latest,False,32257910.02120972,-0.2671320736408233,-0.3730333482482948,行業殺,35.0,Farm Machinery & Equipment,False,2019-12-31,2020-02-28,USD,2020-03-18,2021-03-18,36.970001220703125,30.64876365661621,147.42999267578125,123.3031997680664,3.0231051780598888,0.6616284065799167,2.9878276388376412,0.6311667124430338,1.4211822343243,1.4447701197046778,-0.023587885380377926,1.4211822343243,0.0,0.00884630491014149,0.018674788974365253,0.20016250145701808,-0.09172893998313525,253,AGCO,1,1,1994-02-14,,True,75465353.0,75351472.0,0.9984909498800065,False,False,False
events.csv(正本),B(總債務/四季經營現金流<=3),19,0001852131,NXT,Nextpower Inc.,2024-10-18,2024,2024-10-21,1.379743254075005,4576902081.464161,136542423.0,471879000.0,146923000.0,True,324052000.0,YTD_diff,False,91799283.4039688,-0.3359726369380951,-0.2903547779102783,個別殺,36.0,Semiconductors & Related Devices,False,2024-06-28,2024-08-06,USD,2024-10-21,2025-10-23,32.599998474121094,32.599998474121094,90.37999725341797,90.37999725341797,1.7723926835507204,0.16499655112094702,1.7723926835507204,0.1510032111877253,1.379743254075005,1.4086750207150822,-0.02893176664007724,1.379743254075005,0.0,0.0,0.012157515980152578,0.2455427134835948,-0.0927580942407712,253,NXT,1,1,2021-04-08,,True,136542423.0,,,False,False,False
events.csv(正本),B(總債務/四季經營現金流<=3),20,0001274494,FSLR,"FIRST SOLAR, INC.",2022-01-06,2022,2022-01-07,1.3714350940160285,8928253128.793335,106326700.0,1367464000.0,278612000.0,True,389410000.0,YTD_diff,False,140003729.5928955,-0.2634272575378418,-0.080982338196438,個別殺,36.0,Semiconductors & Related Devices,False,2021-09-30,2021-11-05,USD,2022-01-07,2023-01-10,84.68000030517578,84.68000030517578,171.00999450683594,171.00999450683594,1.019485048305834,-0.1484122616715461,1.019485048305834,-0.16200735986378956,1.3714350940160283,1.409907857875195,-0.03847276385916665,1.3714350940160285,-2.220446049250313e-16,0.0,0.016223410017101703,0.15294420970616796,-0.08671205166583384,253,FSLR,1,1,2003-12-23,,True,106333764.0,106609094.0,1.0025892998577572,False,False,False
