事件表,版本,名次,entity_id,primary_ticker,name,trigger_date,trigger_year,entry_A_date,超額,mcap,shares,cash,total_debt,has_total_debt,ttm_ocf,ttm_method,split_basis_suspect,dollar_vol_60d,rel60,px_vs_sma200,industry_kill,sic2,sic_description,is_foreign_filer,panel_period_end,panel_filed,currency
events.csv(正本),"A2(N2,缺債務標籤當零負債)",8,0001030894,CLS,CELESTICA INC,2025-05-01,2025,2025-05-02,2.437321261174755,10258434430.521698,114991980.0,303000000.0,,False,496100000.0,YTD_diff,False,442033085.00938416,-0.2738290131092071,0.1242064386737691,個別殺,36.0,Printed Circuit Boards,True,2025-03-31,2025-04-24,USD
events.csv(正本),"A2(N2,缺債務標籤當零負債)",9,0000927003,AEIS,ADVANCED ENERGY INDUSTRIES INC,2025-04-04,2025,2025-04-07,2.3645734951592674,2981143613.0830383,37721671.0,722086000.0,564695000.0,True,130747000.0,FY_latest,False,31462409.16595459,-0.2664451003074646,-0.2803215904616896,行業殺,36.0,"Electronic Components, NEC",False,2024-12-31,2025-02-18,USD
events.csv(正本),"A2(N2,缺債務標籤當零負債)",10,0001314727,SONO,Sonos Inc,2020-03-13,2020,2020-03-16,2.3636732860384813,929515780.5188084,110001870.0,408419000.0,32631000.0,True,147426000.0,YTD_diff,False,22132045.25952339,-0.3125176131725311,-0.350424741911913,個別殺,36.0,Household Audio & Video Equipment,False,2019-12-28,2020-02-06,USD
events.csv(正本),"A2(N2,缺債務標籤當零負債)",11,0000018926,LUMN,"Lumen Technologies, Inc.",2023-09-11,2023,2023-09-12,2.3185573553942818,1380940961.8064525,1007986100.0,411000000.0,,False,2459000000.0,YTD_diff,False,32386106.19508624,-0.4112266600131988,-0.5579432972809673,個別殺,48.0,Telephone Communications (No Radiotelephone),False,2023-06-30,2023-08-01,USD
events.csv(正本),"A2(N2,缺債務標籤當零負債)",12,0000719413,HL,HECLA MINING CO/DE/,2024-12-16,2024,2024-12-17,2.235411545519791,3376181932.301052,637015436.0,22273000.0,,False,151691000.0,YTD_diff,False,66217724.65224266,-0.2650299072265625,-0.0524814566956096,個別殺,14.0,Mining & Quarrying of  Nonmetallic Minerals (No Fuels),False,2024-09-30,2024-11-07,USD
events.csv(正本),"A2(N2,缺債務標籤當零負債)",13,0001064728,BTU,PEABODY ENERGY CORP,2021-11-16,2021,2021-11-17,2.166467393352981,1341521965.9805298,127400000.0,587000000.0,,False,4000000.0,YTD_diff,False,94041223.26455116,-0.272975742816925,0.1542570357550488,個別殺,12.0,Bituminous Coal & Lignite Surface Mining,False,2021-09-30,2021-11-05,USD
events.csv(正本),"A2(N2,缺債務標籤當零負債)",14,0000097210,TER,"TERADYNE, INC",2025-05-15,2025,2025-05-16,2.123185812106185,13313279275.435295,160420287.0,475632000.0,,False,826534000.0,YTD_diff,False,274123895.772934,-0.2589316666126251,-0.2565974764784995,個別殺,38.0,Instruments For Meas & Testing of  Electricity & Elec Signals,False,2025-03-30,2025-05-02,USD
events.csv(正本),"A2(N2,缺債務標籤當零負債)",15,0001483934,STNG,Scorpio Tankers Inc.,2021-08-04,2021,2021-08-05,2.039033253311533,892310717.9753008,58093147.0,187511000.0,,False,419381000.0,FY_latest,False,17243255.32836914,-0.2662756443023681,-0.0417617495532334,行業殺,44.0,Deep Sea Foreign Transportation of  Freight,True,2020-12-31,2021-03-31,USD
events.csv(正本),"A2(N2,缺債務標籤當零負債)",16,0000916540,DAR,DARLING INGREDIENTS INC.,2020-03-18,2020,2020-03-19,1.9968962513482875,2299821982.458173,163921741.0,72935000.0,,False,362621000.0,FY_latest,False,31143032.467079163,-0.3124309182167053,-0.3719054384633007,個別殺,20.0,Fats & Oils,False,2019-12-28,2020-02-25,USD
events.csv(正本),"A2(N2,缺債務標籤當零負債)",17,0001528849,RH,RH,2017-02-10,2017,2017-02-13,1.9441776552402965,1033120502.9080504,40802548.0,55426000.0,,False,130392000.0,YTD_diff,False,50074466.662597656,-0.3211470544338226,-0.1983922159523244,個別殺,57.0,Retail-Furniture Stores,False,2016-10-29,2016-12-08,USD
events.csv(正本),"A2(N2,缺債務標籤當零負債)",18,0001973832,AU,AngloGold Ashanti PLC,2024-11-11,2024,2024-11-12,1.941572179824529,10539416940.342772,419729856.0,964000000.0,,False,971000000.0,FY_latest,False,60973664.7403717,-0.2582444250583648,0.0098341337045586,個別殺,10.0,Gold and Silver Ores,True,2023-12-31,2024-04-25,USD
events.csv(正本),"A2(N2,缺債務標籤當零負債)",19,0001638833,SGRY,"Surgery Partners, Inc.",2020-03-06,2020,2020-03-09,1.8894103837943388,532687659.45108986,49506287.0,111300000.0,,False,149646000.0,YTD_diff,False,6750713.737726212,-0.2598488628864288,-0.0170346321572057,個別殺,80.0,"Services-General Medical & Surgical Hospitals, NEC",False,2019-09-30,2019-11-06,USD
events.csv(正本),"A2(N2,缺債務標籤當零負債)",20,0001144879,APLD,Applied Digital Corp.,2025-02-25,2025,2025-02-26,1.8822074319603224,969642377.7053548,122739540.0,4435000.0,,False,52487000.0,YTD_diff,False,157245591.82300568,-0.2586992383003235,0.1798573175682898,個別殺,73.0,Services-Computer Processing & Data Preparation,False,2024-02-29,2024-04-11,USD
events.csv(正本),B(總債務/四季經營現金流<=3),1,0001477641,DQ,DAQO NEW ENERGY CORP.,2020-05-14,2020,2020-05-15,4.011141292429923,3385947156.114716,347419152.0,52684734.0,329678633.0,True,180990569.0,FY_latest,False,13294181.86712265,-0.2591696679592132,-0.0206402634109195,個別殺,36.0,Semiconductors & Related Devices,True,2019-12-31,2020-04-24,USD
events.csv(正本),B(總債務/四季經營現金流<=3),2,0001463101,ENPH,"Enphase Energy, Inc.",2019-10-30,2019,2019-10-31,3.600580356905249,2295957167.011881,122385775.0,203046000.0,104062000.0,True,38671000.0,YTD_diff,False,136733109.31549072,-0.3847314119338989,0.0905867394430952,個別殺,36.0,Semiconductors & Related Devices,False,2019-09-30,2019-10-29,USD
events.csv(正本),B(總債務/四季經營現金流<=3),3,0000723125,MU,MICRON TECHNOLOGY INC,2025-04-04,2025,2025-04-07,3.532489196045592,72329230462.22305,1117571525.0,7552000000.0,11541000000.0,True,13073000000.0,YTD_diff,False,1931297122.0596316,-0.2614284455776214,-0.3639565118592027,行業殺,36.0,Semiconductors & Related Devices,False,2025-02-27,2025-03-21,USD
events.csv(正本),B(總債務/四季經營現金流<=3),4,0001372920,EDU,New Oriental Education & Technology Group Inc.,2022-03-10,2022,2022-03-11,3.061586771067589,19266935865.284824,1690082150.0,1612211000.0,0.0,True,1130085000.0,FY_latest,False,35674610.935087204,-0.4337650537490845,-0.6431310750098225,個別殺,82.0,Services-Educational Services,True,2021-05-31,2021-09-24,USD
