rank_date,trade_date,n_pool,n_q1,n_q5,r_q1,r_q5,r_pool,ls,to_q1,to_q5,to_pool,spy,xlk
2011-09-30,2011-10-03,426,86,85,0.1638425227582906,0.1801324456275441,0.15856905005160055,-0.016289922869253515,0.04887526329533322,0.0453194569044582,0.04011467991269955,0.10979712889256699,0.0962291167443392
2011-10-31,2011-11-01,426,86,85,0.02475027814534505,0.033771562134722724,0.02857189252874132,-0.009021283989377675,0.04640931599740348,0.051030910998521174,0.03752817681255886,0.024344222371249558,0.01858399407513467
2011-11-30,2011-12-01,426,86,85,-0.00037761701172313344,0.03754289862303841,0.019200295668450437,-0.037920515634761544,0.05985959753453774,0.07430339113245309,0.025335824167428113,0.026715270030343685,0.006325025199920065
2011-12-30,2012-01-03,426,86,85,0.08885082571156948,0.08238020180660321,0.0828781449988268,0.006470623904966263,0.047794389118611884,0.03598574759356799,0.02402440587895805,0.03898071713397799,0.05772934201754665
2012-01-31,2012-02-01,425,85,85,0.0449839291597041,0.032696380605444754,0.03658008143551858,0.012287548554259349,0.04083476494802745,0.056680207372201995,0.035601622467265115,0.03970656446332543,0.06666700932179226
2012-02-29,2012-03-01,431,87,86,0.035223564257885434,0.026201881214739712,0.029144657697847475,0.009021683043145722,0.37784092964674965,0.5468362822623882,0.039093439997907445,0.03435446373167883,0.05006471519193578
2012-03-30,2012-04-02,430,86,86,-0.014358243311514848,-0.004946258911506029,-0.007623464848232969,-0.00941198440000882,0.06982974803353502,0.10086585295097739,0.02230139810754157,-0.007755129669655858,-0.018372764817837783
2012-04-30,2012-05-01,430,86,86,-0.10904911641236273,-0.09303733126373012,-0.09761941858986344,-0.016011785148632607,0.038633653471034556,0.04739318668480391,0.02771566313190595,-0.0893848395381428,-0.09090902820773206
2012-05-31,2012-06-01,431,87,86,0.0665835322156148,0.06388441549913378,0.0673712905750057,0.0026991167164810287,0.04118526480004976,0.038601745260630115,0.03676362046510804,0.07067194527434473,0.0662565039444527
2012-06-29,2012-07-02,431,87,86,0.03091770461509247,-0.011395571558471774,-0.0014434938287455562,0.04231327617356424,0.045505930807339154,0.040552188202963586,0.026157329099358646,0.007911933346491429,0.009345789220358558
2012-07-31,2012-08-01,431,87,86,0.04343784972796961,0.03278090636880283,0.04197731385737143,0.010656943359166782,0.0625347371062173,0.05226537784168122,0.03194482005863738,0.02500175145165473,0.04561035091422716
2012-08-31,2012-09-04,431,87,86,0.011152584908895362,0.03100281052867176,0.02726987587712694,-0.0198502256197764,0.0940577765150087,0.05399538154294608,0.026117702670934217,0.029004345037602075,0.013022682514834516
2012-09-28,2012-10-01,431,87,86,0.03010259262968432,0.02435940253929088,0.01864568794341679,0.005743190090393438,0.03361872063752245,0.021808396441525976,0.022126978226499273,-0.010529367231907227,-0.046163502683663205
2012-10-31,2012-11-01,431,87,86,-0.0018505982160784173,-0.0009990126393362641,0.0015598217169280678,-0.0008515855767421531,0.0452128673289015,0.037332110977983175,0.029464219698768817,-0.009662245128894353,-0.008521034885152434
2012-11-30,2012-12-03,431,87,86,0.06928076190556122,0.06502104076031379,0.05717694517374797,0.004259721145247433,0.08625043169663328,0.04561203159901049,0.022579368760992386,0.03991485014369478,0.030646212869146483
2012-12-31,2013-01-02,431,87,86,0.053435428549665695,0.04865941189041166,0.051865633978962815,0.004776016659254034,0.03642849022255977,0.04780253483361518,0.023850806155592194,0.035464515817557496,-0.002683699671147566
2013-01-31,2013-02-01,431,87,86,0.011224233836597364,0.015530319552540976,0.007387930932080827,-0.004306085715943611,0.039969407209378915,0.042472779292301074,0.019481820550380464,0.00575286020025656,-0.0016817402279991622
2013-02-28,2013-03-01,428,86,86,0.030416938321299783,0.04554532558445569,0.04471899409434365,-0.015128387263155907,0.419697179659476,0.42110929370842726,0.04683610556062917,0.030464716191686003,0.017282668372550658
2013-03-28,2013-04-01,438,88,88,0.00022371531750767606,0.01317843235349772,0.011845883134811035,-0.012954717035990044,0.1481710940203366,0.13439438480983856,0.039145747488920586,0.014290808470608596,0.01529781740222047
2013-04-30,2013-05-01,438,88,88,0.0408536641041459,0.04721421877481934,0.06042977842525492,-0.006360554670673445,0.04729965431365477,0.0666699792178386,0.02817544126214908,0.038349635535973814,0.04225358347409491
2013-05-31,2013-06-03,437,88,88,-0.003398115896535571,-0.012794266938145487,-0.006620354684385846,0.009396151041609915,0.023418193196064897,0.02888911822796337,0.03220493678844014,-0.012997604653815498,-0.028746827871550473
2013-06-28,2013-07-01,438,88,88,0.07713916945112648,0.06969837132748923,0.07059630788385904,0.007440798123637252,0.041457676618930905,0.052706917492370754,0.022330585944598882,0.05763498042273407,0.04292643783965211
2013-07-31,2013-08-01,439,88,88,-0.029512129406503926,-0.05321851773652591,-0.03776735814642054,0.023706388330021984,0.04319987001838626,0.04265614099215252,0.022757645196121362,-0.036739972078553396,-0.019955789837365012
2013-08-30,2013-09-03,438,88,88,0.05975124104929379,0.0502020813654462,0.05748885243554575,0.009549159683847591,0.043228597159724616,0.029054766722066527,0.021805224485620632,0.03513244595404541,0.03329385890229708
2013-09-30,2013-10-01,439,88,88,0.03084225371542152,0.04026360400718619,0.03684275655663659,-0.00942135029176467,0.038321413842323765,0.032690178753587,0.02148269808046169,0.04056967334057271,0.041460846210697566
2013-10-31,2013-11-01,439,88,88,0.024199971274512858,0.025880337898676012,0.02777465097595613,-0.0016803666241631543,0.03286351338409571,0.020740044906299458,0.024738372230829486,0.02451592561551763,0.027331752496536632
2013-11-29,2013-12-02,439,88,88,0.020800325459957466,0.02300803678688378,0.023496741880627774,-0.0022077113269263135,0.08590494595194025,0.05182563251172051,0.01996912894881852,0.018739464322107935,0.02846941577856965
2013-12-31,2014-01-02,439,88,88,-0.039119682389147446,-0.033912287852962346,-0.03725152842121098,-0.0052073945361851,0.04087103220146659,0.025460268662756864,0.017965888021195926,-0.04783485080258265,-0.036733763947627396
2014-01-31,2014-02-03,439,88,88,0.07642087962646821,0.08057583687561343,0.07953368304804381,-0.004154957249145219,0.054537911953476986,0.05148230297660439,0.029163618856120975,0.06206594148086908,0.054854676214403986
2014-02-28,2014-03-03,447,90,90,0.03456797882489767,0.012373948920627995,0.021700538405660042,0.022194029904269677,0.46095828945809086,0.4267874725856936,0.03996921636949629,0.022168429851609384,0.02720320193053949
2014-03-31,2014-04-01,451,91,90,-0.01332865581420843,-0.017184772666868787,-0.017811319790813063,0.003856116852660357,0.12012379528644998,0.12975191889039006,0.030417647670482537,0.0004254218384738273,-0.007884463662100716
2014-04-30,2014-05-01,451,91,90,0.01646942072879257,0.023157928959423816,0.023249220415326382,-0.006688508230631246,0.07158625044394692,0.04331467850616864,0.02428685095814346,0.02426601384069116,0.03480382401785431
2014-05-30,2014-06-02,452,91,91,0.03729913126537044,0.03770237306295034,0.03760908043896915,-0.0004032417975798966,0.038541131982645235,0.021629754961201047,0.01862679374991094,0.026304311500656263,0.030683054372001584
2014-06-30,2014-07-01,452,91,91,-0.031949386313240735,-0.042197321782736844,-0.037645192558657115,0.010247935469496108,0.020627809794275115,0.05213691699358616,0.019821766855181264,-0.022991192591278464,0.0012914482549664097
2014-07-31,2014-08-01,451,91,90,0.057201898490500606,0.051597274498148216,0.05443237250910595,0.005604623992352391,0.03407879768800121,0.028262242175842004,0.023983066757486064,0.04212974492940158,0.03866977279094108
2014-08-29,2014-09-02,452,91,91,-0.039594605901283456,-0.0436943358393715,-0.04547547218519026,0.004099729938088041,0.06421823634684873,0.032799902227702744,0.018373416862501858,-0.026676292818842096,-0.020872486511979038
2014-09-30,2014-10-01,452,91,91,0.05268090313310672,0.06254084725014258,0.05595349802358153,-0.009859944117035863,0.04465964225638087,0.02256662818008844,0.023774329550370437,0.0381786877043786,0.0364057736590746
2014-10-31,2014-11-03,452,91,91,0.02647333134697695,0.01959124371246392,0.019758772083301585,0.006882087634513031,0.039763918264794515,0.03916711285142066,0.028037564840555584,0.019774578477329108,0.03193312124357117
2014-11-28,2014-12-01,451,91,90,0.026024284222001114,0.014862040230509294,0.01700004277657982,0.01116224399149182,0.04269669984475769,0.07031250114416868,0.022843390748799545,0.003906697843697016,-0.012504800575015795
2014-12-31,2015-01-02,452,91,91,-0.0012413798435898283,-0.01586007044722177,-0.012533730423910004,0.014618690603631941,0.038841833063523415,0.023315914775026564,0.019285945065479114,-0.017086213033001063,-0.023261587341009693
2015-01-30,2015-02-02,453,91,91,0.06401076521494391,0.06275791452662795,0.06065611180109568,0.0012528506883159596,0.05212701164787143,0.03692197803723605,0.02985822872195995,0.0498715904595628,0.07740026878456763
2015-02-27,2015-03-02,452,91,91,-0.017435059760697785,-0.010093637344979629,-0.014883555394917281,-0.007341422415718156,0.421869728138417,0.4431424024134985,0.04143334069789594,-0.025339887542294548,-0.04330232738758644
2015-03-31,2015-04-01,455,91,91,0.020459244972623625,0.007587965310928635,0.016434991770978354,0.01287127966169499,0.1368157691228852,0.14651556196099805,0.03377677489931058,0.024404411413657456,0.04156527711233604
2015-04-30,2015-05-01,456,92,91,0.009064390594619722,0.0033810273927909456,0.005500697096256313,0.005683363201828776,0.05312005894260133,0.04336971359881813,0.025588926774010912,0.0040334443799672215,0.009048912564605383
