event,entity_id,ticker,bars_before_shock,bars_total,span
E08,0000002488,AMD,7847,8203,1994-01-27/2026-09-01
E08,0000027419,TGT,7837,8192,1994-02-10/2026-09-01
E08,0000039911,GAP,7839,8195,1994-02-08/2026-09-01
E08,0000047217,HPQ,7851,8206,1994-01-21/2026-09-01
E08,0000094845,LEVI,1517,1872,2019-03-21/2026-09-01
E08,0000104169,WMT,7835,8191,1994-02-14/2026-09-01
E08,0000320187,NKE,7603,7959,1995-01-17/2026-09-01
E08,0000320193,AAPL,7848,8204,1994-01-26/2026-09-01
E08,0000723125,MU,7862,8218,1994-01-06/2026-09-01
E08,0000764478,BBY,7862,8217,1994-01-06/2026-09-01
E08,0000794367,M,7538,7893,1995-04-20/2026-09-01
E08,0001018724,AMZN,7014,7370,1997-05-15/2026-09-01
E08,0001045810,NVDA,6589,6945,1999-01-22/2026-09-01
E08,0001046179,TSM,6827,7183,1998-02-11/2026-09-01
E08,0001397187,LULU,4449,4805,2007-07-27/2026-09-01
E08,0001528849,RH,3121,3476,2012-11-02/2026-09-01
E08,0001571996,DELL,2168,2524,2016-08-17/2026-09-01
E08,0001730168,AVGO,1798,2154,2018-02-06/2026-09-01
E12,0000002488,AMD,6370,8203,1994-01-27/2026-09-01
E12,0000004127,SWKS,6110,7942,1995-02-08/2026-09-01
E12,0000050863,INTC,6360,8193,1994-02-10/2026-09-01
E12,0000723125,MU,6385,8218,1994-01-06/2026-09-01
E12,0000804328,QCOM,6110,7942,1995-02-08/2026-09-01
E12,0001604778,QRVO,1100,2932,2015-01-02/2026-09-01
E12,0001633978,LITE,961,2793,2015-07-23/2026-09-01
E12,0001730168,AVGO,321,2154,2018-02-06/2026-09-01
E13,0000789019,MSFT,7021,8191,1994-02-14/2026-09-01
E13,0000796343,ADBE,7021,8190,1994-02-14/2026-09-01
E13,0001108524,CRM,4414,5584,2004-06-23/2026-09-01
E13,0001261333,DOCU,928,2097,2018-04-27/2026-09-01
E13,0001404655,HUBS,1821,2990,2014-10-09/2026-09-01
E13,0001441816,MDB,1058,2227,2017-10-19/2026-09-01
E13,0001447669,TWLO,1392,2561,2016-06-23/2026-09-01
E13,0001477333,NET,581,1750,2019-09-13/2026-09-01
E13,0001477720,ASAN,317,1486,2020-09-30/2026-09-01
E13,0001535527,CRWD,646,1816,2019-06-12/2026-09-01
E13,0001561550,DDOG,577,1746,2019-09-19/2026-09-01
E13,0001585521,ZM,683,1852,2019-04-18/2026-09-01
E13,0001594805,SHOP,1668,2837,2015-05-20/2026-09-01
E13,0001786352,BILL,518,1687,2019-12-12/2026-09-01
E14,0001364954,CHGG,2380,3217,2013-11-13/2026-09-01
E14,0001562088,DUOL,442,1279,2021-07-28/2026-09-01
