status,ticker,entry_date,entry_px,exit_date,exit_px,bars,exit_reason,flag,ret,spy_ret,excess,premise,event_id,entity_id,arm,tag
成交,DOC,2013-05-30,21.631082,2013-06-25,19.230622,18.0,跌回200日線下連續10日,即日確認,-0.11274989260588375,-0.036476482116167386,-0.07627341048971636,,E01,0000765880,D,主口徑
成交,VTR,2013-05-30,46.731547,2013-08-09,41.776728,50.0,跌回200日線下連續10日,即日確認,-0.10781434668263146,0.031008807907482394,-0.13882315459011385,,E01,0000740260,D,主口徑
成交,WELL,2013-05-30,41.728117,2013-08-15,36.797021,54.0,跌回200日線下連續10日,即日確認,-0.11993480657666589,0.01781552827827304,-0.13775033485493893,,E01,0000766704,D,主口徑
成交,PSA,2013-05-30,94.928,2013-12-05,93.200352,132.0,跌回200日線下連續10日,即日確認,-0.02016217737451187,0.09609014592733511,-0.11625232330184698,,E01,0001393311,D,主口徑
成交,DLR,2013-07-12,38.992075,2013-08-06,33.536105,17.0,跌回200日線下連續10日,升穿確認,-0.1416443918606236,0.017802573205114136,-0.15944696506573774,,E01,0001297996,D,主口徑
成交,BXP,2013-05-30,63.033054,2013-08-15,59.486665,54.0,跌回200日線下連續10日,即日確認,-0.05814890729821309,0.01781552827827304,-0.07596443557648613,,E01,0001037540,D,主口徑
成交,SO,2013-06-07,25.392495,2013-07-03,24.759962,18.0,跌回200日線下連續10日,升穿確認,-0.0268594499735596,-0.015384728274763781,-0.01147472169879582,,E01,0000092122,D,主口徑
成交,DUK,2013-05-30,39.152786,2013-09-03,38.633099,66.0,跌回200日線下連續10日,即日確認,-0.015245768598742826,0.004561700630771215,-0.01980746922951404,,E01,0001326160,D,主口徑
成交,D,2013-05-30,32.964258,2014-05-30,41.575855,252.0,期末未平,即日確認,0.25871923282885123,0.18877565094752646,0.06994358188132477,,E01,0000715957,D,主口徑
成交,EXC,2013-07-22,14.301364,2013-08-07,13.483507,12.0,跌回200日線下連續10日,升穿確認,-0.059072013301256554,-0.0012986982965701444,-0.05777331500468641,,E01,0001109357,D,主口徑
成交,NEE,2013-05-30,13.262368,2014-05-30,17.631796,252.0,期末未平,即日確認,0.32680303382448317,0.18877565094752646,0.1380273828769567,,E01,0000753308,D,主口徑
成交,KMI,2013-05-30,20.529227,2013-09-25,19.0333,82.0,跌回200日線下連續10日,即日確認,-0.07472148264010037,0.03640025685363257,-0.11112173949373294,,E01,0001506307,D,主口徑
成交,PEP,2024-03-19,157.55669,2024-07-11,147.661747,78.0,跌回200日線下連續10日,升穿確認,-0.06467588248249767,0.09977780456169727,-0.16445368704419494,,E06,0000077476,D,主口徑
成交,KO,2023-12-12,55.0627,2024-11-25,61.187942,240.0,跌回200日線下連續10日,升穿確認,0.10901984945223075,0.3162641127262553,-0.20724426327402456,守住,E06,0000021344,D,主口徑
成交,MDLZ,2023-11-15,64.330579,2024-04-09,63.41677,98.0,跌回200日線下連續10日,升穿確認,-0.01617549459095957,0.16468002311373464,-0.1808555177046942,守住,E06,0001103982,D,主口徑
成交,BSX,2023-10-11,53.560001,2024-10-11,87.099998,252.0,期末未平,即日確認,0.6229627212167888,0.34840091983709587,0.2745618013796929,,E06,0000885725,D,主口徑
成交,MDT,2023-12-14,75.630223,2024-07-10,72.030205,141.0,跌回200日線下連續10日,升穿確認,-0.04950410176119191,0.19127296428984408,-0.240777066051036,,E06,0001613103,D,主口徑
成交,EW,2024-02-01,78.290001,2024-08-08,61.540001,130.0,跌回200日線下連續10日,升穿確認,-0.215519456693271,0.08790877564077637,-0.30342823233404737,,E06,0001099800,D,主口徑
成交,ABT,2023-11-24,96.996319,2024-05-22,98.205818,123.0,跌回200日線下連續10日,升穿確認,0.01044561189986526,0.17445014630865385,-0.1640045344087886,,E06,0000001800,D,主口徑
成交,DXCM,2023-11-27,112.07,2024-07-09,111.32,153.0,跌回200日線下連續10日,升穿確認,-0.008677868136327538,0.2362435622703194,-0.24492143040664693,守住,E06,0001093557,D,主口徑
成交,ISRG,2023-10-11,298.660004,2024-10-11,484.779999,252.0,期末未平,即日確認,0.6199387853389944,0.34840091983709587,0.2715378655018985,,E06,0001035267,D,主口徑
成交,HSY,2024-05-06,183.448516,2024-06-25,175.228829,34.0,跌回200日線下連續10日,升穿確認,-0.04671593413583863,0.06227713598610318,-0.10899307012194182,,E06,0000047111,D,主口徑
成交,GIS,2024-03-19,60.455854,2024-07-11,56.605273,78.0,跌回200日線下連續10日,升穿確認,-0.0655641293446867,0.09977780456169727,-0.16534193390638396,,E06,0000040704,D,主口徑
成交,CAG,2024-03-26,24.880239,2024-11-12,24.719882,160.0,跌回200日線下連續10日,升穿確認,-0.008431265695824308,0.15583092611671634,-0.16426219181254065,,E06,0000023217,D,主口徑
成交,KHC,2023-12-04,30.636108,2024-06-24,29.453093,138.0,跌回200日線下連續10日,升穿確認,-0.04053686207587093,0.2072075004980991,-0.24774436257397003,,E06,0001637459,D,主口徑
成交,CPB,2024-01-29,39.613484,2024-02-22,37.612805,17.0,跌回200日線下連續10日,升穿確認,-0.05240303463558271,0.033379158994120806,-0.08578219362970352,,E06,0000016732,D,主口徑
成交,TAP,2023-10-11,53.951664,2023-11-02,52.973176,16.0,跌回200日線下連續10日,即日確認,-0.02009914534540791,-0.020797000994378756,0.0006978556489708465,,E06,0000024545,D,主口徑
成交,STZ,2023-10-12,223.89561,2024-08-12,228.578934,208.0,跌回200日線下連續10日,升穿確認,0.018876634055877473,0.23533185546542668,-0.2164552214095492,,E06,0000016918,D,主口徑
成交,SAM,2023-10-11,362.920013,2024-03-13,298.329987,105.0,跌回200日線下連續10日,即日確認,-0.17961640605859497,0.1918248608117359,-0.37144126687033086,,E06,0000949870,D,主口徑
成交,DPZ,2023-10-11,341.055901,2024-08-01,415.621473,202.0,跌回200日線下連續10日,即日確認,0.21619548301299663,0.2816307233482107,-0.06543524033521408,,E06,0001286681,D,主口徑
成交,PODD,2024-05-17,185.380005,2025-05-21,324.5,252.0,期末未平,升穿確認,0.7469593050486854,0.11623912365777112,0.6307201813909142,,E06,0001145197,D,主口徑
成交,TNDM,2023-12-18,28.629999,2024-01-25,23.280001,25.0,跌回200日線下連續10日,升穿確認,-0.18849232810627858,0.03524563954724913,-0.22373796765352771,,E06,0001438133,D,主口徑
成交,RMD,2024-01-26,183.098812,2025-01-29,248.593094,252.0,期末未平,升穿確認,0.35498506474875025,0.25008615000856915,0.10489891474018109,守住,E06,0000943819,D,主口徑
成交,DVA,2023-10-11,76.199997,2024-10-11,160.850006,252.0,期末未平,即日確認,1.1066728788762483,0.34840091983709587,0.7582719590391525,,E06,0000927066,D,主口徑
成交,BAX,2024-01-09,38.562537,2024-01-30,37.34227,14.0,跌回200日線下連續10日,升穿確認,-0.03357959691955614,0.03960831093470163,-0.07318790785425777,,E06,0000010456,D,主口徑
成交,NVDA,2025-02-06,127.229983,2025-03-13,116.866219,24.0,跌回200日線下連續10日,升穿確認,-0.08329309809902252,-0.0783840170336213,-0.004909081065401222,守住,E07,0001045810,D,主口徑
成交,AVGO,2025-02-03,212.746741,2025-04-09,158.958424,46.0,跌回200日線下連續10日,即日確認,-0.25432152221393167,-0.16492404014579742,-0.08939748206813425,,E07,0001730168,D,主口徑
成交,MRVL,2025-02-03,108.297017,2025-03-20,68.888228,32.0,跌回200日線下連續10日,即日確認,-0.36516700215231046,-0.04950471275414947,-0.315662289398161,,E07,0001835632,D,主口徑
成交,MU,2025-05-14,96.055279,2026-05-15,724.548523,252.0,期末未平,升穿確認,6.527958437152141,0.2719137008118091,6.256044736340332,守住,E07,0000723125,D,主口徑
成交,TSM,2025-02-03,195.96351,2025-03-20,172.307386,32.0,跌回200日線下連續10日,即日確認,-0.12247467150045954,-0.04950471275414947,-0.07296995874631007,,E07,0001046179,D,主口徑
成交,ORCL,2025-02-03,160.442365,2025-03-20,149.018744,32.0,跌回200日線下連續10日,即日確認,-0.07305744907504752,-0.04950471275414947,-0.02355273632089805,,E07,0001341439,D,主口徑
成交,MSFT,2025-05-02,426.730558,2026-01-27,470.713722,184.0,跌回200日線下連續10日,升穿確認,0.10086506862673938,0.2399295603799667,-0.13906449175322733,,E07,0000789019,D,主口徑
成交,GOOG,2025-02-03,201.167942,2025-03-12,167.788612,26.0,跌回200日線下連續10日,即日確認,-0.1675949887690671,-0.05146207743373543,-0.11613291133533166,,E07,0001652044,D,主口徑
成交,META,2025-02-03,672.585605,2025-04-25,544.594669,57.0,跌回200日線下連續10日,即日確認,-0.19191546734875087,-0.07487395073028413,-0.11704151661846673,,E07,0001326801,D,主口徑
成交,VRT,2025-02-03,105.552418,2025-03-07,81.886724,23.0,跌回200日線下連續10日,即日確認,-0.22575878598468724,-0.03673206845854726,-0.18902671752613998,守住,E07,0001674101,D,主口徑
成交,VST,2025-02-03,156.209858,2025-04-17,117.066764,52.0,跌回200日線下連續10日,即日確認,-0.25207826750967455,-0.10704572697123171,-0.14503254053844283,,E07,0001692819,D,主口徑
成交,CEG,2025-02-03,282.556107,2025-03-17,215.15052,29.0,跌回200日線下連續10日,即日確認,-0.2400785923970854,-0.050415931814851156,-0.18966266058223424,,E07,0001868275,D,主口徑
成交,NRG,2025-02-03,97.142583,2026-02-04,143.042648,252.0,期末未平,即日確認,0.46955847254780414,0.17139057269161762,0.2981678998561865,,E07,0001013871,D,主口徑
成交,GEV,2025-02-03,349.128018,2026-02-04,745.388123,252.0,期末未平,即日確認,1.1307315760511112,0.17139057269161762,0.9593410033594936,,E07,0001996810,D,主口徑
成交,ANET,2025-02-03,109.669998,2025-03-13,79.650002,27.0,跌回200日線下連續10日,即日確認,-0.2751820689339842,-0.05767120034032813,-0.2175108685936561,守住,E07,0001596532,D,主口徑
成交,SMCI,2025-02-19,59.040001,2025-03-10,37.799999,13.0,跌回200日線下連續10日,升穿確認,-0.3610359679268865,-0.06964664532148002,-0.2913893226054065,,E07,0001375365,D,主口徑
成交,COHR,2025-02-03,84.43,2025-03-07,65.540001,23.0,跌回200日線下連續10日,即日確認,-0.22528738342681898,-0.03673206845854726,-0.18855531496827171,,E07,0000820318,D,主口徑
成交,MOD,2025-07-29,107.510002,2026-07-30,193.910004,252.0,期末未平,升穿確認,0.8000406819783004,0.1747602035720377,0.6252804784062627,,E07,0000067347,D,主口徑
成交,TLN,2025-02-03,213.729996,2026-02-04,317.049988,252.0,期末未平,即日確認,0.48044828144166973,0.17139057269161762,0.3090577087500521,,E07,0001622536,D,主口徑
成交,NKE,2025-06-30,68.811743,2025-10-21,65.587456,79.0,跌回200日線下連續10日,升穿確認,-0.048761959693862544,0.0905786535376667,-0.13934061323152924,守住,E08,0000320187,D,主口徑
成交,GAP,2025-05-01,21.188029,2025-06-27,21.390281,39.0,跌回200日線下連續10日,升穿確認,0.007527462947175545,0.09693928894906256,-0.08941182600188702,,E08,0000039911,D,主口徑
成交,LEVI,2025-05-13,17.230394,2026-03-19,18.002695,213.0,跌回200日線下連續10日,升穿確認,0.04273336931604943,0.13589296877559587,-0.09315959945954644,,E08,0000094845,D,主口徑
成交,M,2025-07-29,13.209327,2026-07-30,24.93,252.0,期末未平,升穿確認,0.8835301674322105,0.1747602035720377,0.7087699638601728,,E08,0000794367,D,主口徑
未成交,RH,,,,,,期內未確認,,0.0,,-0.3199184838805411,,E08,0001528849,D,主口徑
成交,TGT,2025-12-12,94.643394,2026-09-01,163.75,178.0,期末未平,升穿確認,0.7267202448592662,0.11613595535870913,0.6105842895005571,,E08,0000027419,D,主口徑
