cadence,side,granularity,lookback,skip_weeks,label,lookback_months_equiv,n_periods,cagr_pct,excess_cagr_pp,paired_t,hit_rate_pct,ann_turnover_x,ann_cost_drag_pp,vbt_cagr_pct,vbt_excess_cagr_pp,vbt_minus_hand_pp
week,reversal,week,9,0,R:w9-0,2.14,1385,9.78,1.388,1.028,49.24,11.72,1.172,9.752,1.36,-0.028
week,momentum,week,9,0,M:w9-0,2.14,1385,6.137,-2.254,-1.22,48.23,11.76,1.176,6.123,-2.269,-0.015
week,reversal,week,10,0,R:w10-0,2.38,1385,9.961,1.569,1.109,48.88,11.23,1.123,9.933,1.541,-0.028
week,momentum,week,10,0,M:w10-0,2.38,1385,6.126,-2.266,-1.169,49.24,11.25,1.125,6.109,-2.283,-0.017
week,reversal,week,11,0,R:w11-0,2.62,1385,9.752,1.36,1.008,47.73,11.31,1.131,9.724,1.332,-0.028
week,momentum,week,11,0,M:w11-0,2.62,1385,5.434,-2.957,-1.546,48.59,11.01,1.101,5.418,-2.974,-0.016
week,reversal,week,12,0,R:w12-0,2.86,1385,11.013,2.621,1.603,48.74,10.77,1.077,10.983,2.592,-0.029
week,momentum,week,12,0,M:w12-0,2.86,1385,4.755,-3.637,-1.885,48.09,10.62,1.062,4.74,-3.652,-0.015
week,reversal,week,13,0,R:w13-0,3.1,1385,10.257,1.866,1.233,49.24,10.21,1.021,10.228,1.837,-0.029
week,momentum,week,13,0,M:w13-0,3.1,1385,4.605,-3.787,-2.003,47.65,9.76,0.976,4.589,-3.802,-0.016
week,reversal,week,2,1,R:w2-1,0.48,1385,4.496,-3.895,-1.95,46.93,33.94,3.394,4.489,-3.903,-0.007
week,momentum,week,2,1,M:w2-1,0.48,1385,4.976,-3.416,-1.673,45.27,33.7,3.37,4.967,-3.425,-0.009
week,reversal,week,3,1,R:w3-1,0.71,1385,6.129,-2.262,-0.947,48.38,23.8,2.38,6.114,-2.278,-0.015
week,momentum,week,3,1,M:w3-1,0.71,1385,7.027,-1.364,-0.703,47.58,23.92,2.392,7.01,-1.381,-0.017
week,reversal,week,4,1,R:w4-1,0.95,1385,5.587,-2.804,-1.126,47.65,19.66,1.966,5.57,-2.821,-0.017
week,momentum,week,4,1,M:w4-1,0.95,1385,6.728,-1.664,-0.877,47.87,19.59,1.959,6.712,-1.68,-0.016
week,reversal,week,5,1,R:w5-1,1.19,1385,6.418,-1.974,-0.724,48.74,17.01,1.701,6.399,-1.993,-0.019
week,momentum,week,5,1,M:w5-1,1.19,1385,6.435,-1.957,-1.034,47.65,16.82,1.682,6.418,-1.974,-0.017
week,reversal,week,6,1,R:w6-1,1.43,1385,7.012,-1.38,-0.459,48.16,15.49,1.549,6.992,-1.399,-0.019
week,momentum,week,6,1,M:w6-1,1.43,1385,6.549,-1.843,-0.936,46.71,15.82,1.582,6.53,-1.862,-0.019
week,reversal,week,7,1,R:w7-1,1.67,1385,7.686,-0.705,-0.053,48.74,14.33,1.433,7.667,-0.724,-0.019
week,momentum,week,7,1,M:w7-1,1.67,1385,6.203,-2.189,-1.096,47.44,14.35,1.435,6.183,-2.209,-0.02
week,reversal,week,8,1,R:w8-1,1.9,1385,8.52,0.128,0.355,50.54,13.5,1.35,8.499,0.107,-0.021
week,momentum,week,8,1,M:w8-1,1.9,1385,4.92,-3.472,-1.733,47.0,12.99,1.299,4.9,-3.491,-0.019
week,reversal,week,9,1,R:w9-1,2.14,1385,8.268,-0.124,0.271,49.24,12.59,1.259,8.244,-0.148,-0.024
week,momentum,week,9,1,M:w9-1,2.14,1385,6.479,-1.912,-0.991,47.94,12.65,1.265,6.459,-1.932,-0.02
week,reversal,week,10,1,R:w10-1,2.38,1385,9.362,0.97,0.811,49.68,11.52,1.152,9.337,0.945,-0.025
week,momentum,week,10,1,M:w10-1,2.38,1385,7.129,-1.263,-0.647,49.1,11.76,1.176,7.106,-1.285,-0.023
week,reversal,week,11,1,R:w11-1,2.62,1385,9.422,1.03,0.834,49.1,11.33,1.133,9.397,1.006,-0.025
week,momentum,week,11,1,M:w11-1,2.62,1385,5.057,-3.334,-1.714,48.09,11.13,1.113,5.036,-3.355,-0.021
week,reversal,week,12,1,R:w12-1,2.86,1385,9.875,1.483,1.039,48.81,11.02,1.102,9.849,1.457,-0.026
week,momentum,week,12,1,M:w12-1,2.86,1385,5.414,-2.978,-1.518,48.01,10.92,1.092,5.393,-2.999,-0.021
week,reversal,week,13,1,R:w13-1,3.1,1385,7.984,-0.408,0.111,48.88,10.8,1.08,7.959,-0.432,-0.024
week,momentum,week,13,1,M:w13-1,3.1,1385,5.562,-2.83,-1.487,48.3,10.55,1.055,5.54,-2.851,-0.022
week,reversal,week,5,4,R:w5-4,1.19,1385,6.869,-1.522,-0.599,45.78,34.25,3.425,6.858,-1.534,-0.012
week,momentum,week,5,4,M:w5-4,1.19,1385,4.517,-3.875,-1.923,46.71,34.25,3.425,4.508,-3.884,-0.009
week,reversal,week,6,4,R:w6-4,1.43,1385,6.82,-1.571,-0.648,47.29,23.75,2.375,6.804,-1.588,-0.017
week,momentum,week,6,4,M:w6-4,1.43,1385,4.612,-3.779,-1.788,47.36,23.71,2.371,4.598,-3.794,-0.015
week,reversal,week,7,4,R:w7-4,1.67,1385,9.011,0.62,0.517,49.82,19.99,1.999,8.992,0.6,-0.02
week,momentum,week,7,4,M:w7-4,1.67,1385,3.041,-5.351,-2.699,46.71,19.78,1.978,3.026,-5.366,-0.015
week,reversal,week,8,4,R:w8-4,1.9,1385,9.262,0.871,0.662,50.9,16.81,1.681,9.241,0.849,-0.022
week,momentum,week,8,4,M:w8-4,1.9,1385,3.944,-4.447,-2.263,47.51,17.05,1.705,3.927,-4.464,-0.017
week,reversal,week,9,4,R:w9-4,2.14,1385,10.327,1.936,1.237,51.34,15.53,1.553,10.305,1.913,-0.023
week,momentum,week,9,4,M:w9-4,2.14,1385,3.715,-4.677,-2.37,47.65,15.57,1.557,3.697,-4.694,-0.017
week,reversal,week,10,4,R:w10-4,2.38,1385,10.665,2.273,1.373,51.55,14.26,1.426,10.643,2.251,-0.022
week,momentum,week,10,4,M:w10-4,2.38,1385,5.808,-2.584,-1.277,47.65,14.3,1.43,5.786,-2.605,-0.021
week,reversal,week,11,4,R:w11-4,2.62,1385,10.354,1.962,1.242,50.54,13.38,1.338,10.331,1.94,-0.022
week,momentum,week,11,4,M:w11-4,2.62,1385,5.167,-3.224,-1.63,47.08,13.3,1.33,5.15,-3.242,-0.017
week,reversal,week,12,4,R:w12-4,2.86,1385,8.686,0.294,0.423,48.88,12.26,1.226,8.665,0.273,-0.021
week,momentum,week,12,4,M:w12-4,2.86,1385,4.206,-4.186,-2.174,47.36,12.32,1.232,4.187,-4.205,-0.019
week,reversal,week,13,4,R:w13-4,3.1,1385,9.85,1.458,1.008,50.76,11.5,1.15,9.827,1.436,-0.023
week,momentum,week,13,4,M:w13-4,3.1,1385,4.708,-3.684,-1.908,48.45,11.7,1.17,4.688,-3.703,-0.02
week,reversal,month,1,0,R:m1-0,1.0,1385,8.435,0.044,0.331,48.3,17.06,1.706,8.406,0.015,-0.029
week,momentum,month,1,0,M:m1-0,1.0,1385,5.551,-2.84,-1.49,45.99,16.58,1.658,5.542,-2.849,-0.009
week,reversal,month,2,0,R:m2-0,2.0,1385,8.906,0.514,0.6,49.31,11.91,1.191,8.88,0.488,-0.026
week,momentum,month,2,0,M:m2-0,2.0,1385,6.485,-1.907,-0.983,48.52,12.15,1.215,6.47,-1.921,-0.015
week,reversal,month,3,0,R:m3-0,3.0,1385,9.507,1.115,0.889,49.46,10.18,1.018,9.479,1.088,-0.027
week,momentum,month,3,0,M:m3-0,3.0,1385,5.008,-3.383,-1.786,48.23,10.5,1.05,4.994,-3.397,-0.014
week,reversal,month,1,1,R:m1-1,1.0,1385,5.63,-2.762,-1.131,47.0,19.16,1.916,5.612,-2.779,-0.017
week,momentum,month,1,1,M:m1-1,1.0,1385,7.048,-1.344,-0.672,48.16,18.8,1.88,7.031,-1.36,-0.016
week,reversal,month,2,1,R:m2-1,2.0,1385,8.208,-0.183,0.197,50.04,12.8,1.28,8.187,-0.204,-0.021
week,momentum,month,2,1,M:m2-1,2.0,1385,6.437,-1.955,-0.977,47.87,13.5,1.35,6.418,-1.974,-0.019
week,reversal,month,3,1,R:m3-1,3.0,1385,8.629,0.238,0.453,48.88,11.15,1.115,8.605,0.214,-0.024
week,momentum,month,3,1,M:m3-1,3.0,1385,6.082,-2.31,-1.192,48.81,10.75,1.075,6.061,-2.331,-0.021
week,reversal,month,1,4,R:m1-4,1.0,1385,5.797,-2.595,-1.211,45.42,33.71,3.371,5.784,-2.608,-0.013
week,momentum,month,1,4,M:m1-4,1.0,1385,5.931,-2.461,-1.191,47.22,33.92,3.392,5.921,-2.471,-0.01
week,reversal,month,2,4,R:m2-4,2.0,1385,9.51,1.118,0.788,50.76,16.09,1.609,9.488,1.096,-0.022
week,momentum,month,2,4,M:m2-4,2.0,1385,5.607,-2.784,-1.4,48.95,16.58,1.658,5.591,-2.8,-0.016
week,reversal,month,3,4,R:m3-4,3.0,1385,9.284,0.892,0.715,49.75,12.07,1.207,9.263,0.871,-0.021
week,momentum,month,3,4,M:m3-4,3.0,1385,4.497,-3.894,-1.99,47.22,12.01,1.201,4.479,-3.913,-0.018
