excess_cagr_pp_h1,paired_t_h1,excess_cagr_pp_h2,paired_t_h2,family,combo,direction,score,thresh,note,n_periods,cagr_pct,excess_cagr_pp,paired_t,excess_vs_ew9_pp,paired_t_vs_ew9,vol_ann_pct,maxdd_pct,avg_turnover,spy_fill_months,vbt_cagr_pct,vbt_excess_cagr_pp,vbt_minus_hand_pp,neighbourhood_mean_pp,peak_minus_neighbourhood_pp
0.488,0.583,-2.877,-0.832,ma_dist,MAD250-low,low,madist250,,,314,7.303,-1.118,-0.241,-1.787,-0.635,19.262,-63.18,0.2335,0,7.292,-1.129,-0.011,-1.152,0.034
-0.962,-0.326,-4.079,-1.589,ma_cross,MAX5x20-high,high,maxo5_20,,,314,5.971,-2.45,-1.381,-3.119,-1.911,15.974,-58.66,0.6762,0,5.968,-2.453,-0.003,-2.45,0.0
0.068,0.185,0.191,0.234,ma_cross,MAX5x20-low,low,maxo5_20,,,314,8.547,0.126,0.299,-0.542,-0.042,17.591,-57.08,0.6667,0,8.541,0.12,-0.007,0.126,0.0
0.471,0.224,-2.766,-1.14,ma_cross,MAX10x50-high,high,maxo10_50,,,314,7.347,-1.074,-0.624,-1.743,-1.107,15.658,-51.03,0.517,0,7.344,-1.077,-0.003,-0.827,-0.247
3.317,1.696,-2.904,-0.868,ma_cross,MAX10x50-low,low,maxo10_50,,,314,8.749,0.328,0.428,-0.341,0.119,17.811,-58.03,0.5127,0,8.74,0.319,-0.009,0.514,-0.186
1.449,0.58,-3.713,-1.451,ma_cross,MAX20x50-high,high,maxo20_50,,,314,7.396,-1.025,-0.639,-1.694,-1.141,15.101,-45.05,0.5265,0,7.392,-1.029,-0.004,-1.06,0.035
2.478,1.396,-4.058,-1.297,ma_cross,MAX20x50-low,low,maxo20_50,,,314,7.756,-0.665,-0.115,-1.334,-0.521,18.08,-63.03,0.5191,0,7.746,-0.675,-0.01,0.38,-1.045
1.514,0.56,-2.456,-1.004,ma_cross,MAX10x100-high,high,maxo10_100,,,314,8.038,-0.383,-0.296,-1.052,-0.723,14.858,-45.09,0.3684,0,8.031,-0.39,-0.007,-0.846,0.463
3.577,1.945,0.015,0.226,ma_cross,MAX10x100-low,low,maxo10_100,,,314,10.299,1.878,1.392,1.209,1.163,18.415,-58.26,0.3715,0,10.288,1.867,-0.011,1.228,0.65
0.699,0.193,-3.025,-1.21,ma_cross,MAX20x100-high,high,maxo20_100,,,314,7.341,-1.08,-0.702,-1.749,-1.154,14.552,-41.15,0.3493,0,7.335,-1.086,-0.006,-0.92,-0.16
3.072,1.754,-0.271,0.108,ma_cross,MAX20x100-low,low,maxo20_100,,,314,9.899,1.478,1.191,0.809,0.928,18.215,-58.09,0.3429,0,9.888,1.467,-0.011,0.627,0.851
1.647,0.553,-2.713,-1.19,ma_cross,MAX20x200-high,high,maxo20_200,,,314,7.982,-0.439,-0.345,-1.108,-0.783,14.473,-39.96,0.2304,0,7.977,-0.444,-0.005,-0.528,0.089
1.835,1.109,-3.542,-1.091,ma_cross,MAX20x200-low,low,maxo20_200,,,314,7.678,-0.743,-0.07,-1.412,-0.431,18.881,-61.33,0.2463,0,7.669,-0.752,-0.009,0.134,-0.877
