lookback_days,tilt,cadence,value,trades,verdict,neighbours,valid_neighbours,neighbourhood_mean,neighbour_mean,lift,peak_over_neighbourhood,is_local_peak,layer,siblings,weakest_sibling_mean,layer_drop
40,0.75,quarterly,-0.018676453298515527,188,普通,8,8,-0.01417235491862671,-0.013609342621140608,-0.004504098379888818,,False,cadence=quarterly,1,0.003019464755814827,-0.017191819674441534
40,1.0,monthly,-0.011402539368894571,134,普通,5,5,0.00536945643302252,0.008723855593405938,-0.01677199580191709,-2.123592864776439,False,cadence=monthly,1,-0.016313592771743306,0.021683049204765825
40,1.0,quarterly,-0.025918072634487643,66,普通,5,5,-0.016313592771743306,-0.014392696799194438,-0.009604479862744337,,False,cadence=quarterly,1,0.00536945643302252,-0.021683049204765825
60,0.5,monthly,-0.0030521246480466058,560,普通,5,5,-0.0061199931657033675,-0.00673356686923472,0.0030678685176567617,,False,cadence=monthly,1,-0.014904800936227258,0.00878480777052389
60,0.5,quarterly,-0.009777918322781742,188,孤峰,5,5,-0.014904800936227258,-0.01593017745891636,0.005126882613445516,,True,cadence=quarterly,1,-0.0061199931657033675,-0.00878480777052389
60,0.75,monthly,0.00042793095669679815,560,普通,8,8,-0.006175830904140472,-0.0070013011367451305,0.00660376186083727,,False,cadence=monthly,1,-0.018132972487082948,0.011957141582942477
60,0.75,quarterly,-0.013768700295339942,188,普通,8,8,-0.018132972487082948,-0.018678506511050824,0.004364272191743006,,False,cadence=quarterly,1,-0.006175830904140472,-0.011957141582942477
60,1.0,monthly,0.003289390547804194,126,孤峰,5,5,-0.006132240646070246,-0.008016566884845134,0.00942163119387444,,True,cadence=monthly,1,-0.021245271638952918,0.015113030992882671
60,1.0,quarterly,-0.0185889010056286,66,普通,5,5,-0.021245271638952918,-0.021776545765617782,0.0026563706333243182,,False,cadence=quarterly,1,-0.006132240646070246,-0.015113030992882671
120,0.5,monthly,-0.007772305931355694,560,普通,3,3,-0.004842738866280949,-0.003866216511256034,-0.002929567065074745,,False,cadence=monthly,1,-0.014627776873249287,0.009785038006968338
120,0.5,quarterly,-0.013705959401396406,188,普通,3,3,-0.014627776873249287,-0.014935049363866915,0.0009218174718528815,,False,cadence=quarterly,1,-0.004842738866280949,-0.009785038006968338
120,0.75,monthly,-0.008974455842418294,560,普通,5,5,-0.004471822539878878,-0.003571295879370995,-0.004502633302539416,,False,cadence=monthly,1,-0.017726830270815414,0.013255007730936536
120,0.75,quarterly,-0.02125852947347906,188,普通,5,5,-0.017726830270815414,-0.017020490430282687,-0.0035316992026636455,,False,cadence=quarterly,1,-0.004471822539878878,-0.013255007730936536
