日期,舊來源(yfinance),新來源(Cboe),絕對差,相對差
2021-05-07,16.690000534057617,16.69,5.340576159085231e-07,3.199865780823224e-08
2021-05-10,19.65999984741211,19.66,1.5258789076710855e-07,7.761337332217428e-09
2021-05-11,21.84000015258789,21.84,1.5258789076710855e-07,6.9866249863110885e-09
2021-05-12,27.59000015258789,27.59,1.5258789076710855e-07,5.530550559014625e-09
2021-05-13,23.1299991607666,23.13,8.392333974427402e-07,3.6283330215863495e-08
2021-05-14,18.809999465942383,18.81,5.340576159085231e-07,2.839221855776734e-08
2021-05-17,19.719999313354492,19.72,6.866455066756316e-07,3.481975307223421e-08
2021-05-18,21.34000015258789,21.34,1.5258789076710855e-07,7.1503228526736585e-09
2021-05-19,22.18000030517578,22.18,3.051757815342171e-07,1.3759052179228475e-08
2021-05-20,20.670000076293945,20.67,7.629394360719743e-08,3.6910470888046873e-09
2021-05-21,20.149999618530273,20.15,3.8146972514141453e-07,1.893150036541979e-08
2021-05-24,18.399999618530273,18.4,3.8146972514141453e-07,2.0732050709242623e-08
2021-05-25,18.84000015258789,18.84,1.5258789076710855e-07,8.099144879579465e-09
2021-05-26,17.360000610351562,17.36,6.103515630684342e-07,3.515849894063303e-08
2021-05-27,16.739999771118164,16.74,2.2888183437430598e-07,1.3672750149566913e-08
2021-05-28,16.760000228881836,16.76,2.2888183437430598e-07,1.3656433845381642e-08
2021-06-01,17.899999618530273,17.9,3.8146972514141453e-07,2.1311158283294764e-08
2021-06-02,17.479999542236328,17.48,4.5776367230132564e-07,2.6187853792286828e-08
2021-06-03,18.040000915527344,18.04,9.155273446026513e-07,5.074985022947759e-08
2021-06-04,16.420000076293945,16.42,7.629394360719743e-08,4.646403364963763e-09
2021-06-07,16.420000076293945,16.42,7.629394360719743e-08,4.646403364963763e-09
2021-06-08,17.06999969482422,17.07,3.051757815342171e-07,1.787790199121967e-08
2021-06-09,17.889999389648438,17.89,6.103515630684342e-07,3.411691357695616e-08
2021-06-10,16.100000381469727,16.1,3.8146972514141453e-07,2.3693771186519137e-08
2021-06-11,15.649999618530273,15.65,3.8146972691777137e-07,2.4375063017004473e-08
2021-06-14,16.389999389648438,16.39,6.103515630684342e-07,3.7239266979711955e-08
2021-06-15,17.020000457763672,17.02,4.5776367230132564e-07,2.6895632196796846e-08
2021-06-16,18.149999618530273,18.15,3.8146972514141453e-07,2.1017616152010955e-08
2021-06-17,17.75,17.75,0.0,0.0
2021-06-18,20.700000762939453,20.7,7.629394538355427e-07,3.6856977087724674e-08
2021-06-21,17.889999389648438,17.89,6.103515630684342e-07,3.411691357695616e-08
2021-06-22,16.65999984741211,16.66,1.5258789076710855e-07,9.158937104720975e-09
2021-06-23,16.31999969482422,16.32,3.051757815342171e-07,1.8699496767208986e-08
2021-06-24,15.970000267028809,15.97,2.6702880795426154e-07,1.6720651439534498e-08
2021-06-25,15.619999885559082,15.62,1.1444091718715299e-07,7.326563253880385e-09
2021-06-28,15.760000228881836,15.76,2.2888183615066282e-07,1.4522958935699322e-08
2021-06-29,16.020000457763672,16.02,4.5776367230132564e-07,2.8574510563105666e-08
2021-06-30,15.829999923706055,15.83,7.629394538355427e-08,4.819579643162288e-09
2021-07-01,15.479999542236328,15.48,4.5776367230132564e-07,2.9571297534753965e-08
2021-07-02,15.069999694824219,15.07,3.051757815342171e-07,2.0250549947856304e-08
2021-07-06,16.440000534057617,16.44,5.340576159085231e-07,3.248525538683242e-08
2021-07-07,16.200000762939453,16.2,7.629394538355427e-07,4.7095025796598115e-08
2021-07-08,19.0,19.0,0.0,0.0
2021-07-09,16.18000030517578,16.18,3.051757815342171e-07,1.8861296401619667e-08
2021-07-12,16.170000076293945,16.17,7.629394360719743e-08,4.718240151343493e-09
2021-07-13,17.1200008392334,17.12,8.392333974427402e-07,4.902063997096857e-08
2021-07-14,16.329999923706055,16.33,7.629394360719743e-08,4.672011265379278e-09
2021-07-15,17.010000228881836,17.01,2.2888183437430598e-07,1.345572200438187e-08
2021-07-16,18.450000762939453,18.45,7.629394538355427e-07,4.1351730205239907e-08
2021-07-19,22.5,22.5,0.0,0.0
2021-07-20,19.729999542236328,19.73,4.5776367230132564e-07,2.3201403087789413e-08
2021-07-21,17.90999984741211,17.91,1.5258789076710855e-07,8.519703633004587e-09
2021-07-22,17.690000534057617,17.69,5.340576159085231e-07,3.0189802135976784e-08
2021-07-23,17.200000762939453,17.2,7.629394538355427e-07,4.435694302290005e-08
2021-07-26,17.579999923706055,17.58,7.629394360719743e-08,4.339814786023836e-09
