ticker,entity_id,rows,first_date,last_date,f_first,f_last,f_min,f_max
APA,0001841666,1383,2021-03-01,2026-09-01,0.8570177432274957,1.0,0.8570173580864345,1.0
APLD,0001144879,1100,2022-04-13,2026-09-01,1.0,1.0,1.0,1.0
AR,0001433270,3241,2013-10-10,2026-09-01,1.0,1.0,1.0,1.0
ARRY,0001820721,1475,2020-10-15,2026-09-01,1.0,1.0,1.0,1.0
ASPI,0001921865,953,2022-11-10,2026-09-01,1.0,1.0,1.0,1.0
AU,0001973832,843,2023-04-21,2026-09-01,0.8952053744652857,1.0,0.8952052883052521,1.0
AVGO,0001730168,2154,2018-02-06,2026-09-01,0.7884851305281708,1.0,0.7884849588624401,1.0
AWI,0000007431,4997,2006-10-18,2026-09-01,0.5097388744354248,1.0,0.5097386594025808,1.0
AZO,0000866787,7685,1996-02-14,2026-09-01,1.0,1.0,1.0,1.0
B,0000756894,6426,2001-02-09,2026-09-01,0.6798621255609753,1.0,0.6798619496039835,1.0
BABA,0001577552,3004,2014-09-19,2026-09-01,0.9410523835255783,1.0,0.9410522773617644,1.0
BAC,0000070858,8185,1994-02-22,2026-09-01,0.42519043902961573,1.0,0.4251901498112654,1.0
BIIB,0000875045,7618,1996-05-21,2026-09-01,1.0,1.0,1.0,1.0
BILI,0001723690,2118,2018-03-28,2026-09-01,1.0,1.0,1.0,1.0
BJ,0001531152,2054,2018-06-28,2026-09-01,1.0,1.0,1.0,1.0
BKNG,0001075531,6897,1999-03-31,2026-09-01,0.9791999261993186,1.0,0.9791994302181014,1.0
BKR,0001701605,2369,2017-03-29,2026-09-01,0.5429222398564931,1.0,0.5429219082733401,1.0
BLDR,0001316835,5327,2005-06-28,2026-09-01,1.0,1.0,1.0,1.0
BMNR,0001829311,312,2025-06-05,2026-09-01,0.9997063913652974,1.0,0.999706334477585,1.0
BMY,0000014272,8170,1994-03-15,2026-09-01,0.31200849925731144,1.0,0.31200849925731144,1.0
BP,0000313807,7424,1997-02-26,2026-09-01,0.25872866433304675,1.0,0.25872854410424506,1.0
BRO,0000079282,8190,1994-02-14,2026-09-01,0.6897027414800408,1.0,0.6897021354512965,1.0
BURL,0001579298,3247,2013-10-02,2026-09-01,1.0,1.0,1.0,1.0
BWXT,0001486957,4045,2010-08-02,2026-09-01,0.8543488852644819,1.0,0.8543483794555218,1.0
BYD,0000906553,7624,1996-05-13,2026-09-01,0.868069180575284,1.0,0.8680686637318946,1.0
C,0000831001,8218,1994-01-05,2026-09-01,0.4753057524136816,1.0,0.47530541119814906,1.0
CART,0001579091,740,2023-09-19,2026-09-01,1.0,1.0,1.0,1.0
CCJ,0001009001,7190,1998-01-30,2026-09-01,0.6783966478513579,1.0,0.6783960567948852,1.0
CCL,0000815097,8207,1994-01-21,2026-09-01,0.5640328253626519,1.0,0.5640328080181914,1.0
CEG,0001868275,1158,2022-01-19,2026-09-01,0.9626186915806362,1.0,0.9626185658213856,1.0
CF,0001324404,5296,2005-08-11,2026-09-01,0.6783844492218098,1.0,0.6783839504644051,1.0
CHD,0000313927,8158,1994-03-31,2026-09-01,0.6527386735656955,1.0,0.6527382700066817,1.0
CHDN,0000020212,7890,1995-04-25,2026-09-01,0.7156191807109687,1.0,0.7156188570219895,1.0
CHRD,0001486159,4076,2010-06-17,2026-09-01,0.6078743759698172,1.0,0.6078740143796039,1.0
CIEN,0000936395,7436,1997-02-07,2026-09-01,1.0,1.0,1.0,1.0
CIFR,0001819989,1473,2020-10-20,2026-09-01,1.0,1.0,1.0,1.0
CL,0000021665,8190,1994-02-14,2026-09-01,0.5006144123692666,1.0,0.5006139814065942,1.0
CLF,0000764065,8194,1994-02-08,2026-09-01,0.6049635553934488,1.0,0.6049632592634722,1.0
CLSK,0000827876,2460,2016-11-16,2026-09-01,1.0,1.0,1.0,1.0
CLX,0000021076,8201,1994-01-28,2026-09-01,0.41517195805510365,1.0,0.4151717197747878,1.0
CMC,0000022444,8211,1994-01-14,2026-09-01,0.5120170940052379,1.0,0.5120162963867188,1.0
CMG,0001058090,5181,2006-01-26,2026-09-01,1.0,1.0,1.0,1.0
CNC,0001071739,6217,2001-12-13,2026-09-01,1.0,1.0,1.0,1.0
CNI,0000016868,7435,1997-02-10,2026-09-01,0.5846675457340655,1.0,0.5846674805014845,1.0
CNX,0001070412,6876,1999-04-30,2026-09-01,0.6910334536903783,1.0,0.6910331726074219,1.0
COHR,0000820318,7877,1995-05-15,2026-09-01,1.0,1.0,1.0,1.0
COIN,0001679788,1353,2021-04-14,2026-09-01,1.0,1.0,1.0,1.0
COP,0001163165,6221,2001-12-07,2026-09-01,0.45184240576303714,1.0,0.4518420955655773,1.0
CORZ,0001839341,654,2024-01-24,2026-09-01,1.0,1.0,1.0,1.0
COST,0000909832,8218,1994-01-05,2026-09-01,0.665143297208066,1.0,0.6651424604482035,1.0
CP,0000016875,6680,2000-02-08,2026-09-01,0.689622764134218,1.0,0.689622764134218,1.0
CRDO,0001807794,1152,2022-01-27,2026-09-01,1.0,1.0,1.0,1.0
CRM,0001108524,5584,2004-06-23,2026-09-01,0.9829936589532161,1.0,0.9829933967038975,1.0
CRWD,0001535527,1816,2019-06-12,2026-09-01,1.0,1.0,1.0,1.0
CSIQ,0001375877,4982,2006-11-09,2026-09-01,1.0,1.0,1.0,1.0
CSX,0000277948,8192,1994-02-10,2026-09-01,0.5426455892330867,1.0,0.542645537093278,1.0
CVNA,0001690820,2348,2017-04-28,2026-09-01,1.0,1.0,1.0,1.0
CVX,0000093410,8198,1994-02-03,2026-09-01,0.3009105151852235,1.0,0.3009105151852235,1.0
CZR,0001590895,3003,2014-09-22,2026-09-01,1.0,1.0,1.0,1.0
DAL,0000027904,4863,2007-05-03,2026-09-01,0.8573826959839908,1.0,0.8573822632410006,1.0
DAO,0001781753,1720,2019-10-25,2026-09-01,1.0,1.0,1.0,1.0
DASH,0001792789,1437,2020-12-09,2026-09-01,1.0,1.0,1.0,1.0
DDOG,0001561550,1746,2019-09-19,2026-09-01,1.0,1.0,1.0,1.0
DFDV,0001805526,779,2023-07-25,2026-09-01,1.0,1.0,1.0,1.0
DG,0000029534,4223,2009-11-13,2026-09-01,0.8575557104408081,1.0,0.8575551654992083,1.0
DHI,0000882184,7937,1995-02-15,2026-09-01,0.6990097931694569,1.0,0.6990093941300164,1.0
DINO,0001915657,1121,2022-03-14,2026-09-01,0.8424411547033258,1.0,0.8424408741486378,1.0
DIS,0001744489,2057,2018-06-25,2026-09-01,0.942904882009164,1.0,0.942904882009164,1.0
DK,0001694426,2390,2017-02-28,2026-09-01,0.7396667187549031,1.0,0.7396665710382428,1.0
DKNG,0001883685,1228,2021-10-08,2026-09-01,1.0,1.0,1.0,1.0
DLTR,0000935703,7622,1996-05-15,2026-09-01,1.0,1.0,1.0,1.0
DNN,0001063259,5423,2005-02-09,2026-09-01,1.0,1.0,1.0,1.0
DORM,0000868780,7563,1996-08-08,2026-09-01,0.9567598710980332,1.0,0.9567598134170926,1.0
DPZ,0001286681,5570,2004-07-13,2026-09-01,0.4415359850283022,1.0,0.44153575652389426,1.0
DRI,0000940944,7730,1995-12-11,2026-09-01,0.5213445414706496,1.0,0.5213444352522476,1.0
DV,0001819928,1347,2021-04-21,2026-09-01,1.0,1.0,1.0,1.0
DVN,0001090012,6824,1999-07-15,2026-09-01,0.5912786687462075,1.0,0.5912785497205011,1.0
EDU,0001372920,5020,2006-09-15,2026-09-01,0.9174563800559822,1.0,0.917456205350135,1.0
ELV,0001156039,6248,2001-10-30,2026-09-01,0.790940234235461,1.0,0.7909393310546875,1.0
ENPH,0001463101,3625,2012-03-30,2026-09-01,1.0,1.0,1.0,1.0
ENVA,0001529864,2965,2014-11-13,2026-09-01,1.0,1.0,1.0,1.0
EOG,0000821189,8194,1994-02-08,2026-09-01,0.6386293832222837,1.0,0.6386287700528561,1.0
EQT,0000033213,8208,1994-01-19,2026-09-01,0.5432708051335238,1.0,0.543270564245386,1.0
ETN,0001551182,3567,2012-06-22,2026-09-01,0.7104723414993716,1.0,0.7104717395430075,1.0
ETR,0000065984,8193,1994-02-09,2026-09-01,0.2535399595896403,1.0,0.2535397421988996,1.0
EU,0001500881,3709,2011-11-30,2026-09-01,1.0,1.0,1.0,1.0
EXE,0000895126,1395,2021-02-10,2026-09-01,0.7814712724647632,1.0,0.7814708891369048,1.0
EXPE,0001324424,5311,2005-07-21,2026-09-01,0.6496291945986302,1.0,0.6496287393683752,1.0
FANG,0001539838,3489,2012-10-12,2026-09-01,0.7603007180350168,1.0,0.7603002716057463,1.0
FCX,0000831259,7838,1995-07-10,2026-09-01,0.5322502291932398,1.0,0.5322497259710253,1.0
FIS,0001136893,6336,2001-06-20,2026-09-01,0.3678290772989357,1.0,0.36782885916854524,1.0
FLUT,0001635327,2834,2015-05-26,2026-09-01,0.9681361805308949,1.0,0.9681361578648386,1.0
FN,0001408710,4070,2010-06-25,2026-09-01,1.0,1.0,1.0,1.0
FOUR,0001794669,1567,2020-06-05,2026-09-01,1.0,1.0,1.0,1.0
FSLR,0001274494,4975,2006-11-17,2026-09-01,1.0,1.0,1.0,1.0
FTI,0001681459,2528,2016-08-10,2026-09-01,0.9156408159112233,1.0,0.9156406023792727,1.0
FTNT,0001262039,4220,2009-11-18,2026-09-01,1.0,1.0,1.0,1.0
GD,0000040533,8160,1994-03-29,2026-09-01,0.5023430616335761,1.0,0.5023426442906477,1.0
GE,0000040545,8201,1994-01-28,2026-09-01,0.4772068336908781,1.0,0.4772065545858268,1.0
GEV,0001996810,609,2024-03-27,2026-09-01,0.9957919456845238,1.0,0.9957918020841983,1.0
GFI,0001172724,6120,2002-05-06,2026-09-01,0.6243230602884418,1.0,0.6243227345717166,1.0
GILD,0000882095,8190,1994-02-14,2026-09-01,0.686317485311757,1.0,0.6863171090764908,1.0
GIS,0000040704,8217,1994-01-06,2026-09-01,0.35756402002781446,1.0,0.35756352549087245,1.0
GLW,0000024741,8209,1994-01-18,2026-09-01,0.48882947181092135,1.0,0.48882914698401164,1.0
GOOGL,0001652044,2744,2015-10-02,2026-09-01,0.9912108498381023,1.0,0.9912104514195801,1.0
GOTU,0001768259,1819,2019-06-06,2026-09-01,1.0,1.0,1.0,1.0
GPC,0000040987,8196,1994-02-04,2026-09-01,0.3501301052628377,1.0,0.3501299986901155,1.0
GPN,0001123360,6444,2001-01-16,2026-09-01,0.9100850423177084,1.0,0.9100842143214026,1.0
GPOR,0000874499,1328,2021-05-18,2026-09-01,1.0,1.0,1.0,1.0
GRAB,0001855612,1354,2021-04-13,2026-09-01,1.0,1.0,1.0,1.0
GRBK,0001373670,4830,2007-06-20,2026-09-01,1.0,1.0,1.0,1.0
GS,0000886982,6874,1999-05-04,2026-09-01,0.6819753426641596,1.0,0.6819748794165951,1.0
HAL,0000045012,8205,1994-01-25,2026-09-01,0.5827886429661516,1.0,0.5827885616564751,1.0
HEI,0000046619,7936,1995-02-16,2026-09-01,0.87209057250102,1.0,0.8720902026008742,1.0
HII,0001501585,3884,2011-03-22,2026-09-01,0.7896482002698677,1.0,0.7896478624950338,1.0
HIMS,0001773751,1751,2019-09-13,2026-09-01,1.0,1.0,1.0,1.0
HIVE,0001720424,2223,2017-10-26,2026-09-01,1.0,1.0,1.0,1.0
HOOD,0001783879,1279,2021-07-29,2026-09-01,1.0,1.0,1.0,1.0
HP,0000046765,8203,1994-01-26,2026-09-01,0.33622176558883105,1.0,0.33622148687189274,1.0
HSY,0000047111,8173,1994-03-10,2026-09-01,0.47946351017784233,1.0,0.4794630641259518,1.0
HUBB,0000048898,8192,1994-02-14,2026-09-02,0.3282787611974326,1.0,0.3282787611974326,1.0
HUBS,0001404655,2990,2014-10-09,2026-09-01,1.0,1.0,1.0,1.0
HUM,0000049071,8199,1994-02-01,2026-09-01,0.871034972061067,1.0,0.8710343335902395,1.0
HUT,0001964789,894,2023-02-07,2026-09-01,1.0,1.0,1.0,1.0
HUYA,0001728190,2087,2018-05-11,2026-09-01,0.38017770646663657,1.0,0.38017767773109895,1.0
HWM,0000004281,2470,2016-11-01,2026-09-01,0.9536360619405769,1.0,0.9536358129877232,1.0
IAG,0001203464,5820,2003-07-15,2026-09-01,0.8843665773412068,1.0,0.8843663158994007,1.0
ICL,0000941221,5395,2005-03-22,2026-09-01,0.5747089313559691,1.0,0.5747086434611212,1.0
INFQ,0002007825,137,2026-02-17,2026-09-01,1.0,1.0,1.0,1.0
INTC,0000050863,8193,1994-02-10,2026-09-01,0.5609107822035042,1.0,0.5609105533584025,1.0
IONQ,0001824920,1422,2021-01-04,2026-09-01,1.0,1.0,1.0,1.0
IPI,0001421461,4619,2008-04-22,2026-09-01,0.9668288457961309,1.0,0.9668287673741482,1.0
IQ,0001722608,2117,2018-03-29,2026-09-01,1.0,1.0,1.0,1.0
IREN,0001878848,1201,2021-11-17,2026-09-01,1.0,1.0,1.0,1.0
JBLU,0001158463,6137,2002-04-12,2026-09-01,1.0,1.0,1.0,1.0
JD,0001549802,3087,2014-05-22,2026-09-01,0.8761689012914211,1.0,0.8761686779206317,1.0
JPM,0000019617,8207,1994-01-20,2026-09-01,0.3938250317366492,1.0,0.39382481295247496,1.0
KBH,0000795266,8196,1994-02-04,2026-09-01,0.6237864392869016,1.0,0.6237864392869016,1.0
KGC,0000701818,8191,1994-02-11,2026-09-01,0.8577498676620912,1.0,0.8577490179820232,1.0
KHC,0001637459,2806,2015-07-06,2026-09-01,0.6085227009520954,1.0,0.6085223969959077,1.0
KLAC,0000319201,8218,1994-01-06,2026-09-01,0.5241483227956164,1.0,0.5241481182548362,1.0
KMB,0000055785,8186,1994-02-18,2026-09-01,0.35948941707321297,1.0,0.35948922120621174,1.0
KMI,0001506307,3910,2011-02-11,2026-09-01,0.4774183737693301,1.0,0.47741827920762225,1.0
KMX,0001170010,6145,2002-04-01,2026-09-01,1.0,1.0,1.0,1.0
KO,0000021344,8202,1994-01-27,2026-09-01,0.4445819968948821,1.0,0.44458156678734756,1.0
KR,0000056873,8216,1994-01-07,2026-09-01,0.692135050326963,1.0,0.6921344136883488,1.0
KTOS,0001069258,6744,1999-11-05,2026-09-01,1.0,1.0,1.0,1.0
LAD,0001023128,7471,1996-12-18,2026-09-01,0.7315246924925386,1.0,0.7315240842589736,1.0
LCID,0001811210,1495,2020-09-18,2026-09-01,1.0,1.0,1.0,1.0
LDOS,0001336920,4998,2006-10-17,2026-09-01,0.5013938101828616,1.0,0.5013934169244633,1.0
LEN,0000920760,7618,1996-05-21,2026-09-01,0.2683188924481472,1.0,0.2683187857740805,1.0
LEU,0001065059,7070,1998-07-23,2026-09-01,0.5556184173970147,1.0,0.5556182937451476,1.0
LGIH,0001580670,3221,2013-11-07,2026-09-01,1.0,1.0,1.0,1.0
LHX,0000202058,8191,1994-02-11,2026-09-01,0.4616508569608646,1.0,0.46165056841276236,1.0
LI,0001791706,1529,2020-07-30,2026-09-01,1.0,1.0,1.0,1.0
LIND,0001512499,3310,2013-07-03,2026-09-01,1.0,1.0,1.0,1.0
LITE,0001633978,2793,2015-07-23,2026-09-01,1.0,1.0,1.0,1.0
LKQ,0001065696,5762,2003-10-06,2026-09-01,0.8685175437722319,1.0,0.8685172287212456,1.0
LLY,0000059478,8194,1994-02-08,2026-09-01,0.4306570024632696,1.0,0.4306570024632696,1.0
LMT,0000936468,7941,1995-02-09,2026-09-01,0.45769298184289475,1.0,0.45769273745937195,1.0
LRCX,0000707549,8134,1994-05-06,2026-09-01,0.8483946210140508,1.0,0.8483939860444241,1.0
LTBR,0001084554,5449,2005-01-03,2026-09-01,1.0,1.0,1.0,1.0
LUV,0000092380,7960,1995-01-13,2026-09-01,0.8365634763111638,1.0,0.8365632712814131,1.0
LVS,0001300514,5461,2004-12-15,2026-09-01,0.6258264665097693,1.0,0.6258259965125088,1.0
LXU,0000060714,8202,1994-01-27,2026-09-01,1.0,1.0,1.0,1.0
LYFT,0001759509,1866,2019-03-29,2026-09-01,1.0,1.0,1.0,1.0
MARA,0001507605,3602,2012-05-04,2026-09-01,1.0,1.0,1.0,1.0
MAS,0000062996,8201,1994-01-28,2026-09-01,0.49134427323207447,1.0,0.49134394373569357,1.0
MCD,0000063908,8209,1994-01-18,2026-09-01,0.5013858629309613,1.0,0.5013857725773895,1.0
MDB,0001441816,2227,2017-10-19,2026-09-01,1.0,1.0,1.0,1.0
MDLZ,0001103982,6341,2001-06-13,2026-09-01,0.3538067626953125,1.0,0.35380650929332486,1.0
META,0001326801,3592,2012-05-18,2026-09-01,0.9912949465488364,1.0,0.9912945637352195,1.0
MGM,0000789570,8185,1994-02-22,2026-09-01,0.9391896262097714,1.0,0.9391894273354974,1.0
MGNI,0001595974,3122,2014-04-02,2026-09-01,1.0,1.0,1.0,1.0
MHK,0000851968,7942,1995-02-08,2026-09-01,1.0,1.0,1.0,1.0
MHO,0000799292,7949,1995-01-30,2026-09-01,0.9414045470101493,1.0,0.9414041810116526,1.0
MLCO,0001381640,4954,2006-12-19,2026-09-01,0.7971529789246377,1.0,0.7971525899699025,1.0
MOD,0000067347,7950,1995-01-27,2026-09-01,0.6470084508260091,1.0,0.6470079504925271,1.0
MOH,0001179929,5828,2003-07-02,2026-09-01,1.0,1.0,1.0,1.0
MOS,0001285785,5634,2004-04-08,2026-09-01,0.7201365109147697,1.0,0.7201358894586303,1.0
MPC,0001510295,3818,2011-06-24,2026-09-01,0.6523130788099045,1.0,0.6523127536147252,1.0
MRK,0000310158,8176,1994-03-07,2026-09-01,0.3406613889840796,1.0,0.340661145115077,1.0
MRSH,0000062709,8202,1994-01-27,2026-09-01,0.458696122602983,1.0,0.4586956037906484,1.0
MRVL,0001835632,1429,2020-12-22,2026-09-01,0.9793947293264046,1.0,0.9793941071352004,1.0
MS,0000895421,8258,1993-11-08,2026-09-01,0.4421656340071299,1.0,0.4421652567755316,1.0
MSFT,0000789019,8191,1994-02-14,2026-09-01,0.6070052938602002,1.0,0.6070045345788548,1.0
MSTR,0001050446,7100,1998-06-11,2026-09-01,1.0,1.0,1.0,1.0
MTDR,0001520006,3665,2012-02-02,2026-09-01,0.9165276060713098,1.0,0.9165273099829042,1.0
MU,0000723125,8218,1994-01-06,2026-09-01,0.9637355263539773,1.0,0.9637351366723735,1.0
NBR,0001163739,6205,2002-01-02,2026-09-01,0.8544380079425901,1.0,0.8544374764683735,1.0
NCLH,0001513761,3425,2013-01-18,2026-09-01,1.0,1.0,1.0,1.0
NE,0001895262,1178,2021-12-20,2026-09-01,0.8540541951381682,1.0,0.8540539855060356,1.0
NEM,0001164727,6199,2002-01-10,2026-09-01,0.6616616907219048,1.0,0.6616611494842282,1.0
NFLX,0001065280,6108,2002-05-23,2026-09-01,1.0,1.0,1.0,1.0
NIO,0001736541,2003,2018-09-12,2026-09-01,1.0,1.0,1.0,1.0
NNE,0001923891,580,2024-05-08,2026-09-01,1.0,1.0,1.0,1.0
NOC,0001133421,6432,2001-02-01,2026-09-01,0.5949228103931085,1.0,0.5949224606956186,1.0
NOV,0001021860,7506,1996-10-29,2026-09-01,0.7691601665881178,1.0,0.7691596659117482,1.0
NOW,0001373715,3563,2012-06-29,2026-09-01,1.0,1.0,1.0,1.0
NRG,0001013871,5722,2003-12-02,2026-09-01,0.741691391189377,1.0,0.7416908687745758,1.0
NSC,0000702165,8203,1994-01-26,2026-09-01,0.47331662080725845,1.0,0.47331662080725845,1.0
NTES,0001110646,6121,2002-05-03,2026-09-01,0.7716581466318301,1.0,0.7716577502093924,1.0
NTR,0001725964,2177,2018-01-02,2026-09-01,0.7534688313802084,1.0,0.7534686650263495,1.0
NUE,0000073309,8191,1994-02-11,2026-09-01,0.48387096984993977,1.0,0.483870685232133,1.0
NVDA,0001045810,6945,1999-01-22,2026-09-01,0.91571739855655,1.0,0.9157168318529099,1.0
NVO,0000353278,6442,2001-01-18,2026-09-01,0.6100387288093251,1.0,0.6100385610485565,1.0
NVR,0000906163,7944,1995-02-06,2026-09-01,1.0,1.0,1.0,1.0
NXE,0001698535,2349,2017-04-27,2026-09-01,1.0,1.0,1.0,1.0
NXT,0001852131,892,2023-02-09,2026-09-01,1.0,1.0,1.0,1.0
OC,0001370946,4987,2006-11-01,2026-09-01,0.8162156282478052,1.0,0.8162148679665384,1.0
OII,0000073756,8190,1994-02-14,2026-09-01,0.8839823183806046,1.0,0.8839817341494068,1.0
OKE,0001039684,7366,1997-05-20,2026-09-01,0.25955403061429266,1.0,0.2595538503687464,1.0
OKLO,0001849056,1294,2021-07-08,2026-09-01,1.0,1.0,1.0,1.0
OKTA,0001660134,2362,2017-04-07,2026-09-01,1.0,1.0,1.0,1.0
ONTO,0000704532,1719,2019-10-28,2026-09-01,1.0,1.0,1.0,1.0
OPRT,0001538716,1741,2019-09-26,2026-09-01,1.0,1.0,1.0,1.0
ORCL,0001341439,5249,2005-10-19,2026-09-01,0.7939944489737674,1.0,0.7939936782997107,1.0
ORLY,0000898173,7687,1996-02-12,2026-09-01,1.0,1.0,1.0,1.0
OXY,0000797468,7962,1995-01-11,2026-09-01,0.3891456778701596,1.0,0.3891455817000363,1.0
PAG,0001019849,7510,1996-10-23,2026-09-01,0.6407641885955702,1.0,0.6407639591008534,1.0
PANW,0001327567,3548,2012-07-20,2026-09-01,1.0,1.0,1.0,1.0
PARA,0001826011,266,2025-08-11,2026-09-01,1.0,1.0,1.0,1.0
PARA,0000813828,1127,2021-02-12,2025-08-08,1.0,1.0,1.0,1.0
PBF,0001534504,3448,2012-12-13,2026-09-01,0.6574037824358259,1.0,0.6574037367162423,1.0
PDD,0001737806,2035,2018-07-26,2026-09-01,1.0,1.0,1.0,1.0
PENN,0000921738,7664,1996-03-15,2026-09-01,1.0,1.0,1.0,1.0
PEP,0000077476,7965,1995-01-06,2026-09-01,0.43188967807687445,1.0,0.4318895309881457,1.0
PFE,0000078003,8167,1994-03-18,2026-09-01,0.3351821547752428,1.0,0.3351819529638602,1.0
PG,0000080424,8193,1994-02-09,2026-09-01,0.4467700362708498,1.0,0.4467698297026863,1.0
PHM,0000822416,8190,1994-02-14,2026-09-01,0.7707159340787096,1.0,0.7707156456506299,1.0
PNC,0000713676,8203,1994-01-26,2026-09-01,0.34863671122143447,1.0,0.3486364921637341,1.0
PR,0001658566,2609,2016-04-15,2026-09-01,0.8668572425842285,1.0,0.8668570021679317,1.0
PSX,0001534701,3617,2012-04-12,2026-09-01,0.6189818101770738,1.0,0.6189816375680465,1.0
PTEN,0000889900,7937,1995-02-15,2026-09-01,0.6773645652914947,1.0,0.6773641256522875,1.0
PUBM,0001422930,1437,2020-12-09,2026-09-01,1.0,1.0,1.0,1.0
PWR,0001050915,7181,1998-02-12,2026-09-01,0.9805498123168945,1.0,0.9805492816522617,1.0
PYPL,0001633917,2807,2015-07-06,2026-09-01,0.9914138654636983,1.0,0.9914137435046694,1.0
QBTS,0001907982,1145,2022-02-08,2026-09-01,1.0,1.0,1.0,1.0
QUBT,0001758009,1922,2019-01-09,2026-09-01,1.0,1.0,1.0,1.0
RBLX,0001315098,1376,2021-03-10,2026-09-01,1.0,1.0,1.0,1.0
RCL,0000884887,7432,1997-02-13,2026-09-01,0.6671602358376927,1.0,0.6671600969730581,1.0
REGN,0000872589,7826,1995-07-26,2026-09-01,0.9906514485677084,1.0,0.9906512435373807,1.0
RGTI,0001838359,1347,2021-04-22,2026-09-01,1.0,1.0,1.0,1.0
RIG,0001451505,4450,2008-12-19,2026-09-01,0.7951818709129994,1.0,0.7951817005655142,1.0
RIOT,0001167419,2621,2016-03-31,2026-09-01,0.8917749212092837,1.0,0.8917748573710578,1.0
RIVN,0001874178,1206,2021-11-10,2026-09-01,1.0,1.0,1.0,1.0
ROKU,0001428439,2242,2017-09-28,2026-09-01,1.0,1.0,1.0,1.0
ROST,0000745732,8190,1994-02-14,2026-09-01,0.7370433906181892,1.0,0.7370429720197406,1.0
RRC,0000315852,8161,1994-03-28,2026-09-01,0.860086401022389,1.0,0.8600858664563815,1.0
RRR,0001653653,2601,2016-04-27,2026-09-01,0.7433046965857237,1.0,0.7433043671448769,1.0
RS,0000861884,7563,1996-08-08,2026-09-01,0.6555767958706644,1.0,0.6555765659608812,1.0
RSI,0001793659,1595,2020-04-27,2026-09-01,1.0,1.0,1.0,1.0
RTX,0000101829,8205,1994-01-24,2026-09-01,0.5078854184494186,1.0,0.5078853322930164,1.0
RUN,0001469367,2785,2015-08-05,2026-09-01,1.0,1.0,1.0,1.0
S,0001583708,1299,2021-06-30,2026-09-01,1.0,1.0,1.0,1.0
SBET,0001981535,806,2023-06-15,2026-09-01,1.0,1.0,1.0,1.0
SCCO,0001001838,7707,1996-01-12,2026-09-01,0.2551245039297283,1.0,0.25512421477419867,1.0
SEDG,0001419612,2875,2015-03-26,2026-09-01,1.0,1.0,1.0,1.0
SGHC,0001878057,1249,2021-09-09,2026-09-01,0.92938046565686,1.0,0.9293804137854721,1.0
SHEL,0001306965,5496,2004-10-28,2026-09-02,0.3405630340822858,1.0,0.3405628176917949,1.0
SHLS,0001831651,1404,2021-01-28,2026-09-01,1.0,1.0,1.0,1.0
SHW,0000089800,8197,1994-02-03,2026-09-01,0.6077580727639991,1.0,0.6077578989052549,1.0
SLB,0000087347,7622,1996-05-15,2026-09-01,0.5043175987695031,1.0,0.504317001320301,1.0
SMR,0001822966,1131,2022-03-01,2026-09-01,1.0,1.0,1.0,1.0
SNDK,0002023554,389,2025-02-13,2026-09-01,1.0,1.0,1.0,1.0
SNOW,0001640147,1496,2020-09-16,2026-09-01,1.0,1.0,1.0,1.0
SOFI,0001818874,1422,2021-01-04,2026-09-01,1.0,1.0,1.0,1.0
