code,ym,close,volume,turnover_rate,units
US.XLE,2002-04,8.741474,17471800,0.04295000,406793946.45
US.XLE,2002-05,8.587674,11719800,0.02887000,405950813.99
US.XLE,2002-06,8.223577,8598600,0.02121000,405403111.74
US.XLE,2002-07,7.084204,26409400,0.06488000,407049938.35
US.XLE,2002-08,7.190922,10168800,0.02505000,405940119.76
US.XLE,2002-09,6.641637,8075000,0.01991000,405575087.90
US.XLE,2002-10,6.764049,15241800,0.03750000,406448000.00
US.XLE,2002-11,7.043400,7757800,0.01915000,405107049.61
US.XLE,2002-12,7.008873,12221200,0.03008000,406289893.62
US.XLE,2003-01,6.833102,15113800,0.03717000,406612859.83
US.XLE,2003-02,7.033983,15913200,0.03912000,406779141.10
US.XLE,2003-03,7.005734,28536800,0.07012000,406970907.02
US.XLE,2003-04,6.946098,19751400,0.04853000,406993612.20
US.XLE,2003-05,7.683709,21965400,0.05397000,406992773.76
US.XLE,2003-06,7.548742,13333800,0.03281000,406394391.95
US.XLE,2003-07,7.281946,13663600,0.03362000,406412849.49
US.XLE,2003-08,7.746484,16144200,0.03971000,406552505.67
US.XLE,2003-09,7.548742,10533800,0.02595000,405926782.27
US.XLE,2003-10,7.620933,13110800,0.03225000,406536434.11
US.XLE,2003-11,7.680570,9314000,0.02293000,406192760.58
US.XLE,2003-12,8.647311,29166000,0.07165000,407062107.47
US.XLE,2004-01,8.841915,38546600,0.09465000,407254094.03
US.XLE,2004-02,9.306453,28247400,0.06935000,407316510.45
US.XLE,2004-03,9.209151,44638800,0.10958000,407362657.42
US.XLE,2004-04,9.366089,51276200,0.12587000,407374275.05
US.XLE,2004-05,9.337840,71342000,0.17506000,407528847.25
US.XLE,2004-06,9.880848,76770600,0.18840000,407487261.15
US.XLE,2004-07,10.185308,49308800,0.12104000,407376074.03
US.XLE,2004-08,10.028370,97446400,0.23908000,407589091.52
US.XLE,2004-09,10.963723,94879000,0.23278000,407590858.32
US.XLE,2004-10,11.029637,130861600,0.32105000,407605045.94
US.XLE,2004-11,11.773526,154395600,0.37876000,407634385.89
US.XLE,2004-12,11.400012,140460200,0.34459000,407615427.03
US.XLE,2005-01,11.786081,152914400,0.37513000,407630421.45
US.XLE,2005-02,13.763506,177729600,0.43597000,407664747.57
US.XLE,2005-03,13.455907,503284000,1.23441000,407712186.39
US.XLE,2005-04,12.727712,726419400,1.78167000,407718264.33
US.XLE,2005-05,13.082393,622040400,1.52564000,407724233.76
US.XLE,2005-06,13.951832,552491800,1.35509000,407715945.07
US.XLE,2005-07,14.940545,562089000,1.37861000,407721545.61
US.XLE,2005-08,15.894731,600657800,1.47323000,407714884.98
US.XLE,2005-09,16.845778,591652200,1.45110000,407726690.10
US.XLE,2005-10,15.323475,1184252600,2.90447000,407734492.01
US.XLE,2005-11,15.552605,831547800,2.03949000,407723401.44
US.XLE,2005-12,15.791151,707678600,1.73566000,407728817.86
US.XLE,2006-01,18.098147,873060600,2.14130000,407724559.85
US.XLE,2006-02,16.428322,1067211000,2.61742000,407733951.75
US.XLE,2006-03,17.074908,985096000,2.41607000,407726597.33
US.XLE,2006-04,17.934931,831548000,2.03946000,407729497.02
US.XLE,2006-05,17.435867,1106677200,2.71422000,407733050.38
US.XLE,2006-06,17.812519,1306795000,3.20502000,407733805.09
