ticker,t0,multiple_old,t0_price_old,entity_id,match_note,宇宙分段,price_date,t0_close,t0_adj_close,multiple_new,drawdown_new,window_rows,has_panel_at_t0,split_factor,split_table_absent,shares_filed,shares_filed_date,shares_period_end,currency,mcap,mcap_missing_reason,n1,n1_reason,n2,n2_reason,panel_filed_date,in_index,in_v1,U1,U2,U3,U0,U5
INCY,2009-02-27,29.8,2.31,0000879169,唯一,既有574,2009-02-27,2.309999942779541,2.309999942779541,29.796538327284107,-0.1125541112137034,1258.0,False,1.0,False,,,,,,shares_absent_at_t0,,no_panel_row,,no_panel_row,,False,False,False,False,False,False,False
SEDG,2016-12-30,29.7,12.4,0001419612,唯一,既有574,2016-12-30,12.399999618530273,12.399999618530273,29.704032088988278,-0.008064470231593623,1258.0,True,1.0,True,41063194.0,2016-11-09,2016-09-30,USD,509183589.9356346,none,,liabilities_missing,,lt_debt_missing,2016-11-09,False,True,True,True,True,False,True
ETSY,2016-02-29,29.45,7.94,0001370637,唯一,既有574,2016-02-29,7.940000057220459,7.940000057220459,29.453400368389733,0.013853920997692226,1258.0,True,1.0,True,112101830.0,2015-11-05,2015-09-30,USD,890088536.6145182,none,True,none,,lt_debt_missing,2015-11-05,False,False,True,True,True,False,False
FNMA,2011-11-30,29.1,0.2,,代號表無此代號,既有574,,,,,,,,,,,,,,,entity_unmatched,,,,,,,False,False,False,False,False,False
LULU,2009-02-27,28.77,2.86,0001397187,唯一,既有574,2009-02-27,2.859999895095825,2.859999895095825,28.769231397660615,-0.21503497625692658,1258.0,False,2.0,False,,,,,,shares_absent_at_t0,,no_panel_row,,no_panel_row,,False,False,False,False,False,False,False
FIX,2021-07-30,28.24,73.1292,0001035983,唯一,既有574,2021-07-30,74.75,73.129150390625,28.24373616614976,-0.07361966134400755,1254.0,True,1.0,True,36305194.0,2021-07-28,2021-06-30,USD,2713813251.5,none,False,sti_missing_as_zero,False,none,2021-07-28,False,False,True,True,True,False,False
FMCC,2011-11-30,27.6,0.2,,代號表無此代號,既有574,,,,,,,,,,,,,,,entity_unmatched,,,,,,,False,False,False,False,False,False
REGN,2010-08-31,26.95,21.7745,0000872589,唯一,既有574,2010-08-31,21.979999542236328,21.774518966674805,26.951772314216417,0.022748098543822204,1258.0,True,1.0,True,79931305.0,2010-07-28,2010-06-30,USD,1756890047.3103523,none,False,none,,lt_debt_missing,2010-07-28,False,False,True,True,True,False,False
NXH,2020-03-31,24.51,4.99,0001130713,唯一,新增154,2020-03-31,4.989999771118164,4.989999771118164,24.5130271153128,-0.09218428505192844,1256.0,True,1.0,True,40325793.0,2020-03-13,2019-12-31,USD,201225697.84015846,none,False,none,True,st_debt_missing_as_zero,2020-03-13,False,True,False,True,True,False,True
NFLX,2012-09-28,24.31,0.7777,0001065280,唯一,新增154,2012-09-28,0.7777140140533447,0.7777140140533447,24.312280098308722,0.029573855545530936,1257.0,True,1.0,True,55534266.0,2012-08-02,2012-06-30,USD,43189776.928366184,none,False,sti_missing_as_zero,,lt_debt_missing,2012-08-02,True,False,False,True,False,True,False
OVV,2020-03-31,24.08,2.3053,0001792580,唯一,新增154,2020-03-31,2.700000047683716,2.3052966594696045,24.075730612367316,-0.014814592648861868,1256.0,True,1.0,True,259821141.0,2020-02-21,2019-12-31,USD,701517093.0892375,none,False,sti_missing_as_zero,False,none,2020-02-21,False,False,True,True,True,False,False
ULTA,2009-02-27,23.74,5.538,0001403568,唯一,既有574,2009-02-27,5.599999904632568,5.538032531738281,23.744894824358262,-0.23392858126883054,1258.0,False,1.0,True,,,,,,shares_absent_at_t0,,no_panel_row,,no_panel_row,,False,False,False,False,False,False,False
