lookback_days,tilt,cadence,層,annual_excess:SPY,舊裁決,新裁決,變了,舊鄰域格數,舊鄰域平均,舊落差,新鄰域格數,新鄰域平均,新落差,換層最差鄰域平均,換層代價,成交筆數
60,0.5,quarterly,cadence=quarterly,0.002415565180339,普通,普通,,11,0.004454856375173592,-0.002039291194834592,5,0.0009256396274508833,0.0014899255528881168,0.0079840731228963,-0.007058433495445417,188
120,0.75,monthly,cadence=monthly,0.0015881712880123,普通,普通,,11,0.006112622915644975,-0.004524451627632675,5,0.010067031419930735,-0.008478860131918436,0.0021582144113592165,0.007908817008571519,560
10,1.0,quarterly,cadence=quarterly,-0.0004268852546234,普通,普通,,7,0.010402867287955564,-0.010829752542578964,3,-0.002384028907327425,0.0019571436527040247,0.023189763483238552,-0.025573792390565977,60
10,0.5,monthly,cadence=monthly,-0.0004978787955365,普通,普通,,7,0.0038444936038551,-0.0043423723993916,3,0.011311826348364175,-0.011809705143900675,-0.0036228391406539747,0.014934665489018149,560
40,0.5,quarterly,cadence=quarterly,-0.0005581543715362,普通,普通,,11,0.008110206866984033,-0.008668361238520233,5,0.0014061469390017666,-0.0019643013105379668,0.0148142667949663,-0.013408119855964535,188
10,0.75,quarterly,cadence=quarterly,-0.001740984276433,普通,普通,,11,0.007075179362947184,-0.008816163639380184,5,-0.0030628687094967836,0.0013218844330637836,0.01721322743539115,-0.020276096144887935,188
120,0.5,monthly,cadence=monthly,-0.0025521741813827,普通,普通,,7,0.0031659512945804375,-0.005718125475963138,3,0.005991664960004575,-0.008543839141387274,0.00034023762915629983,0.005651427330848275,560
20,1.0,quarterly,cadence=quarterly,-0.0034589704397414,普通,普通,,11,0.012138930366486942,-0.015597900806228342,5,0.0007346850423572333,-0.004193655482098633,0.02354317569061665,-0.022808490648259416,70
10,0.5,quarterly,cadence=quarterly,-0.0038415904568798,普通,普通,,7,0.0038444936038551,-0.0076860840607349,3,-0.0036228391406539747,-0.00021875131622582514,0.011311826348364175,-0.014934665489018149,188
20,0.75,quarterly,cadence=quarterly,-0.0039092756585119,普通,普通,,17,0.008471995365074422,-0.012381271023586321,8,-0.0005545711938959777,-0.003354704464615922,0.017498561924044823,-0.018053133117940802,188
20,0.5,quarterly,cadence=quarterly,-0.0049995061707912,普通,普通,,11,0.004907217914690033,-0.009906724085481232,5,-0.0017164115524226332,-0.0032830946183685667,0.0115308473818027,-0.013247258934225332,188
120,0.75,quarterly,cadence=quarterly,-0.0058811387725985,普通,普通,,11,0.006112622915644975,-0.011993761688243475,5,0.0021582144113592165,-0.008039353183957716,0.010067031419930735,-0.007908817008571519,188
120,0.5,quarterly,cadence=quarterly,-0.0059106869260099,普通,普通,,7,0.0031659512945804375,-0.009076638220590337,3,0.00034023762915629983,-0.0062509245551662,0.005991664960004575,-0.005651427330848275,188
120,1.0,quarterly,cadence=quarterly,-0.0066361902880398,普通,普通,,7,0.009171154625266175,-0.015807344913305973,3,0.00411110205345655,-0.01074729234149635,0.014231207197075801,-0.010120105143619251,46
