month_end,series,n_members,total_mcap,pe_fwd,n_fwd,pe_now,n_now,pe_lag,n_lag
2014-03-31,XLV,37,1888307674400.92,18.848160190183926,37,22.04100636037817,37,22.61701237302602,37
2014-04-30,XLV,37,1866090533989.1199,18.732133472934972,37,21.92951077334375,37,22.415267689593808,37
2014-05-31,XLV,37,1911670036202.97,19.18966400683665,37,22.465136821586754,37,22.325352551586573,37
2014-06-30,XLV,37,1931663772422.41,19.426636093855002,37,21.578342651775337,37,22.776945277852466,37
2014-07-31,XLV,37,1929206925429.0503,19.523445848854784,37,21.614257333204744,37,22.788228003326882,37
2014-08-31,XLV,37,2023238297505.2,20.475006202374246,37,22.667707748311795,37,22.6477256472088,37
2014-09-30,XLV,38,2036233708100.78,19.807985770053424,38,22.245448461514115,38,22.74633584467997,38
2014-10-31,XLV,38,2132005064939.05,20.853704529834282,38,23.372900605748814,38,23.845555449988165,38
2014-11-30,XLV,38,2182213516877.24,21.345161816976695,38,23.923917873732474,38,23.871026962143265,38
2014-12-31,XLV,38,2153537903950.7002,21.92172872200533,38,22.226089810171434,38,23.684612777735243,38
2015-01-31,XLV,39,2232255250619.42,22.117085610940478,39,22.29729088265455,39,23.788594426794482,39
2015-02-28,XLV,39,2311073063470.48,22.972014459018872,39,23.148069926792726,39,24.70178408204339,39
2015-03-31,XLV,40,2335061637770.2,23.128071296060323,40,22.754124838296836,40,23.340010117012277,40
2015-04-30,XLV,40,2300514632349.3,21.65904093442632,40,22.594003048110697,40,22.971827004729,40
2015-05-31,XLV,40,2402625790684.56,22.38446929735458,40,23.5969862491722,40,23.44048481214947,40
2015-06-30,XLV,40,2398216712196.3403,22.32690404861419,40,23.49405829008373,40,23.539576330395086,40
2015-07-31,XLV,40,2463396882746.17,22.53619461315884,40,24.267637386054204,40,24.20373043695156,40
2015-08-31,XLV,40,2267161515452.0,20.711973560702194,40,22.33418470957642,40,22.23259307718391,40
2015-09-30,XLV,40,2139595839148.7402,19.65271346283779,40,20.46731313116553,40,21.18162078559133,40
2015-10-31,XLV,40,2292440908807.01,21.165105037197495,40,22.091751377609054,40,22.73156752348319,40
2015-11-30,XLV,41,2310029365131.06,21.12414997433171,41,22.15411924092179,41,22.02968613342591,41
2015-12-31,XLV,41,2323898839728.08,21.35881242138462,41,23.201407099571703,41,22.411736261328283,41
2016-01-31,XLV,41,2171535430169.44,19.838382620067172,41,21.744655299170255,41,20.957168596405353,41
2016-02-29,XLV,41,2153195742806.6702,19.816750406616414,41,21.719583040900705,41,21.6667496330417,41
