event_id,event,basket_kind,entity_id,ticker,name,sic,sic_description,named_confidence,f_shock_rel_drop,anchor_T_date,T_3m_excess,T_3m_status,T_6m_excess,T_6m_status,T_12m_excess,T_12m_status,anchor_N_date,N_3m_excess,N_3m_status,N_6m_excess,N_6m_status,N_12m_excess,N_12m_status,dollar_vol_60d,feat_status,panel_period_end,panel_filed,panel_age_days,currency,cash,total_debt,assets,equity,mcap_usd,ttm_revenue,ttm_ocf,ttm_net_income,ttm_method_rev,f_net_cash_n2,f_net_cash_over_mcap,f_debt_to_assets,f_liab_to_assets,f_ocf_positive,f_ocf_margin,f_ni_margin,f_ps,f_pb,f_pe,f_log_mcap,f_rev_growth_yoy,f_rev_cv8
E17,2011-08 美國主權評級下調與歐債恐慌殺金融股,同SIC全體,0000096223,JEF,Jefferies Financial Group Inc.,6211,"Security Brokers, Dealers & Flotation Companies",,-0.21601710673412156,2011-10-03,-0.05057848237936957,已成熟,-0.10775364123462572,已成熟,-0.21378175211175032,已成熟,2011-10-04,-0.06819100299208258,已成熟,-0.1205332837225721,已成熟,-0.22404447632502855,已成熟,27700849.16720295,有,2011-06-30,2011-08-03,36.0,USD,539092000.0,1471239000.0,9192181000.0,6800725000.0,4503295356.604507,1808984000.0,490832000.0,2179793000.0,4Q,-932147000.0,-0.2069921970880543,0.1600533105255434,0.25964480029277054,1.0,0.27133020524227963,1.2049819124989496,2.4894058524588982,0.6621787172109602,2.0659279833472755,22.228075267188466,0.435111596978385,0.5161192588009833
E17,2011-08 美國主權評級下調與歐債恐慌殺金融股,同SIC全體,0000101199,UFCS,UNITED FIRE GROUP INC,6331,"Fire, Marine & Casualty Insurance",,0.07686300169046012,2011-10-03,-0.04030022872667416,已成熟,-0.24157141529601578,已成熟,0.07130556032961755,已成熟,2011-10-04,-0.022244135864047387,已成熟,-0.24181348698120786,已成熟,0.07953004797768326,已成熟,1083501.9629478455,有,2011-06-30,2011-08-05,36.0,USD,177414000.0,,3621934000.0,704773000.0,278453986.0697365,,,,,,,,0.8054152836578469,,,,,0.39509740876812316,,19.444763383105737,,
E17,2011-08 美國主權評級下調與歐債恐慌殺金融股,同SIC全體,0000101382,UMBF,UMB FINANCIAL CORP,6021,National Commercial Banks,,-0.13061297338402067,2011-10-03,-0.005101594567068712,已成熟,0.05516160737261444,已成熟,0.11758648698136054,已成熟,2011-10-04,0.038868997465304034,已成熟,0.06782355943699114,已成熟,0.1344333374463833,已成熟,6455057.936096191,有,2011-06-30,2011-08-04,36.0,USD,1585849000.0,31269000.0,12770576000.0,1132956000.0,1216582018.5954552,,,102977000.0,,1554580000.0,1.2778258894494954,0.0024485191584154072,0.9112838763106692,,,,,1.0738122386001356,11.814114011822593,20.919311139695175,,
E17,2011-08 美國主權評級下調與歐債恐慌殺金融股,同SIC全體,0000102212,UVSP,UNIVEST FINANCIAL Corp,6022,State Commercial Banks,,-0.04642648246826453,2011-10-03,-0.052558513469123214,已成熟,-0.021219514974392673,已成熟,0.019508233527215868,已成熟,2011-10-04,-0.034784545889603224,已成熟,-0.021352086352689037,已成熟,0.03300286154267096,已成熟,374400.0045776367,無面板,,,,,,,,,,,,,,,,,,,,,,,,,,
E17,2011-08 美國主權評級下調與歐債恐慌殺金融股,同SIC全體,0000104894,ELME,Elme Communities,6798,Real Estate Investment Trusts,,0.07119230944135024,2011-10-03,-0.14711841642668844,已成熟,-0.15112850406256784,已成熟,-0.24056834050343856,已成熟,2011-10-04,-0.10740771023212103,已成熟,-0.12559248108160148,已成熟,-0.221926538171758,已成熟,13019354.091644287,有,2011-03-31,2011-05-06,127.0,USD,12480000.0,,2216212000.0,836040000.0,150233626.48560834,,,31500000.0,,,,,0.6210579132321277,,,,,0.17969669691116255,4.769321475733598,18.82770215030399,,
E17,2011-08 美國主權評級下調與歐債恐慌殺金融股,同SIC全體,0000106535,WY,WEYERHAEUSER CO,6798,Real Estate Investment Trusts,,-0.06459555174051579,2011-10-03,0.04243842370151807,已成熟,0.0912777953212367,已成熟,0.3000894067751052,已成熟,2011-10-04,0.06474762016153601,已成熟,0.12002356420942517,已成熟,0.32221892320684486,已成熟,104706675.0,有,2011-06-30,2011-08-05,36.0,USD,881000000.0,,13039000000.0,4734000000.0,5553588279.038135,6516000000.0,384000000.0,1396000000.0,4Q,,,,0.6367819618068871,1.0,0.058931860036832415,0.21424186617556784,0.8523002269855946,1.1731280690828336,3.9782150995975174,22.43771009255353,0.07065395990798562,0.08878907215841436
E17,2011-08 美國主權評級下調與歐債恐慌殺金融股,同SIC全體,0000108385,WRLD,WORLD ACCEPTANCE CORP,6141,Personal Credit Institutions,,-0.052326889064193916,2011-10-03,0.06412431543931563,已成熟,-0.1524838464842626,已成熟,-0.06906156942204145,已成熟,2011-10-04,0.06044911714391743,已成熟,-0.1441218776003479,已成熟,-0.05088626266918361,已成熟,11889149.900436401,有,2011-06-30,2011-08-03,36.0,USD,9801824.0,,704826676.0,420040513.0,938996025.7215309,,,,,,,,0.4040513401340105,,,,,2.2354891889238573,,20.660321804705145,,
E17,2011-08 美國主權評級下調與歐債恐慌殺金融股,同SIC全體,0000109380,ZION,"ZIONS BANCORPORATION, NATIONAL ASSOCIATION /UT/",6021,National Commercial Banks,,-0.22236973266656856,2011-10-03,0.0171199057411886,已成熟,0.1377552000532407,已成熟,0.09107643813679145,已成熟,2011-10-04,0.05854523056255423,已成熟,0.15548260545510284,已成熟,0.13028560165023806,已成熟,59429688.608551025,有,2011-03-31,2011-05-10,127.0,USD,,2095250000.0,50807708000.0,6745852000.0,2559512656.5219746,,1400406000.0,-167711000.0,,,,0.041238821479606995,0.8672526814238501,1.0,,,,0.37942022097756883,,21.663082708769387,,
E17,2011-08 美國主權評級下調與歐債恐慌殺金融股,同SIC全體,0000203596,WSBC,WESBANCO INC,6021,National Commercial Banks,,-0.07322081501187161,2011-10-03,-0.013431314052915422,已成熟,-0.10217918347999244,已成熟,-0.08474176400497913,已成熟,2011-10-04,0.03248981022540498,已成熟,-0.0666840248892272,已成熟,-0.04375925887761567,已成熟,859893.9765930176,有,2011-06-30,2011-07-28,36.0,USD,83345000.0,,5425907000.0,623037000.0,300720568.5775757,,,,,,,,0.8851736677388684,,,,,0.48266887613027104,,19.521692047939265,,
E17,2011-08 美國主權評級下調與歐債恐慌殺金融股,同SIC全體,0000230557,SIGI,SELECTIVE INSURANCE GROUP INC,6331,"Fire, Marine & Casualty Insurance",,-0.12328000890848179,2011-10-03,0.1842120475788236,已成熟,0.0650344584981255,已成熟,0.12633768811328538,已成熟,2011-10-04,0.21333459831279766,已成熟,0.09160808116629782,已成熟,0.16186926731362972,已成熟,2202948.9897727966,有,2011-06-30,2011-07-28,36.0,USD,,262346000.0,5369648000.0,1101034000.0,639555269.3760071,1580446000.0,,59837000.0,4Q,,,0.04885720628242298,0.7949522948245397,,,0.03786083168928264,0.4046675871089598,0.5808678654573856,10.688291013520182,20.276283601168927,0.020828058390388815,0.7462875207633033
E17,2011-08 美國主權評級下調與歐債恐慌殺金融股,同SIC全體,0000311094,WABC,WESTAMERICA BANCORPORATION,6021,National Commercial Banks,,-0.09798470991090036,2011-10-03,0.008378392602432116,已成熟,-0.018220087082373437,已成熟,-0.07078934487911293,已成熟,2011-10-04,0.033269392798600084,已成熟,-0.011092752164792663,已成熟,-0.05049430424943435,已成熟,5478327.468109131,有,2011-06-30,2011-08-02,36.0,USD,,,4876731000.0,549340000.0,783467871.635437,,138840000.0,90921000.0,,,,,0.887354869481216,1.0,,,,1.4261984775101704,8.617017758663422,20.479240612710814,,
