event_id,ticker,期間,期末,期間長度日,收入,收入科目,毛利,營業利潤,淨利,單季經營現金流
E06,KO,衝擊前,2023-09-29,,11953000000,Revenues,7296000000.0,3270000000.0,3087000000,8929000000
E06,KO,衝擊後,2024-03-29,,11300000000,Revenues,7065000000.0,2141000000.0,3177000000,528000000
E06,KO,衝擊後,2024-06-28,,12363000000,Revenues,7551000000.0,2632000000.0,2411000000,4113000000
E06,KO,衝擊後,2024-09-27,,11854000000,Revenues,7190000000.0,2510000000.0,2848000000,2854000000
E06,KO,衝擊後,2025-03-28,,11129000000,Revenues,6966000000.0,3659000000.0,3330000000,-5202000000
E06,MDLZ,衝擊前,2022-09-30,,7763000000,Revenues,2613000000.0,679000000.0,532000000,2516000000
E06,MDLZ,衝擊前,2023-03-31,,9166000000,Revenues,3446000000.0,1505000000.0,2081000000,1123000000
E06,MDLZ,衝擊前,2023-06-30,,8507000000,Revenues,3354000000.0,1425000000.0,944000000,1973000000
E06,MDLZ,衝擊前,2023-09-30,,9029000000,Revenues,3494000000.0,1379000000.0,984000000,3150000000
E06,MDLZ,衝擊後,2024-03-31,,9290000000,Revenues,4750000000.0,2727000000.0,1412000000,1324000000
E06,MDLZ,衝擊後,2024-06-30,,8343000000,Revenues,2797000000.0,854000000.0,601000000,2146000000
E06,MDLZ,衝擊後,2024-09-30,,9204000000,Revenues,2999000000.0,1153000000.0,853000000,3451000000
E06,MDLZ,衝擊後,2025-03-31,,9313000000,Revenues,2430000000.0,680000000.0,402000000,1092000000
E07,MU,衝擊前,2023-11-30,,4726000000,RevenueFromContractWithCustomerExcludingAssessedTax,-35000000.0,-1128000000.0,-1234000000,1401000000
E07,MU,衝擊前,2024-02-29,,5824000000,RevenueFromContractWithCustomerExcludingAssessedTax,1079000000.0,191000000.0,793000000,2620000000
E07,MU,衝擊前,2024-05-30,,6811000000,RevenueFromContractWithCustomerExcludingAssessedTax,1832000000.0,719000000.0,332000000,5102000000
E07,MU,衝擊前,2024-11-28,,8709000000,RevenueFromContractWithCustomerExcludingAssessedTax,3348000000.0,2174000000.0,1870000000,3244000000
E07,MU,衝擊後,2025-02-27,,8053000000,RevenueFromContractWithCustomerExcludingAssessedTax,2963000000.0,1773000000.0,1583000000,7186000000
E07,MU,衝擊後,2025-05-29,,9301000000,RevenueFromContractWithCustomerExcludingAssessedTax,3508000000.0,2169000000.0,1885000000,11795000000
E07,MU,衝擊後,2025-11-27,,13643000000,RevenueFromContractWithCustomerExcludingAssessedTax,7646000000.0,6136000000.0,5240000000,8411000000
E07,MU,衝擊後,2026-02-26,,23860000000,RevenueFromContractWithCustomerExcludingAssessedTax,17755000000.0,16135000000.0,13785000000,20314000000
E08,AAPL,衝擊前,2024-03-30,,90753000000,RevenueFromContractWithCustomerExcludingAssessedTax,42271000000.0,27900000000.0,23636000000,62585000000
E08,AAPL,衝擊前,2024-06-29,,85777000000,RevenueFromContractWithCustomerExcludingAssessedTax,39678000000.0,25352000000.0,21448000000,91443000000
E08,AAPL,衝擊前,2024-12-28,,124300000000,RevenueFromContractWithCustomerExcludingAssessedTax,58275000000.0,42832000000.0,36330000000,29935000000
E08,AAPL,衝擊前,2025-03-29,,95359000000,RevenueFromContractWithCustomerExcludingAssessedTax,44867000000.0,29589000000.0,24780000000,53887000000
E08,AAPL,衝擊後,2025-06-28,,94036000000,RevenueFromContractWithCustomerExcludingAssessedTax,43718000000.0,28202000000.0,23434000000,81754000000
E08,AAPL,衝擊後,2025-12-27,,143756000000,RevenueFromContractWithCustomerExcludingAssessedTax,69231000000.0,50852000000.0,42097000000,53925000000
E08,AAPL,衝擊後,2026-03-28,,111184000000,RevenueFromContractWithCustomerExcludingAssessedTax,54781000000.0,35885000000.0,29578000000,82627000000
E08,AAPL,衝擊後,2026-06-27,,109417000000,RevenueFromContractWithCustomerExcludingAssessedTax,54770000000.0,35695000000.0,29789000000,116996000000
E12,SWKS,衝擊前,2018-06-29,,894300000,RevenueFromContractWithCustomerExcludingAssessedTax,451600000.0,306300000.0,286500000,1053000000
E12,SWKS,衝擊前,2018-09-28,,1008400000,RevenueFromContractWithCustomerExcludingAssessedTax,503600000.0,,285500000,1260600000
E12,SWKS,衝擊前,2018-12-28,,972000000,RevenueFromContractWithCustomerExcludingAssessedTax,485100000.0,320900000.0,284900000,549000000
E12,SWKS,衝擊前,2019-03-29,,810400000,RevenueFromContractWithCustomerExcludingAssessedTax,400200000.0,237600000.0,214000000,741100000
