ticker,p0,p1,ret,rel_spy,ma200,px_vs_ma200,ma200_slope_40d,med_dollar_vol_60d,name,entity_id,sic,sic_description,approx_mcap_usd,shares_outstanding,mcap_now_usd
ACEL,12.180000305175781,11.880000114440918,-0.024630556914467472,-0.0426048460068057,11.662000002861022,0.01869320112557138,0.02806327230209016,3364636.478328705,"Accel Entertainment, Inc.",0001698991,7900,Services-Amusement & Recreation Services,945092076.8755674,81193475.0,964578492.2918558
ACET,8.779999732971191,9.59000015258789,0.09225517588285759,0.07428088679051936,8.069489998817444,0.1884270448309957,-0.08715537665386619,719867.4873352051,"Adicet Bio, Inc.",0001720580,2834,Pharmaceutical Preparations,86687399.54267502,9361490.0,89776690.52845001
ACFN,17.34000015258789,19.030000686645508,0.09746254435905488,0.07948825526671666,17.849450025558472,0.06613932974946657,-0.03151110540345792,249367.49997138977,"ACORN ENERGY, INC.",0000880984,8711,Services-Engineering Services,49012841.263217926,2509618.0,47758032.263217926
ACGL,88.73999786376953,98.0999984741211,0.10547668284509881,0.08750239375276059,96.09959976196289,0.020815890150564176,0.021326380324560912,181948766.50238037,ARCH CAPITAL GROUP LTD.,0000947484,6331,"Fire, Marine & Casualty Insurance",33512112152.055405,341229126.0,33474576739.925674
ACH,2.7699999809265137,1.2100000381469727,-0.5631768785275406,-0.5811511676198788,2.6464500030875207,-0.542783715265617,-0.12367709708249486,1917440.4882907867,ACCENDRA HEALTH INC/VA/,0000075252,5047,"Wholesale-Medical, Dental & Hospital Equipment & Supplies",89978500.37960815,76904704.0,93054694.77368164
ACHC,23.309999465942383,28.1299991607666,0.20677819842366763,0.1888039093313294,22.94339993953705,0.22606062026107043,0.07862452299543343,64813285.1187706,"Acadia Healthcare Company, Inc.",0001520697,8093,"Services-Specialty Outpatient Facilities, NEC",2583532631.25,93100275.0,2618910657.61714
ACHR,6.840000152587891,5.710000038146973,-0.16520469140828697,-0.1831789805006252,6.443750011920929,-0.11387002481730668,-0.12736293557916722,161454837.51518726,Archer Aviation Inc.,0001824502,3721,Aircraft,4350634543.435192,770023800.0,4396835927.374077
ACHV,5.300000190734863,8.489999771118164,0.6018866916193444,0.5839124025270062,5.145100008249283,0.6501136532829117,0.12145317834555458,9349183.526158333,"ACHIEVE LIFE SCIENCES, INC.",0000949858,2835,In Vitro & In Vivo Diagnostic Substances,872613068.0949783,102902490.0,873642116.5474892
ACI,15.240113258361816,12.550000190734863,-0.17651529368726737,-0.1944895827796056,15.579015049934387,-0.19442916317179382,-0.05684686191167765,86982279.70190048,"Albertsons Companies, Inc.",0001646972,5411,Retail-Grocery Stores,6056864301.675533,485325683.0,6090837414.218528
ACIC,10.479999542236328,9.539999961853027,-0.0896946203666259,-0.10766890945896412,10.983881907463074,-0.1314546130206472,-0.02072672627195027,2655538.4356975555,AMERICAN COASTAL INSURANCE Corp,0001401521,6331,"Fire, Marine & Casualty Insurance",457368308.4391307,48656205.0,464180193.8439131
ACIU,2.4600000381469727,2.859999895095825,0.162601565343941,0.14462727625160277,2.8360750031471254,0.008435916512134156,-0.050637052113764014,471404.01047468185,AC Immune SA,0001651625,2834,Pharmaceutical Preparations,288947927.30739427,101742231.0,290982769.9868152
ACIW,45.029998779296875,52.95000076293945,0.17588279365630144,0.15790850456396321,46.266049995422364,0.1444677202436433,0.025780905935649745,50026807.19833374,"ACI WORLDWIDE, INC.",0000935036,7372,Services-Prepackaged Software,5296111850.432716,100955241.0,5345580087.972736
ACLS,150.4199981689453,115.08000183105469,-0.23494214046059392,-0.25291642955293214,116.6675,-0.013607029969317175,0.07907780000399689,53870538.05923462,AXCELIS TECHNOLOGIES INC,0001113232,3559,"Special Industry Machinery, NEC",3420742432.862892,30881489.0,3553841810.665695
ACM,71.92911529541016,66.58000183105469,-0.07436645706522127,-0.0923407461575595,83.41072521209716,-0.20178128577884002,-0.11942514383048586,116011988.73634338,AECOM,0000868857,8711,Services-Engineering Services,8553164287.674904,128696425.0,8568608212.150192
ACMR,82.05000305175781,74.44000244140625,-0.09274832818167122,-0.11072261727400945,63.250174865722656,0.1769137808620942,0.1444034342570879,93497427.66952515,"ACM Research, Inc.",0001680062,3559,"Special Industry Machinery, NEC",,,
ACN,194.25424194335938,186.72000122070312,-0.03878546304720121,-0.05675975213953943,199.94737270355225,-0.06615426501482669,-0.06385600406406011,1022893113.9778137,Accenture plc,0001467373,7389,"Services-Business Services, NEC",,,
ACNB,52.5780029296875,65.94999694824219,0.25432677685451544,0.2363524877621772,52.84440511703491,0.2480033941565285,0.07796367441944829,3910823.380279541,ACNB CORP,0000715579,6022,State Commercial Banks,663079404.9638367,10169930.0,670706852.4638367
ACNT,13.420000076293945,15.260000228881836,0.137108803437207,0.11913451434486877,14.927750029563903,0.02225721884811316,0.03453476083565321,712661.4946365356,ASCENT INDUSTRIES CO.,0000095953,2800,Chemicals & Allied Products,137934729.21051693,9009453.0,137484254.84210014
ACOG,6.340000152587891,9.520000457763672,0.5015773231295197,0.4836030340371815,6.6064249968528745,0.44102149987303996,0.07195133199237014,556957.4991226196,Alpha Cognition Inc.,0001655923,2836,"Biological Products, (No Diagnostic Substances)",202860831.2816429,21777868.0,207325313.32911682
ACON,3.369999885559082,2.3499999046325684,-0.3026706277639223,-0.3206449168562605,3.5506099998950957,-0.3381419235843981,-0.2131315574782977,115289.9980545044,"Aclarion, Inc.",0001635077,8071,Services-Medical Laboratories,6658276.845069408,2882371.0,6773571.575115681
