選取,video_id,title,duration_sec,upload_date,channel,url,query
,R1hVL1I4S2w,"Former OpenAI Researcher Faces Liquidation! ""AI Stock God"" Leopold Aschenbrenner's Fund Liquidate...",114.0,NA,三立財經iNEWS,https://www.youtube.com/watch?v=R1hVL1I4S2w,ytsearch20:Situational Awareness Leopold Aschenbrenner interview
,J6VWnjC1xD4,Leopold Aschenbrenner – Situational Awareness: The Decade Ahead , Books in Bytes Podcast,1376.0,NA|Books in Bytes,https://www.youtube.com/watch?v=J6VWnjC1xD4,ytsearch20:Situational Awareness Leopold Aschenbrenner interview
,BnZhkJuD6kU,Situational Awareness by Leopold Aschenbrenner - Distilled in 9 min [AI Podcast with NotebookLM],531.0,NA,The Polymath,https://www.youtube.com/watch?v=BnZhkJuD6kU,ytsearch20:Situational Awareness Leopold Aschenbrenner podcast
,UqoE1RIY91I,The AI Hedge Fund That Blew Up , The Situational Awareness Story,2847.0,NA|AmplifyME,https://www.youtube.com/watch?v=UqoE1RIY91I,ytsearch20:Situational Awareness Leopold Aschenbrenner podcast
,oln5SktcX9E,The Biggest Trading Loss In History Just Happened,1230.0,NA,Hamish Hodder,https://www.youtube.com/watch?v=oln5SktcX9E,ytsearch20:Situational Awareness Leopold Aschenbrenner podcast
,04Kutj1vAiw,Forget NVIDIA , This 24-Year-Old's $4.5B Bet on AI's Real Problem (Leopold Aschenbrenner),1277.0,NA|Limitless Podcast,https://www.youtube.com/watch?v=04Kutj1vAiw,ytsearch20:Situational Awareness Leopold Aschenbrenner podcast
,7JSog18EvJ8,How He Lost $45 Billion in 3 Days? , Leopold Aschenbrenner,982.0,NA|FinnovationZ by Prasad,https://www.youtube.com/watch?v=7JSog18EvJ8,ytsearch20:Situational Awareness Leopold Aschenbrenner podcast
,vBM8FgHDL1A,How a 'Texas Hedge' Amplified the Losses at Situational Awareness , WSJ News,253.0,NA|WSJ News and The Wall Street Journal,https://www.youtube.com/watch?v=vBM8FgHDL1A,ytsearch20:Situational Awareness Situational Awareness fund Aschenbrenner
,zlH_HkUSGlY,Citadel Offloads Risk From Situational Awareness,188.0,NA,Bloomberg Television,https://www.youtube.com/watch?v=zlH_HkUSGlY,ytsearch20:Situational Awareness Situational Awareness fund Aschenbrenner
,-tF_5ng3f5w,📖Situational Awareness: by Leopold Aschenbrenner🎧Full Audio📌,15054.0,NA,Understand to Enlighten,https://www.youtube.com/watch?v=-tF_5ng3f5w,ytsearch20:Situational Awareness Situational Awareness fund Aschenbrenner
,_OwLiHmH2iw,KEN GRIFFIN’S CITADEL SELLS 80% OF SITUATIONAL AWARENESS 4X LEVERAGED BETS -LESSONS NEVER LEARNED,536.0,NA,Ox Talks,https://www.youtube.com/watch?v=_OwLiHmH2iw,ytsearch20:Situational Awareness Situational Awareness fund Aschenbrenner
,PQRCxFJb4PA,AI股神 Leopold Aschenbrenner 爆倉始末：頭皮發麻！,503.0,NA,Nick 美股咖啡館,https://www.youtube.com/watch?v=PQRCxFJb4PA,ytsearch20:Situational Awareness Aschenbrenner 訪談
,xucBhp9dkUo,Situational Awareness Invests in Sequoia-Backed Company,55.0,NA,Bloomberg Television,https://www.youtube.com/watch?v=xucBhp9dkUo,ytsearch20:Situational Awareness Aschenbrenner 訪談
,wNmRneaiH7I,Aschenbrenner’s AI Fund Collapse Is Just The Beginning,2055.0,NA,Prof G Markets,https://www.youtube.com/watch?v=wNmRneaiH7I,ytsearch20:Situational Awareness Aschenbrenner 訪談
,Nlw4LrIEgxA,55 億美元基金押注 AI：真正賺錢的行業可能很多人沒想到,1621.0,NA,DayDreamCapital,https://www.youtube.com/watch?v=Nlw4LrIEgxA,ytsearch20:Situational Awareness Aschenbrenner 訪談
