group,holding_month,pick,decision_month,rel_1m_pct,rel_3m_pct,rel_6m_pct,fwd_rel_1m_pct,months_since_last_peak,cycle_phase_at_entry
main_12_1,2000-11,XLU,2000-10,6.305681207802283,24.186099355351498,23.047906096048166,5.5503150346168155,,上升段(未見頂)
main_12_1,2000-12,XLU,2000-11,8.018148803978931,37.54953410793136,31.11198397569501,-1.1150648425810594,,上升段(未見頂)
main_12_1,2000-12,XLE,2000-11,2.399286883553553,7.634659324759485,1.493337841713016,12.49134838929825,,上升段(未見頂)
main_12_1,2000-12,XLF,2000-11,2.5466977402228252,10.418887667540844,17.781377647717346,8.722089447186232,,上升段(未見頂)
main_12_1,2001-01,XLU,2000-12,-0.8464148891330736,13.857495530691688,37.222053810026544,-8.379775459688688,,上升段(未見頂)
main_12_1,2001-01,XLP,2000-12,4.182042636212779,25.142316089773797,25.492786776775844,-10.867931709330858,,上升段(未見頂)
main_12_1,2001-01,XLF,2000-12,9.103003332969696,11.438439421459412,37.71130037035206,-4.011454110966806,,上升段(未見頂)
main_12_1,2001-02,XLF,2001-01,-4.483811832481733,6.864969904985596,18.981906860309206,1.7351559635016667,,上升段(未見頂)
main_12_1,2001-02,XLU,2001-01,-9.64421887569744,-3.2254642588436466,20.180521106192593,10.631490103749863,,上升段(未見頂)
main_12_1,2001-02,XLP,2001-01,-11.237276327461654,3.383378045564722,13.799086889938405,9.593676032969078,,上升段(未見頂)
main_12_1,2001-03,XLF,2001-02,3.1072642643001247,7.449142053337154,18.64414746361074,2.680888522004654,,上升段(未見頂)
main_12_1,2001-03,XLU,2001-02,12.838760849210695,1.0933701021498266,39.05345958951387,5.088424485655418,,上升段(未見頂)
main_12_1,2001-03,XLP,2001-02,11.21241183425765,2.843476128422817,36.49483129815538,-0.639473918269351,,上升段(未見頂)
main_12_1,2001-04,XLP,2001-03,-1.4110409334162077,-2.6777455910049763,21.791323238198366,-5.484422683094592,,上升段(未見頂)
