iShares Expanded Tech-Software Sector ETF
Fund Holdings as of,"Sep 08, 2026"
Inception Date,"Jul 10, 2001"
Shares Outstanding,"134,250,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"

Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Quantity,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"BMNR","BITMINE IMMERSION TECHNOLOGIES","Information Technology","Equity","64,804,165.72","0.48","64,804,165.72","2,616,236.00","24.77","United States","NYSE","USD","1.00","USD","-"
"TRMB","TRIMBLE INC","Information Technology","Equity","62,772,161.26","0.46","62,772,161.26","1,067,917.00","58.78","United States","NASDAQ","USD","1.00","USD","-"
"GWRE","GUIDEWIRE SOFTWARE","Information Technology","Equity","58,062,478.43","0.43","58,062,478.43","387,833.00","149.71","United States","NYSE","USD","1.00","USD","-"
"DOCU","DOCUSIGN","Information Technology","Equity","57,919,182.52","0.43","57,919,182.52","889,969.00","65.08","United States","NASDAQ","USD","1.00","USD","-"
"HUBS","HUBSPOT","Information Technology","Equity","56,571,787.68","0.42","56,571,787.68","235,304.00","240.42","United States","NYSE","USD","1.00","USD","-"
"MANH","MANHATTAN ASSOCIATES","Information Technology","Equity","56,351,102.16","0.42","56,351,102.16","271,023.00","207.92","United States","NASDAQ","USD","1.00","USD","-"
"HUT","HUT CORP","Information Technology","Equity","45,806,389.88","0.34","45,806,389.88","460,412.00","99.49","United States","NASDAQ","USD","1.00","USD","-"
"IDCC","INTERDIGITAL INC","Information Technology","Equity","40,366,273.18","0.30","40,366,273.18","118,397.00","340.94","United States","NASDAQ","USD","1.00","USD","-"
"AUR","AURORA INNOVATION CLASS A","Information Technology","Equity","37,608,973.08","0.28","37,608,973.08","5,777,108.00","6.51","United States","NASDAQ","USD","1.00","USD","-"
"ESTC","ELASTIC","Information Technology","Equity","36,896,693.38","0.27","36,896,693.38","417,289.00","88.42","United States","NYSE","USD","1.00","USD","-"
"RIOT","RIOT PLATFORMS","Information Technology","Equity","32,890,975.32","0.24","32,890,975.32","1,477,582.00","22.26","United States","NASDAQ","USD","1.00","USD","-"
"WULF","TERAWULF","Information Technology","Equity","32,838,664.06","0.24","32,838,664.06","1,838,671.00","17.86","United States","NASDAQ","USD","1.00","USD","-"
"GTLB","GITLAB CLASS A","Information Technology","Equity","31,288,457.10","0.23","31,288,457.10","663,594.00","47.15","United States","NASDAQ","USD","1.00","USD","-"
"PCOR","PROCORE TECHNOLOGIES INC","Information Technology","Equity","29,900,512.86","0.22","29,900,512.86","532,227.00","56.18","United States","NYSE","USD","1.00","USD","-"
"DSGX","DESCARTES SYSTEMS GROUP","Information Technology","Equity","29,770,111.08","0.22","29,770,111.08","393,993.00","75.56","Canada","NASDAQ","USD","1.00","USD","-"
"S","SENTINELONE INC CLASS A","Information Technology","Equity","29,725,879.28","0.22","29,725,879.28","1,529,896.00","19.43","United States","NYSE","USD","1.00","USD","-"
"QBTS","D WAVE QUANTUM","Information Technology","Equity","29,684,080.38","0.22","29,684,080.38","1,679,914.00","17.67","United States","NASDAQ","USD","1.00","USD","-"
"ZETA","ZETA GLOBAL HOLDINGS CLASS A","Information Technology","Equity","28,959,288.18","0.21","28,959,288.18","940,542.00","30.79","United States","NYSE","USD","1.00","USD","-"
"QLYS","QUALYS","Information Technology","Equity","27,486,582.24","0.20","27,486,582.24","161,382.00","170.32","United States","NASDAQ","USD","1.00","USD","-"
"PATH","UIPATH INC CLASS A","Information Technology","Equity","27,409,346.13","0.20","27,409,346.13","1,956,413.00","14.01","United States","NYSE","USD","1.00","USD","-"
"CORZ","CORE SCIENTIFIC INC","Information Technology","Equity","27,272,678.08","0.20","27,272,678.08","1,456,096.00","18.73","United States","NASDAQ","USD","1.00","USD","-"
"SNAP","SNAP INC CLASS A","Communication","Equity","26,873,830.20","0.20","26,873,830.20","4,949,140.00","5.43","United States","NYSE","USD","1.00","USD","-"
"OTEX","OPEN TEXT","Information Technology","Equity","25,922,521.92","0.19","25,922,521.92","1,109,697.00","23.36","Canada","NASDAQ","USD","1.00","USD","-"
"CIFR","CIPHER DIGITAL INC","Information Technology","Equity","25,666,336.20","0.19","25,666,336.20","1,386,620.00","18.51","United States","NASDAQ","USD","1.00","USD","-"
"CRCL","CIRCLE INTERNET GROUP CLASS A","Information Technology","Equity","25,319,000.28","0.19","25,319,000.28","263,246.00","96.18","United States","NYSE","USD","1.00","USD","-"
"CVLT","COMMVAULT SYSTEMS","Information Technology","Equity","25,191,170.56","0.19","25,191,170.56","188,896.00","133.36","United States","NASDAQ","USD","1.00","USD","-"
"ACIW","ACI WORLDWIDE","Information Technology","Equity","24,205,162.74","0.18","24,205,162.74","465,663.00","51.98","United States","NASDAQ","USD","1.00","USD","-"
"VRNS","VARONIS SYSTEMS","Information Technology","Equity","23,908,277.74","0.18","23,908,277.74","525,919.00","45.46","United States","NASDAQ","USD","1.00","USD","-"
"RNG","RINGCENTRAL INC CLASS A","Information Technology","Equity","23,819,818.78","0.18","23,819,818.78","339,362.00","70.19","United States","NYSE","USD","1.00","USD","-"
"DBX","DROPBOX INC CLASS A","Information Technology","Equity","23,199,678.18","0.17","23,199,678.18","686,178.00","33.81","United States","NASDAQ","USD","1.00","USD","-"
"APPF","APPFOLIO CLASS A","Information Technology","Equity","22,670,714.66","0.17","22,670,714.66","110,044.00","206.01","United States","NASDAQ","USD","1.00","USD","-"
"BSY","BENTLEY SYSTEMS INC CLASS B","Information Technology","Equity","22,425,976.24","0.17","22,425,976.24","682,886.00","32.84","United States","NASDAQ","USD","1.00","USD","-"
"TTAN","SERVICETITAN CLASS A","Information Technology","Equity","21,957,583.32","0.16","21,957,583.32","269,154.00","81.58","United States","NASDAQ","USD","1.00","USD","-"
"BOX","BOX INC CLASS A","Information Technology","Equity","21,752,271.10","0.16","21,752,271.10","634,177.00","34.30","United States","NYSE","USD","1.00","USD","-"
"MARA","MARA HOLDINGS","Information Technology","Equity","20,661,414.41","0.15","20,661,414.41","1,746,527.00","11.83","United States","NASDAQ","USD","1.00","USD","-"
"BB","BLACKBERRY","Information Technology","Equity","19,484,105.28","0.14","19,484,105.28","2,475,744.00","7.87","Canada","NYSE","USD","1.00","USD","-"
"BILL","BILL HOLDINGS","Information Technology","Equity","19,328,503.60","0.14","19,328,503.60","406,061.00","47.60","United States","NYSE","USD","1.00","USD","-"
"YOU","CLEAR SECURE CLASS A","Information Technology","Equity","18,289,720.40","0.14","18,289,720.40","419,489.00","43.60","United States","NYSE","USD","1.00","USD","-"
"WK","WORKIVA CLASS A","Information Technology","Equity","17,748,409.77","0.13","17,748,409.77","240,787.00","73.71","United States","NYSE","USD","1.00","USD","-"
"CCC","CCC INTELLIGENT SOLUTIONS HOLDINGS","Information Technology","Equity","17,323,414.80","0.13","17,323,414.80","2,446,810.00","7.08","United States","NASDAQ","USD","1.00","USD","-"
"QTWO","Q2 HOLDINGS INC","Information Technology","Equity","17,313,723.48","0.13","17,313,723.48","286,746.00","60.38","United States","NYSE","USD","1.00","USD","-"
"DLB","DOLBY LABORATORIES CLASS A","Information Technology","Equity","17,227,927.76","0.13","17,227,927.76","276,443.00","62.32","United States","NYSE","USD","1.00","USD","-"
"TENB","TENABLE HOLDINGS","Information Technology","Equity","17,023,352.80","0.13","17,023,352.80","505,144.00","33.70","United States","NASDAQ","USD","1.00","USD","-"
"LIF","LIFE360","Information Technology","Equity","15,995,999.07","0.12","15,995,999.07","371,223.00","43.09","United States","NASDAQ","USD","1.00","USD","-"
"CLSK","CLEANSPARK","Information Technology","Equity","15,845,510.84","0.12","15,845,510.84","1,175,483.00","13.48","United States","NASDAQ","USD","1.00","USD","-"
"PEGA","PEGASYSTEMS","Information Technology","Equity","14,799,863.20","0.11","14,799,863.20","413,404.00","35.80","United States","NASDAQ","USD","1.00","USD","-"
"ADEA","ADEIA","Information Technology","Equity","13,741,249.60","0.10","13,741,249.60","505,193.00","27.20","United States","NASDAQ","USD","1.00","USD","-"
"BRZE","BRAZE CLASS A","Information Technology","Equity","13,731,884.88","0.10","13,731,884.88","453,048.00","30.31","United States","NASDAQ","USD","1.00","USD","-"
"SPSC","SPS COMMERCE","Information Technology","Equity","13,283,060.00","0.10","13,283,060.00","168,140.00","79.00","United States","NASDAQ","USD","1.00","USD","-"
"ALRM","ALARM.COM HOLDINGS","Information Technology","Equity","12,941,782.62","0.10","12,941,782.62","231,062.00","56.01","United States","NASDAQ","USD","1.00","USD","-"
"AGYS","AGILYSYS INC","Information Technology","Equity","12,627,582.38","0.09","12,627,582.38","116,895.00","108.03","United States","NASDAQ","USD","1.00","USD","-"
"SOUN","SOUNDHOUND AI CLASS A","Information Technology","Equity","12,045,943.89","0.09","12,045,943.89","1,833,477.00","6.57","United States","NASDAQ","USD","1.00","USD","-"
"TDC","TERADATA","Information Technology","Equity","11,964,560.00","0.09","11,964,560.00","431,000.00","27.76","United States","NYSE","USD","1.00","USD","-"
"FRSH","FRESHWORKS CLASS A","Information Technology","Equity","11,749,620.30","0.09","11,749,620.30","971,043.00","12.10","United States","NASDAQ","USD","1.00","USD","-"
"KVYO","KLAVIYO SERIES A","Information Technology","Equity","11,546,939.49","0.09","11,546,939.49","645,441.00","17.89","United States","NYSE","USD","1.00","USD","-"
"FIVN","FIVE9","Information Technology","Equity","10,954,109.88","0.08","10,954,109.88","350,756.00","31.23","United States","NASDAQ","USD","1.00","USD","-"
"RAMP","LIVERAMP HOLDINGS INC","Information Technology","Equity","10,911,766.20","0.08","10,911,766.20","289,130.00","37.74","United States","NYSE","USD","1.00","USD","-"
"NCNO","NCINO","Information Technology","Equity","10,042,172.64","0.07","10,042,172.64","453,576.00","22.14","United States","NASDAQ","USD","1.00","USD","-"
"INTA","INTAPP","Information Technology","Equity","9,712,207.88","0.07","9,712,207.88","243,658.00","39.86","United States","NASDAQ","USD","1.00","USD","-"
"AVPT","AVEPOINT CLASS A","Information Technology","Equity","8,317,179.88","0.06","8,317,179.88","631,285.00","13.18","United States","NASDAQ","USD","1.00","USD","-"
"PRGS","PROGRESS SOFTWARE CORP","Information Technology","Equity","8,130,032.57","0.06","8,130,032.57","192,769.00","42.17","United States","NASDAQ","USD","1.00","USD","-"
"ATEN","A10 NETWORKS","Information Technology","Equity","8,088,191.72","0.06","8,088,191.72","329,861.00","24.52","United States","NYSE","USD","1.00","USD","-"
"BLKB","BLACKBAUD","Information Technology","Equity","7,323,701.64","0.05","7,323,701.64","161,814.00","45.26","United States","NASDAQ","USD","1.00","USD","-"
"ALKT","ALKAMI TECHNOLOGY","Information Technology","Equity","7,206,666.18","0.05","7,206,666.18","371,861.00","19.38","United States","NASDAQ","USD","1.00","USD","-"
"BL","BLACKLINE","Information Technology","Equity","6,771,825.06","0.05","6,771,825.06","224,679.00","30.14","United States","NASDAQ","USD","1.00","USD","-"
"NN","NEXTNAV","Information Technology","Equity","6,322,616.30","0.05","6,322,616.30","415,415.00","15.22","United States","NASDAQ","USD","1.00","USD","-"
"APPN","APPIAN CORP CLASS A","Information Technology","Equity","6,305,628.42","0.05","6,305,628.42","182,349.00","34.58","United States","NASDAQ","USD","1.00","USD","-"
"AI","C3 AI CLASS A","Information Technology","Equity","6,247,984.80","0.05","6,247,984.80","594,480.00","10.51","United States","NYSE","USD","1.00","USD","-"
"LSPD","LIGHTSPEED COMMERCE","Information Technology","Equity","5,927,089.00","0.04","5,927,089.00","579,950.00","10.22","Canada","NYSE","USD","1.00","USD","-"
"VYX","NCR VOYIX","Information Technology","Equity","5,344,062.08","0.04","5,344,062.08","630,196.00","8.48","United States","NYSE","USD","1.00","USD","-"
"PD","PAGERDUTY","Information Technology","Equity","4,756,119.12","0.04","4,756,119.12","357,066.00","13.32","United States","NYSE","USD","1.00","USD","-"
"VERX","VERTEX CLASS A","Information Technology","Equity","4,469,686.92","0.03","4,469,686.92","345,951.00","12.92","United States","NASDAQ","USD","1.00","USD","-"
"XTSLA","BLK CSH FND TREASURY SL AGENCY","Cash and/or Derivatives","Money Market","3,990,763.42","0.03","3,990,763.42","3,990,763.00","1.00","United States","-","USD","1.00","USD","-"
"ASAN","ASANA CLASS A","Information Technology","Equity","3,983,144.55","0.03","3,983,144.55","453,145.00","8.79","United States","NYSE","USD","1.00","USD","-"
"AIP","ARTERIS INC","Information Technology","Equity","3,499,766.08","0.03","3,499,766.08","154,039.00","22.72","United States","NASDAQ","USD","1.00","USD","-"
"CXM","SPRINKLR CLASS A","Information Technology","Equity","2,929,761.75","0.02","2,929,761.75","527,885.00","5.55","United States","NYSE","USD","1.00","USD","-"
"USD","USD CASH","Cash and/or Derivatives","Cash","2,074,008.83","0.02","2,074,008.83","2,074,009.00","100.00","United States","-","USD","1.00","USD","-"
"WFFUT","CASH COLLATERAL USD WFFUT","Cash and/or Derivatives","Cash Collateral and Margins","575,000.00","0.00","575,000.00","575,000.00","100.00","United States","-","USD","1.00","USD","Aug 23, 2017"
"RTYU6","RUSSELL 2000 EMINI CME SEP 26","Cash and/or Derivatives","Futures","0.00","0.00","2,963,600.00","20.00","2,963.60","-","Chicago Mercantile Exchange","USD","1.00","USD","-"
"IXTU6","EMINI TECHNOLOGY SELECT SECTOR SEP","Cash and/or Derivatives","Futures","0.00","0.00","5,299,420.00","14.00","3,785.30","-","Chicago Mercantile Exchange","USD","1.00","USD","-"

