口徑,特徵,欄名,三分位,n,中位十二個月超額,平均十二個月超額,贏家比例
新聞點名／衝擊結束日(新聞),衝擊期自身相對大市跌幅(越負跌越深),f_shock_rel_drop,高,58,-0.1274,-0.0155,0.3276
新聞點名／衝擊結束日(新聞),市值(對數),f_log_mcap,低,47,-0.0825,0.0114,0.3617
新聞點名／衝擊結束日(新聞),市值(對數),f_log_mcap,中,39,-0.111,0.1778,0.4615
新聞點名／衝擊結束日(新聞),市值(對數),f_log_mcap,高,45,0.0242,0.0669,0.5333
新聞點名／衝擊結束日(新聞),淨現金(現金−總債務)÷市值,f_net_cash_over_mcap,低,25,0.1037,0.2582,0.68
新聞點名／衝擊結束日(新聞),淨現金(現金−總債務)÷市值,f_net_cash_over_mcap,中,20,0.0737,0.2165,0.7
新聞點名／衝擊結束日(新聞),淨現金(現金−總債務)÷市值,f_net_cash_over_mcap,高,23,-0.0788,0.0365,0.3478
新聞點名／衝擊結束日(新聞),總債務÷總資產,f_debt_to_assets,低,33,-0.0362,0.012,0.3939
新聞點名／衝擊結束日(新聞),總債務÷總資產,f_debt_to_assets,中,29,0.0254,0.239,0.5517
新聞點名／衝擊結束日(新聞),總債務÷總資產,f_debt_to_assets,高,31,-0.0285,-0.0169,0.4839
新聞點名／衝擊結束日(新聞),總負債÷總資產,f_liab_to_assets,低,45,-0.1378,0.0298,0.3333
新聞點名／衝擊結束日(新聞),總負債÷總資產,f_liab_to_assets,中,38,-0.1059,0.0321,0.3947
新聞點名／衝擊結束日(新聞),總負債÷總資產,f_liab_to_assets,高,41,-0.111,-0.0701,0.3902
新聞點名／衝擊結束日(新聞),四季經營現金流為正(1/0),f_ocf_positive,中,144,-0.0857,-0.0014,0.4097
新聞點名／衝擊結束日(新聞),經營現金流利潤率(定價力代理),f_ocf_margin,低,44,-0.1827,-0.0882,0.3409
新聞點名／衝擊結束日(新聞),經營現金流利潤率(定價力代理),f_ocf_margin,中,38,-0.1391,0.021,0.4211
新聞點名／衝擊結束日(新聞),經營現金流利潤率(定價力代理),f_ocf_margin,高,42,-0.0742,0.0369,0.4286
新聞點名／衝擊結束日(新聞),淨利率,f_ni_margin,低,53,-0.1537,-0.0556,0.4528
新聞點名／衝擊結束日(新聞),淨利率,f_ni_margin,中,45,-0.1463,0.0133,0.3556
新聞點名／衝擊結束日(新聞),淨利率,f_ni_margin,高,51,-0.0879,0.0321,0.3725
新聞點名／衝擊結束日(新聞),市銷率 P/S,f_ps,低,43,-0.0352,0.0312,0.4884
新聞點名／衝擊結束日(新聞),市銷率 P/S,f_ps,中,34,-0.0825,0.0943,0.4706
新聞點名／衝擊結束日(新聞),市銷率 P/S,f_ps,高,40,-0.0508,0.1462,0.45
新聞點名／衝擊結束日(新聞),市帳率 P/B,f_pb,低,45,-0.0713,0.1416,0.4
新聞點名／衝擊結束日(新聞),市帳率 P/B,f_pb,中,38,-0.0045,0.0542,0.5
新聞點名／衝擊結束日(新聞),市帳率 P/B,f_pb,高,43,-0.0503,0.068,0.4884
新聞點名／衝擊結束日(新聞),市盈率 P/E(只在盈利為正時算得出),f_pe,低,39,-0.0352,0.054,0.4103
新聞點名／衝擊結束日(新聞),市盈率 P/E(只在盈利為正時算得出),f_pe,中,32,-0.0242,0.2078,0.4688
新聞點名／衝擊結束日(新聞),市盈率 P/E(只在盈利為正時算得出),f_pe,高,36,0.1315,0.1471,0.6389
新聞點名／衝擊結束日(新聞),營收按年增長(TTM 對 TTM),f_rev_growth_yoy,低,53,-0.0835,0.0051,0.4528
新聞點名／衝擊結束日(新聞),營收按年增長(TTM 對 TTM),f_rev_growth_yoy,中,43,-0.1871,-0.1061,0.3488
新聞點名／衝擊結束日(新聞),營收按年增長(TTM 對 TTM),f_rev_growth_yoy,高,51,-0.1537,0.0302,0.3529
新聞點名／衝擊結束日(新聞),過去八格營收變異係數(經常性收入的反向代理),f_rev_cv8,低,53,-0.1312,0.0359,0.434
新聞點名／衝擊結束日(新聞),過去八格營收變異係數(經常性收入的反向代理),f_rev_cv8,中,46,-0.1546,-0.0486,0.3478
新聞點名／衝擊結束日(新聞),過去八格營收變異係數(經常性收入的反向代理),f_rev_cv8,高,51,-0.0879,-0.0018,0.4118
同SIC全體／衝擊低點,衝擊期自身相對大市跌幅(越負跌越深),f_shock_rel_drop,低,1145,-0.121,0.0784,0.3878
同SIC全體／衝擊低點,衝擊期自身相對大市跌幅(越負跌越深),f_shock_rel_drop,中,1136,-0.0554,0.0745,0.4137
同SIC全體／衝擊低點,衝擊期自身相對大市跌幅(越負跌越深),f_shock_rel_drop,高,1139,-0.0577,0.0079,0.417
同SIC全體／衝擊低點,市值(對數),f_log_mcap,低,866,-0.0999,0.1656,0.3938
同SIC全體／衝擊低點,市值(對數),f_log_mcap,中,854,-0.0399,0.0552,0.4204
同SIC全體／衝擊低點,市值(對數),f_log_mcap,高,861,-0.0434,-0.0049,0.4367
同SIC全體／衝擊低點,淨現金(現金−總債務)÷市值,f_net_cash_over_mcap,低,385,-0.0206,0.0649,0.4312
同SIC全體／衝擊低點,淨現金(現金−總債務)÷市值,f_net_cash_over_mcap,中,376,-0.0395,0.108,0.4362
同SIC全體／衝擊低點,淨現金(現金−總債務)÷市值,f_net_cash_over_mcap,高,380,-0.057,0.0753,0.4342
同SIC全體／衝擊低點,總債務÷總資產,f_debt_to_assets,低,441,-0.0625,0.0585,0.4195
同SIC全體／衝擊低點,總債務÷總資產,f_debt_to_assets,中,431,-0.0336,0.0665,0.4432
同SIC全體／衝擊低點,總債務÷總資產,f_debt_to_assets,高,436,-0.0437,0.0721,0.422
同SIC全體／衝擊低點,總負債÷總資產,f_liab_to_assets,低,802,-0.0927,0.0807,0.409
同SIC全體／衝擊低點,總負債÷總資產,f_liab_to_assets,中,795,-0.0514,0.1022,0.4264
同SIC全體／衝擊低點,總負債÷總資產,f_liab_to_assets,高,798,-0.0548,0.0638,0.416
同SIC全體／衝擊低點,四季經營現金流為正(1/0),f_ocf_positive,中,2555,-0.0601,0.0683,0.4149
同SIC全體／衝擊低點,經營現金流利潤率(定價力代理),f_ocf_margin,低,756,-0.2037,0.112,0.3452
同SIC全體／衝擊低點,經營現金流利潤率(定價力代理),f_ocf_margin,中,747,-0.0437,0.0805,0.4364
同SIC全體／衝擊低點,經營現金流利潤率(定價力代理),f_ocf_margin,高,752,-0.0239,0.05,0.4561
同SIC全體／衝擊低點,淨利率,f_ni_margin,低,828,-0.1723,0.094,0.3744
同SIC全體／衝擊低點,淨利率,f_ni_margin,中,822,-0.064,0.1065,0.4015
同SIC全體／衝擊低點,淨利率,f_ni_margin,高,825,-0.0206,0.0515,0.463
同SIC全體／衝擊低點,市銷率 P/S,f_ps,低,734,-0.0153,0.1944,0.4673
同SIC全體／衝擊低點,市銷率 P/S,f_ps,中,725,-0.041,0.1462,0.4428
同SIC全體／衝擊低點,市銷率 P/S,f_ps,高,731,-0.1729,-0.051,0.3529
同SIC全體／衝擊低點,市帳率 P/B,f_pb,低,807,-0.0153,0.1491,0.4622
同SIC全體／衝擊低點,市帳率 P/B,f_pb,中,801,-0.0472,0.0734,0.412
同SIC全體／衝擊低點,市帳率 P/B,f_pb,高,803,-0.1183,0.0046,0.3848
同SIC全體／衝擊低點,市盈率 P/E(只在盈利為正時算得出),f_pe,低,512,-0.0101,0.0574,0.4824
同SIC全體／衝擊低點,市盈率 P/E(只在盈利為正時算得出),f_pe,中,502,-0.0202,0.0472,0.4382
同SIC全體／衝擊低點,市盈率 P/E(只在盈利為正時算得出),f_pe,高,507,-0.0235,0.0745,0.4556
同SIC全體／衝擊低點,營收按年增長(TTM 對 TTM),f_rev_growth_yoy,低,813,-0.0687,0.0508,0.4145
同SIC全體／衝擊低點,營收按年增長(TTM 對 TTM),f_rev_growth_yoy,中,804,-0.0339,0.0976,0.4428
同SIC全體／衝擊低點,營收按年增長(TTM 對 TTM),f_rev_growth_yoy,高,807,-0.1119,0.1109,0.3928
同SIC全體／衝擊低點,過去八格營收變異係數(經常性收入的反向代理),f_rev_cv8,低,819,-0.0234,0.0938,0.4518
同SIC全體／衝擊低點,過去八格營收變異係數(經常性收入的反向代理),f_rev_cv8,中,810,-0.085,0.0594,0.4012
同SIC全體／衝擊低點,過去八格營收變異係數(經常性收入的反向代理),f_rev_cv8,高,815,-0.0968,0.124,0.4074
同SIC全體／衝擊結束日(新聞),衝擊期自身相對大市跌幅(越負跌越深),f_shock_rel_drop,低,1145,-0.1509,0.113,0.3598
同SIC全體／衝擊結束日(新聞),衝擊期自身相對大市跌幅(越負跌越深),f_shock_rel_drop,中,1136,-0.0692,0.0653,0.3935
同SIC全體／衝擊結束日(新聞),衝擊期自身相對大市跌幅(越負跌越深),f_shock_rel_drop,高,1139,-0.0442,0.0327,0.4355
同SIC全體／衝擊結束日(新聞),市值(對數),f_log_mcap,低,866,-0.1046,0.1178,0.3799
同SIC全體／衝擊結束日(新聞),市值(對數),f_log_mcap,中,854,-0.0542,0.1927,0.4251
同SIC全體／衝擊結束日(新聞),市值(對數),f_log_mcap,高,861,-0.0525,-0.0148,0.4181
同SIC全體／衝擊結束日(新聞),淨現金(現金−總債務)÷市值,f_net_cash_over_mcap,低,385,-0.0245,0.0724,0.4597
同SIC全體／衝擊結束日(新聞),淨現金(現金−總債務)÷市值,f_net_cash_over_mcap,中,376,-0.0555,0.0877,0.4415
同SIC全體／衝擊結束日(新聞),淨現金(現金−總債務)÷市值,f_net_cash_over_mcap,高,380,-0.0771,0.0505,0.4079
同SIC全體／衝擊結束日(新聞),總債務÷總資產,f_debt_to_assets,低,441,-0.0677,0.0312,0.4014
同SIC全體／衝擊結束日(新聞),總債務÷總資產,f_debt_to_assets,中,431,-0.0358,0.0599,0.4548
同SIC全體／衝擊結束日(新聞),總債務÷總資產,f_debt_to_assets,高,436,-0.0477,0.0664,0.4174
同SIC全體／衝擊結束日(新聞),總負債÷總資產,f_liab_to_assets,低,802,-0.0905,0.0582,0.394
同SIC全體／衝擊結束日(新聞),總負債÷總資產,f_liab_to_assets,中,795,-0.0651,0.0614,0.4189
同SIC全體／衝擊結束日(新聞),總負債÷總資產,f_liab_to_assets,高,798,-0.0786,0.041,0.3922
同SIC全體／衝擊結束日(新聞),四季經營現金流為正(1/0),f_ocf_positive,中,2555,-0.0699,0.0929,0.4051
同SIC全體／衝擊結束日(新聞),經營現金流利潤率(定價力代理),f_ocf_margin,低,756,-0.2112,0.2153,0.336
同SIC全體／衝擊結束日(新聞),經營現金流利潤率(定價力代理),f_ocf_margin,中,747,-0.0543,0.0698,0.4337
同SIC全體／衝擊結束日(新聞),經營現金流利潤率(定價力代理),f_ocf_margin,高,752,-0.0359,0.0489,0.4441
同SIC全體／衝擊結束日(新聞),淨利率,f_ni_margin,低,828,-0.1936,0.1846,0.3623
同SIC全體／衝擊結束日(新聞),淨利率,f_ni_margin,中,822,-0.0695,0.0908,0.4039
同SIC全體／衝擊結束日(新聞),淨利率,f_ni_margin,高,825,-0.0314,0.055,0.4461
同SIC全體／衝擊結束日(新聞),市銷率 P/S,f_ps,低,734,-0.0263,0.1687,0.47
同SIC全體／衝擊結束日(新聞),市銷率 P/S,f_ps,中,725,-0.0443,0.1405,0.4441
同SIC全體／衝擊結束日(新聞),市銷率 P/S,f_ps,高,731,-0.1764,0.0814,0.3311
同SIC全體／衝擊結束日(新聞),市帳率 P/B,f_pb,低,807,-0.0269,0.1401,0.4634
同SIC全體／衝擊結束日(新聞),市帳率 P/B,f_pb,中,801,-0.0543,0.0611,0.422
同SIC全體／衝擊結束日(新聞),市帳率 P/B,f_pb,高,803,-0.1346,0.114,0.3437
同SIC全體／衝擊結束日(新聞),市盈率 P/E(只在盈利為正時算得出),f_pe,低,512,-0.0122,0.0507,0.4707
同SIC全體／衝擊結束日(新聞),市盈率 P/E(只在盈利為正時算得出),f_pe,中,502,-0.0417,0.0413,0.4422
同SIC全體／衝擊結束日(新聞),市盈率 P/E(只在盈利為正時算得出),f_pe,高,507,-0.0463,0.0582,0.432
同SIC全體／衝擊結束日(新聞),營收按年增長(TTM 對 TTM),f_rev_growth_yoy,低,813,-0.0694,0.1859,0.417
同SIC全體／衝擊結束日(新聞),營收按年增長(TTM 對 TTM),f_rev_growth_yoy,中,804,-0.0434,0.077,0.4366
同SIC全體／衝擊結束日(新聞),營收按年增長(TTM 對 TTM),f_rev_growth_yoy,高,807,-0.1183,0.0775,0.3705
同SIC全體／衝擊結束日(新聞),過去八格營收變異係數(經常性收入的反向代理),f_rev_cv8,低,819,-0.043,0.0605,0.4444
同SIC全體／衝擊結束日(新聞),過去八格營收變異係數(經常性收入的反向代理),f_rev_cv8,中,810,-0.0755,0.0516,0.4086
同SIC全體／衝擊結束日(新聞),過去八格營收變異係數(經常性收入的反向代理),f_rev_cv8,高,815,-0.1036,0.2505,0.3804
