event_id,basket_kind,entity_id,ticker,T_12m_excess,N_12m_excess,dollar_vol_60d,f_ocf_margin,f_ni_margin,mcap_usd_修後,f_ps_修後,f_pb_修後,f_log_mcap_修後,mcap_status_修後
E07,新聞點名,0001996810,GEV,1.4209770961121966,0.7992066285200499,889493378.817749,,0.0275206864848299,115909314663.37646,3.5522315250804923,12.19584539808254,25.476073952167834,有
E07,新聞點名,0001596532,ANET,0.3972994763188866,0.0388401367291295,740872395.5841064,0.486729748231813,0.3944575387494025,162723136441.7514,24.721822032709508,17.599512220160918,25.81531604414541,有
E07,新聞點名,0001375365,SMCI,-0.3758321825957141,-0.2118213909488109,1684510971.0795405,-0.1697659031111861,0.0862128247791391,19481756800.95051,1.7843773351161918,3.8244569242538238,23.69274431594811,有
E07,新聞點名,0000820318,COHR,1.993925108594493,1.0432537142552103,239553844.0727234,0.0999268400916297,-0.0125397282289305,15517437597.25821,3.1017877397702476,2.820799926497704,23.465230234800995,有
E07,新聞點名,0000067347,MOD,0.9774324338871472,0.9110149237767318,88960548.54125977,0.0805948668745502,0.0736787399056528,6943007984.328049,2.7756488303862032,8.084545859720597,22.66100094469932,有
E07,新聞點名,0001622536,TLN,0.4552066523220481,0.2863159996605124,171085621.1730957,,,12498415212.484741,,5.086860078341368,23.248867690215803,有
E07,同SIC全體,0000002186,BKTI,1.134688894747928,1.1313982148306003,947011.0027313232,0.0979011464777786,0.0679389508609112,115842064.26916122,1.9141047936377047,4.457692856780745,18.567738306446024,有
E07,同SIC全體,0000002488,AMD,0.6858825129947508,0.703515341831872,4509392469.633484,0.0887282149872528,0.0609353450077318,199345648439.742,8.331410057246709,3.4982126601692025,26.018306081790815,有
E07,同SIC全體,0000003570,LNG,0.0002114486254212,-0.1302455925866751,354527687.563324,0.3547906132503565,0.2577466614806171,52021284339.70157,3.3723119629003997,10.196253300607912,24.674918786006653,有
E07,同SIC全體,0000004127,SWKS,-0.3034857459974379,-0.1519707794614418,202658047.18322757,0.4367400670177118,0.1426519865964576,14584762700.76091,3.490847941780974,2.3016337684853174,23.403243170045354,有
E07,同SIC全體,0000006281,ADI,0.230870108654775,0.3818435627274246,655552167.5842285,0.3965038531588109,0.2021997630920375,107922779889.06555,10.727433869396215,3.066849832407895,25.404681807308318,有
E07,同SIC全體,0000006951,AMAT,0.9097936277261208,0.5841566880156062,1127076177.2193909,0.3192890785987636,0.2640933176332057,151955606146.5,5.591536876159111,7.997242573890848,25.74685425030779,有
E07,同SIC全體,0000019745,CPK,-0.1512673342728181,-0.0757343256416721,10782648.321151732,0.3379318773172128,0.1298179198267446,2759896256610.771,3921.97290697437,2046.9877417989626,28.64621420676665,有
E07,同SIC全體,0000023197,CMTL,0.9561978530051696,1.1301827178987742,1231708.472156525,-0.1224607965226495,-0.4897063606006044,71468664.7409761,0.14172079815062721,0.4753043596936507,18.08476965623132,有
E07,同SIC全體,0000026058,CTS,-0.0923929166102786,0.0616860342194565,7414586.053848267,0.201580453175441,0.111840394118817,1573537226.25,3.0093198280511313,2.9644299918425943,21.17659193243483,有
E07,同SIC全體,0000029002,DIOD,0.1182560934336909,-0.0417296371245512,21952605.612373352,0.0552173714046593,0.0613911392119982,2810552615.0501633,2.0418568199139706,1.5514337811827457,21.75664696111719,有
E07,同SIC全體,0000032604,EMR,0.0012335425734908,0.1343822211136942,353616392.57888794,0.1904870798079121,0.1125085753487308,74468123480.22461,4.257267521165367,3.4418618728149664,25.0336369980196,有
E07,同SIC全體,0000032621,MSN,-0.3062904251569845,-0.3246009535583833,4816.499860584736,-0.391656662665066,0.0371148459383753,10521326.0,1.0525536214485793,0.431520219834304,16.16891480295813,有
E07,同SIC全體,0000033533,ESP,0.7895132658376411,0.950887446464119,556678.5042762756,0.230712281892417,0.1555948571288849,81190132.2458725,1.9991993919004436,1.9106682335549718,18.21230427368165,有
E07,同SIC全體,0000038725,FELE,-0.2445219368311908,-0.0602986601489167,16658680.349731443,0.1292977381683073,0.0985773087814189,4503402469.837326,2.171332615167173,3.5469832620959796,22.228099052428046,有
E07,同SIC全體,0000040545,GE,0.3266845884197689,0.3295908748724565,861558336.6920471,0.1204513710210982,0.114790854958465,212941345287.0,3.9134996928434904,11.282258413002014,26.084282590493952,有
E07,同SIC全體,0000041091,GPJA,-0.1181552713693151,-0.0802827978106733,626002.0105361938,,,,,,,無面板
E07,同SIC全體,0000048898,HUBB,0.149195481309641,0.0908719253101035,179825789.13897705,,0.1377248677248677,24434054661.866455,4.309357083221597,7.600017002135756,23.919243679048904,有
E07,同SIC全體,0000050863,INTC,0.8872129782775338,1.1169989567196472,1406574099.0943909,0.1839091303609502,-0.3459121870223966,89839789670.94421,1.6951223545905434,0.9026221684578247,25.221293806222302,有
E07,同SIC全體,0000056701,KOSS,-0.3659192907009475,-0.353704623140078,967647.9947566986,0.0598916778211922,-0.0920232441927763,62369803.36340904,5.157513315217263,2.021922984279849,17.948591795754176,有
