threshold,tilt,cadence,層,annual_excess:SPY,舊裁決,新裁決,變了,舊鄰域格數,舊鄰域平均,舊落差,新鄰域格數,新鄰域平均,新落差,換層最差鄰域平均,換層代價,成交筆數
22.0,0.5,monthly,cadence=monthly,-0.0087937185266044,普通,普通,,11,-0.009764007186256675,0.0009702886596522752,5,-0.007607736920770832,-0.0011859816058335674,-0.011920277451742517,0.004312540530971684,560
20.0,0.75,monthly,cadence=monthly,-0.0098124177389922,普通,普通,,17,-0.013346657176744294,0.0035342394377520948,8,-0.011662128902634978,0.0018497111636427786,-0.01503118545085361,0.0033690565482186324,560
18.0,1.0,monthly,cadence=monthly,-0.0103136734060178,普通,普通,,11,-0.008688431649666458,-0.0016252417563513422,5,-0.005098838746136733,-0.005214834659881067,-0.012278024553196184,0.007179185807059451,211
18.0,0.75,quarterly,cadence=quarterly,-0.0118370328621695,普通,普通,,17,-0.006978646069062828,-0.004858386793106672,8,-0.009440200569750822,-0.0023968322924186776,-0.004517091568374833,-0.004923109001375989,188
20.0,0.75,quarterly,cadence=quarterly,-0.0120649373324126,普通,普通,,17,-0.013346657176744294,0.0012817198443316937,8,-0.01503118545085361,0.00296624811844101,-0.011662128902634978,-0.0033690565482186324,188
20.0,1.0,monthly,cadence=monthly,-0.014046387340179,普通,普通,,11,-0.016811822736226084,0.002765435396047084,5,-0.014166053418617432,0.00011966607843843201,-0.019457592053834735,0.0052915386352173025,169
22.0,0.75,monthly,cadence=monthly,-0.0172286626752107,普通,普通,,17,-0.0133171796039866,-0.003911483071224098,8,-0.009598491192272877,-0.0076301714829378215,-0.017035868015700322,0.007437376823427445,560
25.0,0.75,quarterly,cadence=quarterly,-0.0178334018546042,普通,普通,,11,-0.014401394820834267,-0.003432007033769932,5,-0.01939467968094175,0.0015612778263375503,-0.009408109960726782,-0.009986569720214966,188
18.0,1.0,quarterly,cadence=quarterly,-0.0190099727917465,普通,普通,,11,-0.008688431649666458,-0.010321541142080044,5,-0.012278024553196184,-0.006731948238550318,-0.005098838746136733,-0.007179185807059451,82
20.0,1.0,quarterly,cadence=quarterly,-0.0199374815955017,普通,普通,,11,-0.016811822736226084,-0.003125658859275616,5,-0.019457592053834735,-0.00047988954166696546,-0.014166053418617432,-0.0052915386352173025,72
22.0,0.75,quarterly,cadence=quarterly,-0.0204509726129142,普通,普通,,17,-0.0133171796039866,-0.007133793008927599,8,-0.017035868015700322,-0.0034151045972138777,-0.009598491192272877,-0.007437376823427445,188
22.0,1.0,monthly,cadence=monthly,-0.0261470230535585,普通,普通,,11,-0.016763225773740367,-0.009383797279818133,5,-0.0115013750090176,-0.0146456480445409,-0.02202507653846313,0.010523701529445529,154
25.0,1.0,quarterly,cadence=quarterly,-0.0284185107070822,普通,普通,,7,-0.018162185659724862,-0.010256325047357337,3,-0.025037010075716123,-0.0033815006313660766,-0.0112873612437336,-0.013749648831982523,54
22.0,1.0,quarterly,cadence=quarterly,-0.0334451551282639,普通,普通,,11,-0.016763225773740367,-0.01668192935452353,5,-0.02202507653846313,-0.011420078589800767,-0.0115013750090176,-0.010523701529445529,68
