lookback_days,tilt,cadence,層,annual_excess:SPY,舊裁決,新裁決,變了,舊鄰域格數,舊鄰域平均,舊落差,新鄰域格數,新鄰域平均,新落差,換層最差鄰域平均,換層代價,成交筆數
20,1.0,quarterly,cadence=quarterly,-0.0116158621917925,普通,普通,,11,-0.0064569398562319925,-0.005158922335560507,5,-0.019728238699061065,0.008112376507268565,0.006814358986597084,-0.02654259768565815,64
40,0.5,quarterly,cadence=quarterly,-0.0122412448258508,普通,普通,,11,-0.005569381710434175,-0.006671863115416624,5,-0.011904726405955217,-0.0003365184198955828,0.0007659629850868668,-0.012670689391042083,188
120,0.5,quarterly,cadence=quarterly,-0.0137059594013964,普通,普通,,7,-0.009735257869765087,-0.003970701531631314,3,-0.014627776873249251,0.0009218174718528503,-0.004842738866280925,-0.009785038006968326,188
60,0.75,quarterly,cadence=quarterly,-0.0137687002953399,普通,普通,,17,-0.012154401695611678,-0.001614298599728222,8,-0.018132972487082913,0.004364272191743013,-0.006175830904140445,-0.011957141582942468,188
10,0.5,quarterly,cadence=quarterly,-0.0140439790427822,普通,普通,,7,-0.0032479097334623,-0.0107960693093199,3,-0.013274366464184974,-0.0007696125785972251,0.006778546997260375,-0.02005291346144535,188
60,1.0,quarterly,cadence=quarterly,-0.0185889010056286,普通,普通,,11,-0.01368875614251156,-0.00490014486311704,5,-0.021245271638952883,0.0026563706333242836,-0.0061322406460702335,-0.01511303099288265,66
40,0.75,quarterly,cadence=quarterly,-0.0186764532985155,普通,普通,,17,-0.005576445081405927,-0.013100008217109573,8,-0.014172354918626666,-0.004504098379888834,0.0030194647558148113,-0.01719181967444148,188
120,0.75,quarterly,cadence=quarterly,-0.021258529473479,普通,普通,,11,-0.011099326405347125,-0.010159203068131875,5,-0.017726830270815383,-0.0035316992026636178,-0.004471822539878867,-0.013255007730936515,188
10,0.75,quarterly,cadence=quarterly,-0.0220894451207143,普通,普通,,11,-0.0024298237883060747,-0.019659621332408225,5,-0.0159115599654489,-0.006177885155265399,0.01105191238883675,-0.02696347235428565,188
40,1.0,quarterly,cadence=quarterly,-0.0259180726344876,普通,普通,,11,-0.005472068169360391,-0.02044600446512721,5,-0.016313592771743265,-0.009604479862744337,0.005369456433022483,-0.02168304920476575,66
120,1.0,quarterly,cadence=quarterly,-0.0292609731262667,普通,普通,,7,-0.01236045107007315,-0.01690052205619355,3,-0.02071927597517855,-0.00854169715108815,-0.00400162616496775,-0.016717649810210802,54
10,1.0,quarterly,cadence=quarterly,-0.030756031744161,普通,普通,,7,-0.0015127266406538,-0.0292433051035072,3,-0.018443726565340823,-0.012312305178820176,0.015418273284033225,-0.03386199984937405,56
