ma_days,tilt,cadence,total_return,annual_return,max_drawdown,win_rate,profit_loss_ratio,sortino,average_holding_days,turnover,annual_excess_QQQ,annual_excess_SPY,run_id,trades,closed_trades,trading_days,start,end,reused,seconds
100,1.0,monthly,2.3494943697602313,0.10964137173632049,-0.33372509041006293,0.6419753086419753,1.8658869965166442,0.5013710501162959,126.50617283950618,2.6056038506782073,-0.08002829521062038,-0.02887831314579925,run-a8d00dad0bc77d88,114,81,2929,2015-01-02,2026-08-26,False,0.3879
100,1.0,quarterly,1.8902799876655707,0.0956480202450849,-0.3408229096214356,0.7222222222222222,1.2496511368244325,0.3928988705175406,203.44444444444446,1.5822219698171427,-0.09402164670185598,-0.042871664637034845,run-9fdac38cf3201c7d,56,36,2929,2015-01-02,2026-08-26,True,0.0261
150,0.5,monthly,3.0352265227023016,0.12757222648524302,-0.34454377577516615,0.9066666666666666,1.112376921235793,0.70295580821667,803.5866666666667,0.6468254699113127,-0.06209744046169785,-0.01094745839687672,run-6b1b9496cbbdbefa,560,450,2929,2015-01-02,2026-08-26,False,0.423
150,0.5,quarterly,2.744098801879887,0.12032870711259691,-0.34639449846825865,0.9632352941176471,2.4672544613983947,0.6381561016143898,888.0882352941177,0.3906981474474693,-0.06934095983434396,-0.01819097776952283,run-b42240934b2195cd,188,136,2929,2015-01-02,2026-08-26,True,0.0244
150,0.75,monthly,2.8548113628011347,0.12314207144081335,-0.33913564233760574,0.9114470842332614,0.665947779608062,0.6334631493850025,797.4838012958963,1.171982505680575,-0.06652759550612752,-0.015377613441306393,run-ef7ce3ca999fcd5d,560,463,2929,2015-01-02,2026-08-26,False,0.4703
150,0.75,quarterly,2.2943926445193186,0.10805835664798513,-0.34357223412167104,0.9602649006622517,1.0157609346802798,0.5101612587670805,1016.2582781456954,0.7212509413149932,-0.08161131029895574,-0.03046132823413461,run-5b45d1ce08d25b8c,188,151,2929,2015-01-02,2026-08-26,True,0.0247
150,1.0,monthly,2.65747470781261,0.11807393834396152,-0.3337250904100628,0.6231884057971014,3.1751317510261154,0.5548689955990499,148.5072463768116,1.6645965067658028,-0.07159572860297936,-0.020445746538158227,run-66a774cdefa98e77,90,69,2929,2015-01-02,2026-08-26,False,0.418
150,1.0,quarterly,1.8724976033627319,0.09506621892715583,-0.3408229096214356,0.7666666666666667,4.8243232708265955,0.38380565359471835,256.8,1.0352839523948008,-0.09460344801978504,-0.04345346595496391,run-4ff1dfa315938463,44,30,2929,2015-01-02,2026-08-26,True,0.0279
200,0.5,monthly,2.971878062643523,0.12603768805822146,-0.34454377577516604,0.8911111111111111,1.1412264644157173,0.6891704045006656,769.4222222222222,0.7338456605936564,-0.06363197888871941,-0.012481996823898278,run-a0832754eb7b7cc8,560,450,2929,2015-01-02,2026-08-26,False,0.3971
200,0.5,quarterly,2.744098801879887,0.12032870711259691,-0.34639449846825865,0.9632352941176471,2.4672544613983947,0.6381561016143898,888.0882352941177,0.3906981474474693,-0.06934095983434396,-0.01819097776952283,run-34a0d557b811d32b,188,136,2929,2015-01-02,2026-08-26,True,0.0283
200,0.75,monthly,2.7348518715729453,0.12009030184203029,-0.33913564233760574,0.8939393939393939,0.6458909571157265,0.6078960052289665,761.3852813852814,1.3500089374671924,-0.06957936510491058,-0.018429383040089453,run-e1d5f6f4d7ed6033,560,462,2929,2015-01-02,2026-08-26,False,0.5389
200,0.75,quarterly,2.2943926445193186,0.10805835664798513,-0.34357223412167104,0.9602649006622517,1.0157609346802798,0.5101612587670805,1016.2582781456954,0.7212509413149932,-0.08161131029895574,-0.03046132823413461,run-a4461b8f351df5f8,188,151,2929,2015-01-02,2026-08-26,True,0.0313
200,1.0,monthly,2.4882435822068736,0.11352447177962355,-0.33372509041006304,0.6301369863013698,2.3826748122639487,0.5199724094060635,140.36986301369862,1.9366948523827108,-0.07614519516731733,-0.024995213102496194,run-d5c6f62c87965501,98,73,2929,2015-01-02,2026-08-26,False,0.4079
