weight_quality,weight_value,weight_momentum,weight_low_vol,cadence,total_return,annual_return,max_drawdown,win_rate,profit_loss_ratio,sortino,average_holding_days,turnover,annual_excess_QQQ,annual_excess_SPY,run_id,trades,closed_trades,trading_days,start,end,reused,seconds
0.0,0.0,1.0,0.0,monthly,4.136051295636519,0.1512263540142067,-0.34082271654343366,,,0.7408029604447227,,0.018625275307960328,-0.03844334568297203,0.012706659517927488,run-f6576b2ece34e375,1,0,2929,2015-01-02,2026-08-26,False,0.2428
0.0,0.0,1.0,0.0,quarterly,4.136051295636519,0.1512263540142067,-0.34082271654343366,,,0.7408029604447227,,0.018625275307960328,-0.03844334568297203,0.012706659517927488,run-79f1413632ab00c2,1,0,2929,2015-01-02,2026-08-26,False,0.2851
0.0,0.1,0.0,0.9,monthly,2.2205180573796572,0.10589761161123157,-0.33678798398707543,0.9770114942528736,68.41899826853268,0.632815676881707,1413.1436781609195,0.053261880644576785,-0.08377208808594716,-0.03262208288504764,run-41756584aa86e0e9,280,174,2929,2015-01-02,2026-08-26,False,0.2575
0.0,0.1,0.0,0.9,quarterly,2.227770584383223,0.10611173371058547,-0.33642997104805383,0.9803921568627451,161.38370428138938,0.6349728350730613,1591.549019607843,0.0418872253814325,-0.08355796598659326,-0.032407960785693746,run-a830035c9f93c7fb,94,51,2929,2015-01-02,2026-08-26,False,0.2548
0.0,0.1,0.1,0.8,monthly,2.407069721700054,0.11127022467304193,-0.33766938774881383,0.9809160305343512,78.12207757093286,0.6721759930630682,1473.171755725191,0.07316058877136852,-0.0783994750241368,-0.027249469823237282,run-46be38140c01a8cd,420,262,2929,2015-01-02,2026-08-26,False,0.3157
0.0,0.1,0.1,0.8,quarterly,2.423850815480531,0.1117402409239645,-0.3373234333670896,0.9861111111111112,171.96920554019803,0.6764674059648242,1535.7222222222222,0.05510264417317231,-0.07792945877321422,-0.026779453572314704,run-878699663ff39d09,141,72,2929,2015-01-02,2026-08-26,False,0.2226
0.0,0.1,0.2,0.7,monthly,2.5990468969527294,0.11652537288848919,-0.33855000699282656,0.9766536964980544,111.13756851594556,0.7040570242158712,1509.6614785992217,0.0905999332147841,-0.07314432680868954,-0.021994321607790024,run-679c494ff2a383a2,420,257,2929,2015-01-02,2026-08-26,False,0.2574
0.0,0.1,0.2,0.7,quarterly,2.623390100675871,0.11717333507953809,-0.338212163834121,0.9857142857142858,215.72758214129254,0.7095271833921158,1557.2571428571428,0.06573595391082153,-0.07249636461764064,-0.021346359416741123,run-1687f8471b9e5619,141,70,2929,2015-01-02,2026-08-26,False,0.2546
0.0,0.1,0.3,0.6,monthly,2.7961728707233275,0.12166132156187937,-0.3394298446186944,0.9755102040816327,120.42495075210267,0.7281692754579843,1468.4448979591837,0.10271561057589236,-0.06800837813529936,-0.016858372934399846,run-b3650daa5e478fc6,420,245,2929,2015-01-02,2026-08-26,False,0.2981
0.0,0.1,0.3,0.6,quarterly,2.82586181582399,0.12241362466196626,-0.3390961999403034,0.9852941176470589,252.83930954293663,0.7340554625047208,1551.3529411764705,0.07289403403307858,-0.06725607503521247,-0.016106069834312953,run-8668fcae9b35f1f2,141,68,2929,2015-01-02,2026-08-26,False,0.2306
0.0,0.1,0.4,0.5,monthly,2.9981304690463544,0.1266763152682775,-0.3403089035117244,0.9752066115702479,118.85698087554294,0.7449073382284911,1429.1322314049587,0.10913535893925443,-0.06299338442890123,-0.011843379228001716,run-49937178abfe413d,420,242,2929,2015-01-02,2026-08-26,False,0.2469
0.0,0.1,0.4,0.5,quarterly,3.030702797644948,0.12746337741939784,-0.3399755787817702,0.9848484848484849,289.031745249568,0.7506457172871245,1616.5,0.07653223119344779,-0.06220632227778089,-0.011056317076881372,run-1f836ce25d37f2e6,141,66,2929,2015-01-02,2026-08-26,False,0.2556
0.0,0.1,0.5,0.4,monthly,3.204561305317503,0.1315685773593438,-0.34134371206784486,0.9757085020242915,108.72751090605621,0.7551466994716215,1404.748987854251,0.10968709928378823,-0.05810112233783493,-0.006951117136935414,run-d525d497874c9cd3,420,247,2929,2015-01-02,2026-08-26,False,0.3308
0.0,0.1,0.5,0.4,quarterly,3.2373148636406412,0.13232455171562751,-0.3410168998113049,0.9848484848484849,317.2354913866275,0.7603274099672912,1645.0454545454545,0.07631919678973752,-0.057345147981551214,-0.006195142780651697,run-75fe8f49d07abfa8,141,66,2929,2015-01-02,2026-08-26,False,0.2942
0.0,0.1,0.6,0.3,monthly,3.4150652608476086,0.13633630937508845,-0.3423969756389128,0.9757085020242915,96.40777843721061,0.7598867369645023,1399.1497975708503,0.1039797331511138,-0.05333339032209028,-0.0021833851211907618,run-eaa93c6835e2d11f,420,247,2929,2015-01-02,2026-08-26,False,0.2784
0.0,0.1,0.6,0.3,quarterly,3.445066609526582,0.13699882354630222,-0.3420636409891371,0.9855072463768116,335.8738478851301,0.7642061711680862,1646.4202898550725,0.07235967161232332,-0.05267087615087651,-0.0015208709499769935,run-92f6b1906c30a2d8,141,69,2929,2015-01-02,2026-08-26,False,0.273
0.0,0.1,0.7,0.2,monthly,3.629200215984109,0.14097769035695262,-0.34344847575394044,0.977859778597786,71.75259319915615,0.7601831804135311,1454.6273062730627,0.0920776929128842,-0.048692009340226106,0.002457995860673412,run-974beab0668385ee,420,271,2929,2015-01-02,2026-08-26,False,0.2681
0.0,0.1,0.7,0.2,quarterly,3.6532954838267173,0.14148760985891018,-0.34310435316131727,0.9857142857142858,379.766415200283,0.7634161198545152,1655.1857142857143,0.06441442421400088,-0.04818208983826855,0.0029679153626309684,run-7736e9564f7e24ca,141,70,2929,2015-01-02,2026-08-26,False,0.2431
0.0,0.1,0.8,0.1,monthly,3.846482049770877,0.14549087605682764,-0.3444982202965834,0.9785714285714285,49.993311756844534,0.7569885739524469,1436.3107142857143,0.0745096005219484,-0.044178823640351084,0.006971181560548434,run-fd436bb6ea6d023d,420,280,2929,2015-01-02,2026-08-26,False,0.4149
0.0,0.1,0.8,0.1,quarterly,3.8613101373193155,0.14579208870236782,-0.34413908826694384,0.9857142857142858,501.30681120714684,0.7589536764845698,1646.2428571428572,0.052597750674399486,-0.04387761099481091,0.007272394206088606,run-2e0bd42777697168,141,70,2929,2015-01-02,2026-08-26,False,0.2313
0.0,0.1,0.9,0.0,monthly,4.06638492492835,0.14987399803579105,-0.34554621710357136,0.978021978021978,30.31986203691927,0.7511100284098055,1303.521978021978,0.05386891919356357,-0.039795701661387684,0.011354303539511834,run-7566029a471ef9c0,280,182,2929,2015-01-02,2026-08-26,False,0.2257
0.0,0.1,0.9,0.0,quarterly,4.0683930429958455,0.1499132166401087,-0.34516789765022493,1.0,,0.7516584177344321,1609.2222222222222,0.03775083601195299,-0.039756483057070025,0.011393522143829493,run-ac92401894e5e080,94,54,2929,2015-01-02,2026-08-26,False,0.2214
0.0,0.2,0.0,0.8,monthly,2.3328051210457725,0.10916443529242126,-0.3425668531661511,0.9764705882352941,70.97128472886175,0.650829981888689,1488.0470588235294,0.07695688045344856,-0.08050526440475747,-0.029355259203857953,run-94d06d7577bcc187,280,170,2929,2015-01-02,2026-08-26,False,0.2708
0.0,0.2,0.0,0.8,quarterly,2.345781493821721,0.10953545529425668,-0.3419280236460973,0.9791666666666666,169.9269077500733,0.6543846068208878,1530.0833333333333,0.05666022644244354,-0.08013424440292205,-0.028984239202022533,run-9c25be64900e9033,94,48,2929,2015-01-02,2026-08-26,False,0.1934
