weight_quality,weight_value,weight_momentum,weight_low_vol,cadence,value,trades,verdict,neighbours,valid_neighbours,neighbourhood_mean,neighbour_mean,lift,peak_over_neighbourhood,is_local_peak,layer,siblings,weakest_sibling_mean,layer_drop
0.0,0.1,0.9,0.0,monthly,-0.34554621710357136,280,普通,6,5,-0.34439927803195786,-0.3441698902176351,-0.0011469390716135064,,False,cadence=monthly,1,-0.3441069506938588,-0.0002923273380990299
0.0,0.1,0.9,0.0,quarterly,-0.34516789765022493,94,普通,6,5,-0.3441069506938588,-0.34389476130258567,-0.0010609469563661045,,False,cadence=quarterly,1,-0.34439927803195786,0.0002923273380990299
0.0,0.2,0.0,0.8,monthly,-0.3425668531661511,280,普通,6,6,-0.3414252986375904,-0.34123503954949697,-0.0011415545285606843,,False,cadence=monthly,1,-0.3408841847931939,-0.0005411138443965346
0.0,0.2,0.0,0.8,quarterly,-0.3419280236460973,94,普通,6,6,-0.3408841847931939,-0.34071021165104326,-0.0010438388529034337,,False,cadence=quarterly,1,-0.3414252986375904,0.0005411138443965346
0.0,0.2,0.1,0.7,monthly,-0.34344390597946506,420,普通,9,9,-0.34304963301555974,-0.34300582490845916,-0.00039427296390531774,,False,cadence=monthly,1,-0.3424658610343487,-0.0005837719812110675
0.0,0.2,0.1,0.7,quarterly,-0.3428114815561569,141,普通,9,9,-0.3424658610343487,-0.34242745875414776,-0.0003456205218082542,,False,cadence=quarterly,1,-0.34304963301555974,0.0005837719812110675
0.0,0.2,0.2,0.6,monthly,-0.3443201856508137,420,普通,9,9,-0.34392642852241473,-0.34388267773037046,-0.0003937571283989527,,False,cadence=monthly,1,-0.34334587849227527,-0.0005805500301394595
0.0,0.2,0.2,0.6,quarterly,-0.34369023620973715,141,普通,9,9,-0.34334587849227527,-0.3433076165236683,-0.00034435771746188504,,False,cadence=quarterly,1,-0.34392642852241473,0.0005805500301394595
0.0,0.2,0.3,0.5,monthly,-0.34519569503536063,420,普通,9,9,-0.3448028381435554,-0.3447591873777992,-0.00039285689180523775,,False,cadence=monthly,1,-0.34422278637833315,-0.0005800517652222448
0.0,0.2,0.3,0.5,quarterly,-0.3445643250651522,141,普通,9,9,-0.34422278637833315,-0.34418483763535324,-0.0003415386868190762,,False,cadence=quarterly,1,-0.3448028381435554,0.0005800517652222448
0.0,0.2,0.4,0.4,monthly,-0.3460742938968602,420,普通,9,9,-0.3457351916646241,-0.34569751363882006,-0.00033910223223609925,,False,cadence=monthly,1,-0.3451565194216032,-0.0005786722430208835
0.0,0.2,0.4,0.4,quarterly,-0.34544943371971093,141,普通,9,9,-0.3451565194216032,-0.34512397338848005,-0.00029291429810773817,,False,cadence=quarterly,1,-0.3457351916646241,0.0005786722430208835
0.0,0.2,0.5,0.3,monthly,-0.3471232598775118,420,普通,9,9,-0.3467448531259176,-0.346702807931296,-0.0003784067515942291,,False,cadence=monthly,1,-0.34616397525964226,-0.0005808778662753089
0.0,0.2,0.5,0.3,quarterly,-0.3464916854922563,141,普通,9,9,-0.34616397525964226,-0.34612756301157405,-0.0003277102326140202,,False,cadence=quarterly,1,-0.3467448531259176,0.0005808778662753089
0.0,0.2,0.6,0.2,monthly,-0.3481704741232432,420,普通,9,9,-0.34779264502921564,-0.34775066401876814,-0.0003778290940275597,,False,cadence=monthly,1,-0.3472015113019055,-0.0005911337273101225
0.0,0.2,0.6,0.2,quarterly,-0.3475278859930283,141,普通,9,9,-0.3472015113019055,-0.34716524744733634,-0.0003263746911227883,,False,cadence=quarterly,1,-0.34779264502921564,0.0005911337273101225
0.0,0.2,0.7,0.1,monthly,-0.3492159444702485,420,普通,9,9,-0.3488386912998093,-0.34879677428087164,-0.0003772531704391846,,False,cadence=monthly,1,-0.3482330385298965,-0.0006056527699128122
0.0,0.2,0.7,0.1,quarterly,-0.34855808776964115,141,普通,9,9,-0.3482330385298965,-0.3481969219477026,-0.00032504923974463473,,False,cadence=quarterly,1,-0.3488386912998093,0.0006056527699128122
0.0,0.2,0.8,0.0,monthly,-0.3502596787080582,280,普通,6,6,-0.3486064946173542,-0.3483309639355702,-0.001653184090703974,,False,cadence=monthly,1,-0.3480400337191316,-0.0005664608982225983
0.0,0.2,0.8,0.0,quarterly,-0.3495823427630552,94,普通,6,6,-0.3480400337191316,-0.34778298221181103,-0.0015423090439236065,,False,cadence=quarterly,1,-0.3486064946173542,0.0005664608982225983
0.0,0.3,0.0,0.7,monthly,-0.3483256027172932,280,普通,6,6,-0.34718806909439737,-0.34699848015724805,-0.0011375336228958144,,False,cadence=monthly,1,-0.34642578223132225,-0.0007622868630751123
0.0,0.3,0.0,0.7,quarterly,-0.3474840039537813,94,普通,6,6,-0.34642578223132225,-0.3462494119442457,-0.0010582217224590629,,False,cadence=quarterly,1,-0.34718806909439737,0.0007622868630751123
0.0,0.3,0.1,0.6,monthly,-0.34919833661000177,420,普通,9,9,-0.3488059908998319,-0.34876239693203526,-0.0003923457101698835,,False,cadence=monthly,1,-0.34801225745035114,-0.0007937334494807491
0.0,0.3,0.1,0.6,quarterly,-0.3483571969123834,141,普通,9,9,-0.34801225745035114,-0.3479739308434586,-0.00034493946203228987,,False,cadence=quarterly,1,-0.3488059908998319,0.0007937334494807491
