event_id,event,basket_kind,entity_id,ticker,name,sic,sic_description,named_confidence,f_shock_rel_drop,anchor_T_date,T_3m_excess,T_3m_status,T_6m_excess,T_6m_status,T_12m_excess,T_12m_status,anchor_N_date,N_3m_excess,N_3m_status,N_6m_excess,N_6m_status,N_12m_excess,N_12m_status,dollar_vol_60d,feat_status,mcap_oos,close_raw_i0,adj_close_i0,f_ps_oos,f_pb_oos,panel_period_end,panel_filed,panel_age_days,currency,cash,total_debt,assets,equity,mcap_usd,ttm_revenue,ttm_ocf,ttm_net_income,ttm_method_rev,f_net_cash_n2,f_net_cash_over_mcap,f_debt_to_assets,f_liab_to_assets,f_ocf_positive,f_ocf_margin,f_ni_margin,f_ps,f_pb,f_pe,f_log_mcap,f_rev_growth_yoy,f_rev_cv8
E21,2016-06 英國脫歐公投殺歐洲銀行,新聞點名,0000005272,AIG,"AMERICAN INTERNATIONAL GROUP, INC.",6331,"Fire, Marine & Casualty Insurance",B,-0.05792106491221238,2016-07-06,0.12367442016080732,已成熟,0.17102838040669233,已成熟,0.05841353915657921,已成熟,2016-06-27,0.10747969856627781,已成熟,0.20173867561065095,已成熟,0.06980425616950914,已成熟,354635659.5359802,有,61222260321.16526,54.709999084472656,42.558536529541016,,0.6916362809955632,2016-03-31,2016-05-02,84.0,USD,,31952000000.0,502777000000.0,88518000000.0,47624380294.29361,,,,,,,0.06355103753751663,0.8228220463545468,,,,,0.5380191632695452,,24.58661065811531,,0.1269593627227673
E21,2016-06 英國脫歐公投殺歐洲銀行,新聞點名,0001099219,MET,METLIFE INC,6311,Life Insurance,B,-0.1270019375605722,2016-07-06,0.17259291854778436,已成熟,0.31085221056253287,已成熟,0.28663802519465054,已成熟,2016-06-27,0.09844278774237547,已成熟,0.31208153279085304,已成熟,0.22290672600951367,已成熟,248293116.77295876,有,43251434349.55765,39.36720275878906,27.921653747558594,0.6207686418112588,0.5707876522541425,2016-03-31,2016-05-06,84.0,USD,13290000000.0,,917428000000.0,75775000000.0,30676590902.156296,69674000000.0,13407000000.0,5353000000.0,4Q,,,,0.9171978618485592,1.0,0.1924247208427821,0.07682923328644832,0.4402874946487398,0.4048378871944084,5.730728731955221,24.146765689349518,-0.07028195513804192,0.05516654963185041
E21,2016-06 英國脫歐公投殺歐洲銀行,新聞點名,0001137774,PFH,PRUDENTIAL FINANCIAL INC,6311,Life Insurance,B,-0.09656613546219728,2016-07-06,0.19835002321903406,已成熟,0.40902987944904834,已成熟,0.41015334009610305,已成熟,2016-06-27,0.11132176530786131,已成熟,0.39990496346248694,已成熟,0.31621935451256844,已成熟,167445358.76426697,有,34011898651.123047,76.94999694824219,48.27469253540039,0.6084853773279492,0.6907091233321767,2016-03-31,2016-05-06,84.0,USD,22492000000.0,19608000000.0,772995000000.0,49242000000.0,21337414100.646973,55896000000.0,14661000000.0,4942000000.0,4Q,2884000000.0,0.13516164547383247,0.025366270156986784,0.9362673755975136,1.0,0.26229068269643624,0.08841419779590669,0.3817341867154532,0.4333173733935862,4.317566592603597,23.78372789931297,-0.01596746650705072,0.08091147608071139
E21,2016-06 英國脫歐公投殺歐洲銀行,新聞點名,0000004962,AXP,AMERICAN EXPRESS CO,6199,Finance Services,B,-0.04968701196300929,2016-07-06,0.04561299100910721,已成熟,0.1635739984154856,已成熟,0.2165972607696074,已成熟,2016-06-27,0.046466122632289775,已成熟,0.1619399543094382,已成熟,0.2081973685124061,已成熟,272886985.6832504,有,60152843575.0,63.25,54.84370040893555,2.1622935251087387,2.9021490604043034,2016-03-31,2016-04-27,84.0,USD,,49907000000.0,158816000000.0,20727000000.0,52158174415.38124,27819000000.0,,5690000000.0,FY_latest,,,0.31424415676002415,0.8694904795486601,,,0.2045364678816636,1.87491190967976,2.516436262622726,9.16663873732535,24.67754675424719,0.0,
E21,2016-06 英國脫歐公投殺歐洲銀行,新聞點名,0000927628,COF,CAPITAL ONE FINANCIAL CORP,6021,National Commercial Banks,B,-0.06073026500247891,2016-07-06,0.15828110667679662,已成熟,0.32242882772648485,已成熟,0.1546741317613931,已成熟,2016-06-27,0.13555093621733594,已成熟,0.3519651499251024,已成熟,0.16178378893339196,已成熟,195194316.78276062,有,33593723991.39823,65.5999984741211,54.77851867675781,1.4332404962412317,0.7041676062506179,2016-03-31,2016-05-04,84.0,USD,,,330346000000.0,47707000000.0,28052049998.303146,23439000000.0,,4143000000.0,4Q,,,,0.8555847505342883,,,0.1767566875719954,1.196810870698543,0.5880070010334573,6.770951001280026,24.057327549963105,0.059437714698969524,0.7580984746782395
E21,2016-06 英國脫歐公投殺歐洲銀行,新聞點名,0000316709,SCHW,SCHWAB CHARLES CORP,6211,"Security Brokers, Dealers & Flotation Companies",B,-0.16452341162711925,2016-07-06,0.25105862497676146,已成熟,0.49146251296832877,已成熟,0.46701865024732037,已成熟,2016-06-27,0.17623172675593435,已成熟,0.47031913669972214,已成熟,0.4391701247433739,已成熟,219621534.35058594,有,39241008514.77918,29.690000534057617,26.059465408325195,5.929436161193591,2.703852305848493,2016-03-31,2016-05-06,84.0,USD,10457000000.0,,190998000000.0,14513000000.0,34442562667.03838,6618000000.0,2182000000.0,1557000000.0,4Q,,,,0.9240149111509021,1.0,0.3297068600785736,0.23526745240253852,5.204376347391717,2.3732214336827937,22.121106401437626,24.262558923349715,0.08385194890271874,0.05858747748844181
E21,2016-06 英國脫歐公投殺歐洲銀行,新聞點名,0000899051,ALL,ALLSTATE CORP,6331,"Fire, Marine & Casualty Insurance",B,0.029191855217821194,2016-07-06,-0.04440535254944089,已成熟,-0.007677271731844737,已成熟,0.11761345415720736,已成熟,2016-06-27,-0.040175121844645334,已成熟,-0.013545850070481591,已成熟,0.0894577308916722,已成熟,114400801.52549744,有,25404566835.13568,67.86000061035156,54.436710357666016,0.7141731371622535,1.2489954196231898,2016-03-31,2016-05-04,84.0,USD,,5108000000.0,105947000000.0,20340000000.0,20379325583.96251,35572000000.0,3764000000.0,1740000000.0,4Q,,,0.04821278563810207,0.8080172161552475,1.0,0.10581356122793208,0.04891487686944788,0.5729035641505259,1.0019334112075964,11.712256082737074,23.737786772140566,0.0018306249471935487,0.012852557487587407
E21,2016-06 英國脫歐公投殺歐洲銀行,新聞點名,0000086312,TRV,"TRAVELERS COMPANIES, INC.",6331,"Fire, Marine & Casualty Insurance",B,0.04884782595232684,2016-07-06,-0.06420108279886738,已成熟,-0.06761965292050653,已成熟,-0.06099942835560368,已成熟,2016-06-27,-0.054509066587544286,已成熟,-0.03973981784714742,已成熟,-0.06324024921372196,已成熟,153587469.22607422,有,33289128293.1912,113.8499984741211,91.77635192871094,,1.3775191712816022,2016-03-31,2016-04-21,84.0,USD,,,101680000000.0,24166000000.0,26834912556.721573,,,,,,,,0.7623328088119591,,,,,1.1104408076107577,,24.01296958401657,,0.01925883285400055
E21,2016-06 英國脫歐公投殺歐洲銀行,新聞點名,0001281761,RF,REGIONS FINANCIAL CORP,6021,National Commercial Banks,B,-0.12857998393242265,2016-07-06,0.21623404149622716,已成熟,0.6191694546366391,已成熟,0.5417937464130171,已成熟,2016-06-27,0.11385907376572368,已成熟,0.597894868337493,已成熟,0.4294815246902306,已成熟,159462972.4141121,有,11970438732.943645,9.449999809265137,6.5100789070129395,,0.6955109367813401,2016-03-31,2016-05-06,84.0,USD,4390000000.0,7851000000.0,125539000000.0,17211000000.0,8246402357.238472,,2068000000.0,1101000000.0,,-3461000000.0,-0.4196981726173022,0.06253833470077028,0.8629031615673217,1.0,,,,0.4791355736005155,7.489920397128494,22.83304286427289,,
E21,2016-06 英國脫歐公投殺歐洲銀行,新聞點名,0000091576,KEY,KEYCORP /NEW/,6021,National Commercial Banks,B,-0.09430932387242241,2016-07-06,0.13598716504739516,已成熟,0.54843007828752,已成熟,0.5232278950318023,已成熟,2016-06-27,0.07584680055742665,已成熟,0.5624465824958165,已成熟,0.4401866939606176,已成熟,137240537.80493736,有,10081923173.562191,11.989999771118164,7.833508014678955,,0.9520229625648906,2015-06-30,2015-08-03,359.0,USD,,10267000000.0,94606000000.0,10590000000.0,6586891367.063945,,,876000000.0,,,,0.10852377227659979,0.8879457962497094,,,,,0.6219916305065104,7.5192823824930874,22.608347354448924,,
