ticker,cik,split_date,ratio,ratio_log10,shares_before,shares_after,filed_before,filed_after,gap_days,shares_ratio,dist_to_split,dist_to_flat,big,shares_flat,shares_followed,verdict
CNX,1070412,2017-11-29,1.2,0.079,230080797.0,230951812.0,2017-10-31,2018-02-07,99,1.003786,0.078,0.002,False,True,True,"細幅,不判"
COO,711404,2024-02-20,4.0,0.602,49800000.0,199900000.0,2023-12-08,2024-03-01,84,4.014056,0.002,0.604,False,False,True,"細幅,不判"
COP,1163165,2012-05-01,1.311791,0.118,1293104000.0,1258189000.0,2012-04-30,2012-07-31,92,0.972999,0.13,0.012,False,True,True,"細幅,不判"
CPRT,900075,2012-03-29,2.0,0.301,65795000.0,130451000.0,2012-03-09,2012-06-11,94,1.982689,0.004,0.297,False,True,True,"細幅,不判"
CPRT,900075,2017-04-11,2.0,0.301,117794000.0,237135000.0,2017-02-28,2017-05-25,86,2.013133,0.003,0.304,False,False,True,"細幅,不判"
CPRT,900075,2022-11-04,2.0,0.301,241151000.0,482168000.0,2022-09-27,2022-11-18,52,1.999444,0.0,0.301,False,False,True,"細幅,不判"
CPRT,900075,2023-08-22,2.0,0.301,483690000.0,966647000.0,2023-05-25,2023-09-28,126,1.998485,0.0,0.301,False,False,True,"細幅,不判"
CPWR,827099,2017-03-28,0.004,-2.398,60404140.0,232956.0,2016-11-07,2017-04-04,148,0.003857,0.016,2.414,True,False,True,屬於本公司(股數跟隨)
CPWR,827099,2017-05-25,2.16759,0.336,247178.0,111149698.0,2017-05-08,2017-08-14,98,449.67472,2.317,2.653,False,False,False,"細幅,不判"
CRM,1108524,2013-04-18,4.0,0.602,141224000.0,588385000.0,2013-03-08,2013-05-24,77,4.166324,0.018,0.62,False,False,True,"細幅,不判"
CRWD,1535527,2026-07-02,4.0,0.602,257881000.0,1044469000.0,2026-06-04,2026-08-27,84,4.050198,0.005,0.607,False,False,True,"細幅,不判"
CSX,277948,2011-06-16,3.0,0.477,371586000.0,1109015000.0,2011-04-20,2011-07-21,92,2.984545,0.002,0.475,False,False,True,"細幅,不判"
CSX,277948,2021-06-29,3.0,0.477,762000000.0,2275000000.0,2021-04-21,2021-07-22,92,2.985564,0.002,0.475,False,False,True,"細幅,不判"
CTAS,723254,2024-09-12,4.0,0.602,103367000.0,410496000.0,2024-07-25,2024-10-04,71,3.971248,0.003,0.599,False,False,True,"細幅,不判"
CTSH,1058290,2014-03-10,2.0,0.301,305428000.0,612897000.0,2014-02-25,2014-05-08,72,2.006682,0.001,0.302,False,False,True,"細幅,不判"
CVNA,1690820,2026-05-08,5.0,0.699,224277000.0,739960000.0,2026-02-18,2026-07-29,161,3.299313,0.181,0.518,False,False,True,"細幅,不判"
DECK,910521,2024-09-17,6.0,0.778,25581000.0,152778000.0,2024-08-01,2024-10-31,91,5.972323,0.002,0.776,False,False,True,"細幅,不判"
DELL,1571996,2018-12-28,1.806,0.257,405000000.0,751000000.0,2016-09-06,2019-06-10,1007,1.854321,0.011,0.268,False,True,True,"細幅,不判"
DELL,1571996,2021-11-02,1.973,0.295,786000000.0,788000000.0,2021-09-03,2021-12-03,91,1.002545,0.294,0.001,False,True,True,"細幅,不判"
DHR,313616,2010-06-14,2.0,0.301,340061000.0,683431000.0,2010-04-22,2010-10-21,182,2.009731,0.002,0.303,False,False,True,"細幅,不判"
DHR,313616,2016-07-05,1.319,0.12,697100000.0,698900000.0,2016-04-21,2016-07-25,95,1.002582,0.119,0.001,False,True,True,"細幅,不判"
DHR,313616,2023-10-02,1.128,0.052,744700000.0,745900000.0,2023-07-25,2023-10-24,91,1.001611,0.052,0.001,False,True,True,"細幅,不判"
DLTR,935703,2012-06-27,2.0,0.301,116400000.0,232600000.0,2012-05-17,2012-08-16,91,1.998282,0.0,0.301,False,False,True,"細幅,不判"
DOV,29905,2014-03-03,1.205,0.081,173547000.0,172013000.0,2014-02-14,2014-04-17,62,0.991161,0.085,0.004,False,True,True,"細幅,不判"
DOV,29905,2018-05-09,1.238,0.093,157090000.0,153938000.0,2018-04-27,2018-07-19,83,0.979935,0.102,0.009,False,True,True,"細幅,不判"
DRI,940944,2015-11-10,1.1186933661483387,0.049,129300000.0,129900000.0,2015-10-02,2016-01-06,96,1.00464,0.047,0.002,False,True,True,"細幅,不判"
DTE,936340,2021-07-01,1.175,0.07,194000000.0,194000000.0,2021-04-27,2021-07-27,91,1.0,0.07,0.0,False,True,True,"細幅,不判"
DUK,1326160,2012-07-03,0.3333333333333333,-0.477,1337000000.0,446000000.0,2012-05-09,2012-08-08,91,0.333583,0.0,0.477,False,False,True,"細幅,不判"
DVA,927066,2013-09-09,2.0,0.301,107424582.0,214902860.0,2013-08-07,2013-11-06,91,2.0005,0.0,0.301,False,False,True,"細幅,不判"
DXC,23082,2015-11-30,1.7412,0.241,140532000.0,141183000.0,2015-11-10,2016-02-16,98,1.004632,0.239,0.002,False,True,True,"細幅,不判"
DXCM,1093557,2022-06-13,4.0,0.602,107200000.0,421400000.0,2022-04-28,2022-07-28,91,3.93097,0.008,0.594,False,False,True,"細幅,不判"
EBAY,1065088,2015-07-20,2.376,0.376,1229000000.0,1225000000.0,2015-04-23,2015-07-21,89,0.996745,0.377,0.001,False,True,False,"細幅,不判"
EL,1001250,2012-01-23,2.0,0.301,199600000.0,395200000.0,2011-11-04,2012-02-06,94,1.97996,0.004,0.297,False,True,True,"細幅,不判"
EMN,915389,2011-10-04,2.0,0.301,72.5,142400000.0,2011-08-02,2011-11-01,91,1964137.931034,5.992,6.293,False,False,False,"細幅,不判"
EOG,821189,2014-04-01,2.0,0.301,273983000.0,548071000.0,2014-02-24,2014-05-06,71,2.000383,0.0,0.301,False,False,True,"細幅,不判"
EP,887396,2013-08-12,0.08333333333333333,-1.079,91564485.0,7630609.0,2013-05-13,2014-08-01,445,0.083336,0.0,1.079,True,False,True,屬於本公司(股數跟隨)
EP,887396,2022-03-08,0.25,-0.602,66242822.0,14630168.0,2021-11-15,2022-03-31,136,0.220857,0.054,0.656,False,False,True,"細幅,不判"
EQT,33213,2018-11-13,1.837,0.264,259560000.0,260932000.0,2018-10-25,2019-02-14,112,1.005286,0.262,0.002,False,True,True,"細幅,不判"
ETR,65984,2024-12-13,2.0,0.301,215694209.0,431581696.0,2024-11-01,2025-02-18,109,2.000896,0.0,0.301,False,False,True,"細幅,不判"
EW,1099800,2015-12-14,2.0,0.301,110000000.0,220300000.0,2015-10-29,2016-02-19,113,2.002727,0.001,0.302,False,False,True,"細幅,不判"
EW,1099800,2020-06-01,3.0,0.477,211700000.0,620300000.0,2020-04-28,2020-07-27,90,2.93009,0.01,0.467,False,False,True,"細幅,不判"
EXC,1109357,2022-02-02,1.402,0.147,980000000.0,980000000.0,2021-11-03,2022-02-25,114,1.0,0.147,0.0,False,True,True,"細幅,不判"
EXPE,1324424,2011-12-21,0.5,-0.301,279368000.0,138702000.0,2011-11-07,2012-02-10,95,0.496485,0.003,0.304,False,False,True,"細幅,不判"
FAST,815556,2011-05-23,2.0,0.301,147714471.0,295915616.0,2011-04-21,2011-07-21,91,2.003295,0.001,0.302,False,False,True,"細幅,不判"
FAST,815556,2019-05-23,2.0,0.301,286496981.0,574551349.0,2019-04-16,2019-07-16,91,2.005436,0.001,0.302,False,False,True,"細幅,不判"
FAST,815556,2025-05-22,2.0,0.301,574756112.0,1150100651.0,2025-04-16,2025-07-17,92,2.001024,0.0,0.301,False,False,True,"細幅,不判"
FCX,831259,2011-02-02,2.0,0.301,474000000.0,949000000.0,2010-11-05,2011-02-25,112,2.00211,0.0,0.301,False,False,True,"細幅,不判"
FDX,1048911,2026-06-01,1.241,0.094,239000000.0,239000000.0,2026-03-19,2026-07-20,123,1.0,0.094,0.0,False,True,True,"細幅,不判"
FLEX,866374,2024-01-03,1.327,0.123,448000000.0,436000000.0,2023-10-30,2024-02-02,95,0.973214,0.135,0.012,False,True,True,"細幅,不判"
FLS,30625,2013-06-24,3.0,0.477,48543000.0,142882000.0,2013-04-24,2013-07-24,91,2.943411,0.008,0.469,False,False,True,"細幅,不判"
FMC,37785,2012-05-25,2.0,0.301,69737000.0,138253000.0,2012-05-01,2012-08-01,92,1.982491,0.004,0.297,False,True,True,"細幅,不判"
FMC,37785,2019-03-04,1.153,0.062,135100000.0,133214000.0,2019-02-28,2019-05-08,69,0.98604,0.068,0.006,False,True,True,"細幅,不判"
FTI,1681459,2021-02-16,1.344,0.128,449400000.0,448700000.0,2020-11-02,2021-03-05,123,0.998442,0.129,0.001,False,True,True,"細幅,不判"
FTNT,1262039,2022-06-23,5.0,0.699,164200000.0,810100000.0,2022-05-06,2022-08-05,91,4.933618,0.006,0.693,False,False,True,"細幅,不判"
FTV,1659166,2020-10-09,1.195,0.077,339700000.0,340800000.0,2020-07-28,2020-10-27,91,1.003238,0.076,0.001,False,True,True,"細幅,不判"
FTV,1659166,2025-06-30,1.327,0.123,344600000.0,341700000.0,2025-05-01,2025-07-30,90,0.991584,0.127,0.004,False,True,True,"細幅,不判"
GE,40545,2019-02-26,1.04,0.017,8694000000.0,8726000000.0,2018-10-30,2019-04-30,182,1.003681,0.015,0.002,False,True,True,"細幅,不判"
GE,40545,2021-08-02,0.125,-0.903,8780000000.0,1105000000.0,2021-07-27,2021-10-26,91,0.125854,0.003,0.9,False,False,True,"細幅,不判"
GE,40545,2023-01-04,1.281,0.108,1095000000.0,1101000000.0,2022-10-25,2023-02-10,108,1.005479,0.105,0.002,False,True,True,"細幅,不判"
GE,40545,2024-04-02,1.253,0.098,1099000000.0,1103000000.0,2024-02-02,2024-04-23,81,1.00364,0.096,0.002,False,True,True,"細幅,不判"
GHC,104889,2015-07-01,1.655,0.219,5737000.0,5750000.0,2015-05-11,2015-08-05,86,1.002266,0.218,0.001,False,True,True,"細幅,不判"
GILD,882095,2013-01-28,2.0,0.301,792304000.0,1582549000.0,2012-11-06,2013-02-27,113,1.997401,0.001,0.3,False,False,True,"細幅,不判"
GL,320335,2014-07-02,1.5,0.176,90023693.0,133314822.0,2014-05-09,2014-08-08,91,1.480886,0.006,0.171,False,True,True,"細幅,不判"
GME,1326380,2022-07-22,4.0,0.602,75900000.0,304200000.0,2022-06-01,2022-09-07,98,4.007905,0.001,0.603,False,False,True,"細幅,不判"
GPN,1123360,2015-11-03,2.0,0.301,65573000.0,130353000.0,2015-10-07,2016-01-11,96,1.987907,0.003,0.298,False,True,True,"細幅,不判"
HLT,1585689,2017-01-04,0.4873294346978557,-0.312,992000000.0,330000000.0,2016-10-26,2017-02-15,112,0.332661,0.166,0.478,False,False,True,"細幅,不判"
HON,773840,2016-10-03,1.0053282396702523,0.002,772400000.0,774400000.0,2016-07-22,2016-10-21,91,1.002589,0.001,0.001,False,True,True,"細幅,不判"
HON,773840,2018-10-01,1.011,0.005,755000000.0,752000000.0,2018-07-20,2018-10-19,91,0.996026,0.006,0.002,False,True,True,"細幅,不判"
HON,773840,2018-10-29,1.032,0.014,752000000.0,753000000.0,2018-10-19,2019-02-08,112,1.00133,0.013,0.001,False,True,True,"細幅,不判"
HON,773840,2025-10-30,1.061,0.026,638800000.0,642800000.0,2025-10-23,2026-02-17,117,1.006262,0.023,0.003,False,True,True,"細幅,不判"
HON,773840,2026-06-29,0.9535,-0.021,638400000.0,318600000.0,2026-04-23,2026-07-23,91,0.49906,0.281,0.302,False,False,True,"細幅,不判"
HPE,1645590,2017-04-03,1.3348,0.125,1700000000.0,1658000000.0,2017-03-09,2017-06-08,91,0.975294,0.136,0.011,False,True,True,"細幅,不判"
HPE,1645590,2017-09-01,1.289,0.11,1658000000.0,1667000000.0,2017-06-08,2017-09-07,91,1.005428,0.108,0.002,False,True,True,"細幅,不判"
HPQ,47217,2015-11-02,2.202,0.343,1828000000.0,1836000000.0,2015-09-08,2015-12-16,99,1.004376,0.341,0.002,False,True,False,"細幅,不判"
HRL,48465,2011-02-15,2.0,0.301,135349000.0,271740000.0,2010-12-21,2011-03-11,80,2.007699,0.002,0.303,False,False,True,"細幅,不判"
HRL,48465,2016-02-10,2.0,0.301,270501000.0,542737000.0,2015-12-16,2016-03-04,79,2.006414,0.001,0.302,False,False,True,"細幅,不判"
HSIC,1000228,2017-09-15,2.0,0.301,79538000.0,158271000.0,2017-08-08,2017-11-06,90,1.989879,0.002,0.299,False,True,True,"細幅,不判"
HSIC,1000228,2019-02-08,1.275,0.106,153614000.0,153707000.0,2018-11-06,2019-02-20,106,1.000605,0.105,0.0,False,True,True,"細幅,不判"
IBKR,1381197,2025-06-18,4.0,0.602,109865741.0,441439924.0,2025-05-08,2025-08-06,90,4.017994,0.002,0.604,False,False,True,"細幅,不判"
IBM,51143,2021-11-04,1.046,0.02,904233439.0,905953114.0,2021-07-27,2021-11-05,101,1.001902,0.019,0.001,False,True,True,"細幅,不判"
ICE,1571949,2016-11-04,5.0,0.699,120000000.0,599000000.0,2016-11-01,2017-02-07,98,4.991667,0.001,0.698,False,False,True,"細幅,不判"
IDXX,874716,2015-06-16,2.0,0.301,47761000.0,94306000.0,2015-04-28,2015-07-30,93,1.97454,0.006,0.295,False,True,True,"細幅,不判"
ILMN,1110803,2024-06-25,1.028,0.012,159000000.0,159000000.0,2024-05-03,2024-08-07,96,1.0,0.012,0.0,False,True,True,"細幅,不判"
IP,51434,2014-07-02,1.014,0.006,435600000.0,432100000.0,2014-05-07,2014-08-06,91,0.991965,0.01,0.004,False,True,True,"細幅,不判"
IP,51434,2021-10-01,1.056,0.024,396800000.0,392600000.0,2021-07-30,2021-10-28,90,0.989415,0.028,0.005,False,True,True,"細幅,不判"
ISRG,1035267,2017-10-06,3.0,0.477,38400000.0,116800000.0,2017-07-21,2017-10-20,91,3.041667,0.006,0.483,False,False,True,"細幅,不判"
ISRG,1035267,2021-10-05,3.0,0.477,121600000.0,366800000.0,2021-07-21,2021-10-20,91,3.016447,0.002,0.479,False,False,True,"細幅,不判"
ITT,216228,2011-11-01,3.0156815440289506,0.479,186500000.0,92800000.0,2011-10-28,2012-02-29,124,0.497587,0.783,0.303,False,False,False,"細幅,不判"
J,52988,2024-09-30,1.197,0.078,125616000.0,125881000.0,2024-08-06,2024-11-25,111,1.00211,0.077,0.001,False,True,True,"細幅,不判"
J,52988,2025-05-16,1.01,0.004,122624000.0,120491000.0,2025-05-06,2025-08-05,91,0.982605,0.012,0.008,False,True,True,"細幅,不判"
JCI,833444,2012-10-01,2.011667672500503,0.304,470000000.0,463000000.0,2012-07-31,2012-11-16,108,0.985106,0.31,0.007,False,True,False,"細幅,不判"
JCI,833444,2016-09-06,0.955,-0.02,429000000.0,667400000.0,2016-07-29,2016-11-23,117,1.555711,0.212,0.192,False,True,True,"細幅,不判"
JEF,96223,2013-02-26,1.027,0.012,248922000.0,281587000.0,2013-02-25,2013-05-09,73,1.131226,0.042,0.054,False,True,True,"細幅,不判"
JEF,96223,2019-09-27,1.068,0.029,312527000.0,311897000.0,2019-07-09,2019-10-08,91,0.997984,0.029,0.001,False,True,True,"細幅,不判"
JEF,96223,2023-01-17,1.046,0.02,251239000.0,255571000.0,2022-10-07,2023-01-27,112,1.017243,0.012,0.007,False,True,True,"細幅,不判"
KLAC,319201,2026-06-12,10.0,1.0,131750000.0,1319633000.0,2026-04-30,2026-08-06,98,10.01619,0.001,1.001,True,False,True,屬於本公司(股數跟隨)
KMB,55785,2014-11-03,1.043,0.018,375900000.0,377400000.0,2014-10-21,2015-02-18,120,1.00399,0.017,0.002,False,True,True,"細幅,不判"
KO,21344,2012-08-13,2.0,0.301,2296000000.0,4587000000.0,2012-07-26,2012-10-25,91,1.997822,0.0,0.301,False,False,True,"細幅,不判"
KR,56873,2015-07-14,2.0,0.301,493000000.0,977000000.0,2015-03-31,2015-09-22,175,1.981744,0.004,0.297,False,True,True,"細幅,不判"
LDOS,1336920,2013-09-30,0.405,-0.393,341000000.0,84000000.0,2013-09-05,2013-12-10,96,0.246334,0.216,0.608,False,False,True,"細幅,不判"
LEN,920760,2017-11-09,1.017,0.007,232674000.0,237156000.0,2017-10-10,2018-01-25,107,1.019263,0.001,0.008,False,True,True,"細幅,不判"
LEN,920760,2025-01-21,1.033,0.014,270164000.0,272019000.0,2024-10-02,2025-01-23,113,1.006866,0.011,0.003,False,True,True,"細幅,不判"
LH,920148,2023-07-03,1.164,0.066,89000000.0,89000000.0,2023-05-04,2023-08-04,92,1.0,0.066,0.0,False,True,True,"細幅,不判"
LKQ,1065696,2012-09-19,2.0,0.301,150076000.0,301172000.0,2012-07-27,2012-10-26,91,2.006797,0.001,0.303,False,False,True,"細幅,不判"
LNT,352541,2016-05-20,2.0,0.301,113400000.0,227000000.0,2016-05-05,2016-08-02,89,2.001764,0.0,0.301,False,False,True,"細幅,不判"
LRCX,707549,2024-10-03,10.0,1.0,131995000.0,1304066000.0,2024-08-29,2024-10-28,60,9.879662,0.005,0.995,True,False,True,屬於本公司(股數跟隨)
LULU,1397187,2011-07-12,2.0,0.301,72455000.0,145228000.0,2011-06-10,2011-09-09,91,2.004389,0.001,0.302,False,False,True,"細幅,不判"
MA,1141391,2014-01-22,10.0,1.0,121000000.0,1205000000.0,2013-10-31,2014-02-14,106,9.958678,0.002,0.998,True,False,True,屬於本公司(股數跟隨)
MAR,1048286,2011-11-22,1.061,0.026,345400000.0,362300000.0,2011-10-07,2012-02-16,132,1.048929,0.005,0.021,False,True,True,"細幅,不判"
MAS,62996,2015-07-01,1.138,0.056,347000000.0,344000000.0,2015-04-28,2015-07-28,91,0.991354,0.06,0.004,False,True,True,"細幅,不判"
MCHP,827054,2021-10-13,2.0,0.301,282600000.0,565900000.0,2021-08-03,2021-11-04,93,2.002477,0.001,0.302,False,False,True,"細幅,不判"
MET,1099219,2017-08-07,1.122,0.05,1082100000.0,1071500000.0,2017-08-04,2017-11-06,94,0.990204,0.054,0.004,False,True,True,"細幅,不判"
MKC,63754,2020-12-01,2.0,0.301,134800000.0,269100000.0,2020-09-29,2021-01-28,121,1.996291,0.001,0.3,False,False,True,"細幅,不判"
MMM,66740,2024-04-01,1.196,0.078,553900000.0,555900000.0,2024-02-07,2024-04-30,83,1.003611,0.076,0.002,False,True,True,"細幅,不判"
MNST,865752,2012-02-16,2.0,0.301,93320000.0,186674000.0,2011-11-09,2012-02-29,112,2.000364,0.0,0.301,False,False,True,"細幅,不判"
MNST,865752,2016-11-10,3.0,0.477,194431000.0,599819000.0,2016-11-07,2017-03-01,114,3.084997,0.012,0.489,False,False,True,"細幅,不判"
MNST,865752,2023-03-28,2.0,0.301,533221000.0,1059069000.0,2023-03-01,2023-05-05,65,1.986173,0.003,0.298,False,True,True,"細幅,不判"
MPC,1510295,2015-06-11,2.0,0.301,275000000.0,544000000.0,2015-05-04,2015-08-03,91,1.978182,0.005,0.296,False,True,True,"細幅,不判"
MRK,310158,2021-06-03,1.048,0.02,2541000000.0,2540000000.0,2021-05-05,2021-08-09,96,0.999606,0.021,0.0,False,True,True,"細幅,不判"
MSI,68505,2011-01-04,0.24737167594310452,-0.607,2374400000.0,338100000.0,2010-11-02,2011-02-18,108,0.142394,0.24,0.847,False,False,True,"細幅,不判"
MUR,717423,2013-09-03,1.158,0.064,189944793.0,188337511.0,2013-08-06,2013-11-06,92,0.991538,0.067,0.004,False,True,True,"細幅,不判"
NBR,1163739,2020-04-23,0.02,-1.699,351617000.0,7051000.0,2020-02-25,2020-05-08,73,0.020053,0.001,1.698,True,False,True,屬於本公司(股數跟隨)
NDAQ,1120193,2022-08-29,3.0,0.477,165526709.0,496339086.0,2022-08-03,2022-11-02,91,2.998544,0.0,0.477,False,False,True,"細幅,不判"
NDSN,72331,2011-04-13,2.0,0.301,34439000.0,69002000.0,2011-03-11,2011-06-03,84,2.003601,0.001,0.302,False,False,True,"細幅,不判"
NEE,753308,2020-10-27,4.0,0.602,492200000.0,1968800000.0,2020-10-23,2021-02-12,112,4.0,0.0,0.602,False,False,True,"細幅,不判"
NI,1111711,2015-07-02,2.545,0.406,317390000.0,317477000.0,2015-04-30,2015-08-03,95,1.000274,0.406,0.0,False,True,False,"細幅,不判"
