horizon,ticker,t0,t0_price,peak_date,peak_price,multiple,maxdd_after_peak,today_vs_peak,chain_theme,宇宙分段,有帳目面板,t0_year,峰頂年
5y,AAOI,2021-08-31,7.33,2026-05-13,223.1,30.44,-0.657,-0.5366,optical_cpo,新增154,False,2021,2026
5y,DDS,2009-02-27,2.3945,2013-12-31,71.9867,30.06,-0.761,7.6946,,既有574,False,2009,2013
5y,INCY,2009-02-27,2.31,2014-02-12,68.83,29.8,-0.3738,0.7951,,既有574,True,2009,2014
5y,SEDG,2016-12-30,12.4,2021-11-15,368.33,29.7,-0.9716,-0.9113,solar,既有574,True,2016,2021
5y,ETSY,2016-02-29,7.94,2021-02-12,233.86,29.45,-0.8255,-0.6483,,既有574,True,2016,2021
5y,FNMA,2011-11-30,0.2,2014-03-10,5.82,29.1,-0.9399,0.0361,,既有574,False,2011,2014
5y,LULU,2009-02-27,2.86,2013-06-10,82.28,28.77,-0.5473,0.4582,,既有574,True,2009,2013
5y,FIX,2021-07-30,73.1292,2026-06-22,2065.4404,28.24,-0.2645,-0.2524,,既有574,True,2021,2026
5y,FMCC,2011-11-30,0.2,2014-03-10,5.52,27.6,-0.9366,-0.0018,,既有574,False,2011,2014
5y,REGN,2010-08-31,21.7745,2015-08-05,586.862,26.95,-0.5384,0.3891,biotech,既有574,True,2010,2015
5y,NXH,2020-03-31,4.99,2020-08-20,122.32,24.51,-0.9699,-0.9698,,新增154,False,2020,2020
5y,NFLX,2012-09-28,0.7777,2017-07-26,18.908,24.31,-0.1223,3.2739,streaming,新增154,True,2012,2017
5y,OVV,2020-03-31,2.3053,2022-06-07,55.5017,24.08,-0.4713,0.1996,,新增154,False,2020,2022
5y,ULTA,2009-02-27,5.538,2013-11-05,131.5,23.74,-0.3846,3.1563,,既有574,True,2009,2013
5y,ROKU,2017-10-31,20.38,2021-07-26,479.5,23.53,-0.9191,-0.6756,streaming,新增154,False,2017,2021
5y,URI,2009-03-31,4.0529,2014-03-31,91.3962,22.55,-0.5435,9.9304,,既有574,True,2009,2014
5y,MDB,2018-01-31,27.11,2021-11-16,585.03,21.58,-0.7652,-0.2578,,新增154,False,2018,2021
5y,ANF,2020-03-31,9.09,2024-06-12,192.34,21.16,-0.6589,-0.2705,,既有574,True,2020,2024
5y,VKTX,2020-03-31,4.68,2024-02-28,94.5,20.19,-0.7886,-0.6437,glp1,新增154,False,2020,2024
5y,WFRD,2021-01-29,6.593,2024-07-16,130.1733,19.74,-0.7056,-0.2739,oilfield_services,新增154,False,2021,2024
5y,PLTR,2020-09-30,9.5,2025-08-12,186.97,19.68,-0.4263,-0.0249,software_cloud,既有574,True,2020,2025
5y,UEC,2020-10-30,0.86,2025-10-15,16.74,19.47,-0.46,-0.3076,uranium_power,新增154,False,2020,2025
5y,RUN,2017-05-31,5.04,2021-01-08,96.5,19.15,-0.9413,-0.9133,solar,新增154,False,2017,2021
5y,PAYC,2014-07-31,12.4378,2019-07-10,237.9244,19.13,-0.5247,0.0007,,既有574,True,2014,2019
5y,TECK,2009-02-27,2.5991,2011-01-12,49.5829,19.08,-0.9525,0.347,copper,新增154,False,2009,2011
5y,RRC,2020-03-31,2.1879,2025-01-16,40.6889,18.6,-0.2207,0.0421,,既有574,True,2020,2025
5y,AAL,2009-06-30,2.2909,2014-06-20,41.9991,18.33,-0.7848,-0.6896,,既有574,True,2009,2014
5y,STX,2009-01-30,1.9428,2014-01-21,35.4784,18.26,-0.652,21.9148,,既有574,True,2009,2014
5y,BKNG,2009-01-30,2.6278,2014-01-22,47.5221,18.08,-0.1974,3.164,travel_cruise,既有574,True,2009,2014
5y,ASH,2009-02-27,2.2386,2014-01-15,40.119,17.92,-0.1171,0.8712,,既有574,False,2009,2014
5y,VRT,2020-03-31,8.6042,2025-01-23,153.2032,17.81,-0.6128,0.6611,,既有574,True,2020,2025
5y,OKLO,2021-08-31,9.83,2025-10-14,174.14,17.72,-0.7884,-0.7787,smr_newbuild,新增154,False,2021,2025
5y,SIG,2020-03-31,6.0611,2024-05-31,106.4147,17.56,-0.5712,-0.2431,,既有574,True,2020,2024
5y,WYNN,2009-03-31,11.905,2014-03-04,205.6044,17.27,-0.7981,-0.5562,,既有574,True,2009,2014
5y,BLDR,2020-03-31,12.23,2024-03-21,211.12,17.26,-0.6998,-0.6998,,既有574,True,2020,2024
5y,BC,2009-01-30,2.2239,2013-12-09,37.7369,16.97,-0.3772,0.9469,,既有574,False,2009,2013
5y,MU,2021-08-31,71.8676,2026-06-25,1213.3734,16.88,-0.391,-0.2264,memory,既有574,True,2021,2026
5y,SW,2009-03-31,1.1181,2014-03-04,18.3958,16.45,-0.2894,1.5006,,既有574,True,2009,2014
5y,UAA,2009-02-27,1.7988,2014-02-25,29.175,16.22,-0.8571,-0.831,,既有574,True,2009,2014
5y,BE,2021-08-31,21.42,2026-06-22,345.85,16.15,-0.5265,-0.3823,,新增154,False,2021,2026
5y,WDC,2021-08-31,47.5525,2026-06-18,746.23,15.69,-0.418,-0.3975,memory,既有574,True,2021,2026
5y,GNW,2009-02-27,1.21,2010-04-23,18.96,15.67,-0.9151,-0.4765,,既有574,True,2009,2010
5y,CZR,2015-01-30,3.965,2020-01-17,61.34,15.47,-0.8843,-0.5161,,既有574,True,2015,2020
5y,CRSP,2017-05-31,13.62,2021-01-14,210.04,15.42,-0.8511,-0.7295,,新增154,False,2017,2021
5y,UAL,2009-06-30,3.19,2014-01-22,49.18,15.42,-0.595,1.1215,,既有574,True,2009,2014
5y,RKLB,2021-05-28,9.98,2026-05-27,150.23,15.05,-0.6099,-0.5837,,新增154,False,2021,2026
5y,TWST,2018-10-31,14.0,2021-01-20,207.97,14.86,-0.9448,-0.365,,新增154,False,2018,2021
5y,VST,2021-05-28,14.6197,2025-09-22,217.0162,14.84,-0.3801,-0.3675,power_producers,既有574,True,2021,2025
5y,TPL,2020-03-31,39.0163,2024-11-22,571.043,14.64,-0.5222,-0.3567,,既有574,True,2020,2024
5y,GNRC,2017-05-31,34.65,2021-11-01,505.8,14.6,-0.8375,-0.6435,,既有574,True,2017,2021
5y,DXCM,2017-10-31,11.2425,2021-11-17,162.815,14.48,-0.6632,-0.4431,,既有574,True,2017,2021
5y,BIDU,2009-01-30,12.877,2014-01-08,181.79,14.12,-0.5788,-0.4782,china,新增154,False,2009,2014
5y,ZS,2018-05-31,26.26,2021-11-19,368.78,14.04,-0.7641,-0.5163,cyber,新增154,False,2018,2021
5y,LPX,2009-02-27,1.4095,2013-03-11,19.2986,13.69,-0.4315,2.537,,既有574,False,2009,2013
5y,PBF,2020-10-30,4.1701,2024-04-05,57.0603,13.68,-0.7604,0.3142,,新增154,False,2020,2024
5y,NBR,2020-04-30,14.73,2022-04-18,200.02,13.58,-0.877,-0.5345,,既有574,True,2020,2022
5y,NXE,2014-01-31,0.237,2017-02-13,3.202,13.51,-0.8298,2.1012,uranium_power,新增154,False,2014,2017
5y,DPZ,2009-03-31,5.1691,2014-03-17,69.3725,13.42,-0.1201,3.9585,,既有574,True,2009,2014
