window,arm,direction,bar,rsi_kind,style,params,n_periods,start,end,years,cagr_pct,maxdd_pct,exc_spy,t_spy,exc_ew9,t_ew9,exc_spy_h1,exc_spy_h2,exc_spy_pre13,exc_spy_post13,ann_turnover,pct_in_mkt,n_rebal,N,H,E,X
主窗,ey_lag,買便宜,1M,wilder,乙,"E=20,X=50,H=1",277,2003-07-01,2026-08-03,23.09,11.6122,-47.779,0.3611,0.215,0.5272,0.361,3.3921,-2.7182,5.206,-3.1511,3.85,90.97,191.0,,1.0,20.0,50.0
主窗,ey_lag,買便宜,1M,wilder,乙,"E=20,X=55,H=1",277,2003-07-01,2026-08-03,23.09,12.4715,-42.592,1.2204,0.638,1.3864,0.828,4.8578,-2.4553,6.9942,-2.9247,3.67,90.61,187.0,,1.0,20.0,55.0
主窗,ey_lag,買便宜,1M,wilder,乙,"E=20,X=60,H=1",277,2003-07-01,2026-08-03,23.09,12.6411,-46.0,1.39,0.752,1.556,0.957,4.0771,-1.3483,5.9179,-1.8854,3.53,92.42,186.0,,1.0,20.0,60.0
主窗,ey_lag,買便宜,1M,wilder,乙,"E=20,X=65,H=1",277,2003-07-01,2026-08-03,23.09,12.5095,-46.687,1.2584,0.742,1.4244,0.919,3.5523,-1.0876,5.1153,-1.5451,3.18,94.22,181.0,,1.0,20.0,65.0
主窗,ey_lag,買便宜,1M,wilder,乙,"E=20,X=70,H=1",277,2003-07-01,2026-08-03,23.09,12.2272,-45.702,0.976,0.586,1.1421,0.764,2.6218,-0.717,4.5797,-1.6514,2.86,95.31,176.0,,1.0,20.0,70.0
主窗,ey_lag,買便宜,1M,wilder,乙,"E=20,X=75,H=1",277,2003-07-01,2026-08-03,23.09,12.5829,-46.758,1.3318,0.799,1.4979,1.007,2.1478,0.4859,3.9408,-0.5764,2.63,97.11,165.0,,1.0,20.0,75.0
主窗,ey_lag,買便宜,1M,wilder,乙,"E=20,X=80,H=1",277,2003-07-01,2026-08-03,23.09,13.237,-46.709,1.9858,1.267,2.1519,1.507,2.602,1.3456,2.8873,1.3385,2.33,98.56,156.0,,1.0,20.0,80.0
主窗,ey_lag,買便宜,1M,wilder,乙,"E=20,X=85,H=1",277,2003-07-01,2026-08-03,23.09,12.7305,-45.862,1.4794,0.993,1.6455,1.24,2.6518,0.2681,2.8085,0.5084,1.99,98.56,150.0,,1.0,20.0,85.0
主窗,ey_lag,買便宜,1M,wilder,乙,"E=20,X=90,H=1",277,2003-07-01,2026-08-03,23.09,12.1243,-45.023,0.8732,0.598,1.0392,0.944,2.6546,-0.957,3.5,-1.0545,1.42,99.64,118.0,,1.0,20.0,90.0
主窗,ey_lag,買便宜,1M,wilder,乙,"E=20,X=95,H=1",277,2003-07-01,2026-08-03,23.09,12.1358,-44.964,0.8846,0.684,1.0507,1.245,2.6622,-0.9417,3.407,-0.9672,0.93,100.0,101.0,,1.0,20.0,95.0
主窗,ey_lag,買便宜,1M,wilder,乙,"E=25,X=50,H=1",277,2003-07-01,2026-08-03,23.09,9.8316,-49.916,-1.4195,-0.761,-1.2534,-0.682,0.7114,-3.6019,2.429,-4.255,4.07,92.06,208.0,,1.0,25.0,50.0
主窗,ey_lag,買便宜,1M,wilder,乙,"E=25,X=55,H=1",277,2003-07-01,2026-08-03,23.09,10.6202,-46.482,-0.6309,-0.34,-0.4649,-0.235,1.54,-2.8535,3.5852,-3.7155,3.81,92.06,204.0,,1.0,25.0,55.0
主窗,ey_lag,買便宜,1M,wilder,乙,"E=25,X=60,H=1",277,2003-07-01,2026-08-03,23.09,11.1164,-46.822,-0.1347,-0.066,0.0314,0.065,1.7377,-2.0568,3.7851,-3.0026,3.66,93.86,199.0,,1.0,25.0,60.0
主窗,ey_lag,買便宜,1M,wilder,乙,"E=25,X=65,H=1",277,2003-07-01,2026-08-03,23.09,12.401,-44.765,1.1498,0.707,1.3159,0.878,2.5014,-0.2442,4.2108,-1.0868,3.34,96.39,191.0,,1.0,25.0,65.0
主窗,ey_lag,買便宜,1M,wilder,乙,"E=25,X=70,H=1",277,2003-07-01,2026-08-03,23.09,11.9144,-44.183,0.6633,0.411,0.8293,0.584,1.7843,-0.4955,3.4629,-1.3922,3.01,97.11,183.0,,1.0,25.0,70.0
主窗,ey_lag,買便宜,1M,wilder,乙,"E=25,X=75,H=1",277,2003-07-01,2026-08-03,23.09,11.9925,-45.326,0.7414,0.462,0.9074,0.646,1.1875,0.2772,2.6988,-0.7014,2.74,97.83,177.0,,1.0,25.0,75.0
主窗,ey_lag,買便宜,1M,wilder,乙,"E=25,X=80,H=1",277,2003-07-01,2026-08-03,23.09,12.5623,-45.409,1.3112,0.86,1.4772,1.08,1.5851,1.0254,2.096,0.7411,2.36,98.56,162.0,,1.0,25.0,80.0
主窗,ey_lag,買便宜,1M,wilder,乙,"E=25,X=85,H=1",277,2003-07-01,2026-08-03,23.09,11.9588,-44.517,0.7076,0.487,0.8737,0.705,1.4633,-0.0761,1.9196,-0.1877,2.01,98.56,156.0,,1.0,25.0,85.0
主窗,ey_lag,買便宜,1M,wilder,乙,"E=25,X=90,H=1",277,2003-07-01,2026-08-03,23.09,11.5705,-43.69,0.3194,0.17,0.4854,0.42,1.6845,-1.0884,2.4521,-1.2573,1.42,99.64,123.0,,1.0,25.0,90.0
