window,arm,direction,bar,rsi_kind,style,n_cells,best_params,best_exc_spy,best_t_spy,nb_med,fam_med_exc,fam_p10_exc,pct_positive,pct_t_gt2,med_pre13,med_post13,pct_pos_pre13,pct_pos_post13,med_h1,med_h2,nbr_min_exc,verdict
主窗,ey_fwd_hp,買貴,1M,simple,乙,240,"E=30,X=85,H=3",-1.4132,-1.061,277.0,-3.5332,-5.3805,0.0,0.0,-1.0952,-5.3188,0.275,0.0,-1.1278,-5.9243,-1.7393,無峰
主窗,ey_fwd_hp,買貴,1M,simple,甲,9,"N=3,H=3",-1.4743,-0.813,277.0,-5.64,-7.4401,0.0,0.0,-3.5189,-7.3942,0.0,0.0,-3.256,-7.7267,-4.0113,無峰
主窗,ey_fwd_hp,買貴,1M,wilder,乙,240,"E=35,X=95,H=1",-1.1115,-1.214,277.0,-4.0993,-11.3098,0.0,0.0,-2.683,-5.3281,0.1292,0.0,-2.5788,-5.8421,-1.6703,無峰
主窗,ey_fwd_hp,買貴,1M,wilder,甲,9,"N=2,H=3",-4.1387,-2.009,277.0,-7.0132,-9.5651,0.0,0.0,-6.7012,-8.2028,0.0,0.0,-6.2107,-8.8882,-6.9684,無峰
主窗,ey_fwd_hp,買貴,3M,simple,乙,160,"E=35,X=70,H=2",-0.9307,-0.669,92.0,-2.864,-4.8324,0.0,0.0,-2.9615,-2.7475,0.0,0.0,-2.511,-3.022,-3.3032,無峰
主窗,ey_fwd_hp,買貴,3M,simple,甲,6,"N=3,H=1",-4.2415,-2.47,92.0,-4.8982,-6.1925,0.0,0.0,-2.5316,-6.8669,0.0,0.0,-3.4735,-6.0377,-5.4593,無峰
主窗,ey_fwd_hp,買貴,3M,wilder,乙,160,"E=40,X=95,H=1",-1.2986,-1.529,92.0,-3.2402,-6.9405,0.0,0.0,-3.513,-3.339,0.0125,0.0,-3.1008,-3.7058,-1.7636,無峰
主窗,ey_fwd_hp,買貴,3M,wilder,甲,6,"N=3,H=1",-4.2298,-2.514,92.0,-6.7288,-9.3315,0.0,0.0,-4.5427,-9.1148,0.0,0.0,-4.5103,-9.1427,-6.5412,無峰
主窗,ey_lag,買便宜,1M,simple,乙,240,"E=25,X=55,H=1",1.4665,0.944,277.0,0.0481,-0.9875,0.5167,0.0,2.522,-1.9477,0.95,0.0,1.5354,-1.6809,0.7725,孤峰
主窗,ey_lag,買便宜,1M,simple,甲,9,"N=2,H=2",1.863,1.124,277.0,0.2591,-0.7994,0.6667,0.0,1.5215,-0.5144,0.8889,0.3333,0.505,0.1512,0.2855,平原
主窗,ey_lag,買便宜,1M,wilder,乙,240,"E=20,X=80,H=1",1.9858,1.267,277.0,0.0913,-2.8018,0.5208,0.0,2.1084,-1.751,0.8167,0.0458,1.0739,-0.9505,1.3112,孤峰
主窗,ey_lag,買便宜,1M,wilder,甲,9,"N=2,H=3",3.4719,1.657,277.0,0.8481,-1.3349,0.6667,0.0,2.8114,-0.7022,0.8889,0.4444,1.5905,-0.0439,0.8481,平原
主窗,ey_lag,買便宜,3M,simple,乙,160,"E=20,X=75,H=1",1.3552,0.804,92.0,-0.0113,-0.6081,0.4938,0.0,1.3458,-1.0452,1.0,0.0938,1.5495,-1.5943,0.8687,孤峰
主窗,ey_lag,買便宜,3M,simple,甲,6,"N=2,H=1",4.8735,2.183,92.0,3.4416,2.3464,1.0,0.1667,4.1379,2.5694,1.0,1.0,4.1052,2.6582,2.5645,平原
主窗,ey_lag,買便宜,3M,wilder,乙,160,"E=10,X=90,H=2",2.4644,1.417,92.0,-0.0156,-2.2546,0.4875,0.0,1.6724,-1.3233,0.8187,0.1875,0.982,-1.6307,0.6971,孤峰
主窗,ey_lag,買便宜,3M,wilder,甲,6,"N=1,H=1",5.8158,1.821,92.0,2.9002,1.9223,1.0,0.0,4.9374,2.0001,1.0,1.0,4.2668,1.491,3.4237,平原
主窗,ey_lag,買貴,1M,simple,乙,240,"E=5,X=70,H=3",0.359,0.196,277.0,-2.7027,-4.4686,0.0167,0.0,-0.9878,-4.0442,0.3083,0.0,-0.8062,-4.7071,-2.3627,孤峰
主窗,ey_lag,買貴,1M,simple,甲,9,"N=2,H=2",-1.5155,-0.373,277.0,-3.0528,-4.2366,0.0,0.0,1.0197,-6.0699,0.7778,0.0,1.0191,-6.6464,-3.0528,無峰
主窗,ey_lag,買貴,1M,wilder,乙,240,"E=15,X=90,H=3",-0.6747,-0.229,277.0,-3.331,-5.5966,0.0,0.0,-3.4395,-3.2578,0.0375,0.0,-2.9139,-3.799,-2.9537,無峰
主窗,ey_lag,買貴,1M,wilder,甲,9,"N=3,H=3",-1.5123,-0.691,277.0,-3.1811,-6.5691,0.0,0.0,-1.8453,-4.0227,0.1111,0.0,-1.4943,-4.1776,-3.1811,無峰
主窗,ey_lag,買貴,3M,simple,乙,160,"E=15,X=85,H=2",-1.4607,-0.701,92.0,-3.3006,-4.5799,0.0,0.0,-4.2816,-2.6144,0.0,0.0,-3.8028,-2.6563,-2.3249,無峰
主窗,ey_lag,買貴,3M,simple,甲,6,"N=2,H=2",0.0076,0.377,92.0,-2.1823,-6.0499,0.1667,0.0,-1.1736,-3.6312,0.3333,0.0,-0.6573,-3.8215,-2.6692,孤峰
主窗,ey_lag,買貴,3M,wilder,乙,160,"E=10,X=95,H=1",-0.7275,-0.2,92.0,-2.6948,-5.636,0.0,0.0,-2.9275,-2.7527,0.0625,0.0,-2.5947,-2.9613,-4.1868,無峰
主窗,ey_lag,買貴,3M,wilder,甲,6,"N=1,H=2",-1.1871,0.04,92.0,-2.4804,-2.7752,0.0,0.0,-1.1298,-3.6087,0.3333,0.0,-0.4619,-4.3777,-2.4996,無峰
