weight_quality,weight_value,weight_momentum,weight_low_vol,cadence,total_return,annual_return,max_drawdown,win_rate,profit_loss_ratio,sortino,average_holding_days,turnover,annual_excess_QQQ,annual_excess_SPY,run_id,trades,closed_trades,trading_days,start,end,reused,seconds
0.0,0.0,0.6,0.4,monthly,3.276330550982732,0.13321812142214706,-0.3366030621557231,0.9856115107913669,272.8659090368036,0.7530682004897459,1465.8920863309352,0.0988361756604863,-0.05645154552479381,-0.00530156345997268,run-561d1751f24f5eb5,280,139,2929,2015-01-02,2026-08-26,True,0.045
0.0,0.0,0.6,0.4,quarterly,3.3104070763977376,0.1339924953294651,-0.3366547226839033,0.9782608695652174,518.9201999383315,0.7580117102791889,1476.4130434782608,0.07005033968196422,-0.05567717161747576,-0.004527189552654631,run-533c823e262a9e96,94,46,2929,2015-01-02,2026-08-26,True,0.0406
0.0,0.0,0.7,0.3,monthly,3.486795957835951,0.1379135618188294,-0.33766067945659595,0.9868421052631579,254.83445000164934,0.7549172016208964,1563.4868421052631,0.08906813616631487,-0.05175610512811146,-0.0006061230632903314,run-3e5b67cee3413ca9,280,152,2929,2015-01-02,2026-08-26,True,0.0553
0.0,0.0,0.7,0.3,quarterly,3.5173824698088048,0.13857911573847304,-0.33770572712710956,0.9782608695652174,528.7911676484107,0.758904031215303,1476.4130434782608,0.0634646658246244,-0.05109055120846784,5.943085635329304e-05,run-9713d4ddb8a693ec,94,46,2929,2015-01-02,2026-08-26,True,0.0238
0.0,0.0,0.8,0.2,monthly,3.700580811408061,0.14248131631491234,-0.33871652118699125,0.9876543209876543,241.388659337147,0.7529191607371593,1584.111111111111,0.07253277609845127,-0.04718835063202853,0.0039616314327926005,run-0372df97fa0e69e7,280,162,2929,2015-01-02,2026-08-26,True,0.0608
0.0,0.0,0.8,0.2,quarterly,3.724454476179803,0.14297955826151254,-0.33875072563873876,0.9782608695652174,538.4782752711122,0.7557370945939392,1476.4130434782608,0.052704343332650214,-0.04669010868542833,0.004459873379392798,run-15f96fe2a2f81622,94,46,2929,2015-01-02,2026-08-26,True,0.0529
0.0,0.0,0.9,0.1,monthly,3.91718048758986,0.14691952798135288,-0.339770595279976,0.9885057471264368,225.66470695054844,0.7479687459881454,1560.0804597701149,0.049095988093214284,-0.04275013896558799,0.00839984309923314,run-93da28cebc013ff9,280,174,2929,2015-01-02,2026-08-26,True,0.0283
0.0,0.0,0.9,0.1,quarterly,3.9309194362773043,0.14719497995877728,-0.33978976955317397,0.9782608695652174,547.9613758572731,0.7494481067603478,1476.4130434782608,0.0377597013081603,-0.04247468698816359,0.008675295076657541,run-b9a1489879b467ae,94,46,2929,2015-01-02,2026-08-26,True,0.0299
0.0,0.0,1.0,0.0,monthly,4.136049267433823,0.15122631488759208,-0.3408229096214356,,,0.7408027633394855,,0.018625282685997044,-0.03844335205934879,0.012706630005472341,run-3e43f229baa8b4f4,1,0,2929,2015-01-02,2026-08-26,True,0.0456
0.0,0.0,1.0,0.0,quarterly,4.136049267433823,0.15122631488759208,-0.3408229096214356,,,0.7408027633394855,,0.018625282685997044,-0.03844335205934879,0.012706630005472341,run-9b700e5e71cd1614,1,0,2929,2015-01-02,2026-08-26,True,0.0273
0.0,0.1,0.0,0.9,monthly,2.2205179644448285,0.10589760886462041,-0.33678799894719,0.9770114942528736,68.41406235251883,0.632815763640885,1413.1436781609195,0.05326189117916523,-0.08377205808232047,-0.032622076017499335,run-c3a8243bdf91c9cb,280,174,2929,2015-01-02,2026-08-26,True,0.0397
0.0,0.1,0.0,0.9,quarterly,2.2277704797860527,0.10611173062565227,-0.3364299855918279,0.9803921568627451,161.36268363373546,0.6349729228404621,1591.549019607843,0.041887228970504696,-0.0835579363212886,-0.032407954256467475,run-b3d6209cd283a504,94,51,2929,2015-01-02,2026-08-26,True,0.0339
0.0,0.1,0.1,0.8,monthly,2.407069458191509,0.11127021727591901,-0.3376694181043255,0.9809160305343512,78.1179633238678,0.6721760612227042,1473.171755725191,0.07316057467263365,-0.07839944967102186,-0.027249467606200728,run-fcea9259aafb0a3e,420,262,2929,2015-01-02,2026-08-26,True,0.034
0.0,0.1,0.1,0.8,quarterly,2.423850578706722,0.11174023430710922,-0.3373234632351332,0.9861111111111112,171.94681081560495,0.6764674875191561,1535.7222222222222,0.05510264639805546,-0.07792943263983165,-0.02677945057501052,run-a13cf0208bcf20f8,141,72,2929,2015-01-02,2026-08-26,True,0.029
0.0,0.1,0.2,0.7,monthly,2.599046452713289,0.1165253610273147,-0.33855005256564197,0.9766536964980544,111.13358180090253,0.7040570749414209,1509.6614785992217,0.09059986866776586,-0.07314430591962617,-0.021994323854805042,run-890696674baa607b,420,257,2929,2015-01-02,2026-08-26,True,0.0328
0.0,0.1,0.2,0.7,quarterly,2.623389718991776,0.1171733249511806,-0.3382122089159151,0.9857142857142858,215.69952612677687,0.709527255637689,1557.2571428571428,0.06573595269882744,-0.07249634199576027,-0.02134635993093914,run-d0e16975f629f0dc,141,70,2929,2015-01-02,2026-08-26,True,0.0269
0.0,0.1,0.3,0.6,monthly,2.7961722363139154,0.12166130542888864,-0.33942990523138306,0.9755102040816327,120.42115928101377,0.7281692997841812,1468.4448979591837,0.10271551489648344,-0.06800836151805223,-0.016858379453231098,run-62ef411f1dff183e,420,245,2929,2015-01-02,2026-08-26,True,0.0592
0.0,0.1,0.3,0.6,quarterly,2.82586127601181,0.12241361103196735,-0.3390962601264357,0.9852941176470589,252.80648125215296,0.7340555133884237,1551.3529411764705,0.07289403753404576,-0.06725605591497352,-0.01610607385015239,run-8ec966c50b62f2af,141,68,2929,2015-01-02,2026-08-26,True,0.0309
0.0,0.1,0.4,0.5,monthly,2.998129635888926,0.12667629506141997,-0.34030897898751444,0.9752066115702479,118.85356466481934,0.7449073342553899,1429.1322314049587,0.10913524075683263,-0.0629933718855209,-0.011843389820699768,run-939b8b03815f502f,420,242,2929,2015-01-02,2026-08-26,True,0.033
0.0,0.1,0.4,0.5,quarterly,3.030702086001667,0.12746336028718241,-0.33997565396392204,0.9848484848484849,288.99431097206224,0.750645741965626,1616.5,0.07653224886602483,-0.06220630665975846,-0.011056324594937328,run-77acb25509d5a645,141,66,2929,2015-01-02,2026-08-26,True,0.0308
0.0,0.1,0.5,0.4,monthly,3.204560265840467,0.13156855328221995,-0.341343725152773,0.9757085020242915,108.72454339091298,0.7551466580490632,1404.748987854251,0.10968695309685222,-0.05810111366472093,-0.006951131599899796,run-4707b2031db970cf,420,247,2929,2015-01-02,2026-08-26,True,0.0564
0.0,0.1,0.5,0.4,quarterly,3.237313965979415,0.13232453107028164,-0.34101691210022356,0.9848484848484849,317.1944093244615,0.7603273973609893,1645.0454545454545,0.07631921262529752,-0.05734513587665924,-0.0061951538118381055,run-316c8ba3efd3a137,141,66,2929,2015-01-02,2026-08-26,True,0.052
0.0,0.1,0.6,0.3,monthly,3.415064008632319,0.13633628163688805,-0.342397034909652,0.9757085020242915,96.40525448649952,0.7598866561538538,1399.1497975708503,0.10397961917941707,-0.05333338531005283,-0.0021834032452316965,run-4345ebfa0fb62dde,420,247,2929,2015-01-02,2026-08-26,True,0.0634
0.0,0.1,0.6,0.3,quarterly,3.4450655111811566,0.1369987993666415,-0.34206369983141316,0.9855072463768116,335.83036432656485,0.7642061169687607,1646.4202898550725,0.07235969569642908,-0.052670867580299374,-0.001520885515478243,run-d06eb59fd246301c,141,69,2929,2015-01-02,2026-08-26,True,0.033
0.0,0.1,0.7,0.2,monthly,3.6291987459109363,0.14097765917238902,-0.34344858083231744,0.977859778597786,71.75073849015658,0.7601830579936378,1454.6273062730627,0.09207760177462294,-0.04869200777455185,0.0024579742902692825,run-a13fc4bb8e7989a7,420,271,2929,2015-01-02,2026-08-26,True,0.0407
0.0,0.1,0.7,0.2,quarterly,3.6532941696595147,0.1414875821135273,-0.34310445815539903,0.9857142857142858,379.717224996643,0.7634160208700987,1655.1857142857143,0.0644144426719098,-0.048182084833413574,0.002967897231407557,run-db1e827f50140cd9,141,70,2929,2015-01-02,2026-08-26,True,0.0336
0.0,0.1,0.8,0.1,monthly,3.8464803581632543,0.14549084164607318,-0.3444983708063747,0.9785714285714285,49.99198995389129,0.7569884146859803,1436.3107142857143,0.07450951054107371,-0.0441788253008677,0.006971156763953434,run-06f0cd1153e72b9a,420,280,2929,2015-01-02,2026-08-26,True,0.0539
0.0,0.1,0.8,0.1,quarterly,3.861308591733823,0.14579205734966005,-0.3441392390158857,0.9857142857142858,501.24182637130815,0.7589535370416193,1646.2428571428572,0.05259776665855164,-0.04387760959728082,0.007272372467540311,run-9575b17d4afaa176,141,70,2929,2015-01-02,2026-08-26,True,0.0343
0.0,0.1,0.9,0.0,monthly,4.066383009693069,0.1498739606244095,-0.3455464126704908,0.978021978021978,30.31901406903698,0.7511098412523088,1303.521978021978,0.05386884689940088,-0.03979570632253138,0.011354275742289754,run-f8e6abd83923c342,280,182,2929,2015-01-02,2026-08-26,True,0.0374
0.0,0.1,0.9,0.0,quarterly,4.0683912499539385,0.14991318162828304,-0.34516809376162016,1.0,,0.7516582465544702,1609.2222222222222,0.03775085549489572,-0.03975648531865783,0.0113934967461633,run-5aa36af377d088cb,94,54,2929,2015-01-02,2026-08-26,True,0.0489
0.0,0.2,0.0,0.8,monthly,2.3328050327525633,0.10916443276345644,-0.3425668730491451,0.9764705882352941,70.9661583139175,0.6508300266551826,1488.0470588235294,0.07695689770947094,-0.08050523418348443,-0.0293552521186633,run-4ee572789583aac7,280,170,2929,2015-01-02,2026-08-26,True,0.0512
0.0,0.2,0.0,0.8,quarterly,2.3457813831945677,0.10953545213681881,-0.3419280427916489,0.9791666666666666,169.90477816478307,0.6543846536592619,1530.0833333333333,0.056660231414016944,-0.08013421481012206,-0.02898423274530093,run-c31e1f94ba66a29d,94,48,2929,2015-01-02,2026-08-26,True,0.0328
0.0,0.2,0.1,0.7,monthly,2.5233846741389288,0.11448552310527083,-0.34344394099269226,0.981203007518797,61.12290173957853,0.6869506965369384,1530.812030075188,0.0922459099990478,-0.07518414384167005,-0.024034161776848917,run-e2aadfe560526601,420,266,2929,2015-01-02,2026-08-26,True,0.0307
0.0,0.2,0.1,0.7,quarterly,2.544286794615093,0.11505301505055243,-0.3428115160011118,0.9864864864864865,147.89255753341234,0.6919608429552063,1473.027027027027,0.06695948014712706,-0.07461665189638844,-0.02346666983156731,run-be3eff9df946361b,141,74,2929,2015-01-02,2026-08-26,True,0.0312
0.0,0.2,0.2,0.6,monthly,2.7193224242519975,0.11968870367859608,-0.3443202356170092,0.9767441860465116,77.90781923429759,0.7156434477418476,1563.9031007751937,0.10483921196626325,-0.0699809632683448,-0.018830981203523667,run-ad01a2fa0578f558,420,258,2929,2015-01-02,2026-08-26,True,0.0325
0.0,0.2,0.2,0.6,quarterly,2.7460283984313634,0.12037838829100544,-0.34369028584347017,0.9855072463768116,194.63877034177253,0.7212905082559488,1455.9130434782608,0.07485315285974196,-0.06929127865593543,-0.018141296591114298,run-6bceb4cef4821d62,141,69,2929,2015-01-02,2026-08-26,True,0.024
0.0,0.2,0.3,0.5,monthly,2.9203229365917314,0.12477222889221129,-0.3451957597779184,0.9745762711864406,82.18096059844049,0.7367767959869324,1492.5042372881355,0.11340849096314402,-0.06489743805472958,-0.013747455989908453,run-299d82046cddf3e9,420,236,2929,2015-01-02,2026-08-26,True,0.1131
0.0,0.2,0.3,0.5,quarterly,2.950462253847099,0.12551385440219476,-0.3445643897781505,0.9846153846153847,242.32698104092228,0.7424582419237629,1469.2307692307693,0.07946124150835233,-0.06415581254474612,-0.013005830479924985,run-04531bce887845cf,141,65,2929,2015-01-02,2026-08-26,True,0.0601
