組,規則,剔走事件,全組中位,其餘中位
(b) 連同 218 四宗 E17–E20 共九宗,(c) 財務簡篩,E21,-0.0029,0.0019
(b) 連同 218 四宗 E17–E20 共九宗,(c) 財務簡篩,E22,-0.0029,-0.0066
(b) 連同 218 四宗 E17–E20 共九宗,(c) 財務簡篩,E23,-0.0029,0.0019
(b) 連同 218 四宗 E17–E20 共九宗,(c) 財務簡篩,E24,-0.0029,-0.0066
(b) 連同 218 四宗 E17–E20 共九宗,(c) 財務簡篩,E25,-0.0029,0.0019
(b) 連同 218 四宗 E17–E20 共九宗,(c) 財務簡篩,E17,-0.0029,-0.0066
(b) 連同 218 四宗 E17–E20 共九宗,(c) 財務簡篩,E18,-0.0029,0.0019
(b) 連同 218 四宗 E17–E20 共九宗,(c) 財務簡篩,E19,-0.0029,-0.0066
(b) 連同 218 四宗 E17–E20 共九宗,(c) 財務簡篩,E20,-0.0029,-0.0018
(b) 連同 218 四宗 E17–E20 共九宗,(d) 低波動,E21,-0.0334,-0.02
(b) 連同 218 四宗 E17–E20 共九宗,(d) 低波動,E22,-0.0334,-0.0451
(b) 連同 218 四宗 E17–E20 共九宗,(d) 低波動,E23,-0.0334,-0.02
(b) 連同 218 四宗 E17–E20 共九宗,(d) 低波動,E24,-0.0334,-0.02
(b) 連同 218 四宗 E17–E20 共九宗,(d) 低波動,E25,-0.0334,-0.0451
(b) 連同 218 四宗 E17–E20 共九宗,(d) 低波動,E17,-0.0334,-0.0317
(b) 連同 218 四宗 E17–E20 共九宗,(d) 低波動,E18,-0.0334,-0.02
(b) 連同 218 四宗 E17–E20 共九宗,(d) 低波動,E19,-0.0334,-0.0451
(b) 連同 218 四宗 E17–E20 共九宗,(d) 低波動,E20,-0.0334,-0.0451
(c) 連同 216 開發七宗共十六宗,(a) 清單有限暴露,E21,0.1306,0.1328
(c) 連同 216 開發七宗共十六宗,(a) 清單有限暴露,E22,0.1306,0.1328
(c) 連同 216 開發七宗共十六宗,(a) 清單有限暴露,E23,0.1306,0.1284
(c) 連同 216 開發七宗共十六宗,(a) 清單有限暴露,E24,0.1306,0.1284
(c) 連同 216 開發七宗共十六宗,(a) 清單有限暴露,E25,0.1306,0.1328
(c) 連同 216 開發七宗共十六宗,(a) 清單有限暴露,E17,0.1306,0.1328
(c) 連同 216 開發七宗共十六宗,(a) 清單有限暴露,E18,0.1306,0.1284
(c) 連同 216 開發七宗共十六宗,(a) 清單有限暴露,E19,0.1306,0.1328
(c) 連同 216 開發七宗共十六宗,(a) 清單有限暴露,E20,0.1306,0.1284
(c) 連同 216 開發七宗共十六宗,(a) 清單有限暴露,E01,0.1306,0.1328
(c) 連同 216 開發七宗共十六宗,(a) 清單有限暴露,E06,0.1306,0.1328
(c) 連同 216 開發七宗共十六宗,(a) 清單有限暴露,E07,0.1306,0.1284
(c) 連同 216 開發七宗共十六宗,(a) 清單有限暴露,E08,0.1306,0.1328
(c) 連同 216 開發七宗共十六宗,(a) 清單有限暴露,E12,0.1306,0.1284
(c) 連同 216 開發七宗共十六宗,(a) 清單有限暴露,E13,0.1306,0.1284
(c) 連同 216 開發七宗共十六宗,(a) 清單有限暴露,E14,0.1306,0.1284
(c) 連同 216 開發七宗共十六宗,(b) 跌得最少,E21,0.0114,0.0369
(c) 連同 216 開發七宗共十六宗,(b) 跌得最少,E22,0.0114,0.0369
(c) 連同 216 開發七宗共十六宗,(b) 跌得最少,E23,0.0114,-0.0142
(c) 連同 216 開發七宗共十六宗,(b) 跌得最少,E24,0.0114,-0.0142
(c) 連同 216 開發七宗共十六宗,(b) 跌得最少,E25,0.0114,0.0369
(c) 連同 216 開發七宗共十六宗,(b) 跌得最少,E17,0.0114,0.0369
(c) 連同 216 開發七宗共十六宗,(b) 跌得最少,E18,0.0114,0.0369
(c) 連同 216 開發七宗共十六宗,(b) 跌得最少,E19,0.0114,-0.0142
(c) 連同 216 開發七宗共十六宗,(b) 跌得最少,E20,0.0114,-0.0142
(c) 連同 216 開發七宗共十六宗,(b) 跌得最少,E01,0.0114,-0.0142
(c) 連同 216 開發七宗共十六宗,(b) 跌得最少,E06,0.0114,0.0369
(c) 連同 216 開發七宗共十六宗,(b) 跌得最少,E07,0.0114,0.0369
(c) 連同 216 開發七宗共十六宗,(b) 跌得最少,E08,0.0114,-0.0142
(c) 連同 216 開發七宗共十六宗,(b) 跌得最少,E12,0.0114,0.0369
(c) 連同 216 開發七宗共十六宗,(b) 跌得最少,E13,0.0114,-0.0142
(c) 連同 216 開發七宗共十六宗,(b) 跌得最少,E14,0.0114,-0.0142
(c) 連同 216 開發七宗共十六宗,(c) 財務簡篩,E21,-0.0083,-0.0063
(c) 連同 216 開發七宗共十六宗,(c) 財務簡篩,E22,-0.0083,-0.0102
(c) 連同 216 開發七宗共十六宗,(c) 財務簡篩,E23,-0.0083,-0.0063
(c) 連同 216 開發七宗共十六宗,(c) 財務簡篩,E24,-0.0083,-0.0102
(c) 連同 216 開發七宗共十六宗,(c) 財務簡篩,E25,-0.0083,-0.0063
(c) 連同 216 開發七宗共十六宗,(c) 財務簡篩,E17,-0.0083,-0.0102
(c) 連同 216 開發七宗共十六宗,(c) 財務簡篩,E18,-0.0083,-0.0063
(c) 連同 216 開發七宗共十六宗,(c) 財務簡篩,E19,-0.0083,-0.0102
(c) 連同 216 開發七宗共十六宗,(c) 財務簡篩,E20,-0.0083,-0.0102
(c) 連同 216 開發七宗共十六宗,(c) 財務簡篩,E01,-0.0083,-0.0102
(c) 連同 216 開發七宗共十六宗,(c) 財務簡篩,E06,-0.0083,-0.0102
(c) 連同 216 開發七宗共十六宗,(c) 財務簡篩,E07,-0.0083,-0.0063
(c) 連同 216 開發七宗共十六宗,(c) 財務簡篩,E08,-0.0083,-0.0063
(c) 連同 216 開發七宗共十六宗,(c) 財務簡篩,E12,-0.0083,-0.0063
(c) 連同 216 開發七宗共十六宗,(c) 財務簡篩,E13,-0.0083,-0.0102
(c) 連同 216 開發七宗共十六宗,(c) 財務簡篩,E14,-0.0083,-0.0063
(c) 連同 216 開發七宗共十六宗,(d) 低波動,E21,-0.0301,-0.0268
(c) 連同 216 開發七宗共十六宗,(d) 低波動,E22,-0.0301,-0.0334
(c) 連同 216 開發七宗共十六宗,(d) 低波動,E23,-0.0301,-0.0268
(c) 連同 216 開發七宗共十六宗,(d) 低波動,E24,-0.0301,-0.0268
(c) 連同 216 開發七宗共十六宗,(d) 低波動,E25,-0.0301,-0.0334
(c) 連同 216 開發七宗共十六宗,(d) 低波動,E17,-0.0301,-0.0268
(c) 連同 216 開發七宗共十六宗,(d) 低波動,E18,-0.0301,-0.0268
(c) 連同 216 開發七宗共十六宗,(d) 低波動,E19,-0.0301,-0.0334
(c) 連同 216 開發七宗共十六宗,(d) 低波動,E20,-0.0301,-0.0334
(c) 連同 216 開發七宗共十六宗,(d) 低波動,E01,-0.0301,-0.0334
(c) 連同 216 開發七宗共十六宗,(d) 低波動,E06,-0.0301,-0.0334
(c) 連同 216 開發七宗共十六宗,(d) 低波動,E07,-0.0301,-0.0268
(c) 連同 216 開發七宗共十六宗,(d) 低波動,E08,-0.0301,-0.0334
(c) 連同 216 開發七宗共十六宗,(d) 低波動,E12,-0.0301,-0.0268
(c) 連同 216 開發七宗共十六宗,(d) 低波動,E13,-0.0301,-0.0334
(c) 連同 216 開發七宗共十六宗,(d) 低波動,E14,-0.0301,-0.0268
