bar,rsi_kind,style,params,pair,arm_a,arm_b,agreement,jaccard,a_cagr,b_cagr,a_exc_spy,b_exc_spy,diff_exc_spy,a_exc_ew9,b_exc_ew9,diff_exc_ew9,a_t_spy,b_t_spy,N,H,E,X
1D,wilder,乙,"E=20,X=65,H=1",mult|price,mult,price,0.9212,0.7957,4.4605,6.0465,-4.1182,-2.5322,-1.586,-4.9955,-3.4094,-1.5861,-1.675,-0.929,,1,20.0,65.0
1D,wilder,乙,"E=20,X=70,H=1",mult|price,mult,price,0.9165,0.7981,4.4661,5.3722,-4.1126,-3.2065,-0.9061,-4.9898,-4.0837,-0.9061,-1.718,-1.196,,1,20.0,70.0
1D,wilder,乙,"E=20,X=75,H=1",mult|price,mult,price,0.9109,0.8024,6.0974,7.4826,-2.4813,-1.0961,-1.3852,-3.3586,-1.9733,-1.3853,-1.061,-0.354,,1,20.0,75.0
1D,wilder,乙,"E=20,X=80,H=1",mult|price,mult,price,0.9063,0.8111,6.5295,7.2817,-2.0492,-1.297,-0.7522,-2.9264,-2.1742,-0.7522,-0.928,-0.458,,1,20.0,80.0
1D,wilder,乙,"E=20,X=85,H=1",mult|price,mult,price,0.9006,0.8218,8.0564,8.0019,-0.5223,-0.5768,0.0545,-1.3995,-1.454,0.0545,-0.234,-0.192,,1,20.0,85.0
1D,wilder,乙,"E=20,X=90,H=1",mult|price,mult,price,0.8951,0.8363,8.93,8.9575,0.3513,0.3788,-0.0275,-0.5259,-0.4984,-0.0275,0.262,0.276,,1,20.0,90.0
1D,wilder,乙,"E=20,X=95,H=1",mult|price,mult,price,0.8983,0.8684,8.5243,8.3963,-0.0544,-0.1824,0.128,-0.9316,-1.0596,0.128,0.019,-0.089,,1,20.0,95.0
1D,wilder,乙,"E=25,X=50,H=1",mult|price,mult,price,0.9253,0.8051,4.5209,5.0756,-4.0578,-3.5031,-0.5547,-4.9351,-4.3804,-0.5547,-1.681,-1.302,,1,25.0,50.0
1D,wilder,乙,"E=25,X=55,H=1",mult|price,mult,price,0.9227,0.8057,5.2873,5.596,-3.2914,-2.9827,-0.3087,-4.1686,-3.8599,-0.3087,-1.387,-1.101,,1,25.0,55.0
1D,wilder,乙,"E=25,X=60,H=1",mult|price,mult,price,0.921,0.8104,4.4253,5.3631,-4.1534,-3.2156,-0.9378,-5.0306,-4.0928,-0.9378,-1.747,-1.198,,1,25.0,60.0
1D,wilder,乙,"E=25,X=65,H=1",mult|price,mult,price,0.918,0.8131,4.3039,4.6081,-4.2748,-3.9706,-0.3042,-5.152,-4.8478,-0.3042,-1.859,-1.507,,1,25.0,65.0
1D,wilder,乙,"E=25,X=70,H=1",mult|price,mult,price,0.9143,0.816,4.6843,4.2651,-3.8944,-4.3136,0.4192,-4.7717,-5.1908,0.4191,-1.726,-1.669,,1,25.0,70.0
1D,wilder,乙,"E=25,X=75,H=1",mult|price,mult,price,0.9094,0.8201,6.9133,6.379,-1.6654,-2.1997,0.5343,-2.5426,-3.0769,0.5343,-0.743,-0.838,,1,25.0,75.0
1D,wilder,乙,"E=25,X=80,H=1",mult|price,mult,price,0.907,0.8301,7.3143,7.0736,-1.2644,-1.5051,0.2407,-2.1416,-2.3824,0.2408,-0.588,-0.59,,1,25.0,80.0
1D,wilder,乙,"E=25,X=85,H=1",mult|price,mult,price,0.9042,0.842,8.7901,8.2653,0.2114,-0.3134,0.5248,-0.6658,-1.1907,0.5249,0.158,-0.082,,1,25.0,85.0
1D,wilder,乙,"E=25,X=90,H=1",mult|price,mult,price,0.9023,0.8576,8.912,8.6834,0.3333,0.1047,0.2286,-0.5439,-0.7725,0.2286,0.255,0.112,,1,25.0,90.0
1D,wilder,乙,"E=25,X=95,H=1",mult|price,mult,price,0.9097,0.8882,8.7142,8.0382,0.1355,-0.5405,0.676,-0.7417,-1.4177,0.676,0.137,-0.381,,1,25.0,95.0
1D,wilder,乙,"E=30,X=50,H=1",mult|price,mult,price,0.9238,0.8235,4.233,6.1792,-4.3457,-2.3995,-1.9462,-5.2229,-3.2767,-1.9462,-1.657,-0.903,,1,30.0,50.0
1D,wilder,乙,"E=30,X=55,H=1",mult|price,mult,price,0.922,0.825,4.8655,6.4531,-3.7132,-2.1256,-1.5876,-4.5904,-3.0028,-1.5876,-1.444,-0.8,,1,30.0,55.0
1D,wilder,乙,"E=30,X=60,H=1",mult|price,mult,price,0.9208,0.8294,4.1843,5.8263,-4.3944,-2.7524,-1.642,-5.2716,-3.6296,-1.642,-1.732,-1.053,,1,30.0,60.0
1D,wilder,乙,"E=30,X=65,H=1",mult|price,mult,price,0.9191,0.8331,4.954,6.5465,-3.6247,-2.0322,-1.5925,-4.5019,-2.9094,-1.5925,-1.478,-0.788,,1,30.0,65.0
1D,wilder,乙,"E=30,X=70,H=1",mult|price,mult,price,0.9174,0.8385,4.9331,5.9538,-3.6456,-2.6249,-1.0207,-4.5229,-3.5021,-1.0208,-1.532,-1.041,,1,30.0,70.0
1D,wilder,乙,"E=30,X=75,H=1",mult|price,mult,price,0.9147,0.8441,6.9829,7.5152,-1.5958,-1.0635,-0.5323,-2.473,-1.9407,-0.5323,-0.65,-0.381,,1,30.0,75.0
1D,wilder,乙,"E=30,X=80,H=1",mult|price,mult,price,0.9138,0.8539,6.7943,7.7305,-1.7844,-0.8482,-0.9362,-2.6616,-1.7254,-0.9362,-0.814,-0.314,,1,30.0,80.0
1D,wilder,乙,"E=30,X=85,H=1",mult|price,mult,price,0.9126,0.865,8.8481,9.0517,0.2694,0.473,-0.2036,-0.6078,-0.4042,-0.2036,0.209,0.312,,1,30.0,85.0
1D,wilder,乙,"E=30,X=90,H=1",mult|price,mult,price,0.913,0.8792,9.0522,8.7378,0.4735,0.1591,0.3144,-0.4037,-0.7182,0.3145,0.335,0.14,,1,30.0,90.0
1D,wilder,乙,"E=30,X=95,H=1",mult|price,mult,price,0.9239,0.9085,8.6603,7.9242,0.0816,-0.6545,0.7361,-0.7957,-1.5317,0.736,0.084,-0.492,,1,30.0,95.0
1D,wilder,乙,"E=35,X=50,H=1",mult|price,mult,price,0.9259,0.8406,3.0406,4.1408,-5.5381,-4.4379,-1.1002,-6.4154,-5.3151,-1.1003,-2.226,-1.775,,1,35.0,50.0
1D,wilder,乙,"E=35,X=55,H=1",mult|price,mult,price,0.9248,0.8428,3.3947,4.2037,-5.184,-4.375,-0.809,-6.0612,-5.2522,-0.809,-2.124,-1.763,,1,35.0,55.0
1D,wilder,乙,"E=35,X=60,H=1",mult|price,mult,price,0.9241,0.8473,2.2692,3.0322,-6.3095,-5.5465,-0.763,-7.1867,-6.4237,-0.763,-2.653,-2.283,,1,35.0,60.0
1D,wilder,乙,"E=35,X=65,H=1",mult|price,mult,price,0.9224,0.85,3.1606,4.1333,-5.4181,-4.4454,-0.9727,-6.2954,-5.3226,-0.9728,-2.338,-1.871,,1,35.0,65.0
1D,wilder,乙,"E=35,X=70,H=1",mult|price,mult,price,0.9213,0.8552,3.36,3.9804,-5.2187,-4.5983,-0.6204,-6.096,-5.4755,-0.6205,-2.328,-1.978,,1,35.0,70.0
1D,wilder,乙,"E=35,X=75,H=1",mult|price,mult,price,0.9189,0.8601,5.1514,5.1748,-3.4273,-3.4039,-0.0234,-4.3046,-4.2811,-0.0235,-1.619,-1.515,,1,35.0,75.0
1D,wilder,乙,"E=35,X=80,H=1",mult|price,mult,price,0.9189,0.8694,5.2679,5.1697,-3.3108,-3.409,0.0982,-4.188,-4.2862,0.0982,-1.693,-1.647,,1,35.0,80.0
1D,wilder,乙,"E=35,X=85,H=1",mult|price,mult,price,0.9192,0.8804,7.4095,6.9071,-1.1692,-1.6716,0.5024,-2.0464,-2.5488,0.5024,-0.623,-0.869,,1,35.0,85.0
1D,wilder,乙,"E=35,X=90,H=1",mult|price,mult,price,0.9197,0.8924,8.4908,7.6429,-0.0879,-0.9358,0.8479,-0.9652,-1.813,0.8478,-0.043,-0.571,,1,35.0,90.0
1D,wilder,乙,"E=35,X=95,H=1",mult|price,mult,price,0.9328,0.9209,8.5612,7.8554,-0.0175,-0.7233,0.7058,-0.8948,-1.6006,0.7058,-0.007,-0.567,,1,35.0,95.0
1D,wilder,乙,"E=40,X=50,H=1",mult|price,mult,price,0.9291,0.8564,2.7884,2.5799,-5.7903,-5.9988,0.2085,-6.6675,-6.876,0.2085,-2.456,-2.526,,1,40.0,50.0
1D,wilder,乙,"E=40,X=55,H=1",mult|price,mult,price,0.9279,0.8579,3.24,2.7974,-5.3387,-5.7813,0.4426,-6.2159,-6.6586,0.4427,-2.311,-2.469,,1,40.0,55.0
1D,wilder,乙,"E=40,X=60,H=1",mult|price,mult,price,0.9275,0.862,2.0688,2.2516,-6.5099,-6.3271,-0.1828,-7.3871,-7.2043,-0.1828,-2.886,-2.754,,1,40.0,60.0
1D,wilder,乙,"E=40,X=65,H=1",mult|price,mult,price,0.9262,0.8647,2.7796,2.9706,-5.7991,-5.6081,-0.191,-6.6764,-6.4854,-0.191,-2.632,-2.492,,1,40.0,65.0
1D,wilder,乙,"E=40,X=70,H=1",mult|price,mult,price,0.9252,0.8692,3.1073,3.4021,-5.4714,-5.1766,-0.2948,-6.3487,-6.0538,-0.2949,-2.56,-2.338,,1,40.0,70.0
1D,wilder,乙,"E=40,X=75,H=1",mult|price,mult,price,0.9235,0.8739,5.041,4.7868,-3.5377,-3.7919,0.2542,-4.4149,-4.6692,0.2543,-1.753,-1.772,,1,40.0,75.0
1D,wilder,乙,"E=40,X=80,H=1",mult|price,mult,price,0.9239,0.8822,5.0191,5.1356,-3.5596,-3.4431,-0.1165,-4.4368,-4.3204,-0.1164,-1.93,-1.742,,1,40.0,80.0
1D,wilder,乙,"E=40,X=85,H=1",mult|price,mult,price,0.9252,0.893,6.9021,6.4155,-1.6766,-2.1632,0.4866,-2.5538,-3.0404,0.4866,-0.981,-1.187,,1,40.0,85.0
1D,wilder,乙,"E=40,X=90,H=1",mult|price,mult,price,0.927,0.9047,7.922,7.4597,-0.6567,-1.119,0.4623,-1.5339,-1.9962,0.4623,-0.435,-0.709,,1,40.0,90.0
1D,wilder,乙,"E=40,X=95,H=1",mult|price,mult,price,0.9412,0.9319,8.3603,7.9528,-0.2184,-0.6259,0.4075,-1.0956,-1.5031,0.4075,-0.17,-0.5,,1,40.0,95.0
1D,wilder,甲,"N=1,H=2",mult|price,mult,price,0.9603,0.6968,5.2019,2.4764,-3.3768,-6.1023,2.7255,-4.254,-6.9795,2.7255,-0.644,-1.239,1.0,2,,
1D,wilder,甲,"N=2,H=2",mult|price,mult,price,0.9357,0.7473,4.5336,4.788,-4.0451,-3.7907,-0.2544,-4.9223,-4.6679,-0.2544,-1.494,-1.194,2.0,2,,
1D,wilder,甲,"N=3,H=2",mult|price,mult,price,0.9157,0.7754,5.0018,4.7652,-3.5769,-3.8135,0.2366,-4.4541,-4.6907,0.2366,-1.73,-1.658,3.0,2,,
1D,wilder,乙,"E=5,X=50,H=2",mult|price,mult,price,0.9484,0.6474,6.0102,7.8087,-2.5685,-0.77,-1.7985,-3.4457,-1.6472,-1.7985,-0.915,-0.346,,2,5.0,50.0
1D,wilder,乙,"E=5,X=55,H=2",mult|price,mult,price,0.9467,0.6525,7.0604,7.8264,-1.5183,-0.7523,-0.766,-2.3955,-1.6295,-0.766,-0.582,-0.324,,2,5.0,55.0
1D,wilder,乙,"E=5,X=60,H=2",mult|price,mult,price,0.9439,0.6519,6.9126,7.1427,-1.6661,-1.436,-0.2301,-2.5433,-2.3132,-0.2301,-0.628,-0.533,,2,5.0,60.0
1D,wilder,乙,"E=5,X=65,H=2",mult|price,mult,price,0.9404,0.6554,8.0944,7.54,-0.4843,-1.0387,0.5544,-1.3615,-1.916,0.5545,-0.259,-0.41,,2,5.0,65.0
1D,wilder,乙,"E=5,X=70,H=2",mult|price,mult,price,0.9346,0.6521,9.1692,7.8433,0.5905,-0.7354,1.3259,-0.2867,-1.6126,1.3259,0.116,-0.305,,2,5.0,70.0
1D,wilder,乙,"E=5,X=75,H=2",mult|price,mult,price,0.9256,0.6505,6.3969,7.9166,-2.1818,-0.6621,-1.5197,-3.059,-1.5393,-1.5197,-0.778,-0.236,,2,5.0,75.0
1D,wilder,乙,"E=5,X=80,H=2",mult|price,mult,price,0.9187,0.6638,5.7145,6.7981,-2.8642,-1.7806,-1.0836,-3.7414,-2.6579,-1.0835,-1.037,-0.604,,2,5.0,80.0
1D,wilder,乙,"E=5,X=85,H=2",mult|price,mult,price,0.9086,0.6785,6.7971,5.4104,-1.7817,-3.1683,1.3866,-2.6589,-4.0456,1.3867,-0.653,-1.102,,2,5.0,85.0
1D,wilder,乙,"E=5,X=90,H=2",mult|price,mult,price,0.8857,0.6786,7.185,7.0109,-1.3937,-1.5678,0.1741,-2.2709,-2.4451,0.1742,-0.53,-0.56,,2,5.0,90.0
1D,wilder,乙,"E=5,X=95,H=2",mult|price,mult,price,0.8532,0.7089,9.8272,8.4156,1.2485,-0.1631,1.4116,0.3713,-1.0404,1.4117,0.782,0.036,,2,5.0,95.0
1D,wilder,乙,"E=10,X=50,H=2",mult|price,mult,price,0.9318,0.7206,5.7413,6.405,-2.8374,-2.1737,-0.6637,-3.7146,-3.0509,-0.6637,-1.022,-0.737,,2,10.0,50.0
1D,wilder,乙,"E=10,X=55,H=2",mult|price,mult,price,0.9306,0.7258,5.7703,7.5989,-2.8084,-0.9798,-1.8286,-3.6857,-1.857,-1.8287,-1.025,-0.34,,2,10.0,55.0
1D,wilder,乙,"E=10,X=60,H=2",mult|price,mult,price,0.9274,0.7267,6.1165,7.1123,-2.4622,-1.4664,-0.9958,-3.3394,-2.3436,-0.9958,-0.911,-0.498,,2,10.0,60.0
1D,wilder,乙,"E=10,X=65,H=2",mult|price,mult,price,0.9236,0.7288,6.4104,6.9697,-2.1683,-1.609,-0.5593,-3.0455,-2.4862,-0.5593,-0.816,-0.528,,2,10.0,65.0
1D,wilder,乙,"E=10,X=70,H=2",mult|price,mult,price,0.9193,0.7326,5.9016,6.6776,-2.6771,-1.9011,-0.776,-3.5543,-2.7784,-0.7759,-1.005,-0.618,,2,10.0,70.0
1D,wilder,乙,"E=10,X=75,H=2",mult|price,mult,price,0.9118,0.7332,4.9984,6.886,-3.5803,-1.6927,-1.8876,-4.4575,-2.57,-1.8875,-1.37,-0.525,,2,10.0,75.0
1D,wilder,乙,"E=10,X=80,H=2",mult|price,mult,price,0.9054,0.7426,5.8656,6.5005,-2.7131,-2.0782,-0.6349,-3.5903,-2.9554,-0.6349,-1.09,-0.703,,2,10.0,80.0
1D,wilder,乙,"E=10,X=85,H=2",mult|price,mult,price,0.8964,0.7543,6.9748,5.6719,-1.6039,-2.9068,1.3029,-2.4811,-3.784,1.3029,-0.669,-1.06,,2,10.0,85.0
1D,wilder,乙,"E=10,X=90,H=2",mult|price,mult,price,0.8796,0.7606,8.3361,6.5912,-0.2426,-1.9875,1.7449,-1.1198,-2.8647,1.7449,-0.081,-0.816,,2,10.0,90.0
1D,wilder,乙,"E=10,X=95,H=2",mult|price,mult,price,0.866,0.796,9.0555,7.1192,0.4768,-1.4595,1.9363,-0.4004,-2.3367,1.9363,0.388,-0.771,,2,10.0,95.0
1D,wilder,乙,"E=15,X=50,H=2",mult|price,mult,price,0.9259,0.7647,6.9996,6.742,-1.5791,-1.8367,0.2576,-2.4564,-2.7139,0.2575,-0.613,-0.641,,2,15.0,50.0
1D,wilder,乙,"E=15,X=55,H=2",mult|price,mult,price,0.9247,0.7684,6.666,6.8338,-1.9127,-1.7449,-0.1678,-2.79,-2.6221,-0.1679,-0.754,-0.606,,2,15.0,55.0
1D,wilder,乙,"E=15,X=60,H=2",mult|price,mult,price,0.9215,0.7682,7.4325,6.8506,-1.1462,-1.7281,0.5819,-2.0234,-2.6054,0.582,-0.461,-0.607,,2,15.0,60.0
1D,wilder,乙,"E=15,X=65,H=2",mult|price,mult,price,0.9194,0.7734,8.0007,6.8237,-0.578,-1.755,1.177,-1.4552,-2.6322,1.177,-0.245,-0.601,,2,15.0,65.0
1D,wilder,乙,"E=15,X=70,H=2",mult|price,mult,price,0.9153,0.7758,6.7783,6.2998,-1.8004,-2.2789,0.4785,-2.6776,-3.1561,0.4785,-0.722,-0.787,,2,15.0,70.0
1D,wilder,乙,"E=15,X=75,H=2",mult|price,mult,price,0.909,0.7777,7.0842,7.7237,-1.4945,-0.855,-0.6395,-2.3717,-1.7322,-0.6395,-0.622,-0.25,,2,15.0,75.0
1D,wilder,乙,"E=15,X=80,H=2",mult|price,mult,price,0.9027,0.7826,6.9898,7.0021,-1.5889,-1.5766,-0.0123,-2.4662,-2.4538,-0.0124,-0.698,-0.546,,2,15.0,80.0
1D,wilder,乙,"E=15,X=85,H=2",mult|price,mult,price,0.8963,0.7936,8.6568,7.9522,0.0781,-0.6265,0.7046,-0.7991,-1.5038,0.7047,0.051,-0.177,,2,15.0,85.0
1D,wilder,乙,"E=15,X=90,H=2",mult|price,mult,price,0.8854,0.8046,9.2272,8.2569,0.6485,-0.3218,0.9703,-0.2287,-1.199,0.9703,0.401,-0.082,,2,15.0,90.0
1D,wilder,乙,"E=15,X=95,H=2",mult|price,mult,price,0.883,0.8395,8.4548,8.1838,-0.1239,-0.3949,0.271,-1.0011,-1.2721,0.271,0.009,-0.194,,2,15.0,95.0
1D,wilder,乙,"E=20,X=50,H=2",mult|price,mult,price,0.9224,0.7929,6.4679,7.7447,-2.1108,-0.834,-1.2768,-2.988,-1.7112,-1.2768,-0.84,-0.307,,2,20.0,50.0
1D,wilder,乙,"E=20,X=55,H=2",mult|price,mult,price,0.922,0.7971,6.8668,8.0211,-1.7119,-0.5576,-1.1543,-2.5892,-1.4349,-1.1543,-0.691,-0.195,,2,20.0,55.0
1D,wilder,乙,"E=20,X=60,H=2",mult|price,mult,price,0.9199,0.7989,6.9978,7.4294,-1.5809,-1.1493,-0.4316,-2.4582,-2.0266,-0.4316,-0.653,-0.423,,2,20.0,60.0
1D,wilder,乙,"E=20,X=65,H=2",mult|price,mult,price,0.918,0.803,6.7541,6.9361,-1.8246,-1.6426,-0.182,-2.7018,-2.5198,-0.182,-0.772,-0.605,,2,20.0,65.0
1D,wilder,乙,"E=20,X=70,H=2",mult|price,mult,price,0.9146,0.8055,6.7323,6.6178,-1.8464,-1.9609,0.1145,-2.7236,-2.8381,0.1145,-0.788,-0.728,,2,20.0,70.0
1D,wilder,乙,"E=20,X=75,H=2",mult|price,mult,price,0.9104,0.8091,7.1964,8.3793,-1.3823,-0.1994,-1.1829,-2.2595,-1.0766,-1.1829,-0.596,0.007,,2,20.0,75.0
1D,wilder,乙,"E=20,X=80,H=2",mult|price,mult,price,0.9059,0.8149,6.7838,7.7219,-1.7949,-0.8568,-0.9381,-2.6721,-1.734,-0.9381,-0.832,-0.267,,2,20.0,80.0
1D,wilder,乙,"E=20,X=85,H=2",mult|price,mult,price,0.9009,0.824,8.2247,8.1886,-0.354,-0.3901,0.0361,-1.2312,-1.2673,0.0361,-0.151,-0.093,,2,20.0,85.0
1D,wilder,乙,"E=20,X=90,H=2",mult|price,mult,price,0.8957,0.8377,9.0719,8.9778,0.4932,0.3991,0.0941,-0.384,-0.4781,0.0941,0.34,0.287,,2,20.0,90.0
1D,wilder,乙,"E=20,X=95,H=2",mult|price,mult,price,0.8986,0.8689,8.5294,8.3411,-0.0493,-0.2376,0.1883,-0.9265,-1.1148,0.1883,0.023,-0.128,,2,20.0,95.0
1D,wilder,乙,"E=25,X=50,H=2",mult|price,mult,price,0.9196,0.8138,5.5796,7.0957,-2.9991,-1.483,-1.5161,-3.8764,-2.3602,-1.5162,-1.285,-0.565,,2,25.0,50.0
1D,wilder,乙,"E=25,X=55,H=2",mult|price,mult,price,0.9188,0.8161,6.5,7.0195,-2.0787,-1.5592,-0.5195,-2.9559,-2.4364,-0.5195,-0.87,-0.585,,2,25.0,55.0
