window,arm,direction,bar,rsi_kind,style,params,cagr_pct,exc_spy,t_spy,exc_ew9,t_ew9,exc_spy_pre13,exc_spy_post13,exc_spy_h1,exc_spy_h2,ann_turnover,pct_in_mkt
主窗,ey_lag,買貴,3M,simple,乙,"E=15,X=85,H=2",9.8083,-1.4607,-0.701,-1.3626,-0.765,-2.1974,-0.9624,-2.1362,-0.75,1.14,97.83
主窗,ey_fwd_hp,買貴,1M,simple,甲,"N=3,H=3",9.7768,-1.4743,-0.813,-1.3083,-0.859,-0.4075,-2.2921,-0.5535,-2.4275,2.36,100.0
主窗,ey_lag,買貴,1M,wilder,甲,"N=3,H=3",9.7388,-1.5123,-0.691,-1.3463,-0.653,0.1017,-2.7347,0.2648,-3.3382,2.04,100.0
主窗,ey_lag,買貴,1M,simple,甲,"N=2,H=2",9.7356,-1.5155,-0.373,-1.3495,-0.33,4.6811,-5.9892,3.3284,-6.3574,4.59,100.0
主窗,ey_fwd,買貴,3M,wilder,乙,"E=25,X=95,H=1",9.7012,-1.5679,-1.764,-1.4697,-2.419,-0.1458,-2.6956,-0.2433,-2.9337,0.27,100.0
主窗,ey_fwd,買貴,1M,wilder,乙,"E=35,X=95,H=1",9.6174,-1.6338,-1.744,-1.4677,-2.445,-0.5408,-2.4731,-0.5673,-2.7364,0.7,100.0
主窗,ey_fwd1,買貴,3M,wilder,甲,"N=3,H=2",8.8444,-2.4246,-1.349,-2.3265,-1.787,0.2469,-4.5015,-0.1525,-4.7479,1.27,100.0
主窗,ey_fwd1,買貴,3M,simple,甲,"N=3,H=2",8.4319,-2.8371,-1.518,-2.739,-1.812,1.5306,-6.1422,0.6696,-6.3832,1.73,100.0
主窗,ey_fwd,買貴,3M,simple,乙,"E=35,X=90,H=1",8.2154,-3.0536,-2.384,-2.9555,-2.598,-3.6306,-2.7429,-3.2362,-2.861,0.96,98.91
主窗,ey_fwd,買貴,1M,simple,甲,"N=3,H=3",8.1141,-3.137,-1.504,-2.971,-1.727,-1.5616,-4.3531,-1.5969,-4.7226,2.44,100.0
主窗,ey_fwd,買貴,1M,wilder,甲,"N=3,H=3",7.184,-4.0671,-2.333,-3.9011,-2.514,-3.9607,-4.2008,-3.2026,-4.962,2.38,100.0
主窗,ey_fwd_hp,買貴,1M,wilder,甲,"N=2,H=3",7.1124,-4.1387,-2.009,-3.9726,-2.028,-3.2761,-4.8402,-2.0429,-6.2857,2.76,100.0
主窗,ey_fwd_hp,買貴,3M,wilder,甲,"N=3,H=1",7.0392,-4.2298,-2.514,-4.1317,-2.506,-4.1877,-4.4372,-3.9087,-4.5626,1.63,100.0
主窗,ey_fwd_hp,買貴,3M,simple,甲,"N=3,H=1",7.0276,-4.2415,-2.47,-4.1434,-2.857,-2.7964,-5.497,-2.7618,-5.7651,1.81,100.0
主窗,ey_fwd,買貴,3M,wilder,甲,"N=3,H=2",6.2819,-4.9872,-2.669,-4.889,-2.927,-2.8047,-6.8143,-3.4025,-6.6174,1.07,100.0
主窗,ey_fwd,買貴,3M,simple,甲,"N=1,H=2",5.7114,-5.5577,-1.594,-5.4595,-1.628,-0.2459,-9.6333,-3.1751,-7.9915,1.46,100.0
