ticker,t0,t0_price,multiple,mcap,mcap_src,宇宙分段,t0_year,U1 羅素2000近似(3億–50億),U2 全美小型股(<50億),U3 自定義(2億–100億)
DDS,2009-02-27,2.3945,30.06,,未知,既有574,2009,True,True,True
ROKU,2017-10-31,20.38,23.53,,未知,新增154,2017,True,True,True
TECK,2009-02-27,2.5991,19.08,,未知,新增154,2009,True,True,True
ASH,2009-02-27,2.2386,17.92,,未知,既有574,2009,False,False,False
OKLO,2021-08-31,9.83,17.72,,未知,新增154,2021,False,True,True
SW,2009-03-31,1.1181,16.45,,未知,既有574,2009,False,False,False
BE,2021-08-31,21.42,16.15,,未知,新增154,2021,True,True,True
BIDU,2009-01-30,12.877,14.12,,未知,新增154,2009,True,True,True
PBF,2020-10-30,4.1701,13.68,,未知,新增154,2020,True,True,True
ALM,2021-08-31,1.755,13.34,,未知,新增154,2021,False,False,False
OKTA,2017-07-31,21.95,13.29,,未知,新增154,2017,True,True,True
NET,2019-10-31,16.84,12.9,,未知,新增154,2019,False,True,True
NC,2009-02-27,0.987,11.51,,未知,既有574,2009,True,True,True
W,2016-10-31,33.33,10.37,,未知,新增154,2016,False,False,False
RVLV,2020-03-31,8.64,10.16,,未知,新增154,2020,False,False,False
