month_end,series,n_members,total_mcap,ey_lag,n_lag,ey_fwd,n_fwd,cov_fwd,ey_fwd1,n_fwd1,cov_fwd1,ey_fwd_hp,n_fwd_hp,lowprec_mcap_share
2007-12-31,XLI,45,1056945689236.3651,0.06333342517788554,45,0.07494356516587859,45,1.0,0.07878901794139115,45,1.0,0.07569928060277469,41,0.036789543953922345
2008-01-31,XLI,45,1012009405543.2415,0.06606472374029992,45,0.07519024475841066,45,1.0,0.07180713257722282,45,1.0,0.07587906256492558,40,0.04943601246541213
2008-02-29,XLI,45,982559393658.5665,0.0625854799342524,45,0.0766478452326925,45,1.0,0.07490858591481371,45,1.0,0.07744859583525053,40,0.049555499876549856
2008-03-31,XLI,45,1004886799050.15,0.06102270728565885,45,0.07424379128235185,45,1.0,0.07309589250167296,45,1.0,0.07526495709175866,40,0.05275414478980968
2008-04-30,XLI,45,1023746497329.1526,0.0598648510819523,45,0.06518329209868325,45,1.0,0.0788860446692346,45,1.0,0.06914742997908921,31,0.20113330008324945
2008-05-31,XLI,45,1038727369311.895,0.056470090654658356,45,0.06351432637239021,45,1.0,0.07801668673846889,45,1.0,0.06757410872637257,30,0.21296319494144172
2008-06-30,XLI,44,902805091749.8599,0.06443796830369286,44,0.07195293481737287,44,1.0,0.0881962703309403,44,1.0,0.07651770140141537,30,0.2071555208540936
2008-07-31,XLI,44,915463007942.6901,0.06273328518727567,44,0.06219390302185136,44,1.0,0.08339016521054131,44,1.0,0.06828481862572676,29,0.20900646428177486
2008-08-31,XLI,44,930192254735.3401,0.07537242397817864,44,0.06037108973784974,44,1.0,0.08156856561880095,44,1.0,0.06610953760517028,29,0.20856553884754603
2008-09-30,XLI,45,809713863362.7198,0.08617046648838747,45,0.06847784609334485,45,1.0,0.09340085645800739,45,1.0,0.07434815562505012,29,0.2030689932648008
2008-10-31,XLI,46,657875757323.37,0.10713743794561953,46,0.07127564130160158,46,1.0,0.10655013937767718,46,1.0,0.07862128289736679,29,0.19947049729035268
2008-11-30,XLI,45,613287244267.11,0.11382040415240958,45,0.07495440972351113,45,1.0,0.11015330136978514,45,1.0,0.0834400688712662,28,0.22572504596096996
2008-12-31,XLI,46,623850429520.56,0.11345712535396647,46,0.07492692982823297,46,1.0,0.10848359206230149,46,1.0,0.08354187782706982,29,0.22083566237894142
2009-01-31,XLI,46,544410833025.13,0.13068310786816387,46,0.0801237846822686,46,1.0,0.07577168080726979,46,1.0,0.08959390058159691,28,0.2176937167891906
2009-02-28,XLI,46,448061487248.54,0.15940718931161105,46,0.09630972258292574,46,1.0,0.0864080413198382,46,1.0,0.10920288592656281,28,0.2267380704127479
2009-03-31,XLI,46,487689046202.96,0.12941876592379556,46,0.08818588211042531,46,1.0,0.07917998978375583,46,1.0,0.09953132354479874,28,0.21901382019297794
2009-04-30,XLI,46,577617759846.13,0.1089833580513509,46,0.07666316578686053,45,0.9954490706194694,0.07835083581360272,45,0.9954490706194694,0.08496719943566894,30,0.19574344939295027
2009-05-31,XLI,46,588816088161.3201,0.08931506399777868,46,0.07507042893827075,44,0.9917426677399686,0.07564390244426297,45,0.9952152518305034,0.08274178012411094,29,0.19096059398207477
2009-06-30,XLI,46,576677366288.0953,0.09065710194371235,46,0.07674112627564937,45,0.9965314511759064,0.07689965225339808,46,1.0,0.08502203782692516,29,0.19385545886829167
2009-07-31,XLI,47,644471093790.672,0.0799153007248451,47,0.07463914318031382,46,0.9960208634868535,0.05728951597471073,47,1.0,0.08221285719399875,32,0.17992462527116265
2009-08-31,XLI,47,668558059325.1953,0.06570285948190198,47,0.07253825604473255,46,0.9963098398248161,0.054103293777460634,47,1.0,0.07949807329820252,32,0.1803343122731492
2009-09-30,XLI,46,705186222381.19,0.06389513965293245,46,0.06869645854975831,45,0.9962300788255858,0.051832321897296,46,1.0,0.07513704602136938,32,0.17642206456285958
2009-10-31,XLI,46,680889992181.77,0.06509553572468661,46,0.08070909488155995,45,0.9963965142680713,0.07968003897686392,46,1.0,0.08532568615797356,34,0.12423334362076222
2009-11-30,XLI,46,736818608138.6299,0.049025653267749145,46,0.07526581900716987,45,0.9968116918681864,0.07331173590805513,46,1.0,0.07936010631136473,33,0.13522135157495616
2009-12-31,XLI,46,738705033746.23,0.04887672149861571,46,0.07461940952422808,45,0.9966678974464853,0.07215417380018906,46,1.0,0.07898724546002378,33,0.1369873524730015
2010-01-31,XLI,46,729959349873.87,0.04927951514962529,46,0.0790678821817341,45,0.9966661744541523,0.058694322388504395,46,1.0,0.08285252281637093,33,0.13197841213395295
2010-02-28,XLI,46,770814677001.1,0.046942919554330644,46,0.07655470425784124,45,0.9969514393102862,0.05576724900663902,45,0.9969514393102862,0.07995025226602812,34,0.105140160128131
2010-03-31,XLI,46,842670728934.3401,0.04903304961311823,46,0.07057696948092151,45,0.9970645240033217,0.052212658670201986,45,0.9970645240033217,0.0737100359297339,34,0.10242357132586061
2010-04-30,XLI,46,885861020442.52,0.04711845233647275,46,0.07290316113752837,45,0.9968117169384434,0.06803659014240653,45,0.9968117169384434,0.07635337849315604,34,0.10787691464765406
2010-05-31,XLI,46,802157706840.8,0.0570475437670288,46,0.08131967812954811,45,0.9967726193545831,0.07674305013278387,45,0.9967726193545831,0.08541793252830122,34,0.1097586979950337
2010-06-30,XLI,46,740278447607.6602,0.061462086626333914,46,0.08802881628067769,46,1.0,0.08270932077229697,46,1.0,0.09213036325489157,35,0.10368555578100522
2010-07-31,XLI,46,823699824507.03,0.05707895023178888,46,0.08361974575291674,46,1.0,0.0773655938243509,46,1.0,0.08638063811991323,36,0.08594072713059785
2010-08-31,XLI,46,764857109525.3099,0.06617727770552294,46,0.09068089883226074,46,1.0,0.08324510176746036,46,1.0,0.09357927559008247,36,0.08443763882644918
2010-09-30,XLI,46,848877458517.6799,0.059362076768988074,46,0.08145280478732361,46,1.0,0.07482483285975616,46,1.0,0.08393135438130485,36,0.08090632136526403
2010-10-31,XLI,46,878484648737.0701,0.05830111400894737,46,0.0830524848884832,46,1.0,0.07925913215683249,46,1.0,0.0857105084161962,37,0.08046720113968348
2010-11-30,XLI,46,886651186411.42,0.06434844893963268,46,0.08291684870975442,46,1.0,0.07904060075264041,46,1.0,0.08510478926528633,38,0.06978113798123385
2010-12-31,XLI,46,941011714747.4412,0.060371267821122496,46,0.07733729520383514,46,1.0,0.07297509426962927,46,1.0,0.07913708337996528,38,0.06511088092824044
2011-01-31,XLI,46,978575950878.2084,0.058018960628869694,46,0.07652955402131137,46,1.0,0.06565243497233249,46,1.0,0.07837844991558963,38,0.06591620323502927
2011-02-28,XLI,46,1000821240564.48,0.05696238328362803,46,0.07559969810625271,46,1.0,0.0649196693780741,46,1.0,0.07765732704476686,38,0.07093328725664294
2011-03-31,XLI,46,1017204862691.9899,0.05841326529948165,46,0.07441202587321848,46,1.0,0.06492292763252049,46,1.0,0.07632579345540869,38,0.06751405067201789
2011-04-30,XLI,46,1046856829609.18,0.05723380280494335,46,0.07476250514047719,46,1.0,0.07447824908885352,46,1.0,0.07631282055729843,40,0.05829283517871493
2011-05-31,XLI,46,1010669111961.2301,0.06476643041805061,46,0.077683879262565,46,1.0,0.0772883969318303,46,1.0,0.07946942794833493,40,0.06040844312268052
2011-06-30,XLI,46,991916503254.3625,0.06566368598023026,46,0.07856181240946326,46,1.0,0.07776124721233764,46,1.0,0.08016753835037169,40,0.05579484463880362
2011-07-31,XLI,46,925839364134.4325,0.07073121170667943,46,0.086492843704421,46,1.0,0.0851279813936233,46,1.0,0.08850423895826115,40,0.060733746245690966
2011-08-31,XLI,46,863962590470.63,0.07929043993341603,46,0.09321497359061602,46,1.0,0.09069970116335013,46,1.0,0.09516976340146793,40,0.059993477338370946
2011-09-30,XLI,46,758801022770.4298,0.08911921982593204,46,0.10480831517548027,46,1.0,0.10209749877398168,46,1.0,0.10660181221816335,40,0.05369381891821263
2011-10-31,XLI,46,883297607715.6901,0.0775601595396499,46,0.09209585196587983,46,1.0,0.09173214308770138,46,1.0,0.09409154606066474,40,0.05935018719049203
2011-11-30,XLI,46,897083921135.9701,0.07771924448510154,46,0.09118531421326356,46,1.0,0.08885315084745414,46,1.0,0.09310581910489042,40,0.05887514959991657
2011-12-31,XLI,46,890510577249.19,0.07715967838568702,46,0.09075328197745279,46,1.0,0.08823045000397997,46,1.0,0.09228082322296786,40,0.053219092875230765
2012-01-31,XLI,46,954299050885.2301,0.07225472636908517,46,0.08534052911553666,46,1.0,0.07778288939839587,46,1.0,0.0871773964375988,39,0.058669685421644115
2012-02-29,XLI,46,980814981952.4967,0.07213702240795314,46,0.08395772660519805,46,1.0,0.07642391877491772,46,1.0,0.08596038793229992,39,0.06357289417370453
2012-03-31,XLI,46,981477628891.3201,0.0717888941534749,46,0.08374138651456824,46,1.0,0.07698236046067478,46,1.0,0.08525670230821204,39,0.05579395667224493
2012-04-30,XLI,46,976633607497.9575,0.07279569431593483,46,0.0850736150512451,46,1.0,0.0879800322328962,46,1.0,0.08710107209927749,39,0.0633055487908108
2012-05-31,XLI,46,909551835215.2201,0.08060945725467228,46,0.0914798019612722,46,1.0,0.09549263225822426,46,1.0,0.09347158860586949,40,0.05917208743681439
2012-06-30,XLI,46,930831365885.3333,0.07817109485747994,46,0.08874085864472861,46,1.0,0.09190558958488998,46,1.0,0.09023728521894933,40,0.05223890222356352
2012-07-31,XLI,46,940450163824.07,0.07768995633110232,46,0.0882096721677203,46,1.0,0.08941853872836521,46,1.0,0.0900275524188527,40,0.05897626426514792
2012-08-31,XLI,46,945791151564.81,0.07932108749370044,46,0.08758598393201779,46,1.0,0.08782956781797271,46,1.0,0.08935571845153349,40,0.058617430029256304
2012-09-30,XLI,46,945071566645.55,0.07879802319084049,46,0.0871534358265712,46,1.0,0.08740872431014741,46,1.0,0.08836502806753148,40,0.05020973252497272
2012-10-31,XLI,47,959040038986.31,0.07876862282986326,47,0.08822212268235725,46,0.99506258183443,0.09034141659308118,46,0.99506258183443,0.08954813710836648,41,0.05125904167839378
