symbol,report_date,eps,tailing_eps,update_time
AXTI,2022-12-31,0.0304,0.366,2026-05-16
AXTI,2023-03-31,-0.0798,0.213,2026-05-16
AXTI,2023-06-30,-0.1205,-0.0369,2026-05-16
AXTI,2023-09-30,-0.1376,-0.3075,2026-05-16
AXTI,2023-12-31,-0.0856,-0.4235,2026-05-16
AXTI,2024-03-31,-0.0495,-0.3932,2026-05-16
AXTI,2024-06-30,-0.0362,-0.3089,2026-05-16
AXTI,2024-09-30,-0.0691,-0.2404,2026-05-16
AXTI,2024-12-31,-0.1183,-0.2731,2026-05-16
AXTI,2025-03-31,-0.203,-0.4266,2026-05-16
AXTI,2025-06-30,-0.1613,-0.5517,2026-05-16
AXTI,2025-09-30,-0.0445,-0.5271,2026-05-16
AXTI,2025-12-31,-0.0804,-0.4892,2026-05-16
AXTI,2026-03-31,-0.0312,-0.3174,2026-05-20
AXTI,2026-06-30,0.1753,0.0192,2026-08-01
