date,engine,hand,abs_diff,rel_diff
2023-02-08,1024311.4914567964,1024311.4914567964,0.0,0.0
2023-02-09,1022547.3165857311,1022547.3165857311,0.0,0.0
2023-02-10,1023169.9343044262,1023169.9343044262,0.0,0.0
2023-02-13,1027949.1039671726,1027949.1039671726,0.0,0.0
2023-02-14,1026855.2497858095,1026855.2497858095,0.0,0.0
2023-02-15,1030439.600937176,1030439.600937176,0.0,0.0
2023-02-16,1027713.4857357531,1027713.4857357531,0.0,0.0
2023-02-17,1025761.4477960895,1025761.4477960895,0.0,0.0
2023-02-21,1018912.5224129602,1018912.5224129602,0.0,0.0
2023-02-22,1019636.0783659361,1019636.0783659361,0.0,0.0
2023-02-23,1020460.6247448358,1020460.6247448358,0.0,0.0
2023-02-24,1015933.9833382852,1015933.9833382852,0.0,0.0
2023-02-27,1017970.1538703972,1017970.1538703972,0.0,0.0
2023-02-28,1017111.9179206247,1017111.9179206247,0.0,0.0
2023-03-01,1013578.0880778705,1013578.0880778705,0.0,0.0
2023-03-02,1014587.8096666143,1014587.8096666143,0.0,0.0
2023-03-03,1023203.6238752991,1023203.6238752991,0.0,0.0
2023-03-06,1027915.4404918647,1027915.4404918647,0.0,0.0
2023-03-07,1024162.7980596945,1024162.7980596945,0.0,0.0
2023-03-08,1026299.9329221653,1026299.9329221653,0.0,0.0
2023-03-09,1022463.1839932828,1022463.1839932828,0.0,0.0
2023-03-10,1018946.1597925321,1018946.1597925321,0.0,0.0
2023-03-13,1022261.3075243792,1022261.3075243792,0.0,0.0
2023-03-14,1025828.7486509694,1025828.7486509694,0.0,0.0
2023-03-15,1026501.8876781058,1026501.8876781058,0.0,0.0
2023-03-16,1031314.694720424,1031314.694720424,0.0,0.0
2023-03-17,1029884.2318820598,1029884.2318820598,0.0,0.0
2023-03-20,1033922.9616626188,1033922.9616626188,0.0,0.0
2023-03-21,1037086.5976601008,1037086.5976601008,0.0,0.0
2023-03-22,1034646.5437115016,1034646.5437115016,0.0,0.0
2023-03-23,1036497.6173209776,1036497.6173209776,0.0,0.0
2023-03-24,1038718.9369673686,1038718.9369673686,0.0,0.0
2023-03-27,1035403.7370440495,1035403.7370440495,0.0,0.0
2023-03-28,1034343.6507209383,1034343.6507209383,0.0,0.0
2023-03-29,1039593.9263678438,1039593.9263678438,0.0,0.0
2023-03-30,1042269.5724519552,1042269.5724519552,0.0,0.0
2023-03-31,1046543.7899854248,1046543.7899854248,0.0,0.0
